Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,15.96,15.96,15.62,15.7,14158800,0.0,0
2019-02-06,15.66,15.89,15.61,15.82,16249100,0.0,0
2019-02-07,16.27,16.8,16.12,16.38,37227800,0.0,0
2019-02-08,16.32,16.34,16.04,16.28,17675200,0.0,0
2019-02-11,16.36,16.4,16.23,16.33,9699500,0.0,0
2019-02-12,16.47,16.68,16.47,16.53,7322900,0.0,0
2019-02-13,16.61,16.63,16.37,16.48,8973700,0.0,0
2019-02-14,16.32,16.41,16.13,16.33,6431800,0.0,0
2019-02-15,16.51,16.81,16.47,16.8,8026900,0.0,0
2019-02-19,16.67,17.09,16.6,17.02,12376700,0.0,0
2019-02-20,16.98,17.22,16.9,17.22,9664500,0.0,0
2019-02-21,17.23,17.25,16.88,16.98,8141600,0.0,0
2019-02-22,16.99,17.02,16.74,16.94,7615900,0.0,0
2019-02-25,17.03,17.11,16.87,16.9,7164300,0.0,0
2019-02-26,16.83,16.94,16.69,16.71,9870500,0.0,0
2019-02-27,16.81,16.94,16.68,16.92,10583200,0.0,0
2019-02-28,16.94,17.03,16.87,16.94,6940000,0.0,0
2019-03-01,17.05,17.17,16.71,16.8,13865000,0.0,0
2019-03-04,16.86,17.09,16.53,16.71,16135500,0.17,0
2019-03-05,16.65,16.77,16.34,16.68,9662600,0.0,0
2019-03-06,16.65,16.72,16.36,16.39,8563900,0.0,0
2019-03-07,16.33,16.33,16.06,16.18,9605100,0.0,0
2019-03-08,15.99,16.26,15.97,16.25,7735400,0.0,0
2019-03-11,16.32,16.63,16.26,16.43,15705200,0.0,0
2019-03-12,16.5,16.67,16.47,16.54,11026300,0.0,0
2019-03-13,16.61,16.84,16.56,16.78,11030900,0.0,0
2019-03-14,16.79,16.98,16.74,16.88,9116300,0.0,0
2019-03-15,16.84,16.96,16.79,16.84,30656400,0.0,0
2019-03-18,16.86,17.17,16.86,17.17,12434600,0.0,0
2019-03-19,17.3,17.3,16.89,16.92,22292200,0.0,0
2019-03-20,16.83,16.84,16.0,16.02,17489400,0.0,0
2019-03-21,15.88,15.9,15.41,15.44,24849700,0.0,0
2019-03-22,15.27,15.29,14.44,14.5,33997200,0.0,0
2019-03-25,14.54,14.76,14.36,14.53,19290100,0.0,0
2019-03-26,14.65,14.95,14.63,14.93,19825000,0.0,0
2019-03-27,14.86,15.01,14.77,14.89,13638700,0.0,0
2019-03-28,14.91,15.24,14.91,15.21,19243100,0.0,0
2019-03-29,15.41,15.45,15.21,15.26,13578600,0.0,0
2019-04-01,15.46,15.88,15.43,15.84,11646600,0.0,0
2019-04-02,15.8,16.12,15.75,15.96,10761400,0.0,0
2019-04-03,16.13,16.34,15.77,15.92,13411500,0.0,0
2019-04-04,15.77,16.11,15.76,15.97,11828100,0.0,0
2019-04-05,16.0,16.11,15.89,16.07,13926600,0.0,0
2019-04-08,16.0,16.14,15.95,16.02,9339300,0.0,0
2019-04-09,15.9,15.95,15.69,15.75,10157400,0.0,0
2019-04-10,15.89,15.94,15.62,15.88,11412200,0.0,0
2019-04-11,15.99,16.11,15.84,15.93,12791500,0.0,0
2019-04-12,16.26,16.45,15.98,16.36,12839600,0.0,0
2019-04-15,16.34,16.39,16.09,16.14,10759000,0.0,0
2019-04-16,16.18,16.5,16.05,16.45,10339600,0.0,0
2019-04-17,16.52,16.67,16.35,16.64,12269200,0.0,0
2019-04-18,16.37,16.49,16.05,16.27,19536500,0.0,0
2019-04-22,16.18,16.52,16.08,16.46,14575000,0.0,0
2019-04-23,16.37,16.68,16.14,16.65,16984700,0.0,0
2019-04-24,16.52,16.68,16.35,16.6,9471600,0.0,0
2019-04-25,16.5,16.76,16.37,16.61,9091500,0.0,0
2019-04-26,16.64,16.78,16.48,16.75,7631300,0.0,0
2019-04-29,16.8,17.09,16.78,16.99,10188200,0.0,0
2019-04-30,17.02,17.11,16.8,17.0,8756900,0.0,0
2019-05-01,16.99,17.1,16.67,16.81,11836400,0.0,0
2019-05-02,16.86,17.07,16.75,17.06,9796300,0.0,0
2019-05-03,17.09,17.29,17.03,17.17,10898600,0.0,0
2019-05-06,16.84,17.28,16.84,17.13,9220400,0.0,0
2019-05-07,16.9,17.01,16.7,16.81,10327000,0.0,0
2019-05-08,16.74,16.87,16.64,16.65,12551900,0.0,0
2019-05-09,16.48,16.78,16.34,16.75,10169100,0.0,0
2019-05-10,16.64,16.86,16.43,16.76,9186800,0.0,0
2019-05-13,16.39,16.46,15.95,16.02,15648500,0.0,0
2019-05-14,16.01,16.48,16.01,16.39,14299400,0.0,0
2019-05-15,16.09,16.19,15.79,16.05,11642800,0.0,0
2019-05-16,16.19,16.42,16.14,16.25,7353300,0.0,0
2019-05-17,16.03,16.58,16.03,16.23,10500400,0.0,0
2019-05-20,16.25,16.43,16.21,16.35,9132900,0.0,0
2019-05-21,16.39,16.6,16.37,16.42,7771500,0.0,0
2019-05-22,16.32,16.32,16.19,16.19,8112400,0.0,0
2019-05-23,16.04,16.06,15.82,16.01,7554700,0.0,0
2019-05-24,16.1,16.32,16.08,16.28,6320200,0.17,0
2019-05-28,16.18,16.27,16.01,16.01,8174700,0.0,0
2019-05-29,15.83,16.16,15.7,16.13,7772200,0.0,0
2019-05-30,16.15,16.28,15.81,15.96,5199400,0.0,0
2019-05-31,15.71,15.87,15.61,15.63,8394000,0.0,0
2019-06-03,15.61,16.03,15.53,15.94,7567100,0.0,0
2019-06-04,16.21,16.61,16.14,16.58,7549000,0.0,0
2019-06-05,16.58,16.61,16.28,16.54,7006000,0.0,0
