Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,45.11,45.63,44.96,45.61,6145700,0.0,0
2019-02-06,45.43,45.54,44.99,45.18,5012400,0.0,0
2019-02-07,44.59,45.18,44.36,44.74,9556900,0.0,0
2019-02-08,44.72,44.98,44.19,44.96,5278600,0.0,0
2019-02-11,45.0,45.24,44.41,44.84,5152500,0.0,0
2019-02-12,45.09,45.92,45.0,45.58,5363900,0.0,0
2019-02-13,45.77,45.87,45.1,45.13,6021400,0.0,0
2019-02-14,44.98,45.15,44.42,44.85,4390000,0.0,0
2019-02-15,45.3,45.56,44.85,45.11,5758800,0.0,0
2019-02-19,45.3,45.83,45.12,45.26,7443900,0.0,0
2019-02-20,45.38,45.95,45.12,45.72,7048900,0.0,0
2019-02-21,45.84,46.1,45.33,45.64,10117900,0.0,0
2019-02-22,33.96,34.11,32.69,33.11,135204800,0.0,0
2019-02-25,33.16,33.56,32.27,32.43,47394300,0.0,0
2019-02-26,32.44,32.69,31.3,31.38,36361600,0.0,0
2019-02-27,31.41,31.5,30.36,30.51,28284100,0.0,0
2019-02-28,30.71,31.87,30.15,31.44,39658300,0.0,0
2019-03-01,31.65,31.73,30.65,30.7,20796800,0.0,0
2019-03-04,31.17,31.78,31.05,31.48,19256700,0.0,0
2019-03-05,31.62,31.63,30.94,31.3,13556300,0.0,0
2019-03-06,31.39,31.45,31.03,31.13,8978600,0.0,0
2019-03-07,31.29,31.29,30.51,30.58,15205600,0.4,0
2019-03-08,30.39,30.98,30.31,30.79,12460800,0.0,0
2019-03-11,30.68,30.87,30.35,30.85,12449900,0.0,0
2019-03-12,30.88,31.09,30.55,30.68,10361500,0.0,0
2019-03-13,30.76,30.99,30.59,30.98,8688600,0.0,0
2019-03-14,31.02,31.17,30.55,30.56,8199900,0.0,0
2019-03-15,30.64,30.9,30.35,30.78,16516500,0.0,0
2019-03-18,30.5,30.79,30.24,30.72,13719500,0.0,0
2019-03-19,30.66,31.15,30.57,30.81,10194500,0.0,0
2019-03-20,30.79,30.86,30.44,30.71,10093500,0.0,0
2019-03-21,30.73,31.5,30.61,31.41,11186100,0.0,0
2019-03-22,31.49,31.5,30.87,30.97,12098300,0.0,0
2019-03-25,30.95,31.21,30.72,31.17,7663500,0.0,0
2019-03-26,31.21,31.7,31.18,31.55,7464000,0.0,0
2019-03-27,31.55,31.83,31.08,31.3,8391900,0.0,0
2019-03-28,31.36,31.68,31.34,31.54,6577200,0.0,0
2019-03-29,31.33,31.7,31.22,31.31,8130000,0.0,0
2019-04-01,31.46,31.63,31.09,31.17,7969100,0.0,0
2019-04-02,31.23,31.39,30.71,30.77,9344000,0.0,0
2019-04-03,30.92,31.03,30.71,30.93,8431100,0.0,0
2019-04-04,30.98,31.45,30.8,31.35,7574200,0.0,0
2019-04-05,31.35,31.84,31.28,31.81,8852400,0.0,0
2019-04-08,31.87,32.0,31.61,31.83,6571100,0.0,0
2019-04-09,31.8,31.87,31.5,31.6,6398800,0.0,0
2019-04-10,31.63,31.72,31.36,31.63,6323800,0.0,0
2019-04-11,31.73,31.84,31.46,31.64,6022200,0.0,0
2019-04-12,31.76,31.96,31.56,31.72,5278400,0.0,0
2019-04-15,31.74,31.82,31.5,31.78,5232900,0.0,0
2019-04-16,31.72,32.13,31.66,31.69,4618200,0.0,0
2019-04-17,31.7,31.75,31.5,31.54,6532700,0.0,0
2019-04-18,31.67,31.73,31.5,31.61,6834200,0.0,0
2019-04-22,32.16,32.4,31.47,31.55,10441400,0.0,0
2019-04-23,31.58,31.82,31.5,31.74,9615900,0.0,0
2019-04-24,31.51,31.55,31.01,31.42,8443100,0.0,0
2019-04-25,31.33,31.4,31.11,31.19,6196300,0.0,0
2019-04-26,31.36,31.74,31.24,31.71,6908200,0.0,0
2019-04-29,31.8,31.96,31.68,31.91,5963400,0.0,0
2019-04-30,31.95,32.1,31.71,31.88,9695000,0.0,0
2019-05-01,31.84,32.2,31.58,31.64,7402700,0.0,0
2019-05-02,31.36,31.49,30.52,30.86,12276800,0.0,0
2019-05-03,31.03,31.32,30.72,31.25,6995800,0.0,0
2019-05-06,31.03,31.59,30.99,31.43,10303800,0.0,0
2019-05-07,31.29,31.61,30.88,31.17,8719100,0.0,0
2019-05-08,31.17,31.28,30.94,31.1,5778600,0.0,0
2019-05-09,30.98,31.3,30.66,31.25,6838900,0.0,0
2019-05-10,31.23,31.39,30.37,31.31,9250000,0.0,0
2019-05-13,30.97,31.1,30.52,30.66,7944100,0.0,0
2019-05-14,30.77,31.07,30.67,30.95,7267300,0.0,0
2019-05-15,30.88,31.11,30.56,31.07,5744000,0.0,0
2019-05-16,31.04,31.39,30.97,31.13,5135600,0.0,0
2019-05-17,31.08,31.52,30.89,31.2,5852500,0.0,0
2019-05-20,31.0,31.03,30.34,30.49,9077200,0.0,0
2019-05-21,30.61,30.86,30.24,30.67,6531900,0.0,0
2019-05-22,30.67,30.8,30.41,30.57,6141600,0.0,0
2019-05-23,30.41,30.46,29.92,30.16,7162100,0.0,0
2019-05-24,30.33,30.43,29.76,29.84,8283900,0.0,0
2019-05-28,29.83,29.85,27.82,27.87,24476400,0.0,0
2019-05-29,27.71,27.76,27.27,27.51,13150600,0.0,0
2019-05-30,27.51,27.53,26.5,26.65,15970500,0.4,0
2019-05-31,26.52,26.92,26.22,26.89,10453400,0.0,0
2019-06-03,26.92,27.71,26.91,27.64,12485500,0.0,0
2019-06-04,27.71,27.95,27.62,27.88,11999700,0.0,0
2019-06-05,28.06,28.06,27.5,27.69,12103200,0.0,0
2019-06-06,27.66,27.86,27.4,27.84,9267400,0.0,0
2019-06-07,27.91,28.16,27.83,27.95,11638400,0.0,0
2019-06-10,29.28,29.66,29.03,29.48,24143900,0.0,0
2019-06-11,29.47,29.52,28.98,29.41,17107800,0.0,0
2019-06-12,29.38,29.54,29.15,29.3,13484200,0.0,0
