Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,32.11,32.65,31.57,31.65,1719200,0.0,0
2019-02-06,31.72,32.08,31.19,31.24,1355300,0.0,0
2019-02-07,31.2,31.91,31.15,31.47,1395400,0.0,0
2019-02-08,31.07,31.53,30.55,30.87,2103700,0.0,0
2019-02-11,31.05,31.21,30.47,31.19,1575100,0.0,0
2019-02-12,31.39,32.46,31.22,32.12,1847700,0.0,0
2019-02-13,32.25,33.43,32.25,33.24,2413800,0.0,0
2019-02-14,33.07,34.05,32.86,33.76,2926300,0.0,0
2019-02-15,33.84,33.88,33.08,33.28,3065800,0.0,0
2019-02-19,33.2,34.23,33.1,33.95,2861900,0.0,0
2019-02-20,34.08,35.04,33.72,34.47,3875700,0.0,0
2019-02-21,34.51,34.52,33.57,33.94,1396000,0.0,0
2019-02-22,34.06,34.21,33.16,33.35,1446800,0.0,0
2019-02-25,33.62,34.38,33.47,33.68,1427000,0.0,0
2019-02-26,33.59,33.97,33.28,33.43,819100,0.0,0
2019-02-27,33.47,33.8,33.16,33.62,842400,0.0,0
2019-02-28,33.56,33.7,33.07,33.38,999200,0.0,0
2019-03-01,33.81,34.04,33.28,33.49,1096100,0.06,0
2019-03-04,33.73,34.12,33.14,33.48,1364500,0.0,0
2019-03-05,33.51,33.51,32.65,32.68,1108300,0.0,0
2019-03-06,32.77,33.29,32.59,33.0,1586700,0.0,0
2019-03-07,32.8,32.95,32.44,32.71,1775600,0.0,0
2019-03-08,32.25,32.38,31.57,32.28,1760500,0.0,0
2019-03-11,32.18,33.7,32.16,33.68,1961200,0.0,0
2019-03-12,33.67,33.79,33.0,33.61,1483700,0.0,0
2019-03-13,33.86,34.64,33.58,34.27,1529600,0.0,0
2019-03-14,34.21,34.71,33.94,34.58,2083200,0.0,0
2019-03-15,34.63,34.78,33.39,33.75,3955300,0.0,0
2019-03-18,34.0,34.51,33.82,34.4,1105800,0.0,0
2019-03-19,34.19,34.19,32.5,32.67,2526600,0.0,0
2019-03-20,32.62,32.77,30.82,31.69,4073000,0.0,0
2019-03-21,31.66,32.08,31.4,32.05,2844400,0.0,0
2019-03-22,31.88,31.95,30.99,31.2,1802800,0.0,0
2019-03-25,31.16,31.87,30.93,31.15,1843000,0.0,0
2019-03-26,31.44,31.98,31.38,31.88,1897800,0.0,0
2019-03-27,31.95,32.08,31.13,31.21,2092600,0.0,0
2019-03-28,31.21,32.57,31.12,32.27,3897800,0.0,0
2019-03-29,32.43,32.73,32.1,32.5,1914300,0.0,0
2019-04-01,32.81,33.25,32.62,32.94,2025600,0.0,0
2019-04-02,32.81,33.11,32.17,32.34,1398800,0.0,0
2019-04-03,32.36,32.94,32.32,32.51,1430900,0.0,0
2019-04-04,32.37,33.28,32.34,33.12,1670600,0.0,0
2019-04-05,33.11,33.61,33.01,33.14,1189900,0.0,0
2019-04-08,32.75,33.31,32.57,33.29,1133000,0.0,0
2019-04-09,33.07,33.14,32.66,32.74,1556800,0.0,0
2019-04-10,32.78,33.02,32.49,32.91,648400,0.0,0
2019-04-11,32.91,33.63,32.81,33.51,1161600,0.0,0
2019-04-12,33.83,34.2,33.59,33.89,1042800,0.0,0
2019-04-15,33.74,33.84,33.08,33.34,1235200,0.0,0
2019-04-16,32.66,33.53,32.19,33.39,2495800,0.0,0
2019-04-17,33.81,34.54,33.55,34.36,2568000,0.0,0
2019-04-18,34.46,35.15,34.31,34.53,2501900,0.0,0
2019-04-22,34.36,34.72,34.08,34.51,1616100,0.0,0
2019-04-23,34.46,34.86,34.16,34.81,3498300,0.0,0
2019-04-24,34.8,36.61,34.11,35.95,4686400,0.0,0
2019-04-25,35.68,35.92,34.36,34.53,2598800,0.0,0
2019-04-26,34.41,35.41,34.24,35.04,1047500,0.0,0
2019-04-29,35.09,35.32,33.87,33.92,1933700,0.0,0
2019-04-30,33.93,33.96,32.85,33.16,2524500,0.0,0
2019-05-01,33.07,33.07,31.13,31.19,3751300,0.0,0
2019-05-02,31.19,32.11,30.84,32.08,1907500,0.0,0
2019-05-03,32.24,33.34,32.0,33.12,1793600,0.0,0
2019-05-06,32.23,33.26,32.08,33.1,2361000,0.0,0
2019-05-07,32.6,32.91,31.68,31.86,1001000,0.0,0
2019-05-08,31.86,32.31,31.04,31.1,1396400,0.0,0
2019-05-09,30.85,31.34,30.42,31.17,1854700,0.0,0
2019-05-10,31.02,31.56,30.61,31.31,944300,0.0,0
2019-05-13,30.33,30.38,29.01,29.18,2738400,0.0,0
2019-05-14,29.3,30.71,29.27,30.38,1437000,0.0,0
2019-05-15,30.19,30.91,30.05,30.82,1587700,0.0,0
2019-05-16,30.97,31.58,30.93,31.46,1783000,0.0,0
2019-05-17,31.25,31.58,30.68,30.76,1598000,0.0,0
