Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,47.81,47.95,47.59,47.75,12651900,0.0,0
2019-02-06,47.7,47.84,47.51,47.75,8689100,0.0,0
2019-02-07,47.66,47.94,47.5,47.9,10047800,0.0,0
2019-02-08,47.85,47.98,47.6,47.98,9813300,0.0,0
2019-02-11,48.05,48.35,47.96,48.09,9369300,0.0,0
2019-02-12,48.16,48.27,47.94,48.13,10983300,0.0,0
2019-02-13,48.09,48.41,48.04,48.26,12748800,0.0,0
2019-02-14,45.27,45.52,44.1,44.19,58905400,0.0,0
2019-02-15,44.49,44.84,43.81,43.85,35701600,0.0,0
2019-02-19,43.93,44.19,43.39,43.45,25511300,0.0,0
2019-02-20,43.53,43.85,43.42,43.71,27464000,0.0,0
2019-02-21,43.62,44.5,43.58,44.45,23121200,0.0,0
2019-02-22,44.35,44.54,43.81,43.89,24728400,0.0,0
2019-02-25,44.04,44.17,43.46,43.56,23774400,0.0,0
2019-02-26,43.71,43.75,43.29,43.32,20463200,0.0,0
2019-02-27,43.23,43.64,43.06,43.56,17827500,0.0,0
2019-02-28,43.73,44.21,43.72,43.95,22533900,0.0,0
2019-03-01,44.07,44.24,43.81,43.99,16291600,0.0,0
2019-03-04,44.13,44.27,43.91,44.25,15973800,0.0,0
2019-03-05,44.25,44.3,44.01,44.2,13062300,0.0,0
2019-03-06,44.27,44.38,44.04,44.05,14232100,0.0,0
2019-03-07,44.09,44.13,43.74,43.89,12084000,0.0,0
2019-03-08,43.76,43.86,43.24,43.46,15579100,0.0,0
2019-03-11,43.75,44.82,43.71,44.76,22126900,0.0,0
2019-03-12,44.54,44.83,44.49,44.64,19348500,0.0,0
2019-03-13,44.71,44.92,44.5,44.8,16222500,0.0,0
2019-03-14,44.82,45.08,44.61,44.68,18504100,0.4,0
2019-03-15,44.7,44.88,44.14,44.29,47254500,0.0,0
2019-03-18,44.42,44.66,44.35,44.4,24006400,0.0,0
2019-03-19,44.54,44.67,44.33,44.55,14987000,0.0,0
2019-03-20,44.39,44.88,44.17,44.52,13376100,0.0,0
2019-03-21,44.52,44.74,44.43,44.5,20043000,0.0,0
2019-03-22,44.45,45.08,44.45,44.91,19055900,0.0,0
2019-03-25,44.84,45.17,44.77,45.01,11668200,0.0,0
2019-03-26,45.14,45.75,45.14,45.6,11434900,0.0,0
2019-03-27,45.61,45.87,45.3,45.57,11543600,0.0,0
2019-03-28,45.64,45.88,45.45,45.54,11121100,0.0,0
2019-03-29,45.63,45.87,45.45,45.82,16045600,0.0,0
2019-04-01,45.94,46.12,45.55,45.68,11522700,0.0,0
2019-04-02,45.71,45.89,45.53,45.53,8495000,0.0,0
2019-04-03,45.39,45.55,45.02,45.15,12854500,0.0,0
2019-04-04,45.31,45.5,45.08,45.45,7814900,0.0,0
2019-04-05,45.46,45.54,45.17,45.44,7677600,0.0,0
2019-04-08,45.5,45.53,45.24,45.51,9421300,0.0,0
2019-04-09,45.42,45.68,45.24,45.63,8641800,0.0,0
2019-04-10,45.8,45.95,45.52,45.6,8059900,0.0,0
2019-04-11,45.68,45.71,45.5,45.67,7352400,0.0,0
2019-04-12,45.63,45.89,45.53,45.7,10690000,0.0,0
2019-04-15,45.84,45.99,45.66,45.95,10261300,0.0,0
2019-04-16,46.0,46.05,45.66,45.91,10804600,0.0,0
2019-04-17,46.15,46.49,46.1,46.23,11849300,0.0,0
2019-04-18,46.28,46.52,46.22,46.42,12167000,0.0,0
2019-04-22,46.35,46.55,45.97,46.35,9834700,0.0,0
2019-04-23,47.02,47.64,46.49,47.14,25327800,0.0,0
2019-04-24,46.96,47.16,46.85,46.91,15997300,0.0,0
2019-04-25,46.68,46.82,46.41,46.78,11444400,0.0,0
2019-04-26,46.92,47.37,46.91,47.19,10154300,0.0,0
2019-04-29,47.1,47.37,47.04,47.34,9731500,0.0,0
2019-04-30,47.45,48.09,47.31,47.97,17912900,0.0,0
2019-05-01,47.86,47.99,47.47,47.51,10551200,0.0,0
2019-05-02,47.45,47.68,47.2,47.31,8724600,0.0,0
2019-05-03,47.52,47.87,47.44,47.64,7076900,0.0,0
2019-05-06,47.25,47.53,47.19,47.39,8657800,0.0,0
2019-05-07,47.16,47.22,46.71,46.93,12487500,0.0,0
2019-05-08,46.98,47.16,46.76,46.79,9281400,0.0,0
2019-05-09,46.74,46.91,46.02,46.35,11450500,0.0,0
2019-05-10,46.36,47.23,46.35,47.12,9653800,0.0,0
2019-05-13,46.84,47.06,46.67,46.98,11911500,0.0,0
2019-05-14,47.45,48.22,47.27,47.61,16844200,0.0,0
2019-05-15,47.59,48.28,47.52,48.09,11422500,0.0,0
2019-05-16,48.17,48.55,48.12,48.48,17771300,0.0,0
2019-05-17,48.17,48.45,48.08,48.11,11257000,0.0,0
2019-05-20,47.95,48.05,47.68,47.76,13850500,0.0,0
2019-05-21,47.91,47.94,47.37,47.52,10587400,0.0,0
2019-05-22,47.69,48.6,47.64,48.55,16050400,0.0,0
2019-05-23,48.4,48.79,48.36,48.74,12199400,0.0,0
2019-05-24,48.71,48.78,48.43,48.51,6887600,0.0,0
2019-05-28,48.5,48.56,47.94,48.01,18614000,0.0,0
2019-05-29,47.66,47.94,47.33,47.53,12534600,0.0,0
2019-05-30,47.64,48.21,47.59,48.15,9087200,0.0,0
2019-05-31,47.91,48.21,47.69,48.04,11368600,0.0,0
2019-06-03,48.07,48.87,47.93,48.87,14167200,0.0,0
2019-06-04,48.89,49.16,48.52,48.89,12010600,0.0,0
2019-06-05,48.9,50.0,48.58,49.65,15837600,0.0,0
2019-06-06,49.78,50.39,49.46,50.26,15190400,0.0,0
2019-06-07,50.32,51.03,50.31,50.34,15293600,0.0,0
2019-06-10,50.39,50.39,49.95,50.24,9737400,0.0,0
2019-06-11,50.31,50.44,50.04,50.19,9915600,0.0,0
2019-06-12,50.35,50.98,50.32,50.49,11087500,0.0,0
2019-06-13,50.71,50.94,50.04,50.38,10353600,0.4,0
2019-06-14,50.3,50.78,50.3,50.56,8694300,0.0,0
2019-06-17,50.5,50.73,49.87,50.13,12322400,0.0,0
2019-06-18,50.5,50.55,49.79,49.9,9221100,0.0,0
2019-06-19,49.8,50.49,49.73,50.37,9414100,0.0,0
2019-06-20,50.75,51.03,50.6,50.9,10656600,0.0,0
2019-06-21,50.78,51.13,50.66,50.8,21264400,0.0,0
2019-06-24,50.98,51.44,50.94,51.16,10780000,0.0,0
2019-06-25,51.24,51.34,50.89,51.0,11519900,0.0,0
2019-06-26,50.77,50.89,50.34,50.37,12405100,0.0,0
2019-06-27,50.54,50.65,50.22,50.33,12374900,0.0,0
2019-06-28,50.52,50.65,49.78,50.18,16339900,0.0,0
2019-07-01,50.32,50.88,50.04,50.85,14976400,0.0,0
2019-07-02,51.02,51.29,50.8,51.22,8569200,0.0,0
2019-07-03,51.24,51.57,51.24,51.34,7253700,0.0,0
2019-07-05,51.13,51.36,50.73,51.35,8916300,0.0,0
2019-07-08,51.44,51.57,51.13,51.24,9495100,0.0,0
2019-07-09,50.96,51.21,50.68,50.84,10584900,0.0,0
2019-07-10,51.04,51.21,50.9,51.06,7620900,0.0,0
2019-07-11,51.23,51.3,50.9,51.28,10376500,0.0,0
2019-07-12,51.49,51.53,51.15,51.36,7347400,0.0,0
2019-07-15,51.52,51.53,51.11,51.37,5876100,0.0,0
2019-07-16,51.2,51.7,51.05,51.38,7132500,0.0,0
2019-07-17,51.46,51.5,51.25,51.42,8264200,0.0,0
2019-07-18,51.28,51.41,50.91,51.27,11912300,0.0,0
2019-07-19,51.38,51.39,50.62,50.64,10355500,0.0,0
2019-07-22,50.77,50.77,50.38,50.47,12090700,0.0,0
2019-07-23,52.47,53.84,51.99,53.54,33417900,0.0,0
2019-07-24,53.33,54.02,52.84,52.99,15633400,0.0,0
2019-07-25,52.85,53.01,51.95,52.29,19135000,0.0,0
2019-07-26,52.56,53.52,52.41,53.38,11451900,0.0,0
2019-07-29,53.38,53.51,53.11,53.2,12283900,0.0,0
2019-07-30,53.17,53.51,52.79,52.93,8127100,0.0,0
2019-07-31,52.73,52.73,51.28,51.86,16865500,0.0,0
2019-08-01,52.01,52.42,51.25,51.27,19527200,0.0,0
2019-08-02,51.15,51.96,51.15,51.57,13070100,0.0,0
2019-08-05,51.62,51.89,50.65,50.89,19986500,0.0,0
2019-08-06,51.11,51.99,50.86,51.51,19903100,0.0,0
2019-08-07,51.51,52.61,51.01,52.4,17937000,0.0,0
2019-08-08,52.43,52.99,52.08,52.91,10799000,0.0,0
2019-08-09,53.0,53.11,52.3,52.64,9260900,0.0,0
2019-08-12,52.5,52.66,52.22,52.42,4778600,0.0,0
2019-08-13,52.13,52.83,52.1,52.72,8581200,0.0,0
2019-08-14,52.56,53.18,52.2,52.22,17088900,0.0,0
2019-08-15,52.65,53.21,52.45,53.08,12393200,0.0,0
2019-08-16,53.19,53.69,53.16,53.61,14288700,0.0,0
2019-08-19,53.64,53.98,53.52,53.89,10936200,0.0,0
2019-08-20,53.82,53.88,53.05,53.09,8176700,0.0,0
2019-08-21,53.46,53.61,53.06,53.31,10886500,0.0,0
2019-08-22,53.33,53.84,53.31,53.69,7467900,0.0,0
2019-08-23,53.62,53.91,52.61,52.95,14160400,0.0,0
2019-08-26,53.21,53.74,52.94,53.74,9226900,0.0,0
2019-08-27,53.9,54.15,53.61,53.92,13537000,0.0,0
2019-08-28,53.86,54.34,53.62,54.3,10046400,0.0,0
2019-08-29,54.45,54.53,53.8,54.25,9262800,0.0,0
2019-08-30,54.35,54.41,54.01,54.24,8746700,0.0,0
2019-09-03,54.18,54.52,54.07,54.49,12991400,0.0,0
2019-09-04,54.54,55.1,54.49,54.95,10718100,0.0,0
2019-09-05,54.94,54.95,54.23,54.31,13677000,0.0,0
2019-09-06,54.63,54.63,53.96,54.42,9093500,0.0,0
2019-09-09,54.23,54.27,53.57,53.72,10814900,0.0,0
2019-09-10,53.44,53.64,53.06,53.6,12038200,0.0,0
2019-09-11,53.5,54.0,53.18,53.97,9740400,0.0,0
2019-09-12,54.29,54.5,54.18,54.3,12357900,0.0,0
2019-09-13,54.08,54.38,53.67,53.86,11486100,0.4,0
2019-09-16,53.7,53.94,53.23,53.56,11172000,0.0,0
2019-09-17,53.7,54.29,53.56,53.84,11347400,0.0,0
2019-09-18,53.8,53.89,53.42,53.83,9700400,0.0,0
2019-09-19,53.83,54.2,53.73,54.12,7560300,0.0,0
2019-09-20,54.28,54.28,53.5,53.51,19211500,0.0,0
2019-09-23,53.51,53.96,53.48,53.74,6485300,0.0,0
2019-09-24,53.85,54.21,53.64,53.9,10093000,0.0,0
2019-09-25,54.04,54.08,53.6,53.77,10248400,0.0,0
2019-09-26,54.07,54.18,53.73,53.99,10031200,0.0,0
