Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,5.13,5.2,5.04,5.12,1556700,0.0,0
2019-02-06,4.95,5.15,4.9,5.09,3998700,0.0,0
2019-02-07,5.05,5.09,4.95,4.97,2736700,0.0,0
2019-02-08,4.9,5.03,4.9,4.96,4297300,0.0,0
2019-02-11,4.91,5.16,4.85,5.12,2480500,0.0,0
2019-02-12,5.2,5.4,5.19,5.32,3714400,0.0,0
2019-02-13,5.35,5.51,5.31,5.36,3497500,0.0,0
2019-02-14,5.34,5.68,5.34,5.6,2102900,0.0,0
2019-02-15,5.65,5.8,5.58,5.77,2374400,0.0,0
2019-02-19,5.63,5.75,5.45,5.46,4280500,0.0,0
2019-02-20,5.45,5.68,5.45,5.65,4400700,0.0,0
2019-02-21,5.61,5.65,5.48,5.53,3174800,0.0,0
2019-02-22,5.57,5.67,5.53,5.63,3720800,0.0,0
2019-02-25,5.68,6.35,5.67,6.18,6943400,0.0,0
2019-02-26,6.19,6.45,6.08,6.32,6295000,0.0,0
2019-02-27,6.38,6.87,6.35,6.58,8839700,0.0,0
2019-02-28,6.49,6.49,5.94,6.22,18582000,0.0,0
2019-03-01,6.27,6.46,6.19,6.23,5981200,0.0,0
2019-03-04,6.26,6.38,6.17,6.24,4066700,0.0,0
2019-03-05,6.27,6.34,6.11,6.17,2775200,0.0,0
2019-03-06,6.16,6.22,6.04,6.09,4806800,0.0452,0
2019-03-07,6.1,6.1,5.86,5.96,3694900,0.0,0
2019-03-08,5.82,5.94,5.65,5.67,4937700,0.0,0
2019-03-11,5.74,6.01,5.71,5.97,3760100,0.0,0
2019-03-12,6.12,6.14,5.91,6.04,3111600,0.0,0
2019-03-13,6.1,6.19,5.99,6.04,3733200,0.0,0
2019-03-14,6.05,6.18,6.0,6.02,2865700,0.0,0
2019-03-15,5.96,6.07,5.8,5.8,7242400,0.0,0
2019-03-18,5.84,5.99,5.83,5.87,4413500,0.0,0
2019-03-19,5.92,5.97,5.77,5.82,3798200,0.0,0
2019-03-20,5.8,5.96,5.73,5.89,4612800,0.0,0
2019-03-21,5.9,6.02,5.83,6.02,3271200,0.0,0
2019-03-22,5.96,5.98,5.6,5.72,4367900,0.0,0
2019-03-25,5.67,5.77,5.6,5.73,2290500,0.0,0
2019-03-26,5.89,6.0,5.87,5.99,6318600,0.0,0
2019-03-27,5.97,6.05,5.75,5.78,3945700,0.0,0
2019-03-28,5.71,5.9,5.69,5.84,2995900,0.0,0
2019-03-29,5.91,6.13,5.91,6.09,7586400,0.0,0
2019-04-01,6.2,6.36,6.1,6.33,5154100,0.0,0
2019-04-02,6.34,6.49,6.3,6.45,5945300,0.0,0
2019-04-03,6.46,6.55,6.29,6.3,5631400,0.0,0
2019-04-04,6.33,6.49,6.26,6.45,5227900,0.0,0
