Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,27.4,27.78,27.32,27.65,6587400,0.0,0
2019-02-06,27.68,27.81,27.38,27.64,4837500,0.0,0
2019-02-07,27.56,27.59,27.39,27.53,4115700,0.0,0
2019-02-08,27.48,27.59,26.98,27.19,4411800,0.0,0
2019-02-11,27.14,27.17,26.89,26.92,5061700,0.0,0
2019-02-12,27.23,28.14,27.17,27.92,8450900,0.0,0
2019-02-13,28.2,28.4,28.1,28.29,6533400,0.0,0
2019-02-14,28.21,28.91,28.17,28.43,7282500,0.14,0
2019-02-15,28.67,28.97,28.59,28.96,5059000,0.0,0
2019-02-19,29.05,29.18,28.96,29.01,3679200,0.0,0
2019-02-20,28.89,28.9,27.9,28.23,8916200,0.0,0
2019-02-21,28.23,28.48,27.96,28.06,4976900,0.0,0
2019-02-22,27.95,28.16,27.77,28.0,5496100,0.0,0
2019-02-25,28.14,28.5,28.05,28.32,5437000,0.0,0
2019-02-26,28.4,28.5,28.13,28.39,5244500,0.0,0
2019-02-27,28.42,29.27,28.34,29.26,10557800,0.0,0
2019-02-28,29.19,29.42,28.5,28.79,10246200,0.0,0
2019-03-01,28.91,29.35,26.94,27.51,19034900,0.0,0
2019-03-04,27.59,28.23,27.56,28.12,7943200,0.0,0
2019-03-05,28.13,28.48,28.02,28.39,8544100,0.0,0
2019-03-06,28.37,28.55,27.82,27.92,11784500,0.0,0
2019-03-07,24.49,25.64,24.0,25.14,45424700,0.0,0
2019-03-08,25.14,25.21,23.9,24.02,19717800,0.0,0
2019-03-11,24.1,24.24,23.8,24.22,15712100,0.0,0
2019-03-12,24.32,24.36,23.54,24.03,15447200,0.0,0
2019-03-13,24.11,24.51,24.06,24.28,8167700,0.0,0
2019-03-14,24.35,24.52,24.2,24.3,8713900,0.0,0
2019-03-15,24.24,24.36,23.75,23.92,12911200,0.0,0
2019-03-18,23.84,24.16,23.77,24.1,7227900,0.0,0
2019-03-19,24.13,24.2,23.82,23.89,10318300,0.0,0
2019-03-20,23.82,23.84,23.47,23.55,7094700,0.0,0
2019-03-21,23.41,23.92,23.09,23.88,5857200,0.0,0
2019-03-22,23.93,24.21,23.71,23.9,6415100,0.0,0
2019-03-25,23.86,23.93,23.6,23.71,5714300,0.0,0
2019-03-26,23.79,24.04,23.75,24.02,4715700,0.0,0
2019-03-27,23.95,24.0,23.65,23.83,7728900,0.0,0
2019-03-28,23.88,24.12,23.79,23.99,6573900,0.0,0
2019-03-29,24.09,24.25,23.9,24.15,7094000,0.0,0
2019-04-01,24.28,24.43,23.84,24.03,10620100,0.0,0
2019-04-02,23.86,23.93,23.28,23.33,10286000,0.0,0
