Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,39.51,39.76,36.49,37.76,1769900,0.0,0
2019-02-06,37.81,37.98,36.61,36.98,894100,0.0,0
2019-02-07,36.75,37.16,36.34,36.97,864400,0.0,0
2019-02-08,36.66,36.95,35.96,36.8,441800,0.0,0
2019-02-11,36.74,37.1,36.66,36.95,403400,0.0,0
2019-02-12,37.22,37.45,36.9,37.14,664600,0.0,0
2019-02-13,37.41,37.88,36.39,36.71,1600900,0.0,0
2019-02-14,36.31,36.34,35.24,35.3,1791600,0.44,0
2019-02-15,35.64,35.89,34.96,35.37,2258600,0.0,0
2019-02-19,35.15,35.63,34.91,35.63,1348700,0.0,0
2019-02-20,35.51,35.63,35.33,35.49,771700,0.0,0
2019-02-21,35.49,35.54,35.12,35.13,709900,0.0,0
2019-02-22,35.19,35.42,35.07,35.15,1497800,0.0,0
2019-02-25,35.35,35.85,35.33,35.67,1855200,0.0,0
2019-02-26,35.56,36.57,35.56,35.89,770200,0.0,0
2019-02-27,35.96,36.23,35.4,35.88,784900,0.0,0
2019-02-28,35.98,36.2,35.55,36.05,1112500,0.0,0
2019-03-01,36.34,36.97,36.34,36.83,1004700,0.0,0
2019-03-04,36.99,37.3,35.98,36.33,1162700,0.0,0
2019-03-05,36.37,36.6,35.63,36.08,634200,0.0,0
2019-03-06,35.97,36.12,35.11,35.14,646400,0.0,0
2019-03-07,34.85,34.85,33.96,34.02,1180900,0.0,0
2019-03-08,33.71,34.48,33.5,34.45,802900,0.0,0
2019-03-11,34.71,35.04,34.22,34.91,926500,0.0,0
2019-03-12,35.11,35.29,34.61,35.12,1081700,0.0,0
2019-03-13,35.3,35.51,35.03,35.2,1315200,0.0,0
2019-03-14,34.96,35.24,34.17,34.72,2028100,0.0,0
2019-03-15,34.62,34.98,34.5,34.78,3441500,0.0,0
2019-03-18,35.02,36.17,34.87,36.07,1386500,0.0,0
2019-03-19,36.35,36.67,36.03,36.1,1078600,0.0,0
2019-03-20,35.97,36.07,35.22,35.47,756100,0.0,0
2019-03-21,35.33,36.24,35.11,35.94,822300,0.0,0
2019-03-22,35.59,35.59,34.21,34.59,2180200,0.0,0
2019-03-25,34.66,35.4,34.46,35.04,988300,0.0,0
2019-03-26,35.34,35.44,34.67,34.84,963700,0.0,0
2019-03-27,34.84,35.24,34.45,34.56,902000,0.0,0
2019-03-28,34.43,34.85,34.32,34.63,657100,0.0,0
2019-03-29,34.89,35.16,34.61,34.81,1062400,0.0,0
2019-04-01,35.2,36.26,35.17,35.89,1098600,0.0,0
2019-04-02,35.79,36.28,35.63,35.99,815000,0.0,0
2019-04-03,35.96,36.4,35.84,36.05,1034200,0.0,0
2019-04-04,35.93,36.83,35.89,36.79,822700,0.0,0
2019-04-05,36.87,36.99,36.33,36.62,1132800,0.0,0
2019-04-08,36.42,36.54,36.19,36.36,899300,0.0,0
2019-04-09,36.12,36.33,35.63,35.72,800000,0.0,0
2019-04-10,35.89,36.4,35.7,36.19,745100,0.0,0
2019-04-11,35.82,36.46,35.82,36.42,1248800,0.0,0
2019-04-12,36.82,37.43,36.72,37.21,776700,0.0,0
2019-04-15,37.27,37.47,36.51,36.71,862800,0.0,0
2019-04-16,36.74,36.98,36.59,36.8,521900,0.0,0
2019-04-17,36.84,36.98,36.49,36.64,561500,0.0,0
2019-04-18,36.69,36.88,36.31,36.39,604200,0.0,0
2019-04-22,36.19,36.26,35.27,35.59,635700,0.0,0
2019-04-23,35.59,35.89,34.99,35.87,1322700,0.0,0
2019-04-24,35.84,36.34,35.39,36.2,1330900,0.0,0
2019-04-25,37.56,39.39,37.16,39.01,1950300,0.0,0
2019-04-26,38.68,38.79,37.63,37.97,984000,0.0,0
2019-04-29,37.81,38.01,37.09,37.2,1079000,0.0,0
2019-04-30,36.99,37.67,36.59,37.45,1439900,0.0,0
2019-05-01,37.54,37.66,37.0,37.18,728000,0.0,0
2019-05-02,37.18,37.43,36.68,36.77,996300,0.0,0
2019-05-03,36.86,37.74,36.76,37.72,903400,0.47,0
2019-05-06,36.92,37.58,36.87,37.25,488700,0.0,0
2019-05-07,36.68,37.46,36.6,36.93,900700,0.0,0
2019-05-08,36.78,37.12,36.77,37.05,433100,0.0,0
2019-05-09,36.65,37.02,36.37,36.97,692400,0.0,0
2019-05-10,36.51,36.66,35.86,36.13,1116900,0.0,0
2019-05-13,35.48,35.48,33.59,34.07,941200,0.0,0
2019-05-14,34.22,34.79,34.18,34.55,941900,0.0,0
2019-05-15,34.2,34.26,33.66,34.18,777400,0.0,0
2019-05-16,34.25,34.76,34.2,34.46,622200,0.0,0
2019-05-17,34.33,34.57,33.76,33.82,445300,0.0,0
2019-05-20,33.71,34.08,33.5,33.68,1114000,0.0,0
2019-05-21,33.97,34.38,33.89,33.98,1349700,0.0,0
2019-05-22,33.87,34.0,33.21,33.3,822500,0.0,0
2019-05-23,33.0,33.14,31.89,32.0,1337100,0.0,0
2019-05-24,32.32,32.86,32.32,32.44,1242200,0.0,0
2019-05-28,32.33,32.57,31.49,31.56,956000,0.0,0
2019-05-29,31.19,31.49,30.84,31.36,795900,0.0,0
2019-05-30,31.34,31.9,31.06,31.16,537600,0.0,0
2019-05-31,30.69,31.07,30.3,30.38,1596500,0.0,0
