Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,25.64,25.81,25.02,25.53,3589400,0.0,0
2019-02-06,25.62,25.8,25.16,25.59,3916400,0.0,0
2019-02-07,25.24,25.5,24.85,25.4,4156400,0.0,0
2019-02-08,25.19,25.27,24.7,24.92,3015300,0.0,0
2019-02-11,24.92,25.66,24.76,25.59,2899100,0.0,0
2019-02-12,25.7,26.37,25.49,25.79,2271500,0.0,0
2019-02-13,25.9,26.07,25.3,25.88,2666900,0.0,0
2019-02-14,25.63,26.13,25.14,25.73,2725600,0.0,0
2019-02-15,25.92,26.16,25.71,25.79,2933000,0.0,0
2019-02-19,25.75,25.96,25.21,25.94,3324000,0.0,0
2019-02-20,25.89,26.25,25.8,25.93,2988000,0.0,0
2019-02-21,25.99,26.02,25.34,25.52,3069100,0.3,0
2019-02-22,25.58,25.81,25.14,25.81,3882500,0.0,0
2019-02-25,25.8,26.68,25.8,26.39,4628500,0.0,0
2019-02-26,26.31,26.51,25.95,26.21,3036400,0.0,0
2019-02-27,26.24,26.37,25.99,26.14,5855500,0.0,0
2019-02-28,24.61,25.26,23.63,24.93,15074300,0.0,0
2019-03-01,26.52,27.43,26.12,26.23,11528300,0.0,0
2019-03-04,26.33,26.48,25.33,25.57,6184000,0.0,0
2019-03-05,26.49,27.03,25.42,25.69,5745400,0.0,0
2019-03-06,25.76,26.36,25.24,25.33,3782200,0.0,0
2019-03-07,25.13,25.44,24.73,25.08,5987100,0.0,0
2019-03-08,24.79,24.85,24.37,24.69,3948200,0.0,0
2019-03-11,24.74,25.12,24.51,25.03,3797900,0.0,0
2019-03-12,24.99,25.22,24.68,25.06,3108100,0.0,0
2019-03-13,25.11,26.0,24.98,25.83,4012500,0.0,0
2019-03-14,25.75,25.75,24.86,25.02,4567500,0.0,0
2019-03-15,25.14,25.52,24.8,25.35,8301900,0.0,0
2019-03-18,25.49,26.25,25.35,26.18,3349100,0.0,0
2019-03-19,26.25,27.16,26.12,26.88,4995700,0.0,0
2019-03-20,26.66,26.8,26.14,26.28,4239000,0.0,0
2019-03-21,26.31,26.79,26.12,26.6,3756100,0.0,0
2019-03-22,26.52,26.56,25.34,25.44,3854500,0.0,0
2019-03-25,25.4,26.12,25.25,26.11,5429700,0.0,0
2019-03-26,26.55,26.92,26.22,26.64,4845200,0.0,0
2019-03-27,26.7,27.38,26.6,27.15,6039400,0.0,0
2019-03-28,27.38,27.68,26.57,26.65,3680400,0.0,0
2019-03-29,26.9,26.9,26.18,26.31,4913300,0.0,0
2019-04-01,26.54,26.54,25.81,25.95,4988400,0.0,0
2019-04-02,26.0,26.25,25.71,25.77,5242000,0.0,0
2019-04-03,26.0,26.36,25.63,25.73,3765500,0.0,0
2019-04-04,25.78,26.76,25.76,26.44,4979600,0.0,0
2019-04-05,26.5,26.66,26.08,26.19,3206500,0.0,0
2019-04-08,26.09,26.48,26.09,26.21,3022600,0.0,0
2019-04-09,26.15,26.28,25.71,25.75,3095100,0.0,0
2019-04-10,25.86,26.22,25.57,25.94,2738000,0.0,0
2019-04-11,26.05,26.26,25.34,25.35,3386500,0.0,0
2019-04-12,25.47,25.63,24.39,24.64,5362300,0.0,0
2019-04-15,24.58,24.89,24.05,24.07,4082900,0.0,0
2019-04-16,24.14,24.5,23.92,24.48,4082400,0.0,0
2019-04-17,24.6,25.04,24.45,24.48,3893000,0.0,0
2019-04-18,24.47,24.79,24.28,24.49,3273000,0.0,0
2019-04-22,24.58,24.79,23.59,23.71,4490300,0.0,0
2019-04-23,24.07,24.43,23.91,24.14,7746000,0.0,0
2019-04-24,24.26,25.04,24.06,24.92,5469700,0.0,0
2019-04-25,24.86,25.02,24.44,24.7,2990500,0.0,0
2019-04-26,24.69,25.14,24.48,24.96,2658700,0.0,0
2019-04-29,24.96,25.22,24.58,24.62,2940800,0.0,0
2019-04-30,24.66,24.67,24.08,24.46,3803400,0.0,0
2019-05-01,24.48,24.57,23.76,23.77,3291600,0.0,0
2019-05-02,23.84,24.32,23.61,24.29,3950400,0.0,0
2019-05-03,24.57,25.0,24.36,24.72,3231100,0.0,0
2019-05-06,24.33,24.56,23.97,24.46,2790100,0.0,0
2019-05-07,24.23,24.28,23.08,23.22,5109200,0.0,0
2019-05-08,23.12,23.68,22.98,23.25,4313200,0.0,0
2019-05-09,22.99,23.17,22.59,23.13,3052000,0.0,0
2019-05-10,22.99,23.08,22.08,22.83,4717000,0.0,0
2019-05-13,22.17,22.18,21.13,21.39,6148500,0.0,0
2019-05-14,21.45,21.74,21.01,21.47,4740600,0.0,0
2019-05-15,21.23,21.56,20.81,21.42,4090600,0.0,0
2019-05-16,21.49,21.85,21.27,21.32,4638000,0.0,0
2019-05-17,21.02,21.66,20.89,21.4,3657000,0.0,0
2019-05-20,21.2,21.32,20.7,21.28,3983900,0.0,0
2019-05-21,21.29,21.7,21.07,21.63,3450900,0.0,0
2019-05-22,21.38,21.47,20.48,20.51,8742000,0.0,0
2019-05-23,21.96,23.92,21.1,23.14,21839000,0.0,0
2019-05-24,23.38,23.91,23.04,23.69,6241800,0.0,0
2019-05-28,23.79,23.86,23.16,23.24,4081600,0.0,0
2019-05-29,23.13,23.13,21.33,21.59,8603000,0.0,0
2019-05-30,21.79,22.42,21.69,22.13,4855800,0.3,0
2019-05-31,21.7,21.83,21.29,21.71,5110500,0.0,0
2019-06-03,21.55,22.19,21.55,22.02,5025600,0.0,0
2019-06-04,22.33,23.26,22.33,23.23,4380700,0.0,0
2019-06-05,23.62,24.03,22.68,22.9,5745100,0.0,0
2019-06-06,22.75,22.84,21.79,21.95,5906600,0.0,0
2019-06-07,22.16,22.28,21.88,21.94,4001300,0.0,0
2019-06-10,22.07,22.08,20.73,21.09,7350500,0.0,0
2019-06-11,21.26,21.8,21.22,21.44,5495400,0.0,0
2019-06-12,21.44,21.53,21.03,21.11,2759400,0.0,0
2019-06-13,20.91,21.66,20.8,21.47,3896600,0.0,0
2019-06-14,21.5,21.89,21.14,21.76,5476000,0.0,0
2019-06-17,21.75,22.36,21.67,21.78,4353900,0.0,0
2019-06-18,21.88,22.66,21.83,22.1,5153500,0.0,0
2019-06-19,22.19,22.65,21.82,22.5,5143100,0.0,0
2019-06-20,22.77,23.22,22.6,23.12,5301100,0.0,0
2019-06-21,23.11,23.93,23.0,23.77,6480700,0.0,0
2019-06-24,23.76,24.12,23.45,23.65,4331200,0.0,0
2019-06-25,23.62,23.88,23.04,23.16,4588300,0.0,0
2019-06-26,23.24,24.02,23.09,23.97,4848000,0.0,0
2019-06-27,24.11,25.64,23.93,25.44,9312000,0.0,0
2019-06-28,25.38,25.82,25.15,25.23,7267700,0.0,0
2019-07-01,25.65,26.37,25.35,25.72,5718200,0.0,0
2019-07-02,25.65,25.91,25.23,25.32,3772600,0.0,0
2019-07-03,25.51,26.4,25.41,26.38,2152100,0.0,0
2019-07-05,26.29,26.95,26.21,26.86,4316800,0.0,0
2019-07-08,26.8,27.09,26.4,26.63,4348400,0.0,0
2019-07-09,26.44,26.59,25.42,25.52,5566100,0.0,0
2019-07-10,25.71,25.8,24.78,24.92,5606400,0.0,0
2019-07-11,25.36,25.5,24.11,24.62,7266800,0.0,0
2019-07-12,24.54,25.63,24.49,25.62,4275800,0.0,0
2019-07-15,25.34,26.05,25.13,25.81,4901500,0.0,0
2019-07-16,25.71,26.0,25.52,25.53,3388100,0.0,0
2019-07-17,25.54,25.64,25.06,25.51,6144800,0.0,0
2019-07-18,25.43,25.6,25.07,25.49,3448800,0.0,0
2019-07-19,25.65,25.67,24.88,24.98,3894400,0.0,0
2019-07-22,25.01,25.22,24.09,24.26,3138200,0.0,0
2019-07-23,24.32,24.55,23.82,24.43,4187500,0.0,0
2019-07-24,24.39,25.14,24.38,24.99,2962500,0.0,0
2019-07-25,24.85,25.34,24.83,25.34,2327500,0.0,0
2019-07-26,25.25,25.72,24.95,25.52,2415600,0.0,0
2019-07-29,25.52,25.74,24.9,25.29,3886300,0.0,0
2019-07-30,25.16,25.16,24.28,24.89,2939500,0.0,0
2019-07-31,24.8,25.32,24.71,25.08,4695000,0.0,0
2019-08-01,25.13,25.35,23.32,23.5,4969700,0.0,0
2019-08-02,23.93,23.93,23.3,23.35,4000800,0.0,0
2019-08-05,23.04,23.1,22.46,22.98,4856400,0.0,0
