Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,87.36,88.66,86.64,88.57,637600,0,0
2019-02-06,88.4,89.49,87.81,89.13,552200,0,0
2019-02-07,88.62,89.13,87.56,89.06,567900,0,0
2019-02-08,88.3,88.83,87.61,88.58,584800,0,0
2019-02-11,88.48,88.58,86.27,86.45,903800,0,0
2019-02-12,87.34,88.11,86.3,87.32,831500,0,0
2019-02-13,87.7,87.94,86.32,86.89,512300,0,0
2019-02-14,86.58,87.8,86.07,87.72,421100,0,0
2019-02-15,88.0,89.21,87.74,89.05,474500,0,0
2019-02-19,89.16,89.41,88.51,88.69,288800,0,0
2019-02-20,88.54,89.72,88.47,89.37,337100,0,0
2019-02-21,89.21,89.68,87.53,89.45,433600,0,0
2019-02-22,89.78,90.21,89.43,90.08,471000,0,0
2019-02-25,89.65,90.5,89.39,89.46,514600,0,0
2019-02-26,89.11,89.55,88.65,89.31,502300,0,0
2019-02-27,89.1,89.6,88.45,89.27,327300,0,0
2019-02-28,89.32,89.76,89.13,89.5,557400,0,0
2019-03-01,90.13,90.15,89.44,89.88,648100,0,0
2019-03-04,90.4,91.01,89.74,90.49,998500,0,0
2019-03-05,90.49,90.95,89.23,89.27,604900,0,0
2019-03-06,89.24,89.76,88.7,88.99,440100,0,0
2019-03-07,88.67,89.4,88.22,88.45,483000,0,0
2019-03-08,87.38,88.2,87.38,88.1,503500,0,0
2019-03-11,87.93,89.79,87.93,89.6,558200,0,0
2019-03-12,89.95,90.16,88.99,89.97,462300,0,0
2019-03-13,90.54,91.75,90.21,90.81,1282000,0,0
2019-03-14,90.58,92.18,90.46,91.66,1188400,0,0
2019-03-15,91.98,92.77,91.38,92.39,1180600,0,0
2019-03-18,92.37,93.24,92.27,93.03,984300,0,0
2019-03-19,93.3,94.64,93.27,93.47,1005600,0,0
2019-03-20,93.68,94.1,92.68,93.28,609900,0,0
2019-03-21,93.01,94.55,92.96,94.34,452700,0,0
2019-03-22,94.14,94.18,92.64,92.81,426200,0,0
2019-03-25,92.83,92.83,91.73,92.22,437100,0,0
2019-03-26,92.86,92.86,92.14,92.65,600200,0,0
2019-03-27,92.81,93.42,92.45,92.85,495800,0,0
2019-03-28,92.77,93.21,92.37,92.78,340500,0,0
2019-03-29,92.99,92.99,91.4,91.74,533900,0,0
2019-04-01,92.4,92.65,91.7,92.3,496400,0,0
2019-04-02,92.39,92.77,91.76,92.68,432000,0,0
2019-04-03,92.96,93.15,91.58,92.05,641000,0,0
2019-04-04,92.26,92.5,91.33,91.98,501100,0,0
2019-04-05,92.21,93.24,92.21,93.21,591600,0,0
2019-04-08,93.23,93.5,92.71,93.41,529000,0,0
2019-04-09,92.83,93.69,92.83,93.58,628800,0,0
2019-04-10,93.46,94.3,93.05,94.25,348900,0,0
2019-04-11,94.59,94.72,94.0,94.63,350900,0,0
2019-04-12,95.16,95.19,94.38,94.95,302500,0,0
2019-04-15,94.68,95.25,94.48,94.73,513800,0,0
2019-04-16,94.93,95.54,94.5,95.45,259100,0,0
2019-04-17,95.6,95.96,95.43,95.9,381600,0,0
2019-04-18,96.25,96.7,94.88,95.92,454300,0,0
2019-04-22,95.17,95.89,94.87,95.06,466200,0,0
2019-04-23,95.36,96.32,95.06,95.98,687000,0,0
2019-04-24,95.63,97.41,95.0,96.36,477700,0,0
2019-04-25,96.31,97.79,96.31,97.35,394500,0,0
2019-04-26,97.42,98.34,97.22,98.3,301100,0,0
2019-04-29,98.04,98.7,98.04,98.61,329000,0,0
2019-04-30,98.41,99.32,98.02,98.71,635200,0,0
2019-05-01,99.0,100.36,98.55,98.56,363500,0,0
2019-05-02,98.92,98.92,94.41,98.39,462300,0,0
2019-05-03,98.35,100.01,98.09,100.01,463500,0,0
2019-05-06,98.53,99.67,98.53,99.48,311900,0,0
2019-05-07,98.62,99.76,98.25,99.71,695200,0,0
2019-05-08,99.7,99.93,98.87,98.99,519300,0,0
2019-05-09,98.4,99.31,97.64,99.22,388000,0,0
2019-05-10,99.26,100.0,97.77,99.96,408700,0,0
2019-05-13,98.39,99.22,96.25,97.2,346800,0,0
2019-05-14,97.33,98.86,96.65,97.65,399400,0,0
2019-05-15,97.4,98.9,96.45,98.82,450300,0,0
2019-05-16,99.01,100.86,99.01,100.43,608800,0,0
2019-05-17,99.82,101.84,99.82,101.66,568200,0,0
2019-05-20,100.87,100.93,98.8,99.18,348800,0,0
2019-05-21,99.5,100.66,99.5,99.98,543400,0,0
2019-05-22,99.72,100.22,99.49,100.02,502100,0,0
2019-05-23,99.5,99.74,98.56,99.27,344600,0,0
2019-05-24,99.7,100.33,99.28,99.48,633600,0,0
2019-05-28,99.08,100.35,99.08,99.69,1402700,0,0
2019-05-29,99.03,99.21,97.97,98.25,521200,0,0
2019-05-30,98.4,99.49,97.79,98.88,303900,0,0
2019-05-31,98.19,98.7,97.5,98.15,579000,0,0
2019-06-03,98.23,98.85,97.37,97.64,539400,0,0
2019-06-04,98.31,100.54,97.99,99.79,670600,0,0
2019-06-05,100.12,100.29,99.04,99.83,642200,0,0
2019-06-06,99.85,101.2,99.65,101.06,968000,0,0
2019-06-07,101.15,102.92,101.15,102.22,397700,0,0
2019-06-10,102.42,103.17,102.17,102.39,322500,0,0
2019-06-11,102.81,103.04,100.85,101.4,393600,0,0
2019-06-12,101.28,101.59,100.13,100.22,534200,0,0
2019-06-13,100.76,100.76,99.71,100.1,325700,0,0
2019-06-14,100.39,101.52,99.37,100.59,267400,0,0
2019-06-17,100.94,102.01,100.29,101.52,545200,0,0
2019-06-18,102.35,102.99,101.98,102.15,369600,0,0
2019-06-19,102.03,103.16,101.86,103.0,444600,0,0
2019-06-20,103.88,104.05,102.87,103.79,503200,0,0
2019-06-21,104.06,104.32,102.21,104.07,815200,0,0
2019-06-24,104.3,104.6,102.87,102.94,440900,0,0
2019-06-25,102.82,102.82,101.18,101.65,738500,0,0
2019-06-26,101.98,102.34,100.63,100.94,514700,0,0
2019-06-27,101.46,102.83,100.68,102.75,591100,0,0
2019-06-28,103.14,104.25,102.12,104.22,854800,0,0
2019-07-01,105.16,105.46,104.25,105.3,521900,0,0
2019-07-02,105.39,105.86,104.75,105.4,441600,0,0
2019-07-03,105.69,106.45,105.55,106.04,144600,0,0
2019-07-05,105.58,106.63,103.32,106.63,177900,0,0
2019-07-08,106.33,106.42,103.3,105.72,378200,0,0
2019-07-09,105.59,106.83,105.36,106.59,480200,0,0
2019-07-10,106.57,107.58,106.57,107.2,666900,0,0
2019-07-11,107.63,108.4,107.18,107.75,494600,0,0
2019-07-12,107.89,108.79,107.44,108.49,589300,0,0
2019-07-15,108.5,108.61,107.68,108.02,631600,0,0
2019-07-16,107.57,108.7,107.57,107.95,502800,0,0
2019-07-17,108.44,108.57,106.93,107.18,483000,0,0
2019-07-18,106.0,107.59,105.78,107.42,574900,0,0
2019-07-19,107.69,107.98,105.67,105.71,609300,0,0
2019-07-22,106.09,106.24,104.83,104.98,499300,0,0
2019-07-23,105.37,105.38,104.22,104.99,484600,0,0
2019-07-24,105.03,105.73,104.53,105.49,490200,0,0
2019-07-25,105.52,106.3,104.83,105.21,441200,0,0
2019-07-26,99.98,102.62,98.96,102.37,736900,0,0
2019-07-29,102.5,102.5,100.87,101.17,467500,0,0
2019-07-30,100.65,102.27,100.65,101.49,513300,0,0
2019-07-31,100.97,101.18,98.82,99.51,680000,0,0
2019-08-01,99.57,101.87,99.38,99.48,638800,0,0
2019-08-02,98.95,104.94,98.01,99.17,376600,0,0
2019-08-05,97.99,98.24,96.44,97.7,424000,0,0
2019-08-06,98.56,99.87,96.46,99.3,778000,0,0
2019-08-07,98.32,98.6,96.89,98.47,663600,0,0
2019-08-08,99.29,100.89,98.24,100.42,581800,0,0
2019-08-09,100.21,100.46,98.64,99.62,398200,0,0
2019-08-12,99.27,99.56,98.2,98.89,385600,0,0
2019-08-13,98.55,100.54,98.25,99.43,324600,0,0
2019-08-14,98.27,98.79,97.71,98.09,323700,0,0
2019-08-15,98.81,99.13,97.97,98.89,332700,0,0
2019-08-16,99.08,100.32,99.08,99.94,348000,0,0
2019-08-19,100.99,101.94,100.8,101.26,407500,0,0
2019-08-20,101.25,102.16,100.82,101.65,293900,0,0
2019-08-21,102.53,102.53,101.33,101.67,296700,0,0
2019-08-22,101.9,101.9,100.43,101.39,286600,0,0
2019-08-23,101.2,101.94,99.35,99.52,466200,0,0
2019-08-26,100.58,102.7,100.08,102.29,372000,0,0
2019-08-27,102.65,103.18,102.09,102.15,404700,0,0
2019-08-28,102.06,103.19,101.51,102.86,366600,0,0
2019-08-29,103.68,105.1,103.51,104.65,372700,0,0
2019-08-30,105.29,105.96,104.69,105.44,365300,0,0
2019-09-03,104.9,105.72,104.29,105.05,493600,0,0
2019-09-04,105.96,107.4,105.96,107.27,405500,0,0
