Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,150.82,152.42,149.39,149.86,640100,0.0,0
2019-02-06,150.07,151.92,149.13,151.34,517800,0.0,0
2019-02-07,150.04,150.06,144.77,145.64,689700,0.0,0
2019-02-08,144.37,146.56,141.63,144.49,797100,0.0,0
2019-02-11,145.12,146.88,144.18,146.66,984300,0.0,0
2019-02-12,147.58,151.23,147.45,150.65,931900,0.0,0
2019-02-13,152.28,152.97,149.38,149.95,705600,0.0,0
2019-02-14,148.55,152.01,148.55,151.93,655700,0.0,0
2019-02-15,153.48,154.83,152.69,153.27,641300,0.0,0
2019-02-19,152.3,153.93,151.19,152.67,689300,0.0,0
2019-02-20,153.72,155.77,153.61,154.19,1014400,0.0,0
2019-02-21,153.55,155.23,151.13,151.54,637800,0.0,0
2019-02-22,151.96,153.44,151.13,151.93,614400,0.0,0
2019-02-25,152.97,153.55,150.33,150.54,806500,0.0,0
2019-02-26,150.45,152.03,150.29,150.73,652800,0.0,0
2019-02-27,150.51,151.34,148.55,150.44,625000,0.0,0
2019-02-28,150.1,150.6,148.29,149.19,672700,0.75,0
2019-03-01,150.29,152.26,147.97,149.79,719900,0.0,0
2019-03-04,150.35,150.96,147.79,149.13,440800,0.0,0
2019-03-05,149.45,149.62,147.24,148.43,506600,0.0,0
2019-03-06,148.87,149.69,144.48,144.6,450400,0.0,0
2019-03-07,144.12,144.31,141.69,143.24,715200,0.0,0
2019-03-08,141.84,143.75,141.29,142.27,600300,0.0,0
2019-03-11,142.27,145.52,141.87,144.42,517900,0.0,0
2019-03-12,144.65,145.44,143.18,143.29,568000,0.0,0
2019-03-13,143.79,144.76,141.69,141.77,640500,0.0,0
2019-03-14,141.1,142.29,137.57,137.88,709200,0.0,0
2019-03-15,138.72,140.24,138.29,139.49,942500,0.0,0
2019-03-18,139.94,140.54,137.8,139.04,632900,0.0,0
2019-03-19,136.86,139.3,135.83,136.12,903900,0.0,0
2019-03-20,135.14,135.31,131.53,132.53,1020500,0.0,0
2019-03-21,131.89,134.66,130.97,133.32,627800,0.0,0
2019-03-22,132.16,133.03,129.25,129.62,714100,0.0,0
2019-03-25,129.98,132.37,129.19,131.1,969700,0.0,0
2019-03-26,131.44,133.09,130.38,131.32,514200,0.0,0
