Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,85.99,86.65,84.72,86.3,276300,0.0,0
2019-02-06,86.28,86.7,85.99,86.14,199000,0.0,0
2019-02-07,85.67,85.95,84.5,85.54,376800,0.0,0
2019-02-08,85.11,86.25,84.36,85.32,234100,0.0,0
2019-02-11,85.49,86.16,84.77,85.63,293600,0.0,0
2019-02-12,86.33,88.28,86.33,88.04,295200,0.0,0
2019-02-13,88.24,89.22,87.85,88.25,339500,0.0,0
2019-02-14,86.46,86.62,83.33,85.39,1114200,0.0,0
2019-02-15,85.44,88.48,84.03,86.51,490300,0.0,0
2019-02-19,85.98,87.61,85.86,86.57,383600,0.0,0
2019-02-20,86.83,87.2,86.24,87.06,267500,0.0,0
2019-02-21,86.58,87.14,85.01,85.63,542200,0.0,0
2019-02-22,86.06,86.75,85.48,86.14,310500,0.0,0
2019-02-25,86.64,87.3,85.8,86.68,561200,0.0,0
2019-02-26,86.34,86.68,84.85,84.89,371100,0.0,0
2019-02-27,84.9,85.61,84.31,85.31,217000,0.0,0
2019-02-28,85.19,85.19,84.21,84.53,276400,0.0,0
2019-03-01,85.46,85.46,84.19,84.8,354600,0.0,0
2019-03-04,85.11,86.0,84.53,85.41,387500,0.0,0
2019-03-05,85.57,85.93,85.16,85.39,215500,0.0,0
2019-03-06,85.39,85.71,84.58,84.69,224500,0.0,0
2019-03-07,84.66,84.71,83.06,83.46,237800,0.0,0
2019-03-08,82.3,82.97,82.3,82.54,243100,0.0,0
2019-03-11,82.65,83.58,82.63,83.55,223700,0.0,0
2019-03-12,83.55,83.82,82.76,83.34,222800,0.0,0
2019-03-13,83.76,84.07,82.87,83.31,415200,0.0,0
2019-03-14,83.12,83.22,81.89,82.51,400200,0.0,0
2019-03-15,82.55,83.88,82.15,82.61,718800,0.0,0
2019-03-18,82.73,83.87,82.21,83.84,224700,0.0,0
2019-03-19,84.32,84.65,83.55,83.85,266500,0.0,0
2019-03-20,83.66,84.37,82.12,82.53,284100,0.0,0
2019-03-21,82.18,83.85,82.18,83.15,245500,0.0,0
2019-03-22,82.75,82.78,79.67,79.73,306700,0.0,0
2019-03-25,79.83,80.29,79.35,79.79,217200,0.0,0
2019-03-26,80.53,81.37,80.11,80.8,241900,0.0,0
2019-03-27,81.04,81.58,80.48,81.32,262600,0.0,0
2019-03-28,81.57,82.84,81.47,82.09,284500,0.47,0
2019-03-29,82.82,83.04,82.07,82.51,291100,0.0,0
2019-04-01,83.37,84.98,83.37,84.64,447400,0.0,0
2019-04-02,84.81,85.74,83.88,85.37,362000,0.0,0
2019-04-03,86.17,87.43,85.84,86.57,514200,0.0,0
2019-04-04,86.75,87.54,86.48,87.22,355700,0.0,0
2019-04-05,87.59,88.41,87.48,88.15,315900,0.0,0
2019-04-08,87.77,88.33,86.99,88.24,403100,0.0,0
2019-04-09,87.92,88.77,87.17,87.74,431800,0.0,0
2019-04-10,88.04,88.33,87.12,87.33,278100,0.0,0
2019-04-11,87.55,88.68,87.13,88.36,340900,0.0,0
2019-04-12,89.22,89.75,88.48,88.77,252800,0.0,0
2019-04-15,88.89,89.24,87.46,87.54,329600,0.0,0
2019-04-16,87.47,88.43,87.47,88.37,305400,0.0,0
2019-04-17,88.86,89.13,87.73,88.24,269500,0.0,0
2019-04-18,88.61,90.2,88.34,90.02,489000,0.0,0
2019-04-22,85.86,87.93,84.45,85.84,980200,0.0,0
2019-04-23,85.93,86.5,84.6,85.84,467900,0.0,0
2019-04-24,86.14,87.36,85.54,86.96,381800,0.0,0
2019-04-25,86.58,86.63,84.85,85.33,281800,0.0,0
2019-04-26,85.33,86.13,85.03,86.03,250700,0.0,0
