Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,41.23,44.18,40.19,43.26,3929100,0.0,0
2019-02-06,42.65,43.03,42.23,42.52,2127100,0.0,0
2019-02-07,42.25,42.41,41.69,42.2,1002100,0.0,0
2019-02-08,42.13,42.57,41.51,41.88,924600,0.0,0
2019-02-11,41.9,42.15,41.52,41.99,984200,0.0,0
2019-02-12,42.28,42.88,42.13,42.85,1102900,0.0,0
2019-02-13,42.92,43.05,42.3,42.64,880800,0.0,0
2019-02-14,42.42,43.07,42.19,42.78,1423700,0.0,0
2019-02-15,43.06,43.39,42.61,43.33,944400,0.0,0
2019-02-19,43.3,43.77,43.1,43.57,734300,0.0,0
2019-02-20,43.69,43.9,43.42,43.64,1636000,0.0,0
2019-02-21,43.65,44.08,43.48,43.97,839800,0.0,0
2019-02-22,44.15,44.33,43.86,44.23,616100,0.0,0
2019-02-25,44.34,44.82,44.33,44.41,1084400,0.0,0
2019-02-26,44.36,44.59,44.03,44.08,633800,0.0,0
2019-02-27,44.06,44.25,43.73,44.04,1359400,0.0,0
2019-02-28,43.95,44.02,43.59,43.78,843400,0.0,0
2019-03-01,44.18,44.37,43.66,44.32,896300,0.0,0
2019-03-04,44.39,44.51,43.78,44.32,769800,0.0,0
2019-03-05,44.05,44.35,43.93,43.97,896500,0.0,0
2019-03-06,43.88,44.07,43.35,43.43,922700,0.0,0
2019-03-07,43.44,43.44,42.58,42.72,943300,0.0,0
2019-03-08,42.49,42.99,42.28,42.73,1082800,0.0,0
2019-03-11,42.71,42.84,42.22,42.44,1419200,0.0,0
2019-03-12,42.44,42.6,41.77,42.4,986000,0.0,0
2019-03-13,42.42,42.45,41.85,42.07,1108300,0.0,0
2019-03-14,42.08,42.11,41.62,41.87,1263000,0.38,0
2019-03-15,41.81,42.26,41.65,41.81,2577700,0.0,0
2019-03-18,41.82,41.97,41.65,41.96,784100,0.0,0
2019-03-19,42.07,42.2,41.36,41.52,864200,0.0,0
2019-03-20,41.53,41.57,40.63,40.76,980400,0.0,0
2019-03-21,40.63,41.33,40.63,41.19,1062000,0.0,0
2019-03-22,40.94,41.03,39.61,39.65,1221800,0.0,0
2019-03-25,39.59,40.28,39.55,40.0,834200,0.0,0
2019-03-26,40.34,40.66,40.16,40.5,733600,0.0,0
2019-03-27,40.79,41.05,40.52,40.94,1363600,0.0,0
2019-03-28,41.1,41.26,40.73,41.12,1141500,0.0,0
2019-03-29,41.31,41.54,40.85,41.06,1025800,0.0,0
2019-04-01,41.29,41.51,41.05,41.44,676800,0.0,0
2019-04-02,41.49,41.59,41.17,41.3,496700,0.0,0
2019-04-03,41.6,41.68,41.3,41.42,705700,0.0,0
2019-04-04,41.37,41.83,41.33,41.73,831000,0.0,0
2019-04-05,41.98,42.52,41.87,42.36,1264200,0.0,0
2019-04-08,42.08,42.13,41.08,41.77,1422600,0.0,0
2019-04-09,41.57,41.58,41.04,41.15,914600,0.0,0
2019-04-10,41.45,41.8,41.37,41.79,881200,0.0,0
2019-04-11,41.79,42.1,41.78,42.02,875000,0.0,0
2019-04-12,42.31,42.48,41.8,42.06,718900,0.0,0
2019-04-15,41.99,42.27,41.88,42.01,814400,0.0,0
2019-04-16,42.25,42.55,41.86,42.53,783900,0.0,0
2019-04-17,42.66,42.68,42.03,42.11,541000,0.0,0
2019-04-18,41.97,42.4,41.87,42.08,770900,0.0,0
2019-04-22,41.94,42.15,41.51,41.66,835000,0.0,0
2019-04-23,41.96,42.3,41.58,41.79,1057300,0.0,0
2019-04-24,41.76,42.1,41.43,41.72,901900,0.0,0
2019-04-25,41.66,41.66,40.37,40.54,833900,0.0,0
2019-04-26,41.0,41.0,40.24,40.85,1065100,0.0,0
2019-04-29,40.81,40.87,40.36,40.47,1516200,0.0,0
2019-04-30,39.1,39.38,37.49,38.27,3580100,0.0,0
2019-05-01,38.55,39.08,37.83,38.44,2257900,0.0,0
2019-05-02,38.59,39.1,38.5,38.67,1242200,0.0,0
2019-05-03,38.87,39.3,38.72,39.21,936900,0.0,0
2019-05-06,38.61,39.05,38.46,38.99,1381900,0.0,0
2019-05-07,38.61,38.73,37.92,38.19,1239300,0.0,0
2019-05-08,38.21,38.34,37.76,37.81,1003200,0.0,0
2019-05-09,37.47,37.48,36.68,37.09,1117700,0.0,0
2019-05-10,37.08,37.44,36.36,37.39,983100,0.0,0
2019-05-13,36.74,36.74,35.77,36.04,1260300,0.0,0
2019-05-14,36.18,36.82,36.1,36.55,946800,0.0,0
2019-05-15,36.38,36.91,36.12,36.69,980500,0.0,0
2019-05-16,36.94,37.38,36.64,36.94,978600,0.0,0
2019-05-17,36.66,37.06,36.44,36.49,811100,0.0,0
2019-05-20,36.27,36.49,36.14,36.27,1221900,0.0,0
2019-05-21,36.36,36.94,36.3,36.87,930400,0.0,0
2019-05-22,36.57,36.66,36.3,36.51,814500,0.0,0
2019-05-23,36.23,36.34,35.73,35.85,748500,0.0,0
2019-05-24,36.03,36.43,36.03,36.16,635500,0.0,0
2019-05-28,36.17,36.31,35.62,35.63,1200500,0.0,0
2019-05-29,35.55,36.1,35.36,35.81,1486800,0.0,0
2019-05-30,36.04,36.08,35.19,35.47,1013500,0.0,0
2019-05-31,35.03,35.11,34.44,34.53,1512400,0.0,0
2019-06-03,34.42,35.52,34.37,35.02,1289900,0.0,0
2019-06-04,35.43,36.58,35.43,36.55,826300,0.0,0
2019-06-05,36.77,36.78,35.84,36.61,776500,0.0,0
2019-06-06,36.66,36.79,35.92,36.62,826000,0.0,0
2019-06-07,36.84,36.93,36.44,36.87,634300,0.0,0
2019-06-10,37.1,37.14,36.0,36.24,1468700,0.0,0
2019-06-11,36.61,37.15,36.49,36.67,1115100,0.0,0
2019-06-12,36.68,36.89,36.48,36.79,892400,0.0,0
2019-06-13,36.96,37.25,36.83,37.12,482300,0.4,0
2019-06-14,37.14,37.14,36.64,36.75,789000,0.0,0
2019-06-17,36.74,37.19,36.74,36.96,692600,0.0,0
2019-06-18,37.29,37.84,36.92,37.3,909700,0.0,0
2019-06-19,37.3,37.66,36.99,37.54,727400,0.0,0
2019-06-20,38.0,38.29,37.32,37.67,810300,0.0,0
2019-06-21,37.78,38.36,37.32,37.62,2798400,0.0,0
2019-06-24,37.64,37.73,36.98,37.09,865400,0.0,0
2019-06-25,37.14,37.41,36.8,36.8,1041700,0.0,0
2019-06-26,36.88,36.96,36.4,36.65,1147800,0.0,0
2019-06-27,36.9,37.34,36.9,37.3,508200,0.0,0
2019-06-28,37.37,37.85,37.37,37.71,1030000,0.0,0
2019-07-01,38.2,38.31,37.36,38.05,1314800,0.0,0
2019-07-02,37.94,38.23,37.61,38.23,865900,0.0,0
2019-07-03,38.17,38.69,38.11,38.59,402100,0.0,0
2019-07-05,38.32,38.38,38.02,38.23,524700,0.0,0
2019-07-08,38.14,38.18,37.51,37.65,715800,0.0,0
2019-07-09,37.46,37.61,37.11,37.27,1699100,0.0,0
2019-07-10,37.54,37.64,36.97,37.22,1064900,0.0,0
2019-07-11,37.26,37.29,36.45,37.19,675500,0.0,0
2019-07-12,37.4,38.37,37.4,38.31,808200,0.0,0
2019-07-15,38.06,38.31,37.73,38.0,1001400,0.0,0
2019-07-16,37.88,38.78,37.77,38.61,894700,0.0,0
2019-07-17,38.59,39.02,38.2,38.59,1960000,0.0,0
2019-07-18,38.57,39.01,38.38,38.86,1911700,0.0,0
2019-07-19,39.04,39.28,38.77,38.95,1310600,0.0,0
2019-07-22,39.0,39.2,38.72,38.85,1258200,0.0,0
2019-07-23,39.08,39.56,38.62,39.49,1243700,0.0,0
2019-07-24,38.2,39.26,37.56,39.03,2312700,0.0,0
2019-07-25,38.64,39.31,38.44,38.79,1718300,0.0,0
2019-07-26,38.8,39.3,38.23,38.63,2058400,0.0,0
2019-07-29,38.67,38.7,38.13,38.31,1964400,0.0,0
2019-07-30,38.27,40.67,37.35,39.61,3579100,0.0,0
2019-07-31,39.45,40.09,38.74,39.28,5459300,0.0,0
2019-08-01,39.33,39.88,38.17,38.2,1903700,0.0,0
2019-08-02,38.12,38.44,37.8,37.85,1229700,0.0,0
2019-08-05,37.36,37.83,36.71,36.97,1798500,0.0,0
2019-08-06,37.27,37.98,36.95,37.81,1665500,0.0,0
2019-08-07,37.18,38.59,37.18,38.4,1357900,0.0,0
2019-08-08,38.53,39.08,38.53,38.85,845300,0.0,0
2019-08-09,38.74,38.82,38.02,38.31,894000,0.0,0
2019-08-12,38.13,38.25,37.51,37.58,838800,0.0,0
2019-08-13,37.6,38.9,37.54,38.1,866800,0.0,0
2019-08-14,37.47,37.95,36.99,37.03,1366100,0.0,0
2019-08-15,37.12,37.25,36.76,36.93,1000500,0.0,0
2019-08-16,37.17,37.95,37.15,37.85,691200,0.0,0
2019-08-19,38.4,38.78,38.3,38.53,791400,0.0,0
2019-08-20,38.33,38.43,37.83,37.9,930300,0.0,0
2019-08-21,38.43,38.72,38.05,38.18,1064400,0.0,0
2019-08-22,38.33,38.62,37.9,38.41,801900,0.0,0
2019-08-23,38.16,38.17,36.1,36.23,1251400,0.0,0
2019-08-26,36.77,36.85,36.08,36.22,953300,0.0,0
2019-08-27,36.52,36.52,35.64,35.71,696600,0.0,0
2019-08-28,35.49,36.15,35.28,36.01,739300,0.0,0
2019-08-29,36.46,36.89,36.38,36.62,963700,0.0,0
