Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,233.42,234.98,226.16,232.35,622400,0.0,0
2019-02-06,232.36,236.24,231.17,232.27,241100,0.0,0
2019-02-07,231.53,233.72,229.22,230.24,192300,0.0,0
2019-02-08,229.13,230.58,227.75,230.52,201300,0.0,0
2019-02-11,231.05,235.4,231.05,234.85,373500,0.0,0
2019-02-12,236.79,242.92,236.79,241.07,516000,0.0,0
2019-02-13,242.04,244.45,238.88,241.73,292400,0.0,0
2019-02-14,240.67,244.07,240.67,241.4,298600,0.0,0
2019-02-15,242.84,246.24,242.01,243.86,246400,0.0,0
2019-02-19,242.95,244.94,242.12,243.83,280000,0.0,0
2019-02-20,244.0,245.72,242.11,245.67,274100,0.0,0
2019-02-21,244.75,246.91,244.05,246.05,189900,0.0,0
2019-02-22,246.71,247.48,244.33,245.82,318600,0.0,0
2019-02-25,247.69,247.7,243.92,245.09,264300,0.0,0
2019-02-26,242.69,246.16,242.28,242.6,265000,0.0,0
2019-02-27,241.3,244.01,241.24,243.83,168100,0.0,0
2019-02-28,243.57,243.6,241.05,242.41,164100,0.0,0
2019-03-01,244.13,245.61,241.29,242.76,243700,0.0,0
2019-03-04,243.49,244.67,240.78,242.57,198000,0.0,0
2019-03-05,242.93,246.1,240.99,244.84,376900,0.0,0
2019-03-06,243.27,244.08,240.43,243.14,216000,0.0,0
2019-03-07,242.42,242.48,239.71,241.19,220300,0.0,0
2019-03-08,239.29,241.74,238.79,241.31,135000,0.0,0
2019-03-11,241.7,243.01,240.72,243.01,191600,0.0,0
2019-03-12,242.96,245.2,241.77,244.58,244900,0.0,0
2019-03-13,245.47,248.02,244.41,245.37,265300,0.0,0
2019-03-14,244.96,246.19,244.04,245.35,191300,0.0,0
2019-03-15,245.76,248.5,245.07,247.26,362000,0.0,0
2019-03-18,247.12,249.94,245.85,249.33,191400,0.0,0
2019-03-19,249.76,251.94,249.04,249.9,374400,0.0,0
2019-03-20,249.09,256.42,249.09,253.62,413600,0.0,0
2019-03-21,252.06,259.1,252.06,257.35,311500,0.0,0
2019-03-22,255.51,259.28,253.68,254.16,290600,0.0,0
2019-03-25,255.07,259.82,254.6,257.16,274800,0.0,0
2019-03-26,258.92,260.42,257.54,259.08,267500,0.0,0
2019-03-27,259.69,261.57,257.15,259.81,281400,0.0,0
2019-03-28,261.0,262.45,257.51,261.19,348300,0.0,0
2019-03-29,262.81,263.14,259.96,261.98,363000,0.64,0
2019-04-01,264.32,267.53,263.82,265.39,470900,0.0,0
2019-04-02,265.61,265.79,263.24,265.01,412800,0.0,0
2019-04-03,266.61,268.93,265.22,267.39,382900,0.0,0
2019-04-04,267.92,269.28,266.04,268.01,396200,0.0,0
2019-04-05,269.17,271.41,268.68,271.41,356200,0.0,0
2019-04-08,271.02,274.43,270.28,273.83,282800,0.0,0
2019-04-09,270.5,271.85,269.46,270.37,540100,0.0,0
2019-04-10,270.76,270.97,265.57,267.32,429300,0.0,0
2019-04-11,268.28,269.17,267.65,268.55,366000,0.0,0
2019-04-12,269.44,272.29,269.01,270.99,323500,0.0,0
2019-04-15,271.84,274.51,271.84,273.81,306900,0.0,0
2019-04-16,272.51,273.36,268.44,269.48,512200,0.0,0
2019-04-17,269.71,271.59,265.6,266.21,312300,0.0,0
2019-04-18,266.32,269.42,265.28,268.16,299500,0.0,0
2019-04-22,262.41,266.53,256.35,265.18,767000,0.0,0
2019-04-23,262.34,264.14,256.68,262.14,711400,0.0,0
2019-04-24,261.85,264.4,260.86,263.45,466800,0.0,0
2019-04-25,262.95,266.78,261.14,266.48,372000,0.0,0
2019-04-26,266.51,270.5,265.76,268.89,477900,0.0,0
2019-04-29,269.14,273.07,266.71,272.14,366600,0.0,0
2019-04-30,271.52,271.52,268.08,268.96,459900,0.0,0
2019-05-01,268.94,269.74,261.78,262.89,613800,0.0,0
2019-05-02,262.95,264.82,261.8,263.64,378100,0.0,0
2019-05-03,264.94,270.8,264.94,269.52,294300,0.0,0
2019-05-06,265.23,269.9,265.23,268.49,200400,0.0,0
