Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,118.05,119.05,117.74,117.77,8832400,0.0,0
2019-02-06,116.05,118.15,115.14,116.64,7421000,0.0,0
2019-02-07,116.37,116.7,114.28,114.91,7935000,0.0,0
2019-02-08,115.13,118.75,114.86,116.96,16195100,0.0,0
2019-02-11,116.57,117.29,114.46,115.4,7203100,0.0,0
2019-02-12,115.16,117.25,114.91,116.85,6975500,0.0,0
2019-02-13,116.96,117.62,115.5,117.01,12738600,0.0,0
2019-02-14,116.94,119.22,116.81,118.72,17847000,0.645,0
2019-02-15,119.15,120.43,118.38,120.43,10366400,0.0,0
2019-02-19,119.27,121.26,119.26,120.08,17861300,0.0,0
2019-02-20,120.33,120.99,119.57,120.6,19880300,0.0,0
2019-02-21,120.01,121.68,119.76,120.66,20798700,0.0,0
2019-02-22,120.67,122.65,120.59,121.92,19574000,0.0,0
2019-02-25,122.02,122.58,121.4,121.81,13682400,0.0,0
2019-02-26,121.78,123.06,121.25,122.58,20790900,0.0,0
2019-02-27,122.4,124.36,122.0,123.57,32135600,0.0,0
2019-02-28,123.41,125.63,123.1,124.17,36023600,0.0,0
2019-03-01,125.12,127.25,124.46,126.68,43290900,0.0,0
2019-03-04,128.32,128.32,123.24,125.32,59468600,0.0,0
2019-03-05,126.25,126.71,124.59,126.33,53212600,0.0,0
2019-03-06,126.59,126.63,123.29,124.55,74822500,0.0,0
2019-03-07,124.29,125.06,123.03,124.22,60615600,0.0,0
2019-03-08,124.25,124.85,123.15,124.57,50169800,0.0,0
2019-03-11,120.74,122.81,120.45,121.43,61771200,0.0,0
2019-03-12,121.43,121.94,120.62,121.43,8077600,0.0,0
2019-03-13,122.51,128.56,121.09,122.22,68139300,0.0,0
2019-03-14,122.88,122.88,120.45,121.02,42768700,0.0,0
2019-03-15,121.03,122.08,119.91,121.86,47331000,0.0,0
2019-03-18,121.91,123.25,121.43,123.14,16052200,0.0,0
2019-03-19,123.16,124.53,123.04,124.47,13726300,0.0,0
2019-03-20,125.4,126.93,124.7,126.01,7520700,0.0,0
2019-03-21,124.75,126.82,124.52,126.16,5704300,0.0,0
2019-03-22,126.57,127.31,125.29,126.15,15332900,0.0,0
2019-03-25,126.45,128.39,126.26,127.69,5972800,0.0,0
2019-03-26,128.05,129.91,127.52,128.82,5872900,0.0,0
2019-03-27,128.76,129.35,126.36,126.61,7675100,0.0,0
2019-03-28,127.17,127.72,126.71,126.79,6112900,0.0,0
2019-03-29,126.85,127.76,126.82,127.58,5729100,0.0,0
2019-04-01,128.52,129.15,126.88,126.88,5132300,0.0,0
2019-04-02,126.88,127.4,126.09,127.15,3214600,0.0,0
