Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,67.37,67.65,66.81,67.31,1480300,0,0
2019-02-06,66.7,66.86,65.77,65.91,1285000,0,0
2019-02-07,65.21,65.84,64.5,65.79,1075200,0,0
2019-02-08,64.94,65.59,64.27,65.59,1111900,0,0
2019-02-11,65.34,65.58,64.92,65.34,989300,0,0
2019-02-12,65.66,66.29,65.55,65.82,1100700,0,0
2019-02-13,66.32,67.0,65.79,65.85,1264000,0,0
2019-02-14,65.33,66.33,65.33,66.0,1116800,0,0
2019-02-15,66.36,66.75,66.01,66.22,1554500,0,0
2019-02-19,65.76,67.45,65.35,66.91,1008000,0,0
2019-02-20,66.62,67.03,65.91,65.96,1092300,0,0
2019-02-21,65.55,66.21,65.0,65.36,1357500,0,0
2019-02-22,66.12,66.12,64.93,65.2,1318700,0,0
2019-02-25,65.2,66.03,64.02,64.63,3102600,0,0
2019-02-26,64.34,66.75,63.3,63.53,2779700,0,0
2019-02-27,63.65,65.69,63.05,65.54,2198200,0,0
2019-02-28,65.5,65.87,64.05,64.45,2910400,0,0
2019-03-01,64.42,64.99,62.65,64.0,2564800,0,0
2019-03-04,67.0,67.1,64.35,65.0,5551200,0,0
2019-03-05,65.44,66.64,65.21,66.53,2166200,0,0
2019-03-06,66.7,66.83,65.31,65.56,1588300,0,0
2019-03-07,65.66,67.11,65.1,66.76,1753300,0,0
2019-03-08,64.89,66.51,64.79,66.29,1530800,0,0
2019-03-11,66.43,68.09,66.0,68.0,2367100,0,0
2019-03-12,68.9,69.74,68.27,69.59,2295100,0,0
2019-03-13,70.0,70.6,69.05,69.31,1768900,0,0
2019-03-14,69.92,69.92,68.93,69.19,1227900,0,0
2019-03-15,69.15,69.25,68.09,68.89,1380900,0,0
2019-03-18,68.75,69.98,68.75,69.7,1593500,0,0
2019-03-19,70.25,70.25,68.52,68.85,1266800,0,0
2019-03-20,68.54,69.23,67.92,68.38,1299200,0,0
2019-03-21,67.93,69.37,67.93,69.29,1253100,0,0
2019-03-22,69.0,69.65,67.2,67.6,1819300,0,0
2019-03-25,67.23,67.52,66.32,67.1,994100,0,0
2019-03-26,67.9,68.44,66.7,67.27,1002500,0,0
2019-03-27,67.14,67.43,66.05,66.38,1158600,0,0
2019-03-28,67.19,67.33,65.41,66.25,1786600,0,0
2019-03-29,67.3,68.86,66.63,68.36,3518600,0,0
2019-04-01,68.99,69.48,67.9,67.96,1815400,0,0
2019-04-02,67.65,68.23,66.97,67.53,1244500,0,0
2019-04-03,67.53,67.94,66.4,66.91,1236100,0,0
2019-04-04,67.0,67.71,66.58,67.53,1330900,0,0
2019-04-05,67.6,68.19,67.43,67.57,1233200,0,0
2019-04-08,67.81,68.04,67.13,68.0,1245000,0,0
2019-04-09,67.98,67.98,67.0,67.18,1499400,0,0
2019-04-10,67.02,67.38,66.53,67.05,1447600,0,0
2019-04-11,67.35,67.47,66.69,67.11,1100900,0,0
2019-04-12,68.25,68.52,67.26,67.51,1609400,0,0
2019-04-15,67.01,67.34,65.83,66.46,1455200,0,0
2019-04-16,66.28,66.74,65.31,65.67,1369700,0,0
2019-04-17,65.95,66.01,64.82,65.73,2389500,0,0
2019-04-18,65.68,66.08,64.82,65.0,1244400,0,0
2019-04-22,65.15,66.64,65.0,66.52,1860600,0,0
2019-04-23,66.84,67.48,66.65,67.04,1411400,0,0
2019-04-24,66.83,67.37,65.57,65.62,899200,0,0
2019-04-25,65.75,65.78,64.81,64.92,1079600,0,0
2019-04-26,64.59,65.44,63.92,65.41,1363300,0,0
