Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,92.29,93.69,92.29,93.61,554200,0.0,0
2019-02-06,93.72,94.35,92.83,93.68,320400,0.0,0
2019-02-07,92.75,93.19,90.78,91.33,442700,0.0,0
2019-02-08,90.46,92.53,89.04,92.38,462800,0.0,0
2019-02-11,92.97,93.66,92.36,92.61,665100,0.0,0
2019-02-12,93.71,94.75,92.96,94.4,502600,0.0,0
2019-02-13,94.45,94.86,93.58,94.57,608700,0.0,0
2019-02-14,94.57,95.22,93.22,94.31,1367100,0.0,0
2019-02-15,78.84,82.97,78.84,81.46,7520200,0.0,0
2019-02-19,81.25,82.21,79.68,81.59,2090000,0.0,0
2019-02-20,81.41,81.86,79.92,80.87,1156200,0.0,0
2019-02-21,80.48,82.6,80.48,81.89,879900,0.0,0
2019-02-22,82.08,82.49,80.76,81.76,701700,0.325,0
2019-02-25,81.98,82.61,81.21,81.25,884100,0.0,0
2019-02-26,80.78,80.8,78.19,78.45,1286800,0.0,0
2019-02-27,78.52,79.66,77.32,79.59,1080500,0.0,0
2019-02-28,79.59,79.88,78.38,78.4,769900,0.0,0
2019-03-01,79.16,80.71,78.32,80.42,893000,0.0,0
2019-03-04,80.68,81.07,78.82,80.73,1269500,0.0,0
2019-03-05,80.57,81.61,80.09,80.54,709100,0.0,0
2019-03-06,80.6,80.89,78.94,78.99,659900,0.0,0
2019-03-07,78.84,80.42,78.46,79.59,830900,0.0,0
2019-03-08,78.97,79.75,78.55,78.95,1047900,0.0,0
2019-03-11,79.34,80.95,79.34,80.19,587100,0.0,0
2019-03-12,80.3,80.72,79.98,80.25,500700,0.0,0
2019-03-13,80.6,81.06,79.99,80.05,442900,0.0,0
2019-03-14,79.91,80.36,78.97,80.02,497600,0.0,0
2019-03-15,80.06,81.76,79.94,80.91,758900,0.0,0
2019-03-18,80.95,81.43,80.48,80.64,782100,0.0,0
2019-03-19,81.1,81.1,79.46,80.1,814900,0.0,0
2019-03-20,79.91,80.01,78.38,78.79,803700,0.0,0
2019-03-21,78.47,80.1,78.47,79.72,781000,0.0,0
2019-03-22,79.37,79.81,77.47,77.71,902600,0.0,0
2019-03-25,77.31,78.94,76.93,78.58,1138900,0.0,0
2019-03-26,79.21,80.64,79.02,80.31,1416700,0.0,0
2019-03-27,80.39,80.58,78.85,79.75,474500,0.0,0
2019-03-28,79.74,80.23,78.93,79.46,466400,0.0,0
2019-03-29,80.1,80.11,78.75,79.05,806800,0.0,0
2019-04-01,79.74,81.1,79.74,81.04,549800,0.0,0
2019-04-02,81.23,81.63,80.67,81.54,340900,0.0,0
2019-04-03,81.73,82.73,81.45,82.07,440300,0.0,0
2019-04-04,82.24,82.65,81.12,82.05,452000,0.0,0
2019-04-05,82.18,83.27,82.02,82.66,400200,0.0,0
2019-04-08,82.67,83.18,81.87,82.95,454400,0.0,0
2019-04-09,82.68,83.12,82.09,82.28,343700,0.0,0
2019-04-10,82.47,82.51,82.09,82.34,598900,0.0,0
2019-04-11,82.43,82.78,81.54,82.34,497600,0.0,0
2019-04-12,78.04,79.51,74.4,79.32,2034600,0.0,0
2019-04-15,79.44,81.08,79.44,80.58,845000,0.0,0
2019-04-16,81.02,81.33,80.34,80.88,754900,0.0,0
2019-04-17,81.15,81.57,79.85,80.15,358200,0.0,0
2019-04-18,80.58,81.11,79.94,80.96,1125100,0.0,0
2019-04-22,80.93,82.6,80.93,81.91,1191800,0.0,0
2019-04-23,81.92,82.88,81.92,82.53,1375400,0.0,0
2019-04-24,83.02,83.7,82.63,83.09,1254400,0.0,0
2019-04-25,83.1,83.62,81.86,83.18,823500,0.0,0
2019-04-26,83.59,83.72,78.09,79.93,1578000,0.0,0
2019-04-29,80.23,82.09,80.2,81.59,714600,0.0,0
2019-04-30,81.48,82.12,80.78,81.32,510800,0.0,0
2019-05-01,81.37,81.37,78.97,79.97,563700,0.0,0
2019-05-02,79.62,80.51,79.0,80.22,444000,0.0,0
2019-05-03,80.34,81.32,80.17,81.11,538600,0.0,0
2019-05-06,79.78,82.11,79.78,81.65,922500,0.0,0
2019-05-07,80.58,81.4,78.98,79.71,503700,0.325,0
2019-05-08,79.42,80.06,78.81,79.52,504600,0.0,0
2019-05-09,78.56,79.84,78.08,79.54,485600,0.0,0
2019-05-10,79.35,79.43,77.62,78.98,636400,0.0,0
2019-05-13,77.63,79.73,75.53,76.12,552100,0.0,0
2019-05-14,76.35,77.16,75.97,76.62,465100,0.0,0
2019-05-15,76.04,77.87,76.02,77.55,473900,0.0,0
2019-05-16,77.98,78.97,77.74,78.19,424300,0.0,0
2019-05-17,77.84,77.84,76.49,76.5,491100,0.0,0
2019-05-20,75.8,76.25,74.53,74.65,612200,0.0,0
2019-05-21,75.42,76.03,74.47,74.55,687100,0.0,0
2019-05-22,74.31,75.25,74.04,74.96,548500,0.0,0
2019-05-23,74.23,75.72,73.75,74.07,549900,0.0,0
2019-05-24,74.28,75.2,73.48,73.55,329700,0.0,0
2019-05-28,73.75,74.0,72.95,73.13,334300,0.0,0
2019-05-29,72.63,73.15,72.24,72.86,479000,0.0,0
2019-05-30,72.94,73.38,71.54,72.15,399600,0.0,0
2019-05-31,71.42,72.06,70.95,71.17,627300,0.0,0
2019-06-03,71.45,71.58,68.54,69.0,705400,0.0,0
2019-06-04,69.68,71.76,69.11,71.67,423500,0.0,0
2019-06-05,72.15,72.82,70.65,71.51,336700,0.0,0
2019-06-06,71.32,71.59,70.63,70.87,296600,0.0,0
2019-06-07,71.27,72.24,71.05,71.38,334900,0.0,0
2019-06-10,71.96,72.9,71.4,71.47,304700,0.0,0
2019-06-11,72.35,72.44,70.03,70.13,387300,0.0,0
2019-06-12,70.0,70.76,69.17,70.15,460200,0.0,0
2019-06-13,70.27,70.27,69.16,69.3,372400,0.0,0
2019-06-14,69.13,69.43,67.37,68.27,632000,0.0,0
2019-06-17,68.48,70.81,68.48,69.27,714200,0.0,0
2019-06-18,70.21,72.18,70.16,70.35,560200,0.0,0
2019-06-19,70.58,71.21,70.28,70.79,462200,0.0,0
2019-06-20,71.61,72.23,71.24,71.9,529100,0.0,0
2019-06-21,71.58,72.32,70.36,70.55,1002500,0.0,0
2019-06-24,70.75,70.75,70.13,70.36,449300,0.0,0
2019-06-25,70.35,71.23,69.04,69.46,362200,0.0,0
2019-06-26,69.84,71.75,69.84,71.59,760900,0.0,0
2019-06-27,71.71,72.71,71.62,72.35,463300,0.0,0
2019-06-28,72.78,73.64,72.39,73.0,1113100,0.0,0
2019-07-01,74.09,74.77,72.8,73.13,351500,0.0,0
2019-07-02,72.96,73.6,72.62,72.98,365600,0.0,0
2019-07-03,73.27,74.25,72.68,74.09,574000,0.0,0
2019-07-05,73.85,74.72,73.47,74.65,293800,0.0,0
2019-07-08,74.29,74.47,73.63,73.91,352800,0.0,0
2019-07-09,73.69,74.28,73.12,74.16,255500,0.0,0
2019-07-10,74.52,75.64,74.13,74.14,266600,0.0,0
2019-07-11,74.2,74.77,73.85,74.71,187600,0.0,0
2019-07-12,74.84,75.53,74.7,75.48,273000,0.0,0
2019-07-15,75.62,75.92,75.15,75.83,229800,0.0,0
2019-07-16,76.15,76.15,74.31,74.58,365900,0.0,0
2019-07-17,74.57,75.85,74.07,75.06,408300,0.0,0
2019-07-18,74.81,75.52,74.56,75.28,219900,0.0,0
2019-07-19,75.54,76.62,75.24,75.26,465900,0.0,0
2019-07-22,75.15,75.68,73.98,74.04,369500,0.0,0
2019-07-23,74.38,74.54,72.87,72.9,410500,0.0,0
2019-07-24,72.73,73.18,71.75,72.82,1003100,0.0,0
2019-07-25,73.02,73.02,71.47,71.68,708900,0.0,0
2019-07-26,78.11,83.97,77.01,77.69,1485300,0.0,0
2019-07-29,77.85,78.48,74.45,76.29,635200,0.0,0
2019-07-30,75.91,77.03,75.72,76.49,449100,0.0,0
2019-07-31,76.52,76.62,74.35,75.27,365100,0.0,0
2019-08-01,75.27,76.19,73.69,74.48,310100,0.0,0
2019-08-02,74.02,74.3,72.43,72.93,297200,0.0,0
2019-08-05,71.7,72.19,69.65,70.64,550600,0.0,0
2019-08-06,71.31,73.01,70.24,70.33,399800,0.325,0
2019-08-07,69.63,70.28,69.4,70.15,388800,0.0,0
2019-08-08,70.77,72.19,70.74,72.12,416400,0.0,0
2019-08-09,72.05,72.05,71.09,71.32,184200,0.0,0
2019-08-12,70.88,71.89,69.75,70.51,173500,0.0,0
2019-08-13,70.68,72.53,70.08,71.63,270200,0.0,0
2019-08-14,70.25,70.32,67.79,68.32,604900,0.0,0
2019-08-15,68.38,68.83,66.8,67.28,407800,0.0,0
2019-08-16,67.96,68.39,67.35,67.83,496200,0.0,0
2019-08-19,68.73,69.54,68.62,68.97,308400,0.0,0
2019-08-20,68.93,69.23,68.29,68.72,259100,0.0,0
2019-08-21,69.31,70.2,68.73,69.32,316000,0.0,0
2019-08-22,69.52,70.07,69.07,69.84,203600,0.0,0
2019-08-23,69.29,70.89,68.67,68.78,338900,0.0,0
2019-08-26,69.14,69.22,67.65,68.15,276500,0.0,0
2019-08-27,68.51,68.72,67.01,67.05,281900,0.0,0
2019-08-28,66.57,66.9,65.82,66.13,258900,0.0,0
2019-08-29,66.64,67.44,66.58,67.0,210200,0.0,0
2019-08-30,67.22,67.56,66.09,66.53,221700,0.0,0
2019-09-03,65.86,66.2,64.8,65.5,586600,0.0,0
2019-09-04,66.37,67.11,66.11,66.69,569400,0.0,0
2019-09-05,67.45,69.14,67.45,68.13,418900,0.0,0
2019-09-06,68.32,68.53,66.85,67.1,299300,0.0,0
2019-09-09,67.37,67.81,65.77,67.74,666500,0.0,0
2019-09-10,67.64,70.25,66.86,69.67,507900,0.0,0
2019-09-11,69.59,70.56,69.07,70.22,269700,0.0,0
2019-09-12,70.95,71.01,69.1,69.17,298100,0.0,0
2019-09-13,69.19,69.6,68.37,68.52,416700,0.0,0
2019-09-16,67.99,69.15,67.55,69.08,434900,0.0,0
2019-09-17,68.65,69.24,68.16,68.68,391100,0.0,0
2019-09-18,68.65,68.65,67.38,68.38,454100,0.0,0
2019-09-19,68.51,72.51,67.59,71.91,1394900,0.0,0
2019-09-20,71.92,72.28,71.21,72.2,1132000,0.0,0
2019-09-23,71.8,72.1,71.12,71.67,418100,0.0,0
2019-09-24,71.8,72.11,69.55,70.04,350700,0.0,0
2019-09-25,69.83,71.19,69.32,70.82,390200,0.0,0
2019-09-26,70.74,71.0,69.82,70.42,242000,0.0,0
2019-09-27,70.39,70.95,68.75,69.17,334600,0.0,0
2019-09-30,69.2,70.78,69.17,70.63,257800,0.0,0
2019-10-01,70.74,71.62,68.14,68.18,482200,0.0,0
2019-10-02,67.79,68.17,66.1,66.34,539100,0.0,0
2019-10-03,66.18,67.71,64.73,67.64,462300,0.0,0
2019-10-04,68.35,69.16,67.31,67.69,501400,0.0,0
2019-10-07,67.12,68.33,66.65,67.38,405800,0.0,0
2019-10-08,67.31,67.31,65.44,66.28,484600,0.0,0
2019-10-09,66.59,67.04,66.06,66.77,392100,0.0,0
2019-10-10,67.48,68.44,67.1,67.83,596100,0.0,0
2019-10-11,69.02,69.76,68.55,69.21,371000,0.0,0
2019-10-14,68.76,70.06,68.76,69.62,413700,0.0,0
2019-10-15,69.53,70.5,69.41,70.26,359200,0.0,0
2019-10-16,69.64,70.22,69.14,69.18,353600,0.0,0
2019-10-17,69.49,70.03,68.81,68.97,221100,0.0,0
2019-10-18,68.89,69.07,67.28,67.33,345400,0.0,0
2019-10-21,67.58,68.32,67.01,67.17,360100,0.0,0
2019-10-22,67.12,67.61,66.7,67.15,354700,0.0,0
2019-10-23,66.73,67.32,66.54,67.19,348100,0.0,0
2019-10-24,67.52,67.87,66.5,67.37,479400,0.0,0
2019-10-25,68.03,68.42,61.73,65.84,1621700,0.0,0
2019-10-28,66.51,67.62,65.4,65.71,898700,0.0,0
2019-10-29,65.73,66.76,64.99,66.64,1214600,0.0,0
2019-10-30,66.54,67.66,65.99,67.2,520000,0.0,0
2019-10-31,67.0,67.0,65.2,65.37,470600,0.0,0
2019-11-01,65.72,65.72,64.98,65.51,479400,0.0,0
