Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,102.08,103.17,101.86,102.23,382600,0.0,0
2019-02-06,102.26,102.81,100.21,101.04,232500,0.0,0
2019-02-07,100.63,102.36,100.52,101.59,289400,0.0,0
2019-02-08,101.27,102.11,100.28,101.39,240200,0.0,0
2019-02-11,101.98,102.46,100.79,101.88,305500,0.0,0
2019-02-12,102.46,103.84,102.11,103.74,297900,0.0,0
2019-02-13,104.1,105.59,103.26,105.5,421400,0.0,0
2019-02-14,104.9,107.36,103.49,106.51,490300,0.165,0
2019-02-15,106.65,107.62,106.28,106.96,338600,0.0,0
2019-02-19,106.71,109.72,106.34,108.97,462400,0.0,0
2019-02-20,109.1,109.77,108.06,109.02,256200,0.0,0
2019-02-21,109.16,110.0,106.44,109.31,219400,0.0,0
2019-02-22,109.03,109.17,107.29,107.64,286200,0.0,0
2019-02-25,108.17,108.96,107.22,108.21,354000,0.0,0
2019-02-26,108.08,108.25,107.04,107.07,211400,0.0,0
2019-02-27,106.96,107.18,105.42,105.74,276700,0.0,0
2019-02-28,105.74,106.47,104.74,106.27,326900,0.0,0
2019-03-01,107.02,107.45,106.16,106.89,304500,0.0,0
2019-03-04,107.07,107.58,104.72,105.07,275000,0.0,0
2019-03-05,105.11,105.11,102.98,103.18,420500,0.0,0
2019-03-06,103.26,103.38,102.29,102.98,288600,0.0,0
2019-03-07,102.78,103.57,102.1,103.26,312100,0.0,0
2019-03-08,102.56,104.02,101.81,103.76,339900,0.0,0
2019-03-11,103.74,107.18,103.16,107.11,414400,0.0,0
2019-03-12,107.47,107.99,105.79,107.51,386000,0.0,0
2019-03-13,107.95,109.92,107.87,107.95,437100,0.0,0
2019-03-14,108.15,108.75,107.2,108.56,253100,0.0,0
2019-03-15,108.59,109.24,106.76,106.85,553800,0.0,0
2019-03-18,107.14,108.9,106.84,108.87,282300,0.0,0
2019-03-19,108.96,109.8,104.79,105.12,429900,0.0,0
2019-03-20,104.75,105.84,103.18,104.7,304700,0.0,0
2019-03-21,104.25,106.64,104.25,106.1,226700,0.0,0
2019-03-22,105.64,105.86,103.26,103.33,392100,0.0,0
2019-03-25,103.45,104.47,102.2,102.46,209700,0.0,0
2019-03-26,102.99,104.83,102.16,104.29,246300,0.0,0
2019-03-27,104.27,106.01,104.27,105.34,320000,0.0,0
2019-03-28,105.53,107.66,105.53,107.1,401900,0.0,0
2019-03-29,107.42,108.05,106.68,106.97,364200,0.0,0
2019-04-01,107.83,109.47,107.83,108.83,233300,0.0,0
2019-04-02,108.68,109.27,107.15,107.53,256000,0.0,0
2019-04-03,107.91,109.08,106.93,107.15,277600,0.0,0
2019-04-04,107.37,109.08,106.98,108.33,271200,0.0,0
2019-04-05,108.33,109.69,107.53,108.88,220100,0.0,0
2019-04-08,109.0,109.44,108.71,109.39,280500,0.0,0
2019-04-09,108.92,109.52,108.19,108.54,225500,0.0,0
2019-04-10,108.54,109.1,107.93,108.65,260000,0.0,0
2019-04-11,108.89,110.12,108.71,109.57,220900,0.0,0
2019-04-12,110.23,110.87,109.32,110.13,228200,0.0,0
2019-04-15,110.17,111.12,108.71,109.17,179700,0.0,0
2019-04-16,108.54,110.17,108.08,109.87,407900,0.0,0
2019-04-17,110.55,110.74,108.84,109.6,373300,0.0,0
2019-04-18,110.23,110.56,109.27,109.41,416200,0.0,0
2019-04-22,109.45,110.08,108.75,109.62,234500,0.0,0
2019-04-23,109.5,110.03,109.11,109.68,349100,0.0,0
2019-04-24,109.67,112.31,109.52,111.73,300100,0.0,0
2019-04-25,111.48,117.57,109.94,112.37,809600,0.0,0
2019-04-26,112.48,114.14,112.08,113.84,358900,0.0,0
2019-04-29,113.55,113.55,106.75,107.15,735900,0.0,0
2019-04-30,106.68,107.64,106.36,106.55,563800,0.0,0
2019-05-01,106.8,106.8,103.28,103.53,437700,0.0,0
2019-05-02,103.52,106.78,103.19,106.65,384900,0.0,0
2019-05-03,107.37,109.75,107.02,109.6,334300,0.0,0
2019-05-06,108.44,111.39,107.23,111.15,504500,0.0,0
2019-05-07,110.51,110.69,107.74,108.39,351000,0.0,0
2019-05-08,108.4,108.75,106.84,107.49,462900,0.165,0
2019-05-09,106.74,107.57,105.22,106.14,394800,0.0,0
2019-05-10,106.17,106.52,104.03,106.16,300900,0.0,0
2019-05-13,104.44,104.87,101.44,101.83,407300,0.0,0
2019-05-14,102.16,104.12,101.93,103.06,402600,0.0,0
2019-05-15,102.48,104.35,101.75,103.91,257800,0.0,0
2019-05-16,104.36,105.62,104.15,104.47,275500,0.0,0
2019-05-17,103.7,105.02,103.06,104.46,361900,0.0,0
2019-05-20,103.56,104.87,103.49,103.55,394000,0.0,0
2019-05-21,104.28,105.78,103.33,104.14,502000,0.0,0
2019-05-22,103.67,104.2,101.34,102.56,362200,0.0,0
2019-05-23,101.82,101.99,100.37,101.27,389200,0.0,0
2019-05-24,101.76,102.39,100.01,101.16,286100,0.0,0
2019-05-28,101.3,101.38,98.75,98.8,418200,0.0,0
2019-05-29,98.06,98.22,95.72,96.0,523700,0.0,0
2019-05-30,96.14,97.22,94.02,95.03,542000,0.0,0
2019-05-31,93.17,95.03,93.01,94.26,628500,0.0,0
2019-06-03,95.04,97.04,94.38,94.88,722900,0.0,0
2019-06-04,95.73,98.0,95.73,97.87,469300,0.0,0
2019-06-05,98.08,98.64,97.15,98.11,321400,0.0,0
2019-06-06,95.97,97.81,94.99,96.77,764200,0.0,0
2019-06-07,97.51,98.25,96.02,96.23,460100,0.0,0
2019-06-10,96.44,98.95,96.44,97.91,663400,0.0,0
2019-06-11,98.82,99.65,97.97,99.55,584000,0.0,0
2019-06-12,99.01,100.55,98.5,100.5,545900,0.0,0
2019-06-13,100.92,102.98,100.35,102.66,559500,0.0,0
2019-06-14,102.58,103.52,101.28,102.09,297000,0.0,0
2019-06-17,101.93,102.12,98.9,99.15,308500,0.0,0
2019-06-18,99.28,101.88,99.27,101.0,327700,0.0,0
2019-06-19,101.11,102.15,100.18,102.03,338400,0.0,0
2019-06-20,102.82,104.16,102.4,103.23,422500,0.0,0
2019-06-21,103.01,104.19,102.14,102.28,521100,0.0,0
2019-06-24,102.62,102.78,100.67,100.81,378700,0.0,0
2019-06-25,100.86,102.27,100.12,100.36,542400,0.0,0
2019-06-26,100.92,101.11,99.69,100.69,404600,0.0,0
2019-06-27,101.02,103.24,101.02,103.09,293400,0.0,0
2019-06-28,104.22,106.72,103.77,105.76,741200,0.0,0
2019-07-01,106.87,108.28,104.73,105.72,335900,0.0,0
2019-07-02,106.82,106.92,103.9,104.74,345000,0.0,0
2019-07-03,105.39,106.56,104.29,106.24,175800,0.0,0
2019-07-05,105.56,106.59,104.48,106.23,132900,0.0,0
2019-07-08,105.28,105.54,104.6,105.23,309200,0.0,0
2019-07-09,104.79,105.05,103.95,104.63,310400,0.0,0
2019-07-10,104.74,105.35,102.01,102.54,309600,0.0,0
2019-07-11,102.44,103.8,101.17,102.72,318900,0.0,0
2019-07-12,102.87,106.98,102.87,106.79,320800,0.0,0
2019-07-15,106.97,107.71,105.65,106.26,340200,0.0,0
2019-07-16,107.32,110.78,106.26,109.31,477600,0.0,0
2019-07-17,108.61,108.9,106.11,106.39,521600,0.0,0
2019-07-18,106.76,106.77,105.32,106.1,284600,0.0,0
2019-07-19,106.61,108.83,106.5,108.08,304900,0.0,0
2019-07-22,108.6,109.18,108.02,108.48,305700,0.0,0
2019-07-23,108.79,109.04,106.89,108.3,267200,0.0,0
2019-07-24,108.06,110.75,107.85,109.86,334800,0.0,0
2019-07-25,108.75,111.02,107.52,109.11,686400,0.0,0
2019-07-26,109.11,111.59,109.11,111.52,337300,0.0,0
2019-07-29,111.09,111.73,109.09,109.44,338800,0.0,0
2019-07-30,108.44,110.75,108.43,110.68,259400,0.0,0
2019-07-31,110.51,111.16,107.82,108.97,540300,0.0,0
2019-08-01,109.11,109.59,106.57,107.62,381800,0.0,0
2019-08-02,107.02,108.13,102.69,107.86,224200,0.0,0
2019-08-05,106.03,106.9,104.12,104.75,389900,0.0,0
