Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,40.85,41.66,40.74,40.99,843800,0,0
2019-02-06,40.97,40.97,39.95,40.05,551500,0,0
2019-02-07,39.89,39.98,39.15,39.56,660200,0,0
2019-02-08,39.34,39.99,39.34,39.65,653300,0,0
2019-02-11,39.67,40.29,39.53,39.61,473100,0,0
2019-02-12,39.89,40.35,39.68,39.98,1300000,0,0
2019-02-13,40.43,40.43,39.62,40.08,1001700,0,0
2019-02-14,39.91,40.61,39.91,40.35,830400,0,0
2019-02-15,40.47,41.02,40.47,40.73,386600,0,0
2019-02-19,40.73,40.93,40.27,40.37,761700,0,0
2019-02-20,40.38,40.78,40.3,40.38,364900,0,0
2019-02-21,40.19,40.65,39.99,40.45,410800,0,0
2019-02-22,40.68,40.9,40.33,40.53,556300,0,0
2019-02-25,40.72,40.81,40.13,40.29,521800,0,0
2019-02-26,40.22,40.22,39.67,40.09,844500,0,0
2019-02-27,39.92,40.24,39.62,40.0,457300,0,0
2019-02-28,39.97,41.11,39.97,40.9,1156900,0,0
2019-03-01,40.98,41.41,40.73,40.76,594500,0,0
2019-03-04,40.89,41.1,39.9,40.24,452200,0,0
2019-03-05,40.31,40.46,39.93,40.24,344100,0,0
2019-03-06,40.29,40.7,40.21,40.24,718800,0,0
2019-03-07,40.23,40.39,39.87,40.33,880100,0,0
2019-03-08,39.9,40.33,39.85,40.1,617900,0,0
2019-03-11,40.25,40.82,39.98,40.74,358300,0,0
2019-03-12,40.73,41.36,40.62,41.04,672500,0,0
2019-03-13,41.11,41.33,40.82,40.97,985500,0,0
2019-03-14,40.9,41.32,40.9,41.17,383500,0,0
2019-03-15,41.34,41.65,41.0,41.55,1274100,0,0
2019-03-18,41.56,41.64,40.8,40.92,859700,0,0
2019-03-19,40.97,40.97,40.51,40.66,891300,0,0
2019-03-20,40.6,40.6,39.33,39.66,845700,0,0
2019-03-21,39.46,39.99,39.46,39.61,302600,0,0
2019-03-22,39.48,39.48,38.77,38.82,479400,0,0
2019-03-25,38.77,38.77,37.94,38.38,623600,0,0
2019-03-26,38.47,38.83,38.01,38.21,644600,0,0
2019-03-27,38.28,38.47,37.94,37.97,425000,0,0
2019-03-28,37.87,38.24,37.79,37.99,612800,0,0
2019-03-29,38.1,38.23,37.55,38.18,624100,0,0
2019-04-01,38.47,39.2,38.47,39.12,663500,0,0
2019-04-02,39.13,39.24,38.78,39.19,584100,0,0
2019-04-03,39.37,39.67,39.09,39.39,411800,0,0
2019-04-04,39.36,39.95,39.36,39.95,325500,0,0
2019-04-05,40.05,40.12,39.54,39.6,275100,0,0
2019-04-08,39.52,39.78,39.39,39.58,280000,0,0
2019-04-09,39.55,39.55,39.04,39.35,258300,0,0
2019-04-10,39.43,39.56,39.2,39.54,785000,0,0
2019-04-11,39.58,39.81,39.49,39.76,440600,0,0
2019-04-12,39.83,40.34,39.73,40.28,397200,0,0
2019-04-15,40.22,40.4,39.42,39.72,462200,0,0
2019-04-16,39.92,39.94,39.58,39.83,347000,0,0
2019-04-17,39.84,39.92,39.44,39.77,420900,0,0
2019-04-18,39.57,40.08,39.52,39.95,364500,0,0
2019-04-22,39.87,40.64,39.87,40.59,627200,0,0
2019-04-23,40.59,40.97,40.35,40.97,740300,0,0
2019-04-24,40.64,40.93,38.21,38.89,1505700,0,0
2019-04-25,38.92,39.53,38.66,39.09,1051200,0,0
2019-04-26,39.18,40.12,39.18,39.75,571900,0,0
2019-04-29,39.56,40.11,39.45,39.97,742300,0,0
2019-04-30,39.94,40.08,39.62,39.94,907100,0,0
2019-05-01,39.96,40.61,39.93,40.29,522100,0,0
2019-05-02,40.31,40.4,39.57,39.8,602300,0,0
2019-05-03,40.32,40.32,39.81,40.19,356800,0,0
2019-05-06,39.72,39.95,39.53,39.73,474700,0,0
2019-05-07,39.5,39.55,38.25,38.59,718900,0,0
2019-05-08,38.59,39.19,38.33,39.08,526300,0,0
2019-05-09,38.35,39.27,37.91,39.2,736100,0,0
2019-05-10,39.13,39.74,38.73,39.58,1113300,0,0
2019-05-13,38.87,39.06,38.51,38.79,606400,0,0
2019-05-14,38.81,39.35,38.49,38.49,779400,0,0
2019-05-15,38.39,38.47,38.07,38.13,681800,0,0
2019-05-16,38.17,38.43,38.05,38.09,457600,0,0
2019-05-17,38.02,38.45,37.77,38.14,359000,0,0
2019-05-20,37.79,38.3,37.76,37.99,367400,0,0
2019-05-21,38.06,38.49,38.03,38.34,430600,0,0
2019-05-22,38.31,38.31,37.83,37.84,337600,0,0
2019-05-23,37.57,37.59,36.39,37.01,563000,0,0
2019-05-24,37.21,37.62,36.86,37.1,331400,0,0
2019-05-28,37.22,37.31,36.79,36.93,979300,0,0
2019-05-29,36.86,36.89,36.38,36.76,640400,0,0
2019-05-30,36.76,37.2,36.57,36.65,339800,0,0
2019-05-31,36.34,36.34,35.85,36.02,452700,0,0
2019-06-03,35.93,36.06,35.32,35.88,462800,0,0
2019-06-04,36.09,36.56,35.95,36.27,605300,0,0
2019-06-05,36.32,36.65,35.67,35.79,598600,0,0
2019-06-06,35.79,36.0,35.47,35.75,230000,0,0
2019-06-07,35.77,36.04,35.55,35.69,565300,0,0
