Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,40.82,41.71,40.82,41.03,836100,0,0
2019-02-06,40.9,41.09,40.13,40.18,743300,0,0
2019-02-07,40.11,40.12,39.26,39.65,701100,0,0
2019-02-08,39.6,40.07,39.41,39.74,787200,0,0
2019-02-11,39.78,40.44,39.61,39.67,930200,0,0
2019-02-12,39.85,40.36,39.72,40.04,1355600,0,0
2019-02-13,40.21,40.47,39.62,40.06,1409400,0,0
2019-02-14,39.81,40.67,39.55,40.36,1176000,0,0
2019-02-15,40.5,41.06,40.5,40.74,703800,0,0
2019-02-19,40.55,40.95,40.28,40.35,672700,0,0
2019-02-20,40.28,40.77,40.28,40.46,737800,0,0
2019-02-21,40.43,40.72,40.05,40.61,734100,0,0
2019-02-22,40.85,40.98,40.48,40.77,897800,0,0
2019-02-25,40.83,40.96,40.31,40.42,503600,0,0
2019-02-26,40.44,40.44,39.87,40.34,872900,0,0
2019-02-27,40.23,40.46,39.85,40.3,617800,0,0
2019-02-28,40.27,41.38,40.27,41.21,1912700,0,0
2019-03-01,41.3,41.68,40.99,41.06,916400,0,0
2019-03-04,41.37,41.45,40.21,40.47,1023200,0,0
2019-03-05,40.45,40.86,40.17,40.46,896400,0,0
2019-03-06,40.52,40.92,40.45,40.53,713400,0,0
2019-03-07,40.55,40.64,40.12,40.52,1285400,0,0
2019-03-08,40.22,40.55,40.11,40.47,647400,0,0
2019-03-11,40.52,41.07,40.26,40.99,508500,0,0
2019-03-12,41.01,41.59,40.78,41.25,866200,0,0
2019-03-13,41.37,41.65,41.07,41.28,924600,0,0
2019-03-14,41.15,41.79,41.04,41.37,640300,0,0
2019-03-15,41.54,41.87,40.85,41.84,919100,0,0
2019-03-18,41.51,41.82,40.98,41.11,746500,0,0
2019-03-19,41.22,41.22,40.67,40.84,954500,0,0
2019-03-20,40.83,40.83,39.46,39.82,1000700,0,0
2019-03-21,39.78,40.09,39.67,39.76,486900,0,0
2019-03-22,39.57,39.57,38.96,39.02,531200,0,0
2019-03-25,38.97,39.0,38.09,38.52,677100,0,0
2019-03-26,38.63,38.89,38.08,38.26,1008700,0,0
2019-03-27,38.39,38.49,37.98,38.02,462900,0,0
2019-03-28,38.02,38.31,37.82,38.07,825700,0,0
2019-03-29,38.27,38.29,37.63,38.24,828500,0,0
2019-04-01,38.52,39.25,38.47,39.21,818400,0,0
2019-04-02,39.22,39.35,38.86,39.31,687100,0,0
2019-04-03,39.44,39.8,39.2,39.54,704500,0,0
2019-04-04,39.64,40.09,39.51,40.06,441700,0,0
2019-04-05,40.1,40.16,39.64,39.74,396700,0,0
2019-04-08,39.6,39.93,39.48,39.67,648500,0,0
2019-04-09,39.45,39.62,39.15,39.5,394700,0,0
2019-04-10,39.5,39.66,39.28,39.61,430100,0,0
2019-04-11,39.65,39.9,39.6,39.8,350900,0,0
2019-04-12,39.91,40.52,39.87,40.46,760500,0,0
2019-04-15,40.31,40.55,39.54,39.75,556600,0,0
2019-04-16,40.0,40.0,39.57,39.78,482000,0,0
2019-04-17,39.8,39.9,39.44,39.78,454400,0,0
2019-04-18,39.81,40.05,39.52,39.93,624500,0,0
2019-04-22,39.82,40.55,39.82,40.49,630300,0,0
2019-04-23,40.51,40.89,40.43,40.85,735000,0,0
2019-04-24,40.52,40.79,38.2,38.94,1519300,0,0
2019-04-25,39.07,39.6,38.73,39.13,746400,0,0
2019-04-26,39.26,40.2,39.23,39.83,771000,0,0
2019-04-29,39.84,40.26,39.54,40.07,603000,0,0
2019-04-30,39.95,40.24,39.78,40.16,682600,0,0
2019-05-01,40.09,40.75,40.09,40.34,486200,0,0
2019-05-02,40.27,40.45,39.77,40.03,678600,0,0
2019-05-03,40.06,40.49,40.03,40.41,576200,0,0
2019-05-06,39.98,40.21,39.68,40.07,478400,0,0
2019-05-07,39.86,40.05,38.53,38.85,772800,0,0
2019-05-08,38.66,39.42,38.59,39.29,561100,0,0
2019-05-09,39.1,39.41,38.16,39.4,534300,0,0
2019-05-10,39.33,39.86,38.87,39.76,583300,0,0
2019-05-13,39.02,39.3,38.7,38.97,861700,0,0
2019-05-14,38.98,39.54,38.66,38.68,347900,0,0
2019-05-15,38.55,38.73,38.19,38.25,860700,0,0
2019-05-16,38.37,38.57,38.28,38.29,726800,0,0
2019-05-17,38.01,38.69,38.0,38.36,769600,0,0
2019-05-20,38.06,38.5,37.96,38.25,769700,0,0
2019-05-21,38.3,38.71,38.23,38.58,687700,0,0
2019-05-22,38.52,38.54,38.06,38.08,633800,0,0
2019-05-23,37.8,37.8,36.55,37.18,599500,0,0
2019-05-24,37.36,37.81,37.02,37.29,669600,0,0
2019-05-28,37.41,37.57,37.02,37.32,1585100,0,0
2019-05-29,37.11,37.14,36.66,36.94,784500,0,0
2019-05-30,37.04,37.44,36.73,36.81,412700,0,0
2019-05-31,36.48,36.49,35.99,36.14,1310600,0,0
2019-06-03,36.08,36.24,35.43,35.91,752400,0,0
2019-06-04,36.11,36.62,36.07,36.34,695200,0,0
2019-06-05,36.33,36.71,35.78,35.85,612800,0,0
2019-06-06,35.79,36.01,35.54,35.81,636400,0,0
2019-06-07,35.99,36.16,35.69,35.8,674100,0,0
2019-06-10,35.94,36.72,35.94,36.27,756000,0,0
2019-06-11,36.46,36.54,36.04,36.43,924500,0,0
2019-06-12,36.41,36.54,36.13,36.41,952500,0,0
2019-06-13,36.49,37.03,36.29,37.01,713200,0,0
2019-06-14,36.93,37.21,36.59,36.72,563300,0,0
2019-06-17,36.69,37.42,36.51,36.99,656400,0,0
2019-06-18,37.16,38.02,37.16,37.51,694900,0,0
2019-06-19,37.69,38.01,37.46,37.87,841700,0,0
2019-06-20,38.15,38.28,37.47,37.94,673600,0,0
2019-06-21,37.8,37.95,37.41,37.63,1031100,0,0
2019-06-24,37.55,37.75,36.92,37.35,711000,0,0
2019-06-25,37.41,37.46,37.0,37.28,945600,0,0
2019-06-26,37.41,37.47,37.1,37.14,778600,0,0
2019-06-27,37.14,37.65,37.14,37.52,783700,0,0
2019-06-28,37.57,38.0,37.22,37.98,1393100,0,0
2019-07-01,38.25,38.55,38.01,38.51,620800,0,0
2019-07-02,38.43,38.73,38.35,38.6,533200,0,0
2019-07-03,38.64,39.27,38.64,38.97,269600,0,0
2019-07-05,38.76,39.35,38.73,39.17,284300,0,0
2019-07-08,38.91,39.42,38.9,39.25,454300,0,0
2019-07-09,39.2,39.65,39.03,39.41,630800,0,0
2019-07-10,39.46,39.89,39.16,39.68,457600,0,0
2019-07-11,39.78,40.05,39.38,39.54,476400,0,0
2019-07-12,39.6,40.08,39.6,39.91,303700,0,0
2019-07-15,39.87,39.94,39.4,39.9,559300,0,0
2019-07-16,39.99,40.28,39.88,40.0,414600,0,0
2019-07-17,39.93,39.93,39.58,39.65,312800,0,0
2019-07-18,39.44,39.74,39.39,39.62,542200,0,0
2019-07-19,39.74,40.02,39.45,39.74,387300,0,0
2019-07-22,39.75,40.0,39.66,39.7,371300,0,0
2019-07-23,39.73,39.97,39.47,39.69,1028100,0,0
2019-07-24,39.7,40.54,39.7,40.48,484400,0,0
2019-07-25,40.46,40.83,40.36,40.4,702500,0,0
2019-07-26,40.47,41.07,40.34,41.04,513300,0,0
2019-07-29,40.99,41.15,40.29,40.46,740100,0,0
2019-07-30,40.8,41.35,40.26,40.94,598700,0,0
2019-07-31,41.04,42.17,40.81,41.86,981300,0,0
2019-08-01,42.09,42.42,41.6,41.99,888000,0,0
2019-08-02,41.83,42.08,41.44,42.05,557400,0,0
2019-08-05,41.6,41.6,40.12,40.62,593800,0,0
2019-08-06,40.74,41.1,40.55,41.0,409500,0,0
2019-08-07,40.65,41.26,39.91,41.08,467300,0,0
2019-08-08,41.46,41.86,41.09,41.79,550600,0,0
2019-08-09,41.84,41.84,40.93,41.2,546300,0,0
2019-08-12,41.13,41.13,40.5,40.56,248700,0,0
2019-08-13,40.46,41.06,40.21,40.53,485800,0,0
2019-08-14,40.05,40.26,39.78,39.99,772100,0,0
2019-08-15,40.08,40.46,39.77,40.05,593800,0,0
2019-08-16,40.3,40.83,40.25,40.66,237700,0,0
2019-08-19,41.11,41.33,40.92,41.02,228300,0,0
2019-08-20,40.86,41.18,40.62,40.78,225400,0,0
2019-08-21,40.96,41.39,40.75,40.93,441600,0,0
2019-08-22,40.94,41.19,40.65,40.76,346400,0,0
2019-08-23,40.56,40.77,39.58,39.7,312000,0,0
