Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,57.71,57.98,56.76,57.1,5130900,0.0,0
2019-02-06,56.77,56.94,55.88,56.83,5305600,0.0,0
2019-02-07,56.4,56.89,56.35,56.71,3130500,0.0,0
2019-02-08,56.2,56.87,56.04,56.87,3151400,0.0,0
2019-02-11,57.29,57.65,56.82,57.49,4081700,0.0,0
2019-02-12,57.49,57.95,56.74,56.92,3612800,0.0,0
2019-02-13,57.19,57.78,57.03,57.22,3969200,0.0,0
2019-02-14,56.83,57.7,56.38,57.22,5013400,0.0,0
2019-02-15,57.71,57.81,56.86,56.92,4992000,0.0,0
2019-02-19,56.58,57.38,55.9,56.89,5656300,0.0,0
2019-02-20,54.3,54.64,53.45,53.68,11873100,0.0,0
2019-02-21,53.47,54.01,53.32,53.58,4916600,0.0,0
2019-02-22,53.4,53.66,52.75,52.9,4569600,0.0,0
2019-02-25,53.18,53.47,52.88,53.23,5650600,0.0,0
2019-02-26,53.23,53.89,52.95,52.97,5806600,0.0,0
2019-02-27,52.77,53.47,52.59,53.12,5569200,0.0,0
2019-02-28,53.16,56.19,52.96,55.29,15308200,0.0,0
2019-03-01,55.52,55.82,53.32,53.61,9041400,0.0,0
2019-03-04,53.49,53.83,52.54,53.1,4526200,0.0,0
2019-03-05,53.43,53.83,52.76,52.83,5211600,0.16,0
2019-03-06,52.94,53.21,52.2,52.5,5114900,0.0,0
2019-03-07,52.27,52.62,51.41,51.88,5552200,0.0,0
2019-03-08,51.46,51.46,50.78,51.22,4648100,0.0,0
2019-03-11,49.37,51.1,49.3,51.07,6185700,0.0,0
2019-03-12,50.84,50.89,49.38,49.87,8767000,0.0,0
2019-03-13,50.35,51.23,48.07,50.08,12543800,0.0,0
2019-03-14,50.25,51.05,50.08,50.62,7699800,0.0,0
2019-03-15,50.62,51.18,50.41,50.83,7146500,0.0,0
2019-03-18,50.8,50.99,50.46,50.54,4217300,0.0,0
2019-03-19,50.63,51.18,49.95,50.21,4319700,0.0,0
2019-03-20,49.97,50.17,48.89,49.18,5785700,0.0,0
2019-03-21,49.18,50.49,49.18,50.21,5574100,0.0,0
2019-03-22,49.89,49.99,48.78,48.8,4834900,0.0,0
2019-03-25,48.74,49.02,48.02,48.18,4501800,0.0,0
2019-03-26,48.34,48.96,48.07,48.24,3821400,0.0,0
2019-03-27,47.99,49.72,47.99,49.31,8071800,0.0,0
2019-03-28,49.28,50.19,49.2,49.92,7368900,0.0,0
