Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,51.66,52.71,51.31,52.27,739900,0,0
2019-02-06,53.81,53.81,47.83,48.77,1190200,0,0
2019-02-07,48.77,50.46,47.91,50.09,889500,0,0
2019-02-08,49.71,51.34,49.66,51.32,556400,0,0
2019-02-11,51.69,52.63,51.69,52.32,536700,0,0
2019-02-12,52.53,53.89,51.64,53.36,760400,0,0
2019-02-13,53.4,53.63,52.72,53.19,370500,0,0
2019-02-14,53.09,53.89,52.37,53.77,409500,0,0
2019-02-15,54.0,54.51,53.52,54.23,296400,0,0
2019-02-19,54.19,54.8,54.07,54.49,309500,0,0
2019-02-20,54.65,54.83,54.15,54.55,271900,0,0
2019-02-21,54.54,54.54,53.88,54.04,308800,0,0
2019-02-22,54.17,55.0,54.17,54.84,438400,0,0
2019-02-25,55.21,55.39,54.46,54.82,316900,0,0
2019-02-26,54.7,54.89,54.15,54.33,404200,0,0
2019-02-27,54.26,54.98,53.96,54.95,411600,0,0
2019-02-28,55.0,55.19,54.4,54.75,364100,0,0
2019-03-01,54.9,55.38,54.64,54.9,444000,0,0
2019-03-04,55.06,55.24,53.29,53.32,484900,0,0
2019-03-05,53.31,54.13,52.76,53.67,477500,0,0
2019-03-06,53.75,53.83,53.03,53.25,156300,0,0
2019-03-07,53.26,54.0,52.62,53.6,264400,0,0
2019-03-08,53.11,53.5,52.56,53.27,231100,0,0
2019-03-11,53.35,54.48,53.14,54.14,222700,0,0
2019-03-12,54.2,54.33,53.84,53.96,158700,0,0
2019-03-13,54.17,54.67,53.41,53.85,230400,0,0
2019-03-14,53.87,55.39,53.67,55.19,497400,0,0
2019-03-15,55.18,55.73,54.86,55.26,505100,0,0
2019-03-18,55.39,55.93,54.92,55.52,145100,0,0
2019-03-19,55.58,55.74,54.99,55.1,290900,0,0
2019-03-20,55.11,55.99,54.52,55.17,266800,0,0
2019-03-21,54.99,56.72,54.99,56.41,307800,0,0
2019-03-22,56.02,56.25,54.04,54.08,295400,0,0
2019-03-25,53.86,54.94,53.71,54.65,251500,0,0
