Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,80.93,82.39,80.93,81.88,3418900,0.0,0
2019-02-06,87.05,90.25,86.57,87.85,10139100,0.0,0
2019-02-07,86.21,87.71,85.13,86.63,4714400,0.0,0
2019-02-08,85.31,86.32,84.62,85.98,2836600,0.0,0
2019-02-11,86.32,87.96,85.58,87.51,3008900,0.0,0
2019-02-12,88.72,90.3,88.7,90.01,4152400,0.0,0
2019-02-13,89.84,90.32,89.12,89.7,3280200,0.0,0
2019-02-14,89.17,90.25,88.43,89.12,4180300,0.0,0
2019-02-15,89.86,90.06,88.61,89.61,2285100,0.0,0
2019-02-19,89.14,89.87,88.59,89.21,1591000,0.0,0
2019-02-20,89.15,90.35,88.39,88.54,3153500,0.365,0
2019-02-21,88.55,88.96,87.38,87.9,2086000,0.0,0
2019-02-22,88.6,88.89,87.37,87.94,1603400,0.0,0
2019-02-25,89.14,90.01,88.58,88.7,2363200,0.0,0
2019-02-26,88.16,88.92,87.82,87.96,1722800,0.0,0
2019-02-27,87.35,87.67,85.56,85.99,3954000,0.0,0
2019-02-28,85.27,86.25,85.25,85.8,2855200,0.0,0
2019-03-01,86.8,87.81,86.05,87.54,2061900,0.0,0
2019-03-04,88.23,88.46,86.51,87.47,1638700,0.0,0
2019-03-05,87.32,87.41,86.15,86.19,1823000,0.0,0
2019-03-06,86.31,86.98,85.33,85.41,1813700,0.0,0
2019-03-07,84.88,84.97,83.21,83.41,2133700,0.0,0
2019-03-08,82.42,84.33,82.02,84.0,1802300,0.0,0
2019-03-11,84.53,86.06,84.21,85.73,1348800,0.0,0
2019-03-12,86.03,86.03,84.95,85.23,1115000,0.0,0
2019-03-13,85.7,86.0,83.93,84.01,2493100,0.0,0
2019-03-14,83.98,84.41,82.88,82.96,1997600,0.0,0
2019-03-15,83.64,85.82,83.3,85.03,3016200,0.0,0
2019-03-18,84.89,85.37,83.71,84.27,2291900,0.0,0
2019-03-19,84.64,85.27,84.39,85.03,1707200,0.0,0
2019-03-20,85.19,85.65,82.63,83.24,1607400,0.0,0
2019-03-21,83.18,86.61,83.18,86.3,1733200,0.0,0
2019-03-22,85.64,86.27,84.34,84.36,2017300,0.0,0
2019-03-25,83.83,84.21,81.98,82.78,1926300,0.0,0
2019-03-26,83.61,84.35,82.75,83.21,1301100,0.0,0
2019-03-27,83.26,83.66,80.15,80.36,3455800,0.0,0
2019-03-28,80.54,81.37,79.04,80.15,2993800,0.0,0
2019-03-29,81.05,82.21,80.94,81.93,2613200,0.0,0
2019-04-01,83.1,86.55,83.07,86.38,4111400,0.0,0
2019-04-02,86.35,86.78,85.44,86.63,4064900,0.0,0
2019-04-03,88.42,90.23,87.55,89.18,4248400,0.0,0
2019-04-04,89.12,90.56,89.07,90.14,3506600,0.0,0
2019-04-05,90.44,92.05,90.19,91.77,2874100,0.0,0
2019-04-08,91.75,93.07,90.81,92.9,2774200,0.0,0
2019-04-09,92.5,92.6,91.41,91.75,2481800,0.0,0
2019-04-10,91.72,93.28,91.11,93.08,2255700,0.0,0
2019-04-11,92.93,93.22,91.87,92.81,1885700,0.0,0
2019-04-12,94.2,94.7,93.47,94.18,2087600,0.0,0
2019-04-15,94.15,94.87,93.59,94.42,3185600,0.0,0
2019-04-16,94.95,96.67,94.89,96.56,4933200,0.0,0
2019-04-17,99.04,99.04,95.85,98.04,4527300,0.0,0
2019-04-18,98.5,98.66,96.81,97.49,2411800,0.0,0
2019-04-22,97.23,97.5,96.27,96.39,2524100,0.0,0
2019-04-23,96.51,98.02,96.35,96.95,2304300,0.0,0
2019-04-24,96.26,98.73,96.22,97.62,2262200,0.0,0
2019-04-25,96.3,97.06,94.42,96.27,2217600,0.0,0
2019-04-26,94.81,97.25,93.91,97.19,1478600,0.0,0
2019-04-29,97.03,98.05,96.94,97.5,1295000,0.0,0
2019-04-30,98.57,98.78,97.34,98.65,1967400,0.0,0
2019-05-01,99.42,99.91,97.67,97.74,2597000,0.0,0
2019-05-02,97.74,100.1,96.91,98.88,1963800,0.0,0
2019-05-03,99.42,99.6,98.29,99.5,1377200,0.0,0
2019-05-06,95.53,96.18,94.7,95.78,3766200,0.0,0
2019-05-07,94.57,94.61,91.55,92.99,5712400,0.0,0
2019-05-08,88.84,92.9,88.64,90.41,4226300,0.0,0
2019-05-09,88.46,89.01,85.7,88.27,4517600,0.0,0
2019-05-10,88.25,88.84,85.88,88.14,3322800,0.0,0
2019-05-13,84.67,85.59,81.87,82.58,4840100,0.0,0
2019-05-14,83.17,83.95,82.47,83.61,4228500,0.0,0
2019-05-15,82.67,85.38,82.39,84.74,3396100,0.0,0
2019-05-16,83.77,84.47,82.78,84.03,3138200,0.0,0
2019-05-17,82.66,84.3,82.03,82.23,2304600,0.0,0
2019-05-20,79.84,81.1,78.1,78.9,3849500,0.366,0
2019-05-21,80.1,81.6,79.55,81.29,2933300,0.0,0
2019-05-22,80.34,82.41,80.03,81.17,2739600,0.0,0
2019-05-23,79.86,81.01,79.09,80.94,2895200,0.0,0
2019-05-24,81.48,82.15,79.73,79.78,1785400,0.0,0
2019-05-28,79.89,80.21,77.04,78.48,3822400,0.0,0
2019-05-29,77.94,80.56,77.56,79.9,2951700,0.0,0
2019-05-30,79.99,81.27,79.9,80.69,3208000,0.0,0
2019-05-31,79.24,81.27,78.92,79.39,4089900,0.0,0
2019-06-03,79.75,81.3,78.7,79.11,2688900,0.0,0
2019-06-04,80.29,83.67,79.81,83.59,2465500,0.0,0
2019-06-05,84.3,84.46,80.34,81.67,1969900,0.0,0
2019-06-06,81.92,82.83,80.96,82.46,1943700,0.0,0
2019-06-07,83.07,84.32,82.5,83.0,1897400,0.0,0
2019-06-10,84.07,85.97,83.92,85.06,2310400,0.0,0
2019-06-11,86.54,86.72,82.99,84.66,2194500,0.0,0
2019-06-12,84.19,84.19,82.53,83.14,1437300,0.0,0
2019-06-13,83.56,84.4,82.97,83.43,2610500,0.0,0
2019-06-14,80.76,82.85,79.51,82.52,3423000,0.0,0
2019-06-17,82.05,82.78,80.47,80.58,1951000,0.0,0
2019-06-18,81.74,85.05,81.19,84.32,3060900,0.0,0
2019-06-19,85.06,85.06,83.91,84.07,1831100,0.0,0
2019-06-20,86.3,86.46,84.55,84.89,1612200,0.0,0
2019-06-21,84.59,85.29,83.84,84.42,3285200,0.0,0
2019-06-24,84.43,84.9,84.0,84.45,1817900,0.0,0
2019-06-25,86.14,86.14,83.19,83.27,2215200,0.0,0
2019-06-26,85.06,86.84,84.38,86.47,2484600,0.0,0
2019-06-27,87.29,88.42,86.3,86.44,2300900,0.0,0
2019-06-28,87.3,87.94,85.92,86.01,6180100,0.0,0
2019-07-01,89.54,90.79,89.28,90.67,4059300,0.0,0
2019-07-02,90.67,90.76,88.58,89.02,2158600,0.0,0
2019-07-03,88.75,89.44,87.77,89.05,933700,0.0,0
2019-07-05,87.92,88.79,87.12,88.52,1268200,0.0,0
2019-07-08,87.59,88.18,87.1,87.23,1357700,0.0,0
2019-07-09,86.46,88.59,86.43,88.51,1791300,0.0,0
2019-07-10,89.29,90.63,88.44,88.64,1380300,0.0,0
2019-07-11,88.54,89.33,87.59,89.01,1833400,0.0,0
2019-07-12,89.59,91.05,89.12,90.98,1582400,0.0,0
2019-07-15,91.36,92.09,90.89,91.86,1503500,0.0,0
2019-07-16,90.77,90.99,89.5,90.02,1608700,0.0,0
2019-07-17,90.06,90.62,89.31,90.03,1182300,0.0,0
2019-07-18,90.41,92.24,90.19,92.16,1437100,0.0,0
2019-07-19,93.01,93.12,91.51,91.57,1927900,0.0,0
2019-07-22,92.24,93.42,92.0,92.81,1526800,0.0,0
2019-07-23,93.45,94.82,92.96,94.8,1765700,0.0,0
2019-07-24,96.67,99.26,95.9,99.04,4066000,0.0,0
2019-07-25,97.87,98.24,96.3,97.26,1673700,0.0,0
2019-07-26,97.85,97.94,96.64,97.32,1169600,0.0,0
2019-07-29,97.59,97.9,96.63,97.59,1717600,0.0,0
2019-07-30,96.05,96.59,95.16,96.21,2105400,0.0,0
2019-07-31,96.02,96.02,92.13,93.66,2633000,0.0,0
2019-08-01,93.69,95.91,89.72,90.87,2624100,0.0,0
2019-08-02,90.43,90.43,87.16,87.35,3481200,0.0,0
2019-08-05,85.1,85.1,82.22,82.95,4464100,0.0,0
2019-08-06,84.65,85.8,83.34,84.38,4234900,0.0,0
2019-08-07,85.31,88.11,84.78,87.71,3983200,0.0,0
2019-08-08,88.01,90.1,87.31,90.07,2043700,0.0,0
2019-08-09,89.06,89.06,86.47,87.15,1878200,0.0,0
