Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,159.16,161.38,159.16,161.13,1023700,0.0,0
2019-02-06,160.35,160.84,158.76,160.07,1369500,0.0,0
2019-02-07,157.86,159.48,157.12,159.14,958600,0.0,0
2019-02-08,158.07,159.56,157.42,159.4,940800,0.0,0
2019-02-11,160.05,160.9,159.23,160.17,583800,0.0,0
2019-02-12,161.35,161.7,160.17,161.5,652200,0.0,0
2019-02-13,162.54,164.13,162.16,162.95,564800,0.0,0
2019-02-14,161.79,162.9,160.93,162.08,1378800,0.0,0
2019-02-15,168.27,170.24,165.13,167.55,2228800,0.0,0
2019-02-19,167.14,167.93,164.33,166.26,978500,0.0,0
2019-02-20,166.74,167.94,166.28,167.75,837400,0.0,0
2019-02-21,168.03,169.05,167.04,168.88,1209800,0.0,0
2019-02-22,169.65,171.7,169.42,171.46,862300,0.5,0
2019-02-25,172.25,173.82,170.84,171.26,946200,0.0,0
2019-02-26,170.86,172.44,170.29,171.25,715600,0.0,0
2019-02-27,170.7,172.56,170.44,172.35,618500,0.0,0
2019-02-28,172.65,173.61,171.53,171.88,822700,0.0,0
2019-03-01,173.6,174.73,173.37,174.41,780900,0.0,0
2019-03-04,174.29,175.73,169.31,171.0,1295400,0.0,0
2019-03-05,171.0,172.41,169.54,169.83,910600,0.0,0
2019-03-06,169.82,170.34,167.81,168.93,926000,0.0,0
2019-03-07,168.32,169.14,166.99,168.14,904400,0.0,0
2019-03-08,166.98,168.88,166.57,168.72,681900,0.0,0
2019-03-11,168.86,170.81,168.86,170.31,802000,0.0,0
2019-03-12,170.76,172.3,170.48,171.19,987000,0.0,0
2019-03-13,171.92,173.3,171.17,172.31,957200,0.0,0
2019-03-14,172.52,173.82,171.89,173.72,949500,0.0,0
2019-03-15,173.87,175.85,173.37,175.42,1188400,0.0,0
2019-03-18,175.73,176.86,175.28,176.69,821900,0.0,0
2019-03-19,177.71,178.14,176.73,177.35,647700,0.0,0
2019-03-20,176.99,177.03,175.09,175.98,1269800,0.0,0
2019-03-21,175.06,181.22,175.06,180.68,1706100,0.0,0
2019-03-22,179.21,179.67,176.41,176.61,990200,0.0,0
2019-03-25,176.53,177.37,175.23,176.13,826700,0.0,0
2019-03-26,178.02,178.07,174.65,176.63,1108800,0.0,0
2019-03-27,176.72,177.22,175.09,176.56,973900,0.0,0
2019-03-28,176.92,178.53,176.65,178.1,656000,0.0,0
2019-03-29,179.69,180.3,178.68,179.79,1052300,0.0,0
2019-04-01,181.48,183.25,181.36,183.15,739600,0.0,0
2019-04-02,183.56,184.16,182.09,183.72,1245500,0.0,0
2019-04-03,185.11,185.95,184.17,184.88,767400,0.0,0
2019-04-04,185.44,186.3,184.37,185.49,546600,0.0,0
2019-04-05,186.34,187.15,185.25,185.89,652100,0.0,0
2019-04-08,185.36,186.47,184.3,185.82,954600,0.0,0
2019-04-09,184.91,185.68,184.08,185.32,771700,0.0,0
2019-04-10,185.48,186.48,183.46,183.95,1051300,0.0,0
2019-04-11,184.28,184.29,183.24,183.92,862300,0.0,0
2019-04-12,185.56,185.92,184.5,185.76,679800,0.0,0
2019-04-15,185.79,188.13,185.79,187.85,609300,0.0,0
2019-04-16,187.91,189.41,187.54,189.17,718000,0.0,0
2019-04-17,189.31,189.92,186.62,186.62,708100,0.0,0
2019-04-18,186.45,188.18,185.94,187.7,627300,0.0,0
2019-04-22,187.06,187.88,186.31,186.74,673100,0.0,0
2019-04-23,186.97,188.45,185.37,187.28,1211700,0.0,0
2019-04-24,187.27,193.56,184.31,192.97,1607300,0.0,0
2019-04-25,192.39,192.9,189.03,191.84,950900,0.0,0
2019-04-26,192.06,194.44,190.89,194.15,732100,0.0,0
2019-04-29,193.94,194.96,192.87,193.3,733100,0.0,0
2019-04-30,193.1,195.49,192.21,195.21,868000,0.0,0
2019-05-01,195.53,195.99,192.13,192.51,832500,0.0,0
2019-05-02,192.26,193.4,190.73,191.38,784900,0.0,0
2019-05-03,192.64,195.14,191.7,195.03,526100,0.0,0
2019-05-06,191.04,196.31,191.03,195.82,664000,0.0,0
2019-05-07,193.16,194.41,189.63,191.25,806300,0.0,0
2019-05-08,191.21,192.79,190.51,190.64,603800,0.0,0
2019-05-09,190.07,190.07,185.87,187.52,997800,0.0,0
2019-05-10,186.49,187.96,182.94,187.63,921100,0.0,0
2019-05-13,183.34,184.45,181.53,182.19,742100,0.0,0
2019-05-14,182.99,187.24,181.92,185.4,744000,0.0,0
2019-05-15,183.52,186.49,183.24,185.31,766700,0.0,0
2019-05-16,185.9,189.43,184.66,187.91,761800,0.0,0
2019-05-17,185.67,187.18,184.73,185.08,696800,0.5,0
2019-05-20,184.19,185.49,182.65,183.93,753300,0.0,0
2019-05-21,185.21,187.01,185.21,186.85,701400,0.0,0
2019-05-22,186.62,189.53,186.62,189.0,788600,0.0,0
2019-05-23,186.53,187.49,183.26,183.76,1093700,0.0,0
2019-05-24,185.61,185.68,182.74,184.26,1028900,0.0,0
2019-05-28,184.8,190.53,184.8,186.54,3301900,0.0,0
2019-05-29,185.59,187.49,184.67,185.38,933300,0.0,0
2019-05-30,185.71,187.39,185.59,186.45,706300,0.0,0
2019-05-31,184.72,185.36,181.78,182.05,905600,0.0,0
2019-06-03,182.15,184.05,178.94,180.18,1117600,0.0,0
2019-06-04,181.2,184.11,180.82,184.02,736500,0.0,0
2019-06-05,184.81,186.23,182.71,185.99,744800,0.0,0
2019-06-06,186.1,188.92,185.92,188.05,567800,0.0,0
2019-06-07,189.13,190.66,188.89,189.04,476800,0.0,0
2019-06-10,190.04,192.21,189.8,191.07,763800,0.0,0
2019-06-11,192.33,192.33,187.0,189.01,772100,0.0,0
2019-06-12,188.62,190.36,187.63,189.95,688900,0.0,0
2019-06-13,190.86,191.59,188.52,191.48,792100,0.0,0
2019-06-14,189.61,192.68,189.61,191.42,653900,0.0,0
2019-06-17,191.97,193.0,190.18,190.95,788200,0.0,0
2019-06-18,191.08,193.77,191.08,193.15,609700,0.0,0
2019-06-19,193.69,196.4,192.62,195.17,1208000,0.0,0
2019-06-20,197.54,200.46,196.14,196.45,1879400,0.0,0
2019-06-21,196.66,196.66,193.36,193.67,2023600,0.0,0
2019-06-24,194.02,195.54,193.96,194.22,1391000,0.0,0
2019-06-25,195.1,196.48,192.88,192.91,1833700,0.0,0
2019-06-26,193.63,193.63,191.73,193.01,626200,0.0,0
2019-06-27,194.26,194.76,192.67,194.44,409600,0.0,0
2019-06-28,195.38,196.74,194.42,194.42,3133100,0.0,0
2019-07-01,197.55,198.46,196.54,197.43,1091300,0.0,0
2019-07-02,197.22,199.68,197.22,199.35,655600,0.0,0
2019-07-03,200.52,201.81,199.36,201.69,277100,0.0,0
2019-07-05,201.09,201.48,198.12,200.51,605600,0.0,0
2019-07-08,199.28,199.63,195.98,196.68,479400,0.0,0
2019-07-09,195.06,197.3,194.54,197.15,521200,0.0,0
2019-07-10,199.7,200.01,198.25,198.86,607500,0.0,0
2019-07-11,199.27,202.01,198.95,200.74,579700,0.0,0
2019-07-12,201.86,204.4,200.83,204.37,564500,0.0,0
2019-07-15,204.27,204.45,203.16,204.06,398700,0.0,0
2019-07-16,205.15,205.15,202.44,204.04,645700,0.0,0
2019-07-17,203.94,204.12,201.78,201.85,709000,0.0,0
2019-07-18,202.02,203.61,201.83,203.34,343100,0.0,0
2019-07-19,203.96,204.05,199.88,199.97,522500,0.0,0
2019-07-22,200.07,202.14,199.55,201.35,401900,0.0,0
2019-07-23,202.34,202.34,200.23,201.73,367500,0.0,0
2019-07-24,200.87,202.23,198.9,202.1,530100,0.0,0
2019-07-25,201.6,201.89,199.52,199.94,517400,0.0,0
2019-07-26,200.09,203.23,200.09,202.47,656900,0.0,0
2019-07-29,202.57,202.78,200.49,200.55,731000,0.0,0
2019-07-30,200.19,201.4,199.05,201.32,621500,0.0,0
2019-07-31,207.7,215.75,206.06,213.36,2159000,0.0,0
2019-08-01,211.92,219.67,211.16,215.06,1582900,0.0,0
2019-08-02,214.91,215.6,210.93,213.32,865000,0.0,0
2019-08-05,211.25,211.25,199.73,201.77,1222100,0.0,0
2019-08-06,203.09,205.62,202.09,205.36,856900,0.0,0
2019-08-07,200.92,207.77,200.17,207.3,599600,0.0,0
2019-08-08,209.5,214.14,209.04,213.67,546000,0.0,0
2019-08-09,212.89,214.43,210.82,213.15,524700,0.0,0
2019-08-12,211.74,212.59,209.41,211.96,494500,0.0,0
2019-08-13,211.43,214.2,210.59,212.53,638800,0.0,0
2019-08-14,209.21,210.28,204.08,205.57,843700,0.0,0
2019-08-15,206.39,209.8,205.29,208.99,454000,0.0,0
2019-08-16,211.54,213.88,209.93,213.31,594400,0.0,0
2019-08-19,215.46,217.82,215.46,217.04,526500,0.5,0
2019-08-20,216.43,217.72,214.92,216.16,515300,0.0,0
2019-08-21,217.97,219.25,217.71,218.55,512400,0.0,0
2019-08-22,219.32,219.49,215.8,216.29,893000,0.0,0
2019-08-23,215.52,215.76,208.67,209.93,946600,0.0,0
2019-08-26,211.53,212.61,209.9,211.79,422000,0.0,0
2019-08-27,213.0,214.12,212.24,212.79,735600,0.0,0
2019-08-28,212.08,215.86,211.73,213.88,595200,0.0,0
2019-08-29,216.52,217.21,214.79,215.88,612000,0.0,0
2019-08-30,217.71,217.91,213.89,215.1,654700,0.0,0
2019-09-03,213.47,215.25,210.42,212.66,812700,0.0,0
2019-09-04,213.61,215.18,211.42,213.22,806900,0.0,0
2019-09-05,216.04,220.01,214.62,219.09,853700,0.0,0
2019-09-06,219.16,222.35,218.6,220.05,510800,0.0,0
2019-09-09,221.08,221.08,215.5,216.88,736100,0.0,0
2019-09-10,216.41,216.41,208.95,210.99,1142200,0.0,0
2019-09-11,211.53,212.92,207.81,212.61,772400,0.0,0
2019-09-12,214.11,215.05,211.38,212.5,861800,0.0,0
2019-09-13,213.99,213.99,209.8,211.81,690400,0.0,0
2019-09-16,210.72,212.86,209.93,212.85,547800,0.0,0
2019-09-17,213.34,218.07,213.27,217.67,638700,0.0,0
2019-09-18,218.41,218.41,212.81,216.28,1302000,0.0,0
2019-09-19,215.77,217.57,215.1,216.09,1140800,0.0,0
2019-09-20,217.13,217.13,213.17,213.6,1520800,0.0,0
2019-09-23,215.0,215.01,211.58,214.9,1068600,0.0,0
2019-09-24,215.69,216.52,210.01,210.11,1608000,0.0,0
2019-09-25,210.4,213.8,209.86,213.25,722100,0.0,0
2019-09-26,213.35,213.95,211.24,212.7,702100,0.0,0
2019-09-27,214.96,215.26,202.76,205.42,1727400,0.0,0
2019-09-30,204.54,207.49,204.02,204.37,933600,0.0,0
2019-10-01,205.02,205.43,200.93,201.04,891200,0.0,0
2019-10-02,199.4,200.39,195.89,196.37,1327000,0.0,0
2019-10-03,196.73,199.62,195.13,199.11,665200,0.0,0
2019-10-04,199.63,203.22,199.38,203.11,522200,0.0,0
2019-10-07,204.37,209.65,204.37,207.74,1016700,0.0,0
2019-10-08,206.33,208.38,203.28,205.3,1085700,0.0,0
2019-10-09,207.64,210.2,206.78,209.18,570200,0.0,0
2019-10-10,208.72,212.25,208.29,210.58,474400,0.0,0
2019-10-11,214.52,215.79,213.29,213.62,873000,0.0,0
2019-10-14,213.46,215.44,212.72,213.99,835100,0.0,0
2019-10-15,215.45,218.63,214.98,218.2,664200,0.0,0
2019-10-16,217.39,217.39,214.03,216.67,511500,0.0,0
2019-10-17,217.01,218.66,216.43,218.28,430000,0.0,0
2019-10-18,217.65,218.27,215.29,216.81,608900,0.0,0
2019-10-21,217.78,218.91,216.48,218.8,476500,0.0,0
2019-10-22,218.72,219.18,212.55,212.72,462600,0.0,0
2019-10-23,212.44,213.04,209.28,211.5,975500,0.0,0
2019-10-24,212.72,215.7,212.06,215.1,348800,0.0,0
2019-10-25,214.86,216.88,214.86,215.53,391700,0.0,0
2019-10-28,216.52,217.43,215.47,215.81,494600,0.0,0
2019-10-29,216.88,220.93,216.57,219.91,1072400,0.0,0
2019-10-30,221.69,221.69,211.66,217.75,1124800,0.0,0
2019-10-31,217.55,221.94,217.55,220.2,669700,0.0,0
2019-11-01,221.95,223.32,219.59,220.01,569100,0.0,0
2019-11-04,221.87,221.91,217.22,217.51,558800,0.0,0
2019-11-05,218.01,218.14,211.03,212.58,965000,0.0,0
2019-11-06,212.52,216.07,211.8,215.32,882200,0.0,0
2019-11-07,216.58,218.54,214.93,217.78,609100,0.0,0
2019-11-08,217.36,218.76,216.13,217.64,467000,0.0,0
2019-11-11,215.78,218.66,214.95,217.56,440000,0.0,0
2019-11-12,217.44,219.27,216.63,216.97,469100,0.0,0
2019-11-13,216.18,219.42,215.95,218.25,520200,0.0,0
2019-11-14,218.15,218.66,215.43,218.37,417500,0.0,0
2019-11-15,219.51,220.17,218.11,219.66,524600,0.0,0
2019-11-18,219.81,221.02,219.43,220.89,577800,0.0,0
2019-11-19,221.31,224.9,220.88,223.37,689600,0.0,0
2019-11-20,223.95,226.74,222.17,223.91,745100,0.5,0
2019-11-21,223.66,225.2,222.11,224.14,698500,0.0,0
2019-11-22,224.97,226.0,221.43,222.95,619200,0.0,0
2019-11-25,223.73,226.29,223.27,225.74,793400,0.0,0
2019-11-26,225.75,227.82,225.64,226.73,753700,0.0,0
2019-11-27,227.04,227.39,224.01,226.53,844700,0.0,0
2019-11-29,225.89,228.21,225.44,226.67,387600,0.0,0
2019-12-02,226.5,227.95,224.17,225.2,556500,0.0,0
2019-12-03,222.45,224.98,222.45,224.8,456500,0.0,0
2019-12-04,225.0,226.9,224.26,226.8,516700,0.0,0
2019-12-05,226.93,229.53,225.21,229.36,556000,0.0,0
2019-12-06,231.48,232.69,229.7,231.77,724700,0.0,0
2019-12-09,232.15,232.72,230.39,230.55,689700,0.0,0
2019-12-10,230.48,231.64,229.53,231.05,449800,0.0,0
2019-12-11,231.75,233.6,231.13,233.25,791600,0.0,0
2019-12-12,234.0,236.29,232.75,234.33,1179200,0.0,0
2019-12-13,233.53,236.86,231.84,235.08,518700,0.0,0
2019-12-16,237.21,239.52,235.82,236.1,662700,0.0,0
2019-12-17,236.83,236.83,234.12,235.36,752600,0.0,0
2019-12-18,236.67,236.89,235.52,236.48,973500,0.0,0
2019-12-19,235.58,240.06,235.58,238.2,900500,0.0,0
2019-12-20,238.99,239.67,237.61,238.14,1187200,0.0,0
2019-12-23,239.19,240.22,236.57,237.06,947200,0.0,0
2019-12-24,237.35,238.5,236.09,238.18,159200,0.0,0
2019-12-26,238.76,239.86,238.16,239.06,266300,0.0,0
2019-12-27,239.81,240.31,238.19,239.3,551100,0.0,0
2019-12-30,239.02,239.34,236.07,237.66,340000,0.0,0
2019-12-31,236.85,238.7,236.37,237.41,594100,0.0,0
2020-01-02,238.68,241.73,238.01,241.72,869700,0.0,0
2020-01-03,238.82,241.61,238.56,241.12,475800,0.0,0
2020-01-06,239.67,241.95,239.24,241.87,714900,0.0,0
2020-01-07,242.58,245.21,240.81,241.0,743700,0.0,0
2020-01-08,242.05,247.24,242.05,245.62,887200,0.0,0
2020-01-09,246.57,249.43,246.42,248.85,811100,0.0,0
2020-01-10,250.0,250.77,247.04,248.03,594300,0.0,0
2020-01-13,248.17,251.52,248.17,251.49,707000,0.0,0
2020-01-14,251.29,252.11,249.23,249.43,551800,0.0,0
2020-01-15,249.31,254.65,248.85,253.03,856700,0.0,0
2020-01-16,254.95,256.22,254.17,256.05,603200,0.0,0
2020-01-17,257.62,258.27,255.77,257.63,830400,0.0,0
2020-01-21,256.84,258.11,255.77,256.34,911000,0.0,0
