Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,50.19,50.67,49.87,50.21,523100,0.0,0
2019-02-06,50.16,50.76,49.97,50.55,451800,0.0,0
2019-02-07,50.57,51.01,50.44,50.9,362100,0.0,0
2019-02-08,50.76,51.19,50.52,50.96,450800,0.0,0
2019-02-11,50.2,50.24,46.65,47.39,1894300,0.0,0
2019-02-12,47.31,48.84,47.24,48.55,864600,0.0,0
2019-02-13,48.54,52.05,48.37,51.89,1155400,0.0,0
2019-02-14,51.75,51.95,50.04,50.26,592500,0.0,0
2019-02-15,50.44,51.34,50.27,51.29,358900,0.0,0
2019-02-19,50.75,51.65,50.58,51.56,302900,0.0,0
2019-02-20,51.41,52.05,51.21,51.71,294600,0.0,0
2019-02-21,51.71,51.89,50.44,50.91,359500,0.0,0
2019-02-22,50.86,51.56,50.67,51.44,250900,0.0,0
2019-02-25,51.57,52.03,50.94,51.08,192200,0.0,0
2019-02-26,50.85,51.15,50.46,50.58,257000,0.0,0
2019-02-27,50.41,50.73,50.29,50.45,160200,0.0,0
2019-02-28,50.42,50.74,50.32,50.54,226400,0.0,0
2019-03-01,50.8,51.2,50.64,51.04,141900,0.0,0
2019-03-04,51.11,51.21,50.09,50.31,310900,0.0,0
2019-03-05,50.29,50.56,49.81,50.12,213500,0.0,0
2019-03-06,50.12,50.4,49.04,49.07,266600,0.0,0
2019-03-07,49.14,49.2,48.57,48.8,185100,0.0,0
2019-03-08,48.53,48.95,48.46,48.6,177700,0.0,0
2019-03-11,48.84,48.93,48.49,48.78,204700,0.0,0
2019-03-12,48.85,48.98,48.54,48.81,165300,0.0,0
2019-03-13,48.93,49.27,48.54,48.66,329000,0.628,0
2019-03-14,48.71,49.41,48.54,49.03,210500,0.0,0
2019-03-15,49.11,49.55,48.84,48.96,486300,0.0,0
2019-03-18,48.98,50.07,48.84,49.66,184100,0.0,0
2019-03-19,49.73,50.07,48.92,49.08,137600,0.0,0
2019-03-20,48.94,49.37,48.59,48.78,268700,0.0,0
2019-03-21,48.61,49.74,48.36,49.26,170000,0.0,0
2019-03-22,49.0,49.13,48.05,48.1,293900,0.0,0
2019-03-25,48.21,48.65,47.89,48.18,295900,0.0,0
2019-03-26,48.31,48.64,47.83,48.2,373300,0.0,0
2019-03-27,48.15,49.34,47.84,48.85,1006700,0.0,0
2019-03-28,49.09,49.52,48.33,48.62,272200,0.0,0
2019-03-29,48.98,48.98,48.06,48.36,270200,0.0,0
2019-04-01,48.64,48.65,48.11,48.65,372600,0.0,0
2019-04-02,48.66,48.75,48.25,48.3,217300,0.0,0
2019-04-03,48.53,48.57,47.99,48.33,196800,0.0,0
2019-04-04,48.3,48.79,48.24,48.75,212500,0.0,0
2019-04-05,48.94,49.67,48.44,49.44,558000,0.0,0
2019-04-08,49.37,50.02,48.21,48.58,200000,0.0,0
2019-04-09,48.43,48.5,47.55,47.81,210400,0.0,0
2019-04-10,47.81,48.58,47.81,48.52,248600,0.0,0
2019-04-11,48.72,48.95,48.22,48.52,940000,0.0,0
2019-04-12,48.72,48.93,48.29,48.8,397900,0.0,0
2019-04-15,48.87,49.1,48.53,48.67,397300,0.0,0
2019-04-16,48.95,49.71,48.84,49.68,498200,0.0,0
2019-04-17,49.69,49.75,49.27,49.5,176100,0.0,0
2019-04-18,49.59,49.77,49.32,49.36,152700,0.0,0
2019-04-22,49.26,49.28,48.45,48.76,186500,0.0,0
2019-04-23,48.91,49.72,48.81,49.65,290900,0.0,0
2019-04-24,49.63,50.06,49.49,49.75,233300,0.0,0
2019-04-25,49.5,50.46,49.3,50.34,164000,0.0,0
2019-04-26,50.41,51.56,50.41,51.3,416300,0.0,0
2019-04-29,52.71,53.08,50.42,51.19,406200,0.0,0
2019-04-30,51.02,52.04,50.34,51.95,550900,0.0,0
2019-05-01,52.04,53.75,51.9,52.96,357000,0.0,0
2019-05-02,52.76,53.76,52.68,53.53,290800,0.0,0
2019-05-03,53.53,54.49,53.43,54.4,320700,0.0,0
2019-05-06,53.81,53.87,53.12,53.57,297000,0.0,0
2019-05-07,53.39,53.98,52.89,53.9,348300,0.0,0
2019-05-08,53.91,54.76,53.85,54.0,322500,0.0,0
2019-05-09,53.61,54.15,53.25,53.91,142700,0.0,0
2019-05-10,53.81,54.57,53.38,54.41,200500,0.0,0
2019-05-13,53.75,53.96,53.07,53.37,153800,0.0,0
2019-05-14,53.45,54.08,53.39,53.73,122200,0.0,0
2019-05-15,53.62,54.29,53.51,54.06,322700,0.0,0
2019-05-16,54.2,54.71,53.89,54.09,162700,0.0,0
2019-05-17,53.74,54.33,53.68,53.76,189100,0.0,0
2019-05-20,53.67,54.21,53.56,53.86,159300,0.0,0
2019-05-21,54.16,55.06,53.76,54.89,228000,0.0,0
2019-05-22,54.87,55.13,54.63,54.94,128400,0.0,0
2019-05-23,54.73,54.84,54.05,54.27,185700,0.0,0
2019-05-24,54.47,55.18,54.46,55.07,145800,0.0,0
2019-05-28,55.11,55.29,53.87,53.87,223400,0.0,0
2019-05-29,53.82,55.12,53.39,55.06,201900,0.0,0
2019-05-30,55.57,56.13,55.24,55.71,248900,0.0,0
2019-05-31,55.48,56.06,54.7,55.69,212300,0.0,0
2019-06-03,55.75,56.78,55.65,56.71,284700,0.0,0
2019-06-04,57.04,57.72,56.89,57.71,376800,0.0,0
2019-06-05,57.88,58.11,57.39,58.11,401500,0.0,0
2019-06-06,58.22,58.3,57.38,57.58,255800,0.0,0
