Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,24.94,25.1,24.81,25.04,920000,0.0,0
2019-02-06,24.74,25.03,24.25,24.49,1093300,0.0,0
2019-02-07,24.46,25.0,24.32,24.99,800200,0.0,0
2019-02-08,24.94,25.08,24.84,25.07,707900,0.0,0
2019-02-11,25.02,25.07,24.88,24.99,534400,0.0,0
2019-02-12,25.01,25.26,24.91,25.17,846500,0.0,0
2019-02-13,25.09,25.46,25.09,25.46,1461900,0.0,0
2019-02-14,25.56,25.75,25.43,25.47,1477000,0.0,0
2019-02-15,25.51,25.74,25.36,25.47,799300,0.0,0
2019-02-19,25.43,25.63,25.33,25.56,1108100,0.0,0
2019-02-20,25.56,25.77,25.44,25.73,649200,0.0,0
2019-02-21,25.7,26.04,25.59,26.02,564700,0.0,0
2019-02-22,25.99,26.24,25.99,26.23,603000,0.0,0
2019-02-25,26.21,26.38,25.82,25.96,1284700,0.0,0
2019-02-26,26.02,26.05,25.27,25.35,1205700,0.0,0
2019-02-27,25.27,25.43,25.04,25.42,1175900,0.0,0
2019-02-28,25.42,25.67,25.24,25.63,1175600,0.0,0
2019-03-01,25.67,25.85,25.46,25.81,750400,0.0,0
2019-03-04,25.88,25.91,25.64,25.87,1002900,0.0,0
2019-03-05,25.83,25.89,25.59,25.62,677600,0.0,0
2019-03-06,25.67,25.69,25.45,25.46,1005800,0.0,0
2019-03-07,25.56,25.75,25.42,25.56,885300,0.0,0
2019-03-08,25.62,25.62,25.14,25.23,1127600,0.0,0
2019-03-11,25.28,25.64,25.22,25.62,1381300,0.0,0
2019-03-12,25.65,25.71,25.53,25.68,1211500,0.0,0
2019-03-13,25.63,25.65,24.72,25.17,1937000,0.203,0
2019-03-14,25.18,25.32,25.0,25.12,844200,0.0,0
2019-03-15,25.13,25.3,25.09,25.18,2290500,0.0,0
2019-03-18,25.18,25.27,25.1,25.22,1101200,0.0,0
2019-03-19,25.23,25.23,24.83,24.84,993200,0.0,0
2019-03-20,24.9,24.93,24.58,24.63,951700,0.0,0
2019-03-21,24.56,24.99,24.48,24.88,701700,0.0,0
2019-03-22,24.98,25.05,24.74,24.78,876400,0.0,0
2019-03-25,24.73,24.99,24.63,24.93,1724900,0.0,0
2019-03-26,24.98,25.29,24.96,25.18,1165100,0.0,0
2019-03-27,25.13,25.23,24.99,25.12,828700,0.0,0
2019-03-28,25.12,25.24,24.94,25.01,1021700,0.0,0
2019-03-29,25.1,25.31,24.98,25.25,837200,0.0,0
2019-04-01,25.27,25.46,25.13,25.42,659800,0.0,0
2019-04-02,25.48,25.49,25.06,25.11,979600,0.0,0
2019-04-03,25.04,25.24,25.01,25.11,727900,0.0,0
2019-04-04,25.22,25.35,25.11,25.35,636300,0.0,0
2019-04-05,25.42,25.66,25.24,25.65,813400,0.0,0
2019-04-08,25.61,25.75,25.29,25.43,490600,0.0,0
2019-04-09,25.35,25.38,25.15,25.17,732700,0.0,0
2019-04-10,25.24,25.43,25.05,25.07,590900,0.0,0
2019-04-11,25.13,25.23,25.01,25.18,599300,0.0,0
2019-04-12,25.14,25.25,24.99,25.22,523900,0.0,0
2019-04-15,25.22,25.38,25.12,25.18,585000,0.0,0
2019-04-16,25.18,25.28,24.89,25.01,492700,0.0,0
2019-04-17,25.01,25.07,24.76,24.79,1311000,0.0,0
2019-04-18,24.84,25.19,24.82,25.02,1235100,0.0,0
2019-04-22,24.99,25.07,24.69,24.84,1501700,0.0,0
2019-04-23,24.88,25.11,24.78,25.0,1437800,0.0,0
2019-04-24,25.12,25.18,24.93,25.04,904000,0.0,0
2019-04-25,24.87,25.26,24.79,24.93,881800,0.0,0
2019-04-26,25.11,25.21,24.87,25.01,1380000,0.0,0
2019-04-29,24.88,25.04,24.7,24.89,751600,0.0,0
2019-04-30,24.9,25.66,24.83,25.57,2814700,0.0,0
2019-05-01,24.84,25.46,24.69,24.88,2407800,0.0,0
2019-05-02,25.11,25.72,24.98,25.35,1364900,0.0,0
2019-05-03,25.47,26.0,25.44,25.93,1410400,0.0,0
2019-05-06,25.89,26.05,25.68,25.69,848300,0.0,0
2019-05-07,25.68,25.77,25.19,25.37,1065900,0.0,0
2019-05-08,25.36,25.4,25.2,25.28,1106200,0.0,0
2019-05-09,25.21,25.32,24.72,25.08,840700,0.0,0
2019-05-10,25.06,25.27,24.88,25.17,1222100,0.0,0
2019-05-13,25.03,25.06,24.86,25.01,657700,0.0,0
2019-05-14,25.02,25.1,24.71,24.72,767700,0.0,0
2019-05-15,24.72,24.96,24.67,24.78,975800,0.0,0
2019-05-16,24.73,24.93,24.7,24.78,891500,0.0,0
2019-05-17,24.63,24.72,24.57,24.61,893400,0.0,0
2019-05-20,24.61,24.74,24.5,24.66,1196700,0.0,0
2019-05-21,24.77,24.93,24.74,24.87,1454800,0.0,0
2019-05-22,24.89,24.91,24.73,24.81,1002400,0.0,0
2019-05-23,24.78,24.9,24.65,24.78,562200,0.0,0
2019-05-24,24.78,24.95,24.75,24.86,669300,0.0,0
2019-05-28,24.92,24.93,24.69,24.7,1688500,0.0,0
2019-05-29,24.79,24.79,24.24,24.24,857500,0.0,0
2019-05-30,24.2,24.34,23.88,24.0,759000,0.0,0
2019-05-31,23.94,24.25,23.83,24.13,2192600,0.0,0
2019-06-03,24.26,24.61,24.13,24.5,2768100,0.0,0
2019-06-04,24.57,24.86,24.35,24.84,1304000,0.0,0
2019-06-05,24.85,25.07,24.83,24.97,1459300,0.0,0
2019-06-06,25.0,25.22,24.96,25.1,1819700,0.0,0
2019-06-07,25.2,25.57,25.13,25.13,4560700,0.0,0
2019-06-10,25.13,25.33,24.92,25.23,2457100,0.0,0
2019-06-11,25.3,25.33,24.65,24.75,1638400,0.0,0
2019-06-12,24.79,25.25,24.68,25.24,1076000,0.203,0
2019-06-13,25.26,25.37,24.9,25.31,1624100,0.0,0
2019-06-14,25.22,25.53,25.14,25.49,1327800,0.0,0
2019-06-17,25.55,25.55,25.33,25.38,811600,0.0,0
2019-06-18,25.55,25.56,25.29,25.4,738900,0.0,0
2019-06-19,25.37,25.69,25.33,25.6,636700,0.0,0
2019-06-20,25.72,25.84,25.47,25.81,1014900,0.0,0
2019-06-21,25.71,25.77,25.53,25.75,1188800,0.0,0
2019-06-24,25.8,25.8,25.42,25.42,685300,0.0,0
2019-06-25,25.4,25.49,25.15,25.27,975400,0.0,0
2019-06-26,25.37,25.37,24.97,24.99,1231200,0.0,0
2019-06-27,25.22,25.23,24.93,25.01,740700,0.0,0
2019-06-28,24.99,25.43,24.99,25.43,1572400,0.0,0
2019-07-01,25.43,25.57,24.89,25.22,1593100,0.0,0
2019-07-02,25.29,25.58,25.24,25.44,1122200,0.0,0
2019-07-03,25.58,25.88,25.51,25.85,810300,0.0,0
2019-07-05,25.69,25.98,25.53,25.92,578500,0.0,0
2019-07-08,25.82,25.83,25.52,25.65,838700,0.0,0
2019-07-09,25.58,25.77,25.48,25.76,896000,0.0,0
2019-07-10,25.82,25.89,25.69,25.76,493600,0.0,0
2019-07-11,25.7,25.81,25.52,25.78,530600,0.0,0
2019-07-12,25.93,25.99,25.61,25.66,542300,0.0,0
2019-07-15,25.7,25.82,25.46,25.51,420100,0.0,0
2019-07-16,25.4,25.57,25.35,25.51,752600,0.0,0
2019-07-17,25.6,25.79,25.46,25.76,1246800,0.0,0
2019-07-18,25.8,26.18,25.59,26.14,970400,0.0,0
2019-07-19,26.08,26.26,25.83,25.83,775100,0.0,0
2019-07-22,25.89,25.98,25.72,25.83,535400,0.0,0
2019-07-23,25.84,25.97,25.61,25.66,968200,0.0,0
2019-07-24,25.74,25.82,25.47,25.69,721700,0.0,0
2019-07-25,25.65,25.77,25.46,25.47,673800,0.0,0
2019-07-26,25.44,25.64,25.43,25.53,624600,0.0,0
2019-07-29,25.55,25.72,25.5,25.66,711100,0.0,0
2019-07-30,25.55,25.87,25.54,25.79,832400,0.0,0
2019-07-31,26.51,26.71,26.1,26.36,1495400,0.0,0
2019-08-01,26.33,26.71,26.23,26.45,1206600,0.0,0
2019-08-02,26.47,26.76,26.34,26.56,746800,0.0,0
2019-08-05,26.52,26.61,25.8,25.92,1465500,0.0,0
2019-08-06,25.85,25.96,25.43,25.9,1380300,0.0,0
2019-08-07,25.81,26.21,25.51,26.1,954200,0.0,0
2019-08-08,25.96,26.63,25.96,26.54,1098300,0.0,0
2019-08-09,26.6,26.66,26.24,26.29,515800,0.0,0
2019-08-12,26.32,26.47,26.1,26.29,570300,0.0,0
2019-08-13,26.23,26.54,26.13,26.31,699500,0.0,0
2019-08-14,26.31,26.34,25.79,25.83,766000,0.0,0
2019-08-15,25.87,26.11,25.72,26.03,653100,0.0,0
2019-08-16,26.05,26.38,26.03,26.35,852800,0.0,0
2019-08-19,26.37,26.72,26.35,26.63,972600,0.0,0
2019-08-20,26.61,26.61,26.28,26.35,780200,0.0,0
2019-08-21,26.37,26.42,26.26,26.39,622000,0.0,0
2019-08-22,26.37,26.52,26.23,26.45,665300,0.0,0
2019-08-23,26.5,26.65,25.82,25.9,1191600,0.0,0
2019-08-26,25.99,26.17,25.89,26.15,485000,0.0,0
2019-08-27,26.28,26.31,25.98,25.98,562700,0.0,0
2019-08-28,26.06,26.16,25.93,26.12,773700,0.0,0
2019-08-29,26.28,26.53,26.16,26.42,776200,0.0,0
2019-08-30,26.53,26.56,26.37,26.5,505600,0.0,0
2019-09-03,26.47,26.76,26.26,26.69,725800,0.0,0
2019-09-04,26.81,26.85,26.57,26.64,398300,0.0,0
2019-09-05,26.57,26.78,26.55,26.74,730400,0.0,0
2019-09-06,26.78,26.89,26.62,26.89,966800,0.0,0
2019-09-09,26.79,27.17,26.65,27.13,924300,0.0,0
2019-09-10,27.09,27.48,26.95,27.46,1637600,0.0,0
2019-09-11,27.46,27.99,27.37,27.93,904000,0.203,0
2019-09-12,27.9,28.04,27.72,27.78,769700,0.0,0
2019-09-13,27.68,28.01,27.65,27.91,958400,0.0,0
2019-09-16,28.0,28.19,27.8,28.01,822000,0.0,0
2019-09-17,28.11,28.14,27.6,27.77,962500,0.0,0
2019-09-18,27.85,28.05,27.68,27.94,896800,0.0,0
2019-09-19,28.09,28.17,27.83,27.88,682400,0.0,0
2019-09-20,27.92,27.92,27.68,27.86,2228300,0.0,0
2019-09-23,27.88,28.03,27.79,27.88,892400,0.0,0
2019-09-24,27.96,28.25,27.89,28.12,1180000,0.0,0
2019-09-25,28.11,28.26,27.94,28.11,1193600,0.0,0
2019-09-26,28.15,28.53,28.07,28.45,1137300,0.0,0
2019-09-27,28.54,28.61,28.03,28.16,740000,0.0,0
2019-09-30,28.16,28.24,27.97,27.99,881100,0.0,0
2019-10-01,27.89,28.07,27.67,27.87,1004700,0.0,0
2019-10-02,27.82,27.86,27.11,27.19,1286600,0.0,0
2019-10-03,27.13,27.54,27.0,27.47,2124700,0.0,0
2019-10-04,27.56,27.84,27.55,27.78,1272300,0.0,0
2019-10-07,27.71,27.76,27.46,27.56,991500,0.0,0
2019-10-08,27.49,27.52,27.15,27.15,897500,0.0,0
2019-10-09,27.22,27.48,27.04,27.42,946600,0.0,0
2019-10-10,27.45,27.65,27.35,27.52,689800,0.0,0
2019-10-11,27.6,27.92,27.43,27.75,1093500,0.0,0
2019-10-14,27.78,27.78,27.46,27.61,499000,0.0,0
2019-10-15,27.68,27.71,27.29,27.42,825900,0.0,0
2019-10-16,27.38,27.53,27.25,27.37,799800,0.0,0
2019-10-17,27.4,27.51,27.35,27.4,688600,0.0,0
2019-10-18,27.36,27.5,27.16,27.46,581700,0.0,0
2019-10-21,27.51,27.82,27.51,27.79,767400,0.0,0
2019-10-22,27.83,27.9,27.62,27.89,719600,0.0,0
2019-10-23,27.94,28.02,27.75,27.92,653000,0.0,0
2019-10-24,27.88,27.89,27.67,27.87,838300,0.0,0
2019-10-25,27.86,27.98,27.66,27.71,622800,0.0,0
2019-10-28,27.65,27.94,27.65,27.81,792800,0.0,0
2019-10-29,27.8,27.88,27.6,27.85,881300,0.0,0
2019-10-30,28.26,29.18,28.05,28.77,2328100,0.0,0
2019-10-31,28.87,28.92,28.26,28.68,2897600,0.0,0
2019-11-01,28.68,28.9,28.62,28.87,801800,0.0,0
2019-11-04,28.87,28.96,28.71,28.91,1152800,0.0,0
2019-11-05,28.84,29.2,28.83,29.04,1011700,0.0,0
2019-11-06,29.07,29.25,28.95,28.99,1707700,0.0,0
2019-11-07,28.95,29.0,28.45,28.53,912100,0.0,0
2019-11-08,28.51,28.75,28.42,28.54,664700,0.0,0
2019-11-11,28.53,28.65,28.45,28.56,678300,0.0,0
2019-11-12,28.62,28.73,28.49,28.71,808100,0.0,0
2019-11-13,28.75,28.99,28.67,28.88,852800,0.0,0
2019-11-14,28.94,29.01,28.75,28.78,828600,0.0,0
2019-11-15,28.78,28.89,28.59,28.8,1063800,0.0,0
2019-11-18,28.89,28.99,28.79,28.89,1026200,0.0,0
2019-11-19,28.91,29.09,28.74,29.01,1174000,0.0,0
2019-11-20,29.0,29.28,28.99,29.07,1323200,0.0,0
2019-11-21,29.08,29.08,28.68,28.75,774400,0.0,0
2019-11-22,28.83,28.9,28.67,28.85,621300,0.0,0
2019-11-25,28.94,29.01,28.72,28.78,505900,0.0,0
2019-11-26,28.8,28.85,28.66,28.77,884400,0.0,0
2019-11-27,28.79,28.97,28.73,28.9,1034800,0.0,0
2019-11-29,28.84,29.03,28.81,28.83,443900,0.0,0
2019-12-02,28.81,28.84,28.58,28.68,751000,0.0,0
2019-12-03,28.7,28.96,28.65,28.91,558000,0.0,0
2019-12-04,28.82,29.22,28.82,29.14,1091800,0.0,0
2019-12-05,29.04,29.15,28.94,29.09,1258800,0.0,0
2019-12-06,29.12,29.44,29.07,29.09,1411300,0.0,0
2019-12-09,29.09,29.11,28.74,28.75,590300,0.0,0
2019-12-10,28.79,28.97,28.73,28.86,1081500,0.0,0
2019-12-11,29.0,29.01,28.82,28.92,956500,0.208,0
2019-12-12,28.92,29.23,28.69,28.85,1180700,0.0,0
2019-12-13,28.85,28.98,28.78,28.9,1154400,0.0,0
2019-12-16,29.01,29.38,29.0,29.37,1190100,0.0,0
2019-12-17,29.42,29.77,29.37,29.59,1370900,0.0,0
2019-12-18,29.59,29.69,29.4,29.68,1691100,0.0,0
