Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,6.68,6.69,6.63,6.67,2077300,0.0,0
2019-02-06,6.65,6.68,6.61,6.68,1819600,0.0,0
2019-02-07,6.66,6.71,6.63,6.7,2495000,0.0,0
2019-02-08,6.7,6.7,6.62,6.63,1514000,0.0,0
2019-02-11,6.64,6.66,6.62,6.66,1321700,0.0,0
2019-02-12,6.66,6.7,6.63,6.65,1876500,0.0,0
2019-02-13,6.68,6.68,6.61,6.64,2138300,0.0,0
2019-02-14,6.64,6.64,6.57,6.59,2753600,0.0,0
2019-02-15,6.62,6.64,6.57,6.64,3330900,0.0,0
2019-02-19,6.64,6.64,6.58,6.62,2601300,0.0,0
2019-02-20,6.62,6.62,6.52,6.56,3650500,0.0,0
2019-02-21,6.53,6.57,6.48,6.54,2409000,0.0,0
2019-02-22,6.58,6.59,6.53,6.58,3030200,0.0,0
2019-02-25,6.61,6.64,6.57,6.64,4051900,0.0,0
2019-02-26,6.64,6.64,6.57,6.57,1983400,0.0,0
2019-02-27,6.57,6.57,6.51,6.55,1556700,0.0,0
2019-02-28,6.55,6.57,6.51,6.53,1774100,0.0,0
2019-03-01,6.55,6.55,6.46,6.53,2194900,0.0,0
2019-03-04,6.52,6.56,6.5,6.55,1555400,0.0,0
2019-03-05,6.55,6.57,6.52,6.56,1684200,0.0,0
2019-03-06,6.56,6.59,6.55,6.55,2007600,0.0,0
2019-03-07,6.55,6.57,6.47,6.51,3860100,0.0,0
2019-03-08,6.49,6.54,6.46,6.46,5113700,0.0,0
2019-03-11,6.49,6.55,6.48,6.55,3710200,0.0,0
2019-03-12,6.55,6.58,6.49,6.5,2075200,0.0,0
2019-03-13,6.5,6.56,6.5,6.55,1989400,0.0,0
2019-03-14,6.55,6.59,6.53,6.55,1485300,0.0,0
2019-03-15,6.55,6.59,6.54,6.55,2432300,0.0,0
2019-03-18,6.56,6.61,6.56,6.6,1383100,0.0,0
2019-03-19,6.6,6.61,6.51,6.52,2880900,0.0,0
2019-03-20,6.52,6.57,6.49,6.5,1885800,0.0,0
2019-03-21,6.52,6.59,6.51,6.55,2088600,0.0,0
2019-03-22,6.56,6.57,6.46,6.48,2613300,0.0,0
2019-03-25,6.49,6.55,6.46,6.53,2930900,0.0,0
2019-03-26,6.55,6.6,6.55,6.58,2703600,0.0,0
2019-03-27,6.59,6.6,6.55,6.57,4310800,0.0,0
2019-03-28,6.6,6.68,6.57,6.68,3564500,0.2,0
2019-03-29,6.68,6.71,6.65,6.71,5230600,0.0,0
2019-04-01,6.71,6.78,6.68,6.78,4346200,0.0,0
2019-04-02,6.77,6.78,6.73,6.75,2829300,0.0,0
2019-04-03,6.76,6.78,6.73,6.76,1758500,0.0,0
2019-04-04,6.77,6.81,6.75,6.8,1398900,0.0,0
2019-04-05,6.79,6.81,6.75,6.79,1104600,0.0,0
2019-04-08,6.8,6.8,6.76,6.8,1439100,0.0,0
2019-04-09,6.79,6.8,6.76,6.77,1080800,0.0,0
2019-04-10,6.77,6.79,6.75,6.78,1341100,0.0,0
2019-04-11,6.78,6.8,6.76,6.78,1145700,0.0,0
2019-04-12,6.79,6.83,6.77,6.83,2097200,0.0,0
2019-04-15,6.83,6.84,6.79,6.81,1258600,0.0,0
2019-04-16,6.82,6.85,6.81,6.84,1465200,0.0,0
2019-04-17,6.85,6.85,6.81,6.84,1019900,0.0,0
2019-04-18,6.85,6.86,6.82,6.82,1161600,0.0,0
2019-04-22,6.83,6.84,6.8,6.83,994500,0.0,0
2019-04-23,6.83,6.85,6.81,6.85,3160900,0.0,0
2019-04-24,6.86,6.92,6.83,6.9,2535300,0.0,0
2019-04-25,6.91,6.91,6.83,6.85,1272800,0.0,0
2019-04-26,6.87,6.95,6.85,6.92,1845500,0.0,0
2019-04-29,6.92,6.94,6.89,6.9,942200,0.0,0
2019-04-30,6.92,6.93,6.86,6.93,1931200,0.0,0
2019-05-01,6.92,6.97,6.89,6.9,1570200,0.0,0
2019-05-02,6.9,6.92,6.81,6.84,2163400,0.0,0
2019-05-03,6.86,6.93,6.84,6.9,1625300,0.0,0
2019-05-06,6.84,6.91,6.84,6.9,1310900,0.0,0
2019-05-07,6.87,6.9,6.75,6.75,2783900,0.0,0
2019-05-08,6.78,6.79,6.74,6.75,2790200,0.0,0
2019-05-09,6.73,6.8,6.65,6.79,2236500,0.0,0
2019-05-10,6.79,6.86,6.77,6.85,1298800,0.0,0
2019-05-13,6.79,6.82,6.73,6.75,1906900,0.0,0
2019-05-14,6.78,6.78,6.72,6.75,1813600,0.0,0
2019-05-15,6.75,6.75,6.69,6.73,1522400,0.0,0
2019-05-16,6.73,6.77,6.72,6.76,811500,0.0,0
2019-05-17,6.78,6.81,6.73,6.74,1656000,0.0,0
2019-05-20,6.73,6.78,6.67,6.69,1025200,0.0,0
2019-05-21,6.72,6.73,6.69,6.69,1103100,0.0,0
2019-05-22,6.69,6.72,6.66,6.71,1201300,0.0,0
2019-05-23,6.67,6.74,6.66,6.72,1647300,0.0,0
2019-05-24,6.76,6.78,6.73,6.78,968600,0.0,0
2019-05-28,6.78,6.78,6.7,6.71,1033200,0.0,0
2019-05-29,6.69,6.74,6.61,6.67,1164100,0.0,0
2019-05-30,6.6,6.63,6.5,6.54,3088000,0.0,0
2019-05-31,6.5,6.53,6.42,6.5,6618100,0.0,0
2019-06-03,6.51,6.6,6.51,6.58,1937800,0.0,0
2019-06-04,6.6,6.66,6.57,6.65,3536200,0.0,0
2019-06-05,6.68,6.69,6.6,6.62,1601000,0.0,0
2019-06-06,6.64,6.66,6.52,6.63,2434700,0.0,0
2019-06-07,6.65,6.65,6.56,6.6,1523300,0.0,0
2019-06-10,6.6,6.63,6.57,6.59,1493700,0.0,0
2019-06-11,6.59,6.6,6.54,6.55,2288800,0.0,0
2019-06-12,6.57,6.6,6.55,6.57,1244600,0.0,0
2019-06-13,6.59,6.61,6.54,6.57,2290900,0.0,0
2019-06-14,6.58,6.66,6.55,6.66,2478400,0.0,0
2019-06-17,6.66,6.68,6.59,6.6,3124600,0.0,0
2019-06-18,6.64,6.66,6.58,6.6,2384800,0.0,0
2019-06-19,6.61,6.66,6.55,6.66,4681900,0.0,0
2019-06-20,6.69,6.69,6.62,6.66,2156300,0.0,0
2019-06-21,6.66,6.69,6.65,6.66,4994400,0.0,0
2019-06-24,6.69,6.76,6.66,6.67,2518900,0.0,0
2019-06-25,6.7,6.73,6.66,6.68,2903100,0.0,0
2019-06-26,6.69,6.72,6.66,6.68,2713100,0.0,0
2019-06-27,6.72,6.74,6.66,6.68,3379200,0.0,0
2019-06-28,6.73,6.86,6.71,6.82,4569600,0.2,0
2019-07-01,6.85,6.9,6.79,6.83,1743200,0.0,0
2019-07-02,6.83,6.84,6.77,6.83,2379800,0.0,0
2019-07-03,6.83,6.87,6.82,6.85,766600,0.0,0
2019-07-05,6.86,6.88,6.8,6.88,1514200,0.0,0
2019-07-08,6.87,6.91,6.85,6.89,1404800,0.0,0
2019-07-09,6.88,6.91,6.86,6.89,1973400,0.0,0
2019-07-10,6.91,6.92,6.86,6.88,3006500,0.0,0
2019-07-11,6.9,6.91,6.84,6.87,2681000,0.0,0
2019-07-12,6.88,6.9,6.86,6.87,2411900,0.0,0
2019-07-15,6.91,6.91,6.85,6.86,2212200,0.0,0
2019-07-16,6.87,6.89,6.84,6.87,2261500,0.0,0
2019-07-17,6.88,6.9,6.84,6.88,1900300,0.0,0
2019-07-18,6.88,6.89,6.84,6.84,2929600,0.0,0
2019-07-19,6.84,6.86,6.81,6.84,2765200,0.0,0
2019-07-22,6.85,6.89,6.84,6.89,2675000,0.0,0
2019-07-23,6.9,6.91,6.85,6.9,1488900,0.0,0
2019-07-24,6.89,6.9,6.84,6.88,2060600,0.0,0
2019-07-25,6.87,6.89,6.83,6.84,1767600,0.0,0
2019-07-26,6.87,6.89,6.84,6.88,1255800,0.0,0
2019-07-29,6.89,6.92,6.84,6.85,2636400,0.0,0
2019-07-30,6.85,6.88,6.84,6.87,1412200,0.0,0
2019-07-31,6.9,6.92,6.8,6.82,2843500,0.0,0
2019-08-01,6.83,6.85,6.75,6.75,1670000,0.0,0
2019-08-02,6.75,6.81,6.74,6.77,1501400,0.0,0
2019-08-05,6.74,6.75,6.58,6.59,4231700,0.0,0
2019-08-06,6.64,6.78,6.63,6.75,4216500,0.0,0
2019-08-07,6.72,6.91,6.66,6.86,3814100,0.0,0
2019-08-08,6.86,7.07,6.85,7.07,3765200,0.0,0
2019-08-09,7.05,7.09,7.0,7.06,1750700,0.0,0
2019-08-12,7.06,7.06,6.97,7.01,1485500,0.0,0
2019-08-13,6.98,7.04,6.94,6.94,1162600,0.0,0
2019-08-14,6.88,6.89,6.76,6.76,2440800,0.0,0
2019-08-15,6.76,6.87,6.76,6.84,2036000,0.0,0
2019-08-16,6.86,6.96,6.84,6.93,3337200,0.0,0
2019-08-19,6.98,7.02,6.9,6.93,1578200,0.0,0
2019-08-20,6.93,6.94,6.87,6.92,1670800,0.0,0
2019-08-21,6.96,6.97,6.88,6.89,2339000,0.0,0
2019-08-22,6.91,6.92,6.87,6.89,1507900,0.0,0
2019-08-23,6.88,6.92,6.85,6.87,2874800,0.0,0
2019-08-26,6.9,6.9,6.85,6.89,1632100,0.0,0
2019-08-27,6.92,6.92,6.79,6.82,1915700,0.0,0
2019-08-28,6.8,6.82,6.75,6.8,1665700,0.0,0
2019-08-29,6.84,6.84,6.75,6.81,2717400,0.0,0
2019-08-30,6.81,6.84,6.79,6.81,2899700,0.0,0
2019-09-03,6.8,6.82,6.75,6.79,2940600,0.0,0
2019-09-04,6.82,6.88,6.81,6.87,2204600,0.0,0
2019-09-05,6.9,6.95,6.87,6.87,1656700,0.0,0
2019-09-06,6.88,6.94,6.85,6.9,1118900,0.0,0
2019-09-09,6.91,6.96,6.91,6.95,1782600,0.0,0
2019-09-10,6.94,7.04,6.94,7.03,2612500,0.0,0
2019-09-11,7.04,7.04,6.98,7.02,2411000,0.0,0
2019-09-12,7.03,7.04,6.96,7.02,1553400,0.0,0
2019-09-13,7.02,7.05,6.99,7.03,3113500,0.0,0
2019-09-16,7.03,7.03,6.96,7.03,2062600,0.0,0
2019-09-17,7.03,7.05,6.98,7.03,1716300,0.0,0
2019-09-18,7.03,7.06,6.99,7.03,1961500,0.0,0
2019-09-19,7.04,7.09,7.03,7.08,1916600,0.0,0
2019-09-20,7.1,7.15,7.08,7.08,4062400,0.0,0
2019-09-23,7.08,7.21,7.08,7.16,3196500,0.0,0
2019-09-24,7.19,7.21,7.13,7.13,4391900,0.0,0
2019-09-25,7.14,7.24,7.12,7.22,3232100,0.0,0
2019-09-26,7.26,7.27,7.21,7.22,4128600,0.0,0
2019-09-27,7.24,7.25,7.14,7.22,3730800,0.2,0
2019-09-30,7.22,7.24,7.14,7.18,2806500,0.0,0
2019-10-01,7.2,7.21,7.08,7.1,2277800,0.0,0
2019-10-02,7.08,7.13,7.05,7.13,2857500,0.0,0
2019-10-03,7.15,7.19,7.1,7.14,2611200,0.0,0
2019-10-04,7.13,7.24,7.13,7.23,2066300,0.0,0
2019-10-07,7.23,7.25,7.22,7.22,1715300,0.0,0
2019-10-08,7.22,7.24,7.19,7.22,2306300,0.0,0
2019-10-09,7.24,7.28,7.23,7.26,4088300,0.0,0
2019-10-10,7.28,7.38,7.27,7.37,4628400,0.0,0
2019-10-11,7.39,7.41,7.34,7.36,2106600,0.0,0
2019-10-14,7.36,7.37,7.3,7.34,2332600,0.0,0
2019-10-15,7.34,7.41,7.33,7.34,2088800,0.0,0
2019-10-16,7.33,7.35,7.29,7.33,1619600,0.0,0
2019-10-17,7.35,7.39,7.34,7.38,1845200,0.0,0
2019-10-18,7.37,7.39,7.35,7.36,1977600,0.0,0
2019-10-21,7.38,7.42,7.36,7.4,1318000,0.0,0
2019-10-22,7.4,7.45,7.38,7.41,2113600,0.0,0
2019-10-23,7.41,7.46,7.39,7.41,1903200,0.0,0
2019-10-24,7.41,7.43,7.38,7.41,1197200,0.0,0
2019-10-25,7.41,7.44,7.35,7.35,1358200,0.0,0
2019-10-28,7.37,7.38,7.31,7.34,2060500,0.0,0
2019-10-29,7.33,7.4,7.33,7.37,1225700,0.0,0
2019-10-30,7.36,7.37,7.31,7.33,1723200,0.0,0
2019-10-31,7.37,7.4,7.33,7.4,2682500,0.0,0
2019-11-01,7.41,7.46,7.38,7.43,1983800,0.0,0
2019-11-04,7.44,7.46,7.37,7.39,2472400,0.0,0
2019-11-05,7.39,7.41,7.31,7.36,2930000,0.0,0
2019-11-06,7.38,7.45,7.35,7.38,2762100,0.0,0
2019-11-07,7.43,7.51,7.42,7.5,1976700,0.0,0
2019-11-08,7.5,7.55,7.47,7.53,2011500,0.0,0
2019-11-11,7.53,7.56,7.5,7.53,1680800,0.0,0
2019-11-12,7.54,7.55,7.48,7.48,1791300,0.0,0
2019-11-13,7.46,7.54,7.46,7.5,1740200,0.0,0
2019-11-14,7.49,7.54,7.46,7.51,2017200,0.0,0
2019-11-15,7.53,7.54,7.48,7.51,1722300,0.0,0
2019-11-18,7.5,7.53,7.49,7.5,2027600,0.0,0
2019-11-19,7.52,7.52,7.43,7.47,2706000,0.0,0
2019-11-20,7.46,7.54,7.45,7.45,2591600,0.0,0
2019-11-21,7.46,7.46,7.41,7.41,1826100,0.0,0
2019-11-22,7.42,7.46,7.37,7.43,1909500,0.0,0
2019-11-25,7.45,7.48,7.42,7.42,1512600,0.0,0
2019-11-26,7.46,7.48,7.44,7.46,1849600,0.0,0
2019-11-27,7.47,7.47,7.42,7.44,2437000,0.0,0
2019-11-29,7.46,7.49,7.44,7.47,953600,0.0,0
2019-12-02,7.49,7.52,7.45,7.45,1975100,0.0,0
2019-12-03,7.43,7.48,7.43,7.47,1801800,0.0,0
2019-12-04,7.47,7.5,7.42,7.47,3095900,0.0,0
2019-12-05,7.48,7.51,7.44,7.5,1542300,0.0,0
2019-12-06,7.5,7.51,7.47,7.47,1376300,0.0,0
2019-12-09,7.47,7.52,7.46,7.51,1535200,0.0,0
2019-12-10,7.51,7.53,7.48,7.53,2219300,0.0,0
2019-12-11,7.51,7.55,7.5,7.51,2389400,0.0,0
2019-12-12,7.52,7.56,7.51,7.53,2617400,0.0,0
2019-12-13,7.53,7.58,7.52,7.57,2508100,0.0,0
