Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,214.12,217.16,213.3,217.12,181300,0.0,0
2019-02-06,216.58,219.15,215.84,217.32,159200,0.0,0
2019-02-07,216.38,219.51,214.74,218.98,256800,0.0,0
2019-02-08,218.98,221.05,214.61,219.14,231700,0.0,0
2019-02-11,219.49,223.02,219.22,222.01,201000,0.0,0
2019-02-12,223.08,225.01,218.39,224.36,238400,0.51,0
2019-02-13,225.53,227.69,225.05,227.17,186000,0.0,0
2019-02-14,226.2,226.94,221.19,225.7,221600,0.0,0
2019-02-15,226.36,228.83,223.82,228.44,382900,0.0,0
2019-02-19,227.62,233.27,227.23,231.46,283900,0.0,0
2019-02-20,231.57,233.33,229.6,232.48,197200,0.0,0
2019-02-21,232.77,234.39,230.29,234.06,172900,0.0,0
2019-02-22,233.93,238.39,232.89,237.86,224600,0.0,0
2019-02-25,238.6,241.06,237.91,240.26,193400,0.0,0
2019-02-26,239.6,241.36,238.72,239.33,269400,0.0,0
2019-02-27,239.35,244.88,238.83,243.36,282500,0.0,0
2019-02-28,243.79,244.99,241.48,242.74,320000,0.0,0
2019-03-01,235.35,243.41,234.96,241.96,370500,0.0,0
2019-03-04,241.83,241.83,235.96,236.45,250500,0.0,0
2019-03-05,236.21,237.52,232.72,232.83,284900,0.0,0
2019-03-06,233.41,233.91,227.35,229.44,279500,0.0,0
2019-03-07,229.55,233.66,223.69,224.39,267800,0.0,0
2019-03-08,223.55,225.36,221.27,224.62,309500,0.0,0
2019-03-11,225.25,228.04,222.45,226.1,291100,0.0,0
2019-03-12,226.11,230.83,224.7,228.71,257900,0.0,0
2019-03-13,229.65,232.74,228.16,229.39,355800,0.0,0
2019-03-14,229.56,231.38,228.17,230.73,195000,0.0,0
2019-03-15,230.61,233.53,229.39,232.35,346200,0.0,0
2019-03-18,233.0,236.79,233.0,236.53,227100,0.0,0
2019-03-19,237.36,237.36,233.88,234.52,183900,0.0,0
2019-03-20,234.59,238.45,234.59,236.11,233600,0.0,0
2019-03-21,235.47,240.2,235.41,239.04,270300,0.0,0
2019-03-22,237.87,239.78,236.07,237.23,180100,0.0,0
2019-03-25,237.69,238.87,236.0,238.0,188700,0.0,0
2019-03-26,239.65,243.37,238.06,242.54,189000,0.0,0
2019-03-27,242.87,244.96,241.77,243.94,150000,0.0,0
2019-03-28,244.37,248.77,243.12,245.37,166900,0.0,0
2019-03-29,246.84,247.15,244.56,244.93,188500,0.0,0
2019-04-01,246.97,248.29,243.44,245.57,196300,0.0,0
2019-04-02,246.33,248.41,244.67,247.53,246700,0.0,0
2019-04-03,248.99,257.04,244.24,245.53,246000,0.0,0
2019-04-04,246.02,247.79,240.0,247.25,303200,0.0,0
2019-04-05,247.25,252.93,247.12,252.71,192300,0.0,0
2019-04-08,252.71,257.2,250.52,256.94,220600,0.0,0
2019-04-09,255.93,259.35,255.72,257.78,191500,0.0,0
2019-04-10,258.61,258.75,256.6,257.25,213400,0.0,0
2019-04-11,258.17,258.98,255.48,256.02,276800,0.0,0
2019-04-12,257.05,258.99,256.3,258.64,209400,0.0,0
2019-04-15,259.12,260.96,258.58,260.52,315900,0.0,0
2019-04-16,261.21,263.42,259.63,261.69,625900,0.0,0
2019-04-17,262.68,263.67,260.02,261.01,283700,0.0,0
2019-04-18,260.7,263.1,260.29,262.69,468100,0.0,0
2019-04-22,262.39,263.16,260.28,260.91,339400,0.0,0
2019-04-23,261.73,262.29,259.42,261.28,564900,0.0,0
2019-04-24,262.12,265.65,255.41,263.15,403000,0.0,0
2019-04-25,261.78,265.59,259.6,264.22,211400,0.0,0
2019-04-26,262.46,269.51,262.46,268.42,279400,0.0,0
2019-04-29,271.17,276.79,269.73,275.01,359100,0.0,0
2019-04-30,275.43,278.59,273.28,277.03,248500,0.0,0
2019-05-01,277.95,282.39,276.29,280.72,279900,0.0,0
2019-05-02,281.09,283.16,279.03,281.59,265000,0.0,0
2019-05-03,282.5,287.11,281.87,284.72,250000,0.0,0
2019-05-06,281.6,292.54,281.6,289.09,403600,0.0,0
2019-05-07,287.77,290.96,278.95,279.05,375600,0.51,0
2019-05-08,279.15,281.89,278.01,280.0,253200,0.0,0
2019-05-09,277.83,279.54,274.32,277.19,283200,0.0,0
2019-05-10,276.27,281.02,274.97,280.13,275200,0.0,0
2019-05-13,276.38,281.16,275.12,280.83,271500,0.0,0
2019-05-14,281.37,288.69,281.37,286.55,437300,0.0,0
2019-05-15,285.27,289.94,284.56,286.16,309400,0.0,0
2019-05-16,287.65,289.87,287.1,288.59,267700,0.0,0
2019-05-17,287.07,292.23,286.47,291.32,470200,0.0,0
2019-05-20,289.72,293.68,289.72,292.73,242900,0.0,0
2019-05-21,293.03,298.13,289.42,291.19,341500,0.0,0
2019-05-22,291.77,294.03,289.68,291.64,295300,0.0,0
2019-05-23,289.66,293.38,287.66,290.77,319400,0.0,0
2019-05-24,291.44,294.07,286.96,287.48,376000,0.0,0
2019-05-28,287.48,290.37,279.56,280.25,2146300,0.0,0
