Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,185.12,186.37,183.75,186.22,732100,0.0,0
2019-02-06,184.51,187.6,180.25,180.47,722800,0.0,0
2019-02-07,180.39,182.74,178.57,180.62,1076100,0.0,0
2019-02-08,180.27,182.82,179.12,182.68,409400,0.0,0
2019-02-11,183.17,185.4,182.21,184.32,1244300,0.0,0
2019-02-12,184.07,188.13,181.37,182.9,1976300,0.0,0
2019-02-13,184.15,184.47,178.23,178.8,1335800,0.0,0
2019-02-14,181.42,186.42,179.19,185.81,1709600,0.0,0
2019-02-15,188.31,191.45,186.11,188.35,1578700,0.0,0
2019-02-19,188.34,190.93,187.22,187.31,857900,0.0,0
2019-02-20,187.87,192.04,187.55,190.54,681300,0.0,0
2019-02-21,189.99,191.45,188.34,188.67,397300,0.0,0
2019-02-22,189.72,190.2,187.48,188.29,422100,0.0,0
2019-02-25,189.56,190.45,186.65,186.92,590000,0.0,0
2019-02-26,185.99,190.77,185.82,189.38,487000,0.0,0
2019-02-27,188.96,191.21,187.41,188.17,766100,0.0,0
2019-02-28,187.61,188.05,185.27,186.11,695500,0.0,0
2019-03-01,187.29,192.9,187.23,191.22,693300,0.48,0
2019-03-04,191.26,194.17,190.0,193.82,511700,0.0,0
2019-03-05,193.49,195.51,192.39,192.76,574500,0.0,0
2019-03-06,194.21,195.99,193.36,194.36,503600,0.0,0
2019-03-07,193.17,196.63,193.16,195.69,885100,0.0,0
2019-03-08,194.8,196.58,193.54,195.17,549500,0.0,0
2019-03-11,195.38,198.98,194.89,197.35,505300,0.0,0
2019-03-12,197.49,198.0,193.94,194.75,672200,0.0,0
2019-03-13,195.24,195.57,189.35,189.45,837700,0.0,0
2019-03-14,189.35,191.11,188.8,190.47,579900,0.0,0
2019-03-15,190.45,192.58,190.22,192.25,649900,0.0,0
2019-03-18,192.75,193.95,190.57,193.7,401400,0.0,0
2019-03-19,195.36,198.26,194.09,196.5,620500,0.0,0
2019-03-20,195.95,196.74,191.7,194.5,590300,0.0,0
2019-03-21,194.9,198.73,193.97,197.41,472700,0.0,0
2019-03-22,197.14,198.03,190.75,190.87,849200,0.0,0
2019-03-25,190.39,195.67,190.39,195.17,387400,0.0,0
2019-03-26,196.63,197.03,191.84,195.47,580700,0.0,0
2019-03-27,194.74,197.73,193.5,195.18,528700,0.0,0
2019-03-28,195.44,197.62,194.83,196.64,404200,0.0,0
2019-03-29,198.74,202.5,198.48,199.88,1004400,0.0,0
2019-04-01,202.59,203.74,200.93,202.69,813000,0.0,0
2019-04-02,203.33,206.37,202.48,204.11,1019800,0.0,0
2019-04-03,204.26,205.36,200.27,201.36,557100,0.0,0
2019-04-04,201.45,205.36,200.77,202.51,452900,0.0,0
2019-04-05,203.33,205.47,202.87,204.49,446100,0.0,0
2019-04-08,203.56,205.5,203.56,204.49,320100,0.0,0
2019-04-09,204.37,205.05,202.25,203.66,357400,0.0,0
2019-04-10,203.3,203.8,201.46,203.52,289300,0.0,0
2019-04-11,204.35,206.56,203.33,205.88,528000,0.0,0
2019-04-12,209.63,213.0,207.09,210.79,736300,0.0,0
2019-04-15,210.54,211.68,208.26,210.29,450600,0.0,0
2019-04-16,208.25,210.76,207.04,210.64,566400,0.0,0
2019-04-17,211.23,211.23,206.4,208.26,469500,0.0,0
2019-04-18,209.08,211.8,208.72,210.21,465400,0.0,0
2019-04-22,209.18,211.1,207.57,210.78,279200,0.0,0
2019-04-23,210.79,212.36,209.38,210.75,351100,0.0,0
2019-04-24,211.29,214.56,211.08,212.66,496900,0.0,0
2019-04-25,211.85,213.05,209.12,210.98,374700,0.0,0
2019-04-26,211.39,213.52,210.66,212.9,799000,0.0,0
2019-04-29,212.57,214.21,211.98,212.84,922700,0.0,0
2019-04-30,224.85,225.72,218.27,220.47,1415800,0.0,0
2019-05-01,222.06,225.85,217.1,217.75,935200,0.0,0
2019-05-02,219.13,222.9,218.34,221.5,726500,0.0,0
2019-05-03,221.93,223.56,218.88,220.01,419500,0.0,0
2019-05-06,216.85,221.15,215.33,219.39,659600,0.0,0
2019-05-07,216.98,219.14,216.34,218.82,488300,0.0,0
2019-05-08,218.35,219.36,214.46,214.75,463100,0.0,0
2019-05-09,212.99,216.1,211.48,215.54,506900,0.0,0
2019-05-10,214.86,217.26,212.11,214.48,606000,0.0,0
2019-05-13,211.03,213.09,209.29,211.12,699300,0.0,0
2019-05-14,212.15,215.47,211.17,214.29,652000,0.0,0
2019-05-15,212.45,216.28,211.39,215.91,624300,0.0,0
2019-05-16,216.34,219.22,216.01,218.2,767500,0.0,0
2019-05-17,216.51,218.8,215.56,216.13,395100,0.0,0
2019-05-20,215.13,218.15,214.06,216.31,493400,0.0,0
2019-05-21,217.01,221.27,217.01,218.9,412700,0.0,0
2019-05-22,218.12,218.75,213.81,214.02,452800,0.0,0
2019-05-23,212.14,212.67,208.81,211.36,451000,0.0,0
2019-05-24,211.79,212.93,208.94,210.75,426300,0.0,0
2019-05-28,211.88,213.18,207.2,207.22,602100,0.0,0
2019-05-29,207.67,209.25,205.7,209.03,434400,0.0,0
2019-05-30,209.09,212.1,209.09,211.19,549200,0.0,0
2019-05-31,207.77,210.48,204.16,209.62,647800,0.48,0
2019-06-03,209.59,215.63,209.59,215.34,715900,0.0,0
2019-06-04,216.63,222.81,216.47,222.72,722800,0.0,0
2019-06-05,222.58,225.0,221.3,224.9,642000,0.0,0
2019-06-06,226.27,228.98,225.05,228.43,688900,0.0,0
2019-06-07,229.04,230.73,227.8,229.66,574200,0.0,0
2019-06-10,230.81,231.47,226.96,228.56,510800,0.0,0
2019-06-11,229.67,230.36,215.21,220.01,980200,0.0,0
2019-06-12,220.59,220.59,216.75,218.6,729100,0.0,0
2019-06-13,219.43,224.85,218.12,221.64,452400,0.0,0
2019-06-14,221.5,223.46,219.55,223.04,306000,0.0,0
2019-06-17,223.06,225.35,222.99,223.49,429900,0.0,0
2019-06-18,225.86,226.71,220.34,220.42,471900,0.0,0
2019-06-19,221.36,221.79,213.29,221.29,513700,0.0,0
2019-06-20,223.12,225.74,220.03,223.07,470900,0.0,0
2019-06-21,223.82,226.35,222.44,223.99,636300,0.0,0
2019-06-24,223.76,224.84,221.92,224.0,355200,0.0,0
2019-06-25,224.01,224.76,222.87,223.71,331800,0.0,0
2019-06-26,223.7,224.69,221.79,223.22,511900,0.0,0
2019-06-27,224.73,226.67,222.97,225.77,409700,0.0,0
2019-06-28,225.62,229.86,225.05,229.15,924800,0.0,0
2019-07-01,230.93,231.83,224.46,227.13,503700,0.0,0
2019-07-02,227.83,228.12,224.38,225.76,467800,0.0,0
2019-07-03,225.53,230.3,225.31,230.05,290000,0.0,0
2019-07-05,228.96,230.08,227.25,229.87,195600,0.0,0
2019-07-08,228.72,228.91,226.23,228.04,436200,0.0,0
2019-07-09,228.1,228.78,226.3,227.98,345800,0.0,0
2019-07-10,229.11,229.67,224.04,225.06,388900,0.0,0
2019-07-11,224.15,225.07,222.13,224.06,363100,0.0,0
2019-07-12,224.53,226.65,223.15,225.55,386500,0.0,0
2019-07-15,226.39,226.39,221.8,224.05,675300,0.0,0
2019-07-16,224.06,230.28,224.04,229.17,426200,0.0,0
