Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,137.56,141.12,137.19,138.57,786500,0,0
2019-02-06,137.87,138.41,134.51,138.28,417600,0,0
2019-02-07,137.44,139.76,136.77,137.8,557100,0,0
2019-02-08,136.74,137.54,133.66,136.9,573800,0,0
2019-02-11,137.27,138.72,135.32,137.09,905700,0,0
2019-02-12,136.7,137.09,124.5,129.39,2597500,0,0
2019-02-13,130.81,137.23,130.81,137.01,1289200,0,0
2019-02-14,136.97,137.27,133.7,136.08,986000,0,0
2019-02-15,136.79,138.36,135.06,135.34,729000,0,0
2019-02-19,134.53,135.5,133.06,134.86,788900,0,0
2019-02-20,134.34,138.98,134.14,137.67,978700,0,0
2019-02-21,137.91,142.33,135.73,136.57,862100,0,0
2019-02-22,137.28,142.18,136.72,141.73,911900,0,0
2019-02-25,142.65,145.72,142.65,145.6,1039300,0,0
2019-02-26,145.65,147.76,144.52,145.83,739500,0,0
2019-02-27,145.09,145.65,137.12,140.33,973100,0,0
2019-02-28,139.81,141.69,132.29,134.63,1031400,0,0
2019-03-01,135.85,138.98,135.13,138.4,679600,0,0
2019-03-04,139.41,140.26,131.87,132.73,838600,0,0
2019-03-05,133.09,135.6,130.23,134.08,978000,0,0
2019-03-06,134.45,134.77,128.92,129.45,822600,0,0
2019-03-07,130.19,131.76,128.21,130.34,1083900,0,0
2019-03-08,128.86,132.93,128.86,132.55,867000,0,0
2019-03-11,132.9,136.16,132.5,135.85,735100,0,0
2019-03-12,136.66,139.15,136.52,138.94,849900,0,0
2019-03-13,140.09,143.21,139.22,141.77,1003000,0,0
2019-03-14,142.1,143.5,138.89,140.13,803000,0,0
2019-03-15,140.0,141.8,138.75,139.4,758100,0,0
2019-03-18,140.14,143.61,139.5,143.02,800000,0,0
2019-03-19,143.28,147.16,143.01,145.63,865600,0,0
2019-03-20,145.6,146.89,142.03,142.58,921000,0,0
2019-03-21,142.31,148.73,142.09,148.29,1053600,0,0
2019-03-22,147.42,149.66,146.17,146.48,855600,0,0
2019-03-25,146.5,146.7,141.32,144.23,743100,0,0
2019-03-26,144.03,144.59,129.69,130.21,1669500,0,0
2019-03-27,133.28,138.63,129.13,133.08,1701600,0,0
2019-03-28,133.78,138.63,132.61,138.2,1087100,0,0
2019-03-29,139.99,142.68,138.81,141.96,1085400,0,0
2019-04-01,143.32,144.85,141.2,144.7,924200,0,0
2019-04-02,145.17,145.17,141.25,142.69,514400,0,0
2019-04-03,143.47,145.66,142.59,145.07,539200,0,0
2019-04-04,145.36,147.09,144.22,145.28,491000,0,0
2019-04-05,146.68,147.94,145.81,147.36,845300,0,0
2019-04-08,147.0,147.82,144.76,147.49,583800,0,0
2019-04-09,146.73,147.4,144.82,145.6,834500,0,0
2019-04-10,146.24,147.89,144.25,145.24,1204000,0,0
2019-04-11,145.6,146.34,140.62,141.53,927600,0,0
2019-04-12,141.72,142.98,128.57,129.39,1446300,0,0
2019-04-15,129.39,132.16,128.47,131.98,904400,0,0
2019-04-16,134.24,136.56,120.45,122.09,1403700,0,0
2019-04-17,121.73,121.73,115.01,116.67,2625500,0,0
2019-04-18,116.91,120.83,112.16,120.68,1989100,0,0
2019-04-22,120.78,124.86,119.95,121.22,922800,0,0
2019-04-23,121.94,125.08,119.22,123.95,1012500,0,0
2019-04-24,123.83,124.18,122.03,123.72,780900,0,0
2019-04-25,123.06,124.66,122.15,124.27,418000,0,0
2019-04-26,124.18,128.55,123.73,128.49,560500,0,0
