Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,122.78,125.11,122.55,124.79,82200,0.0,0
2019-02-06,124.73,125.22,123.61,124.0,63900,0.0,0
2019-02-07,123.22,124.64,121.64,123.74,80700,0.0,0
2019-02-08,123.06,124.84,121.69,124.84,53300,0.0,0
2019-02-11,124.92,125.36,124.41,125.15,64600,0.0,0
2019-02-12,126.0,126.0,124.32,125.34,81900,0.0,0
2019-02-13,125.21,126.39,124.86,126.13,58700,0.0,0
2019-02-14,125.5,126.09,124.4,125.09,58500,0.0,0
2019-02-15,125.69,125.9,124.71,125.4,51100,0.0,0
2019-02-19,124.95,125.55,124.38,124.38,64600,0.0,0
2019-02-20,124.02,124.84,123.23,124.78,60700,0.0,0
2019-02-21,123.96,127.04,123.2,126.22,76700,0.0,0
2019-02-22,128.97,128.97,116.07,125.12,70100,0.0,0
2019-02-25,125.9,126.86,124.26,126.17,55600,0.0,0
2019-02-26,126.16,126.88,124.99,125.5,41000,0.0,0
2019-02-27,125.85,126.07,124.49,126.02,58600,0.0,0
2019-02-28,125.52,125.92,124.96,125.57,55000,0.0,0
2019-03-01,123.03,125.26,121.02,124.32,178800,0.0,0
2019-03-04,124.08,124.88,122.54,123.32,56600,0.0,0
2019-03-05,123.13,123.25,121.3,121.34,64900,0.0,0
2019-03-06,120.32,121.38,119.9,121.09,40900,0.0,0
2019-03-07,120.7,121.0,119.09,120.09,73800,0.0,0
2019-03-08,119.1,119.63,118.16,118.94,45400,0.0,0
2019-03-11,118.66,120.69,118.42,119.28,78600,0.0,0
2019-03-12,119.63,120.08,117.69,118.17,58000,0.0,0
2019-03-13,118.38,119.06,117.68,118.85,56600,0.0,0
2019-03-14,118.76,118.83,117.57,118.65,84100,0.0,0
2019-03-15,118.72,119.95,117.96,119.55,133300,0.0,0
2019-03-18,120.21,121.66,119.97,121.2,107000,0.0,0
2019-03-19,122.03,122.03,120.47,121.5,59300,0.0,0
2019-03-20,120.88,121.83,119.78,120.73,52600,0.0,0
2019-03-21,120.39,122.15,120.18,121.13,73400,0.0,0
2019-03-22,120.39,121.36,119.25,119.94,81500,0.0,0
2019-03-25,120.04,120.93,119.15,120.73,107300,0.0,0
2019-03-26,121.04,122.23,120.28,122.07,102700,0.0,0
2019-03-27,121.96,122.61,120.74,121.42,41500,0.0,0
2019-03-28,121.58,123.68,121.23,123.57,67300,0.0,0
2019-03-29,124.53,125.0,123.0,125.0,75700,0.0,0
2019-04-01,125.78,128.08,125.43,127.88,121100,0.0,0
2019-04-02,127.82,128.65,126.67,127.91,123300,0.0,0
2019-04-03,128.38,128.77,127.68,128.52,97200,0.0,0
2019-04-04,128.59,129.48,126.82,127.35,77400,0.28,0
2019-04-05,127.62,128.16,126.51,126.95,54900,0.0,0
2019-04-08,126.78,127.47,125.54,127.34,50100,0.0,0
2019-04-09,127.07,127.5,125.95,126.71,55000,0.0,0
2019-04-10,126.85,128.38,126.78,128.04,36700,0.0,0
2019-04-11,128.6,129.77,127.94,128.38,43100,0.0,0
2019-04-12,129.09,129.82,128.04,129.1,52300,0.0,0
2019-04-15,128.62,129.73,128.01,129.3,53100,0.0,0
2019-04-16,129.26,132.4,128.47,132.35,84400,0.0,0
2019-04-17,132.42,133.28,131.92,132.69,55900,0.0,0
2019-04-18,132.91,134.07,131.53,134.03,81400,0.0,0
2019-04-22,133.64,134.76,132.64,134.34,25000,0.0,0
2019-04-23,134.91,139.97,134.03,139.6,73400,0.0,0
2019-04-24,139.8,143.03,139.04,142.22,85800,0.0,0
2019-04-25,143.91,145.8,133.78,138.36,101200,0.0,0
2019-04-26,137.62,141.31,137.2,141.1,91400,0.0,0
2019-04-29,141.39,143.87,139.87,143.6,141300,0.0,0
2019-04-30,143.45,143.45,140.79,142.63,99400,0.0,0
2019-05-01,142.98,143.31,140.66,141.32,79600,0.0,0
2019-05-02,141.38,142.1,139.43,140.3,173400,0.0,0
2019-05-03,140.83,141.89,139.76,141.19,65400,0.0,0
2019-05-06,139.23,140.31,139.23,139.79,77200,0.0,0
2019-05-07,138.96,139.32,136.57,137.47,55000,0.0,0
2019-05-08,137.38,137.41,135.07,135.22,79300,0.0,0
2019-05-09,134.33,134.56,131.69,131.69,92700,0.0,0
2019-05-10,131.61,133.78,130.38,133.74,108600,0.0,0
2019-05-13,131.36,131.83,129.42,130.4,73100,0.0,0
2019-05-14,130.66,133.7,130.26,132.27,95600,0.0,0
2019-05-15,131.42,134.46,131.13,132.52,52700,0.0,0
2019-05-16,132.72,134.7,132.1,133.2,61800,0.0,0
2019-05-17,132.31,134.43,131.46,133.67,69500,0.0,0
2019-05-20,133.06,134.95,132.52,132.78,52100,0.0,0
2019-05-21,132.34,134.85,132.24,134.06,52400,0.0,0
2019-05-22,133.6,136.91,133.21,135.57,72300,0.0,0
2019-05-23,134.57,135.51,132.77,134.8,100000,0.0,0
2019-05-24,135.25,136.24,134.49,135.8,62300,0.0,0
2019-05-28,136.06,137.47,134.61,134.61,75400,0.0,0
2019-05-29,134.77,138.93,133.31,138.35,66300,0.0,0
2019-05-30,137.79,138.89,136.84,138.31,102200,0.0,0
2019-05-31,137.42,139.26,136.45,139.24,88300,0.0,0
2019-06-03,139.2,142.76,138.22,138.69,185800,0.0,0
2019-06-04,139.86,141.47,137.86,140.87,68200,0.0,0
2019-06-05,140.85,143.92,140.14,143.62,103900,0.0,0
2019-06-06,144.12,145.04,142.77,144.77,45900,0.0,0
2019-06-07,145.05,148.23,143.46,147.05,72800,0.0,0
2019-06-10,147.73,148.84,144.88,145.83,89500,0.0,0
2019-06-11,147.04,147.7,143.29,144.45,70000,0.0,0
2019-06-12,143.82,148.01,143.29,147.47,71200,0.0,0
2019-06-13,147.88,148.01,145.36,145.91,100800,0.0,0
2019-06-14,145.95,146.76,143.91,144.76,78400,0.0,0
2019-06-17,144.72,145.83,143.24,143.6,85800,0.0,0
2019-06-18,143.64,144.61,142.59,143.46,49600,0.0,0
2019-06-19,143.4,144.58,142.21,144.31,61500,0.0,0
2019-06-20,145.64,145.64,142.78,143.69,59000,0.0,0
2019-06-21,143.62,144.6,142.46,142.56,111300,0.0,0
2019-06-24,142.56,144.48,141.3,141.38,75300,0.0,0
2019-06-25,141.87,142.28,140.3,140.38,89600,0.0,0
2019-06-26,140.83,144.17,139.08,141.5,84600,0.0,0
2019-06-27,141.63,143.53,140.72,142.4,71300,0.0,0
