Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,18.2,18.53,18.1,18.47,7971900,0.0,0
2019-02-06,18.71,18.97,18.66,18.85,18243700,0.0,0
2019-02-07,17.8,18.3,17.77,18.14,21169900,0.0,0
2019-02-08,17.85,18.26,17.8,18.2,7981400,0.0,0
2019-02-11,18.29,18.87,18.17,18.86,9159200,0.0,0
2019-02-12,19.1,19.36,19.03,19.2,16531300,0.0,0
2019-02-13,19.33,19.51,19.04,19.09,11681900,0.0,0
2019-02-14,19.0,19.22,18.94,18.99,9543200,0.0,0
2019-02-15,19.17,19.17,18.57,18.64,12616000,0.0,0
2019-02-19,18.86,19.24,18.73,19.11,12043700,0.0,0
2019-02-20,19.12,19.73,19.07,19.6,12252200,0.0,0
2019-02-21,19.52,19.6,19.31,19.41,6174200,0.0,0
2019-02-22,19.55,19.69,19.36,19.45,7373500,0.0,0
2019-02-25,19.8,19.85,19.48,19.5,10597700,0.0,0
2019-02-26,19.44,19.75,19.37,19.68,11545200,0.0,0
2019-02-27,19.57,19.66,19.37,19.51,6274200,0.0,0
2019-02-28,19.38,20.07,19.37,19.75,12913900,0.0,0
2019-03-01,19.89,19.97,19.41,19.83,10151900,0.0,0
2019-03-04,19.97,20.16,19.64,19.93,11137000,0.0,0
2019-03-05,19.86,20.01,19.75,19.85,7351500,0.0,0
2019-03-06,19.85,19.91,19.4,19.4,10403300,0.0,0
2019-03-07,19.34,19.36,18.88,18.97,22402700,0.0,0
2019-03-08,18.46,18.63,17.9,18.49,21587800,0.0,0
2019-03-11,18.61,19.28,18.61,19.18,12695200,0.0,0
2019-03-12,19.24,19.78,19.13,19.59,13464300,0.0,0
2019-03-13,19.68,19.78,19.43,19.49,7603800,0.0,0
2019-03-14,19.46,19.61,19.16,19.21,5413100,0.0,0
2019-03-15,19.43,19.96,19.35,19.93,17341700,0.0,0
2019-03-18,19.89,19.94,19.47,19.75,7853100,0.0,0
2019-03-19,19.84,20.22,19.81,20.02,9277900,0.0,0
2019-03-20,20.0,20.14,19.77,19.81,8250300,0.0,0
2019-03-21,19.86,20.77,19.8,20.58,12587900,0.0,0
2019-03-22,20.39,20.48,19.45,19.51,11485100,0.0,0
2019-03-25,19.42,19.68,19.21,19.53,6611100,0.0,0
2019-03-26,19.72,19.91,19.31,19.49,6956900,0.0,0
2019-03-27,19.78,19.89,19.45,19.62,11039200,0.0,0
2019-03-28,19.72,19.87,19.19,19.22,12323400,0.0,0
2019-03-29,19.39,19.79,19.38,19.69,16222400,0.0,0
2019-04-01,19.91,20.1,19.81,20.04,10548700,0.0,0
2019-04-02,19.99,20.14,19.81,20.03,10597700,0.06,0
2019-04-03,20.33,20.73,20.24,20.48,18321300,0.0,0
2019-04-04,20.44,20.94,20.4,20.82,18746700,0.0,0
2019-04-05,20.84,21.21,20.66,21.15,15739600,0.0,0
2019-04-08,20.99,21.35,20.95,21.28,12445200,0.0,0
2019-04-09,21.17,21.56,21.12,21.55,14212700,0.0,0
2019-04-10,21.56,22.22,21.44,22.18,23482000,0.0,0
2019-04-11,22.19,22.48,21.93,22.48,13546000,0.0,0
2019-04-12,22.8,23.76,22.73,23.57,27099500,0.0,0
2019-04-15,23.67,23.94,23.37,23.54,22394000,0.0,0
2019-04-16,23.66,24.01,23.51,23.84,19847800,0.0,0
2019-04-17,24.27,25.23,24.17,24.69,25140300,0.0,0
2019-04-18,24.73,25.06,24.59,24.67,14936700,0.0,0
2019-04-22,24.52,24.8,24.34,24.66,9349400,0.0,0
2019-04-23,24.67,25.02,24.57,24.94,11051200,0.0,0
2019-04-24,25.14,25.55,25.07,25.29,15549900,0.0,0
2019-04-25,25.24,25.34,24.84,25.22,13981700,0.0,0
2019-04-26,24.71,24.95,24.57,24.88,18043000,0.0,0
2019-04-29,24.87,25.17,24.62,24.96,9213800,0.0,0
2019-04-30,24.84,25.15,24.68,24.84,16850200,0.0,0
2019-05-01,24.98,25.15,24.48,24.5,9213600,0.0,0
2019-05-02,24.46,24.81,24.27,24.53,8839100,0.0,0
2019-05-03,24.63,24.74,24.23,24.51,8489100,0.0,0
2019-05-06,23.46,24.31,23.38,24.25,8585500,0.0,0
2019-05-07,24.02,24.2,23.31,23.68,14175000,0.0,0
2019-05-08,23.54,23.96,23.5,23.69,7784400,0.0,0
2019-05-09,23.39,23.39,22.67,23.23,9471000,0.0,0
2019-05-10,23.19,23.53,22.75,23.34,7448600,0.0,0
2019-05-13,22.75,22.81,21.87,21.98,14438800,0.0,0
2019-05-14,22.33,22.79,22.16,22.72,10021200,0.0,0
2019-05-15,22.34,23.09,22.29,22.93,7282300,0.0,0
2019-05-16,22.45,23.11,22.19,22.93,9764700,0.0,0
2019-05-17,22.45,23.29,22.36,22.46,11575700,0.0,0
2019-05-20,21.9,22.17,21.41,21.58,17319300,0.0,0
2019-05-21,22.16,22.46,21.77,22.24,15333800,0.0,0
2019-05-22,21.96,22.47,21.86,22.44,10739400,0.0,0
2019-05-23,22.12,22.17,21.61,21.96,9991500,0.0,0
2019-05-24,22.04,22.25,21.75,21.76,4942700,0.0,0
2019-05-28,21.79,21.92,21.15,21.19,12785400,0.0,0
2019-05-29,21.86,22.05,21.37,21.86,14232200,0.0,0
2019-05-30,21.94,22.52,21.91,22.03,12816600,0.0,0
2019-05-31,22.1,22.48,21.63,22.14,19941300,0.0,0
2019-06-03,22.13,22.68,22.06,22.19,10711000,0.0,0
2019-06-04,22.54,23.29,22.33,23.25,15107700,0.0,0
2019-06-05,23.41,23.73,22.68,23.0,10973900,0.0,0
2019-06-06,23.12,23.57,22.9,23.52,8467200,0.0,0
2019-06-07,23.68,24.0,23.39,23.88,12180400,0.0,0
2019-06-10,23.99,24.67,23.96,24.27,14926700,0.0,0
2019-06-11,24.73,24.89,24.15,24.49,11312700,0.0,0
2019-06-12,24.3,24.38,23.73,23.89,7897900,0.0,0
2019-06-13,24.21,24.29,24.0,24.08,8078600,0.0,0
2019-06-14,23.45,23.83,23.26,23.66,5691300,0.0,0
2019-06-17,23.6,23.85,23.46,23.55,5066400,0.0,0
2019-06-18,23.8,24.42,23.75,24.37,8869000,0.0,0
2019-06-19,24.37,24.51,24.06,24.13,5964200,0.0,0
2019-06-20,24.69,24.74,23.87,23.95,8621500,0.0,0
2019-06-21,23.83,23.96,23.56,23.8,11021400,0.0,0
2019-06-24,23.75,23.96,23.58,23.61,6229800,0.0,0
2019-06-25,23.61,23.82,23.23,23.24,6013700,0.0,0
2019-06-26,23.65,24.02,23.5,23.54,10674000,0.0,0
2019-06-27,23.81,24.17,23.65,23.72,6706200,0.0,0
2019-06-28,23.96,24.06,23.58,23.7,14472400,0.0,0
2019-07-01,24.76,24.8,23.83,24.09,14323800,0.0,0
2019-07-02,24.05,24.06,23.77,23.86,6300500,0.0,0
2019-07-03,24.27,24.47,23.95,24.39,7971000,0.0,0
2019-07-05,24.28,24.35,23.88,24.12,5074000,0.0,0
2019-07-08,23.88,24.07,23.72,23.96,4879600,0.0,0
2019-07-09,23.84,24.49,23.83,24.38,6013300,0.0,0
2019-07-10,24.69,25.11,24.57,24.92,7479500,0.0,0
2019-07-11,24.99,25.03,24.59,24.77,6004300,0.06,0
2019-07-12,24.87,25.29,24.8,25.28,5473500,0.0,0
2019-07-15,25.43,26.05,25.43,25.88,9393100,0.0,0
2019-07-16,25.86,26.01,25.47,25.6,6720000,0.0,0
2019-07-17,25.88,26.15,25.56,25.97,10488500,0.0,0
2019-07-18,25.96,26.52,25.92,26.26,9971000,0.0,0
2019-07-19,26.47,26.48,25.72,25.79,7402000,0.0,0
2019-07-22,25.48,25.9,25.42,25.72,7107900,0.0,0
2019-07-23,25.96,26.39,25.85,26.37,6782400,0.0,0
2019-07-24,26.37,27.15,26.28,27.04,15198100,0.0,0
2019-07-25,26.82,27.26,26.67,27.08,15639200,0.0,0
2019-07-26,27.32,27.51,27.13,27.2,7531500,0.0,0
2019-07-29,27.2,27.28,26.88,27.15,4842600,0.0,0
2019-07-30,26.87,26.95,26.55,26.74,7175400,0.0,0
2019-07-31,26.77,26.88,25.88,26.13,9769100,0.0,0
2019-08-01,26.23,26.66,25.17,25.53,11023000,0.0,0
2019-08-02,25.06,25.33,24.77,24.91,8084200,0.0,0
2019-08-05,24.32,24.38,23.57,23.83,10797900,0.0,0
2019-08-06,24.33,24.61,23.94,24.15,10110300,0.0,0
2019-08-07,23.9,24.69,23.84,24.58,10635900,0.0,0
2019-08-08,24.9,25.25,24.57,25.24,9301900,0.0,0
2019-08-09,24.95,25.16,24.59,24.6,7308600,0.0,0
2019-08-12,24.47,24.72,23.69,23.8,10196000,0.0,0
2019-08-13,23.76,25.23,23.67,25.02,11852600,0.0,0
2019-08-14,24.36,24.73,24.16,24.58,5921800,0.0,0
2019-08-15,24.83,24.91,23.9,23.96,8571000,0.0,0
2019-08-16,24.33,25.01,24.3,24.82,5817500,0.0,0
2019-08-19,25.46,25.56,25.01,25.05,4654800,0.0,0
2019-08-20,25.05,25.09,24.77,24.8,3621400,0.0,0
2019-08-21,25.08,25.13,24.58,24.7,9520100,0.0,0
2019-08-22,24.94,24.99,24.49,24.68,6231600,0.0,0
2019-08-23,24.43,24.83,23.51,23.66,8097000,0.0,0
2019-08-26,23.87,24.05,23.41,23.49,7864800,0.0,0
2019-08-27,23.82,23.82,23.07,23.4,9612200,0.0,0
2019-08-28,23.35,23.51,23.11,23.47,7777800,0.0,0
2019-08-29,23.91,24.41,23.8,24.08,9722300,0.0,0
2019-08-30,23.98,24.75,23.44,23.85,16596400,0.0,0
2019-09-03,23.55,23.72,23.11,23.18,10935700,0.0,0
2019-09-04,23.42,24.01,23.42,23.91,9810400,0.0,0
2019-09-05,24.4,24.94,24.4,24.75,9064300,0.0,0
2019-09-06,24.86,24.94,24.52,24.74,7003900,0.0,0
2019-09-09,24.87,25.06,24.64,24.88,6396700,0.0,0
2019-09-10,24.89,24.89,24.4,24.69,6631100,0.0,0
2019-09-11,24.82,25.97,24.74,25.86,8264000,0.0,0
2019-09-12,26.03,26.4,25.75,25.84,8367300,0.0,0
2019-09-13,25.88,25.97,25.7,25.73,4544200,0.0,0
2019-09-16,25.61,25.62,25.2,25.28,7503800,0.0,0
2019-09-17,25.13,25.76,25.07,25.72,6973200,0.0,0
2019-09-18,25.8,25.82,25.16,25.5,6205300,0.0,0
2019-09-19,25.58,25.85,25.43,25.49,5126800,0.0,0
2019-09-20,25.52,25.58,24.6,24.72,11175500,0.0,0
2019-09-23,24.69,25.13,24.67,24.92,5793300,0.0,0
