Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,118.29,118.55,117.09,117.6,942900,0.0,0
2019-02-06,117.59,118.87,117.48,118.64,907500,0.0,0
2019-02-07,118.01,118.03,116.04,116.85,1031400,0.0,0
2019-02-08,128.0,134.74,126.88,133.35,4429300,0.0,0
2019-02-11,133.36,134.51,132.04,132.18,1903100,0.0,0
2019-02-12,132.29,136.26,132.29,135.18,1823400,0.0,0
2019-02-13,135.4,135.87,134.34,135.59,1178000,0.0,0
2019-02-14,135.59,135.92,134.46,135.15,956300,0.0,0
2019-02-15,136.28,136.85,135.49,136.56,1077200,0.0,0
2019-02-19,135.9,137.41,135.89,136.84,773900,0.0,0
2019-02-20,137.1,137.83,136.47,137.14,1067800,0.0,0
2019-02-21,137.3,137.57,136.05,136.33,981300,0.0,0
2019-02-22,136.82,137.97,136.53,137.89,942700,0.0,0
2019-02-25,138.46,139.36,137.96,139.11,742400,0.0,0
2019-02-26,139.07,140.06,139.07,139.53,1130100,0.0,0
2019-02-27,139.27,140.89,139.27,140.86,757100,0.0,0
2019-02-28,141.06,142.16,140.59,140.99,1444100,0.0,0
2019-03-01,141.6,142.42,140.9,141.47,678400,0.0,0
2019-03-04,142.68,142.78,138.94,139.88,1087700,0.0,0
2019-03-05,139.87,140.31,138.95,139.49,808900,0.0,0
2019-03-06,139.51,139.67,137.76,138.19,690700,0.0,0
2019-03-07,138.43,138.55,136.62,137.41,886800,0.0,0
2019-03-08,135.86,136.87,133.94,136.78,708000,0.0,0
2019-03-11,136.18,139.87,136.18,139.34,1013700,0.0,0
2019-03-12,139.66,140.14,137.95,138.11,919800,0.0,0
2019-03-13,138.76,139.74,137.85,138.91,809500,0.0,0
2019-03-14,139.46,139.46,138.05,138.56,1305800,0.57,0
2019-03-15,138.46,140.08,138.32,139.11,1092700,0.0,0
2019-03-18,139.03,139.61,137.8,138.97,721400,0.0,0
2019-03-19,139.68,139.68,138.44,138.93,662500,0.0,0
2019-03-20,138.82,139.27,137.0,137.19,811600,0.0,0
2019-03-21,137.45,139.71,137.31,139.11,708200,0.0,0
2019-03-22,138.48,139.25,136.68,137.13,722800,0.0,0
2019-03-25,137.13,137.46,135.71,137.13,732800,0.0,0
2019-03-26,138.35,138.96,137.49,138.87,1088600,0.0,0
2019-03-27,138.87,139.91,137.2,137.85,922200,0.0,0
2019-03-28,137.95,138.97,137.16,137.67,858600,0.0,0
2019-03-29,138.33,139.08,137.83,138.89,897600,0.0,0
2019-04-01,139.97,140.91,138.66,139.78,701100,0.0,0
2019-04-02,140.35,140.8,139.23,140.13,662700,0.0,0
2019-04-03,140.88,142.04,140.1,140.74,957400,0.0,0
2019-04-04,141.14,141.19,138.22,139.15,442600,0.0,0
2019-04-05,139.79,139.91,138.76,139.13,1030700,0.0,0
2019-04-08,139.12,139.37,137.97,139.1,578600,0.0,0
2019-04-09,139.0,139.96,138.19,139.25,756800,0.0,0
2019-04-10,139.46,141.19,139.36,141.14,646100,0.0,0
2019-04-11,141.66,141.96,140.59,141.49,905000,0.0,0
2019-04-12,141.91,142.1,140.63,141.67,732400,0.0,0
2019-04-15,141.47,142.13,140.89,142.01,461900,0.0,0
2019-04-16,142.26,143.33,141.86,143.23,714300,0.0,0
2019-04-17,143.42,144.17,141.89,142.05,539700,0.0,0
2019-04-18,142.57,143.21,141.67,141.8,601300,0.0,0
2019-04-22,141.55,143.04,140.96,142.55,663200,0.0,0
2019-04-23,142.67,144.81,142.33,144.48,897600,0.0,0
2019-04-24,144.12,145.98,144.12,145.39,1106600,0.0,0
2019-04-25,144.72,144.72,142.15,143.95,890300,0.0,0
2019-04-26,144.1,145.13,143.16,144.67,756300,0.0,0
2019-04-29,144.31,144.48,143.14,143.68,712600,0.0,0
2019-04-30,143.89,143.89,141.92,143.33,666100,0.0,0
2019-05-01,143.38,143.63,141.15,141.17,1056400,0.0,0
2019-05-02,140.99,141.72,139.63,140.8,1018000,0.0,0
2019-05-03,141.65,146.81,139.12,142.05,1564000,0.0,0
2019-05-06,139.83,141.11,137.69,140.73,1011700,0.0,0
2019-05-07,139.31,140.44,139.01,140.21,1026100,0.0,0
2019-05-08,140.19,142.41,139.66,141.49,809600,0.0,0
2019-05-09,140.39,143.78,139.67,143.65,1375600,0.0,0
2019-05-10,142.95,146.88,142.87,146.81,1468500,0.0,0
2019-05-13,143.65,144.1,141.02,141.67,1199500,0.0,0
2019-05-14,142.18,143.62,141.91,143.05,1045300,0.0,0
2019-05-15,142.26,143.71,141.52,143.6,795800,0.0,0
2019-05-16,144.28,147.36,144.01,146.77,847900,0.0,0
2019-05-17,145.37,146.79,145.04,145.35,1623200,0.0,0
2019-05-20,144.84,145.51,143.61,145.3,1098200,0.0,0
2019-05-21,146.0,148.02,146.0,147.11,989600,0.0,0
2019-05-22,146.42,151.32,146.42,150.97,1310800,0.0,0
2019-05-23,149.73,151.92,148.42,148.84,1807900,0.0,0
2019-05-24,149.67,150.01,147.64,148.99,736300,0.0,0
2019-05-28,149.22,150.57,147.56,148.77,1271600,0.0,0
2019-05-29,148.15,149.16,146.95,147.64,659800,0.0,0
2019-05-30,147.78,150.31,147.78,149.64,867300,0.0,0
2019-05-31,148.16,149.06,146.93,148.32,808500,0.0,0
2019-06-03,148.39,150.51,148.28,150.43,1351400,0.0,0
2019-06-04,151.18,155.35,151.09,155.23,1536600,0.0,0
2019-06-05,156.2,159.55,155.99,158.88,1447800,0.0,0
2019-06-06,158.9,159.59,157.19,159.23,863900,0.0,0
2019-06-07,159.84,162.0,159.23,161.8,637200,0.0,0
2019-06-10,161.81,162.48,159.42,159.75,1019500,0.0,0
2019-06-11,160.45,161.07,158.31,158.81,830900,0.0,0
2019-06-12,159.17,159.77,158.26,159.55,911900,0.0,0
2019-06-13,160.78,161.26,158.02,158.77,764000,0.57,0
2019-06-14,158.82,159.86,157.6,159.16,900900,0.0,0
2019-06-17,159.88,162.78,159.35,162.63,1164000,0.0,0
2019-06-18,162.95,164.81,162.35,163.87,1186600,0.0,0
2019-06-19,164.03,165.62,162.82,165.31,1052300,0.0,0
2019-06-20,167.03,168.05,164.41,165.63,1332700,0.0,0
2019-06-21,165.92,166.24,163.78,163.87,1615400,0.0,0
2019-06-24,164.17,166.13,163.12,164.39,765100,0.0,0
2019-06-25,164.66,165.58,162.86,162.98,958000,0.0,0
2019-06-26,164.03,165.74,163.52,163.66,1071800,0.0,0
2019-06-27,164.17,164.76,162.38,163.38,706800,0.0,0
2019-06-28,163.77,165.72,162.22,165.5,2931200,0.0,0
2019-07-01,166.77,167.55,163.24,165.66,959300,0.0,0
2019-07-02,165.66,167.71,164.91,167.07,1227100,0.0,0
2019-07-03,166.93,169.37,166.93,169.11,425800,0.0,0
2019-07-05,168.92,169.42,167.01,169.39,599700,0.0,0
2019-07-08,168.35,168.55,167.07,167.81,580500,0.0,0
2019-07-09,167.68,169.25,166.44,169.09,926200,0.0,0
2019-07-10,169.74,171.05,169.01,169.47,885700,0.0,0
2019-07-11,169.73,169.82,167.5,169.81,765600,0.0,0
2019-07-12,170.09,171.08,169.54,171.01,510000,0.0,0
2019-07-15,171.01,171.91,170.27,171.52,655100,0.0,0
2019-07-16,171.85,172.16,169.76,170.26,624900,0.0,0
2019-07-17,168.74,169.83,167.9,168.9,519400,0.0,0
2019-07-18,169.13,170.31,168.25,170.25,590500,0.0,0
2019-07-19,171.37,171.37,167.56,167.66,733700,0.0,0
2019-07-22,168.27,169.81,167.86,168.72,452900,0.0,0
2019-07-23,169.44,169.58,167.25,169.54,485100,0.0,0
2019-07-24,169.31,169.31,166.19,166.35,1000300,0.0,0
2019-07-25,166.41,168.08,165.62,167.68,642000,0.0,0
2019-07-26,168.35,169.08,167.54,168.84,542700,0.0,0
2019-07-29,169.54,169.54,167.04,167.52,790900,0.0,0
2019-07-30,166.93,168.11,164.74,164.77,1011600,0.0,0
2019-07-31,165.07,166.56,163.86,164.73,1036200,0.0,0
2019-08-01,164.76,166.68,163.17,163.54,1506600,0.0,0
2019-08-02,162.26,171.02,159.62,168.82,1728100,0.0,0
2019-08-05,166.27,167.8,164.89,167.48,1459100,0.0,0
2019-08-06,168.02,170.91,168.02,170.31,900100,0.0,0
2019-08-07,169.53,173.08,168.22,172.71,1186300,0.0,0
2019-08-08,173.99,177.82,173.71,177.74,950900,0.0,0
2019-08-09,177.35,177.41,174.48,175.0,703500,0.0,0
2019-08-12,174.17,175.5,172.86,174.25,941300,0.0,0
2019-08-13,174.0,175.96,173.92,174.75,818700,0.0,0
2019-08-14,172.49,173.62,169.68,169.77,1140800,0.0,0
2019-08-15,169.99,171.95,168.91,170.79,672800,0.0,0
2019-08-16,171.72,173.45,171.06,172.04,937300,0.0,0
2019-08-19,174.01,176.19,172.9,175.56,640600,0.0,0
2019-08-20,175.23,175.9,173.73,174.09,440300,0.0,0
2019-08-21,175.94,177.92,175.29,177.88,769300,0.0,0
2019-08-22,177.88,178.21,176.62,177.41,856300,0.0,0
2019-08-23,176.68,177.65,173.47,173.97,875500,0.0,0
2019-08-26,175.08,177.08,175.08,177.03,723500,0.0,0
2019-08-27,177.27,178.37,175.89,177.19,1096100,0.0,0
2019-08-28,176.44,176.99,174.98,176.92,554300,0.0,0
2019-08-29,178.46,180.49,178.19,179.82,560200,0.0,0
2019-08-30,180.88,180.93,178.7,179.57,690300,0.0,0
2019-09-03,178.68,179.32,176.83,177.28,841200,0.0,0
2019-09-04,178.4,178.73,176.77,177.6,721900,0.0,0
2019-09-05,175.19,175.42,170.88,172.29,3141500,0.0,0
2019-09-06,172.99,174.43,172.2,173.51,2589900,0.0,0
2019-09-09,173.86,174.01,170.05,170.4,1080100,0.0,0
2019-09-10,169.36,169.36,161.89,163.21,2085700,0.0,0
2019-09-11,163.2,165.09,163.05,164.09,1486400,0.0,0
2019-09-12,165.3,166.63,163.82,165.48,1950200,0.57,0
2019-09-13,165.28,167.68,164.9,166.38,1092900,0.0,0
2019-09-16,165.56,166.43,164.99,165.37,1167700,0.0,0
2019-09-17,165.9,168.52,165.81,168.17,1296500,0.0,0
2019-09-18,168.28,168.75,166.04,167.8,960200,0.0,0
2019-09-19,167.95,168.89,166.39,166.76,760900,0.0,0
2019-09-20,167.18,168.51,165.54,165.55,1397700,0.0,0
2019-09-23,165.6,168.76,165.6,167.8,1190000,0.0,0
2019-09-24,169.19,171.99,168.18,168.56,1223200,0.0,0
2019-09-25,168.36,171.34,167.35,170.94,730000,0.0,0
2019-09-26,170.82,172.07,170.28,171.69,766900,0.0,0
2019-09-27,172.04,172.04,168.86,169.52,618600,0.0,0
2019-09-30,169.47,170.61,169.05,169.74,937000,0.0,0
2019-10-01,169.76,170.15,164.58,164.79,1349000,0.0,0
2019-10-02,164.1,164.1,161.8,163.78,1665100,0.0,0
2019-10-03,163.11,164.37,161.63,164.03,1100400,0.0,0
2019-10-04,164.72,167.61,163.82,167.54,950000,0.0,0
2019-10-07,167.34,167.76,166.06,167.13,803500,0.0,0
2019-10-08,168.17,172.55,166.86,170.07,1877600,0.0,0
2019-10-09,170.8,171.77,169.54,170.42,963200,0.0,0
2019-10-10,169.72,170.07,168.06,169.34,709400,0.0,0
2019-10-11,171.37,171.71,166.87,166.87,1291900,0.0,0
2019-10-14,166.86,168.45,166.67,166.68,1064200,0.0,0
2019-10-15,166.98,169.94,166.88,169.04,674600,0.0,0
2019-10-16,169.82,172.12,168.38,172.08,1158800,0.0,0
2019-10-17,172.86,176.25,171.92,175.02,1150300,0.0,0
2019-10-18,175.67,175.83,172.7,174.36,786800,0.0,0
2019-10-21,174.95,175.57,173.55,175.31,810000,0.0,0
2019-10-22,175.31,175.73,168.27,168.41,897500,0.0,0
2019-10-23,168.57,168.86,167.36,168.42,1091200,0.0,0
2019-10-24,165.55,166.54,157.1,162.6,2840100,0.0,0
2019-10-25,162.74,164.08,161.36,162.76,937600,0.0,0
2019-10-28,164.12,164.12,161.33,162.18,1055800,0.0,0
2019-10-29,161.36,164.14,161.36,164.1,852300,0.0,0
2019-10-30,164.2,165.17,163.36,164.71,1078800,0.0,0
2019-10-31,165.34,167.15,157.68,165.66,2650600,0.0,0
2019-11-01,166.38,167.82,165.7,166.9,960500,0.0,0
2019-11-04,167.59,167.78,159.66,159.95,1438000,0.0,0
2019-11-05,159.12,159.8,153.41,156.47,3000300,0.0,0
2019-11-06,156.47,158.54,155.68,157.97,1252900,0.0,0
2019-11-07,159.03,163.25,158.57,161.56,1563200,0.0,0
2019-11-08,161.34,164.42,161.0,164.31,1183600,0.0,0
2019-11-11,161.7,162.76,159.52,160.51,1187700,0.0,0
2019-11-12,160.35,160.7,158.88,160.48,1242100,0.0,0
2019-11-13,159.96,163.43,159.96,160.96,1133900,0.0,0
2019-11-14,160.06,162.45,159.55,161.1,652100,0.0,0
2019-11-15,161.54,161.73,159.81,161.44,909300,0.0,0
2019-11-18,161.36,162.79,160.83,162.32,923800,0.0,0
2019-11-19,163.34,165.89,162.61,165.34,925600,0.0,0
2019-11-20,165.41,167.57,164.0,165.7,1032700,0.0,0
2019-11-21,165.07,166.03,163.68,164.41,970600,0.0,0
2019-11-22,164.64,165.71,163.83,165.19,702500,0.0,0
2019-11-25,165.9,166.33,163.8,165.06,781800,0.0,0
2019-11-26,165.27,167.32,164.15,165.7,2948800,0.0,0
2019-11-27,166.2,167.21,165.34,166.74,778300,0.0,0
2019-11-29,165.96,167.28,165.6,166.64,434600,0.0,0
2019-12-02,166.13,166.44,161.69,164.39,860800,0.0,0
2019-12-03,163.62,165.24,162.3,164.21,998400,0.0,0
