Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,75.96,76.28,75.01,75.47,286000,0.0,0
2019-02-06,75.23,75.73,75.2,75.47,168000,0.0,0
2019-02-07,75.25,75.25,73.81,74.59,218800,0.0,0
2019-02-08,73.47,74.37,72.77,73.68,255800,0.0,0
2019-02-11,73.79,75.08,73.79,74.93,363100,0.0,0
2019-02-12,75.49,76.32,75.33,76.14,323800,0.0,0
2019-02-13,76.4,77.1,76.18,76.88,277800,0.0,0
2019-02-14,76.6,77.77,75.97,76.92,342000,0.0,0
2019-02-15,77.38,77.81,77.02,77.66,602300,0.0,0
2019-02-19,77.16,78.17,76.88,77.61,491600,0.0,0
2019-02-20,77.64,77.64,76.45,76.98,217100,0.0,0
2019-02-21,76.86,77.24,76.05,76.24,245500,0.0,0
2019-02-22,76.78,76.88,76.18,76.75,199000,0.0,0
2019-02-25,77.26,77.49,76.39,77.03,283500,0.0,0
2019-02-26,77.0,77.45,76.84,76.98,238100,0.0,0
2019-02-27,76.96,77.5,76.47,77.35,248100,0.0,0
2019-02-28,77.21,77.24,75.82,75.95,486500,0.0,0
2019-03-01,76.67,77.08,75.09,75.43,323600,0.0,0
2019-03-04,75.62,76.2,75.09,75.71,308000,0.0,0
2019-03-05,75.91,76.34,75.42,75.67,234000,0.0,0
2019-03-06,75.85,76.55,75.67,76.15,469300,0.0,0
2019-03-07,76.09,76.26,74.61,75.05,406300,0.0,0
2019-03-08,74.5,74.68,73.72,74.56,273400,0.0,0
2019-03-11,74.53,75.38,74.52,75.33,249400,0.0,0
2019-03-12,75.54,75.54,74.52,74.71,273500,0.0,0
2019-03-13,75.04,75.46,74.62,74.75,295400,0.0,0
2019-03-14,74.7,74.7,73.63,73.82,246900,0.0,0
2019-03-15,73.9,74.06,72.86,73.07,728100,0.0,0
2019-03-18,73.16,74.93,73.16,74.79,478700,0.0,0
2019-03-19,75.2,75.4,73.88,74.12,291800,0.0,0
2019-03-20,74.08,74.37,72.83,73.28,354100,0.0,0
2019-03-21,73.1,74.8,72.86,74.33,275900,0.0,0
2019-03-22,73.89,74.0,71.46,71.54,297600,0.0,0
2019-03-25,71.43,71.92,70.75,71.36,289600,0.0,0
2019-03-26,71.98,72.5,71.21,72.46,286800,0.0,0
2019-03-27,72.62,73.52,72.45,73.16,212700,0.0,0
2019-03-28,73.28,74.59,73.28,74.14,215900,0.0,0
2019-03-29,74.68,75.31,74.14,74.42,254100,0.0,0
2019-04-01,75.09,75.85,74.61,75.49,688000,0.0,0
2019-04-02,75.74,76.03,74.58,75.38,356600,0.0,0
2019-04-03,75.81,76.43,75.47,75.67,411700,0.0,0
2019-04-04,75.67,76.22,75.07,75.42,333900,0.0,0
2019-04-05,75.68,76.92,75.58,76.86,370200,0.0,0
2019-04-08,76.98,78.1,76.81,77.83,548000,0.63,0
2019-04-09,77.25,77.51,75.69,75.88,595900,0.0,0
2019-04-10,72.02,74.18,71.11,73.97,1947100,0.0,0
2019-04-11,74.12,75.8,73.1,73.54,879000,0.0,0
2019-04-12,74.12,74.12,73.07,74.01,649100,0.0,0
2019-04-15,74.22,74.67,73.54,74.33,386100,0.0,0
2019-04-16,74.47,75.32,73.92,75.19,289100,0.0,0
2019-04-17,75.71,76.37,75.54,75.89,317300,0.0,0
2019-04-18,76.18,76.48,75.51,75.59,239200,0.0,0
2019-04-22,75.39,75.58,73.66,74.0,297900,0.0,0
2019-04-23,74.3,75.84,73.74,75.19,326500,0.0,0
2019-04-24,75.19,76.24,74.89,74.95,392300,0.0,0
2019-04-25,74.9,74.9,73.27,73.54,447400,0.0,0
2019-04-26,73.73,74.03,73.44,73.93,347100,0.0,0
2019-04-29,74.22,74.84,74.0,74.8,358100,0.0,0
2019-04-30,74.82,75.96,74.34,75.83,439200,0.0,0
2019-05-01,76.15,76.19,73.72,73.76,369100,0.0,0
2019-05-02,73.73,74.22,72.87,74.1,349100,0.0,0
2019-05-03,74.51,76.12,74.51,76.12,216100,0.0,0
2019-05-06,74.15,75.6,73.81,74.84,307900,0.0,0
2019-05-07,73.86,73.86,71.35,71.92,365700,0.0,0
2019-05-08,71.61,72.2,71.33,71.47,378700,0.0,0
2019-05-09,70.66,70.89,69.44,70.53,420600,0.0,0
2019-05-10,70.28,70.44,68.62,69.72,404100,0.0,0
2019-05-13,68.27,68.4,67.11,67.64,441500,0.0,0
2019-05-14,67.89,67.92,66.95,67.45,397800,0.0,0
2019-05-15,66.8,67.38,66.28,67.03,468800,0.0,0
2019-05-16,67.14,68.26,66.74,67.43,300500,0.0,0
2019-05-17,66.98,67.99,66.72,67.48,688500,0.0,0
2019-05-20,67.16,68.6,66.87,68.19,355100,0.0,0
2019-05-21,68.63,69.6,68.63,68.77,404100,0.0,0
2019-05-22,68.35,68.52,66.63,66.74,290100,0.0,0
2019-05-23,66.19,66.32,65.42,65.79,337600,0.0,0
2019-05-24,66.07,66.36,65.03,65.79,315700,0.0,0
2019-05-28,65.94,66.0,65.06,65.08,423600,0.0,0
2019-05-29,64.71,65.55,64.19,65.48,281000,0.0,0
2019-05-30,65.65,65.87,64.34,64.59,320600,0.0,0
2019-05-31,63.93,64.41,63.28,64.05,814100,0.0,0
2019-06-03,64.15,65.31,64.14,64.91,683000,0.0,0
2019-06-04,65.61,66.9,65.34,66.87,437300,0.0,0
2019-06-05,66.73,67.06,65.01,65.72,328000,0.0,0
2019-06-06,65.71,65.72,64.16,65.03,301400,0.0,0
2019-06-07,65.35,65.57,64.82,65.29,277500,0.0,0
2019-06-10,64.85,65.59,64.58,64.99,646100,0.0,0
2019-06-11,64.99,66.21,64.66,65.78,336200,0.0,0
2019-06-12,65.78,66.25,65.0,65.36,295100,0.0,0
2019-06-13,65.69,66.23,65.11,66.23,294900,0.0,0
2019-06-14,66.02,66.02,63.86,64.82,317300,0.0,0
2019-06-17,64.81,64.81,63.59,63.8,385800,0.0,0
2019-06-18,64.2,65.35,63.96,64.8,447800,0.0,0
2019-06-19,64.98,65.82,64.52,65.41,291500,0.0,0
2019-06-20,66.2,66.75,65.61,66.58,215600,0.0,0
2019-06-21,66.37,66.58,65.3,66.07,350600,0.0,0
2019-06-24,66.28,66.54,65.41,65.57,262700,0.0,0
2019-06-25,65.69,66.22,65.49,65.64,308100,0.0,0
2019-06-26,65.82,65.82,64.91,65.05,312200,0.0,0
2019-06-27,65.3,66.65,65.3,66.46,288700,0.0,0
2019-06-28,66.65,67.47,66.1,67.32,784800,0.0,0
2019-07-01,67.85,68.27,66.37,66.67,559400,0.0,0
2019-07-02,66.62,66.99,66.01,66.79,366100,0.0,0
2019-07-03,66.88,67.5,65.69,67.46,514300,0.0,0
2019-07-05,67.17,67.3,66.09,67.04,306200,0.0,0
2019-07-08,66.37,66.94,65.79,66.02,415300,0.0,0
2019-07-09,65.86,65.86,64.49,65.51,464900,0.0,0
2019-07-10,63.36,64.63,60.96,63.05,2230700,0.0,0
2019-07-11,62.85,64.56,62.68,64.43,965600,0.0,0
2019-07-12,64.41,66.45,64.03,65.77,677600,0.0,0
2019-07-15,65.69,65.88,64.54,65.39,499900,0.0,0
2019-07-16,65.4,66.5,65.06,65.88,458900,0.0,0
2019-07-17,66.1,66.1,64.37,64.69,497500,0.0,0
2019-07-18,64.81,64.81,63.44,63.79,516100,0.0,0
2019-07-19,64.21,65.11,64.06,64.67,513800,0.0,0
2019-07-22,65.11,65.11,63.83,64.4,448700,0.75,0
2019-07-23,64.86,66.13,64.51,66.11,431700,0.0,0
2019-07-24,65.8,66.95,65.8,66.44,472400,0.0,0
2019-07-25,66.54,66.54,64.55,65.22,573600,0.0,0
2019-07-26,65.3,65.88,64.96,65.8,352000,0.0,0
2019-07-29,65.78,65.93,64.79,64.94,334600,0.0,0
2019-07-30,64.73,65.87,64.62,65.84,489500,0.0,0
2019-07-31,65.96,65.96,64.45,65.09,556500,0.0,0
2019-08-01,65.29,65.52,62.27,62.68,437300,0.0,0
2019-08-02,62.47,62.74,61.62,62.37,567400,0.0,0
2019-08-05,61.15,61.57,60.14,60.82,509800,0.0,0
2019-08-06,61.08,62.12,60.85,62.07,526400,0.0,0
2019-08-07,61.38,62.34,60.83,62.17,345100,0.0,0
2019-08-08,62.69,63.27,62.65,63.13,381600,0.0,0
2019-08-09,62.82,63.19,61.82,62.29,641000,0.0,0
2019-08-12,62.05,62.05,61.38,61.64,409500,0.0,0
2019-08-13,61.52,63.43,61.19,62.73,565700,0.0,0
2019-08-14,61.88,61.88,59.17,60.2,633100,0.0,0
2019-08-15,60.63,61.27,60.23,60.98,640000,0.0,0
2019-08-16,61.38,62.74,61.37,62.64,470100,0.0,0
2019-08-19,63.59,64.28,63.27,64.07,334100,0.0,0
2019-08-20,64.23,64.28,63.17,63.17,341200,0.0,0
2019-08-21,63.78,63.96,62.72,62.88,340000,0.0,0
2019-08-22,63.12,63.4,62.59,63.05,365300,0.0,0
2019-08-23,62.66,62.9,61.19,61.51,584100,0.0,0
2019-08-26,62.14,62.23,61.45,62.05,335900,0.0,0
2019-08-27,62.6,62.66,60.37,60.41,272700,0.0,0
2019-08-28,60.18,61.18,60.01,60.74,303600,0.0,0
2019-08-29,61.4,62.04,61.25,61.61,200700,0.0,0
2019-08-30,62.0,62.61,61.49,61.95,474900,0.0,0
2019-09-03,61.44,61.44,59.8,61.06,388200,0.0,0
2019-09-04,61.83,62.45,61.46,61.58,378800,0.0,0
2019-09-05,62.2,64.19,62.2,64.09,276400,0.0,0
2019-09-06,64.21,64.41,63.18,63.85,350700,0.0,0
2019-09-09,64.23,65.21,63.79,64.5,755500,0.0,0
2019-09-10,64.54,65.88,64.0,65.68,422200,0.0,0
2019-09-11,66.25,68.19,65.98,67.93,591200,0.0,0
2019-09-12,66.46,66.86,65.28,65.95,562300,0.0,0
2019-09-13,66.5,66.93,65.93,66.16,566900,0.0,0
2019-09-16,65.93,65.96,65.17,65.55,339000,0.0,0
2019-09-17,65.02,65.2,64.14,64.57,373300,0.0,0
2019-09-18,64.22,64.44,63.82,64.34,275800,0.0,0
2019-09-19,64.57,64.63,64.04,64.17,272000,0.0,0
2019-09-20,64.26,64.34,63.42,63.57,542500,0.0,0
2019-09-23,62.89,63.79,62.52,63.58,398500,0.0,0
2019-09-24,63.68,63.89,62.61,62.78,509900,0.0,0
2019-09-25,62.95,64.18,62.81,63.99,368300,0.0,0
2019-09-26,63.86,65.0,63.78,64.97,432000,0.0,0
2019-09-27,65.25,65.71,64.91,65.38,335300,0.0,0
2019-09-30,65.58,66.66,65.49,66.45,361000,0.0,0
2019-10-01,66.95,67.53,64.12,64.18,974300,0.0,0
2019-10-02,63.39,63.68,62.27,63.51,412900,0.0,0
2019-10-03,63.26,63.49,62.22,63.41,211300,0.0,0
2019-10-04,63.48,64.38,63.28,64.24,229300,0.0,0
2019-10-07,63.92,64.28,62.58,62.6,526400,0.0,0
2019-10-08,61.83,62.64,61.17,61.86,278900,0.0,0
2019-10-09,62.57,62.62,61.72,62.36,376900,0.0,0
2019-10-10,62.62,64.04,62.55,63.21,352600,0.0,0
2019-10-11,64.73,67.52,64.04,66.1,739100,0.0,0
2019-10-14,65.89,66.03,65.04,65.11,521600,0.0,0
2019-10-15,65.33,65.95,64.69,65.59,410900,0.0,0
2019-10-16,65.58,65.76,64.92,64.96,365700,0.0,0
2019-10-17,65.42,66.6,65.1,65.96,474700,0.0,0
2019-10-18,65.86,66.77,65.82,65.87,408500,0.0,0
2019-10-21,65.18,66.43,64.86,65.15,845000,0.0,0
2019-10-22,64.13,68.0,63.89,67.78,879100,0.0,0
2019-10-23,67.45,68.44,66.84,68.33,590000,0.0,0
2019-10-24,69.01,69.86,67.83,69.2,960200,0.0,0
2019-10-25,69.17,69.55,68.78,69.2,595000,0.0,0
2019-10-28,69.53,70.29,68.48,68.56,582800,0.0,0
2019-10-29,68.71,68.71,67.37,68.18,620900,0.0,0
2019-10-30,68.02,68.18,67.36,67.77,262900,0.0,0
2019-10-31,67.59,67.59,66.35,67.07,335700,0.0,0
2019-11-01,67.77,69.09,67.62,69.02,315100,0.0,0
2019-11-04,69.18,70.15,69.18,69.8,388800,0.0,0
2019-11-05,69.98,70.6,69.9,70.18,365200,0.0,0
2019-11-06,70.1,70.49,69.23,69.92,482300,0.0,0
2019-11-07,69.82,70.33,69.39,69.98,605000,0.0,0
2019-11-08,70.0,70.04,69.43,69.67,355900,0.75,0
2019-11-11,69.41,70.18,69.17,70.11,437600,0.0,0
2019-11-12,70.29,70.41,69.68,69.8,381600,0.0,0
2019-11-13,69.41,69.59,68.98,68.98,321200,0.0,0
2019-11-14,68.96,69.26,68.54,68.72,720800,0.0,0
2019-11-15,69.29,69.9,68.87,69.73,614500,0.0,0
2019-11-18,69.46,69.46,67.93,68.4,347900,0.0,0
2019-11-19,68.75,68.91,68.18,68.34,393100,0.0,0
2019-11-20,68.02,68.64,67.72,68.3,460000,0.0,0
2019-11-21,68.44,68.48,67.73,68.15,345900,0.0,0
2019-11-22,68.16,69.11,67.8,68.82,420700,0.0,0
2019-11-25,69.22,69.61,68.56,68.68,378800,0.0,0
2019-11-26,68.83,68.95,68.36,68.8,333600,0.0,0
2019-11-27,68.97,69.26,68.23,68.92,558500,0.0,0
2019-11-29,69.03,69.03,67.85,67.92,141800,0.0,0
2019-12-02,67.91,68.36,66.92,67.03,377600,0.0,0
2019-12-03,66.2,66.62,65.77,66.1,340800,0.0,0
2019-12-04,66.34,66.84,65.86,65.86,284200,0.0,0
2019-12-05,66.3,67.36,66.2,66.41,536000,0.0,0
2019-12-06,67.08,67.45,66.8,66.87,364200,0.0,0
2019-12-09,66.82,67.59,66.58,67.16,342300,0.0,0
2019-12-10,67.35,68.0,67.04,67.44,601800,0.0,0
2019-12-11,67.6,67.9,67.33,67.61,428700,0.0,0
2019-12-12,67.89,69.33,67.63,69.26,692000,0.0,0
2019-12-13,69.35,70.22,68.2,68.4,497100,0.0,0
2019-12-16,68.73,69.15,68.37,68.76,459400,0.0,0
2019-12-17,68.83,71.06,68.67,69.72,476100,0.0,0
2019-12-18,69.72,70.76,69.17,70.15,622100,0.0,0
2019-12-19,70.26,71.68,69.96,71.57,554200,0.0,0
2019-12-20,71.94,73.06,71.56,72.88,1288200,0.0,0
2019-12-23,73.24,73.34,72.37,72.84,505800,0.0,0
2019-12-24,73.1,73.27,72.91,72.96,221700,0.0,0
2019-12-26,73.15,73.43,72.81,73.35,466500,0.0,0
2019-12-27,73.55,73.9,72.99,73.07,537600,0.0,0
2019-12-30,73.13,73.41,72.77,73.1,456900,0.0,0
2019-12-31,72.88,73.44,72.38,72.6,337600,0.0,0
2020-01-02,73.06,73.39,71.96,72.88,394700,0.0,0
2020-01-03,72.12,72.43,71.51,71.9,671600,0.0,0
2020-01-06,71.4,71.6,70.59,70.83,968900,0.0,0
2020-01-07,70.68,70.94,69.78,70.25,979900,0.0,0
2020-01-08,71.88,73.09,70.28,70.32,1838700,0.0,0
