Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,159.62,159.82,156.56,158.34,874600,0.0,0
2019-02-06,157.78,159.25,156.74,157.6,846400,0.0,0
2019-02-07,158.62,163.08,158.62,162.51,1321700,0.0,0
2019-02-08,161.83,162.96,159.07,161.25,969300,0.0,0
2019-02-11,161.77,164.17,161.65,164.13,1108400,0.0,0
2019-02-12,164.93,166.82,164.52,165.73,926000,0.0,0
2019-02-13,165.73,167.49,165.54,166.34,617900,0.0,0
2019-02-14,165.32,165.7,163.48,164.9,619800,0.0,0
2019-02-15,166.34,167.97,165.96,167.95,1284700,0.0,0
2019-02-19,166.85,169.63,166.16,169.13,648400,0.0,0
2019-02-20,169.03,171.69,168.07,171.58,843800,0.0,0
2019-02-21,170.23,170.97,168.25,168.74,872100,0.0,0
2019-02-22,168.74,169.35,167.32,168.14,669000,0.0,0
2019-02-25,169.19,169.58,167.84,168.14,661300,0.0,0
2019-02-26,167.39,168.38,165.81,166.23,984300,0.0,0
2019-02-27,166.49,168.39,165.88,168.2,852000,0.0,0
2019-02-28,168.5,169.72,167.79,168.72,756600,0.0,0
2019-03-01,169.65,170.72,168.21,169.24,919600,1.0,0
2019-03-04,169.29,171.82,168.3,169.48,1072200,0.0,0
2019-03-05,169.19,170.24,166.41,169.32,753100,0.0,0
2019-03-06,169.05,169.66,166.58,166.6,1269700,0.0,0
2019-03-07,165.73,166.11,163.81,164.38,1096500,0.0,0
2019-03-08,163.13,165.04,162.99,164.58,791900,0.0,0
2019-03-11,165.11,166.6,164.43,165.81,866200,0.0,0
2019-03-12,166.41,167.94,166.21,167.05,851800,0.0,0
2019-03-13,167.64,169.67,167.02,168.83,782800,0.0,0
2019-03-14,168.97,170.46,168.43,169.96,904800,0.0,0
2019-03-15,169.37,171.22,168.91,169.17,1347800,0.0,0
2019-03-18,169.87,172.01,169.67,171.34,672700,0.0,0
2019-03-19,172.31,172.31,167.55,168.02,756300,0.0,0
2019-03-20,167.53,168.03,160.54,160.61,941900,0.0,0
2019-03-21,159.84,160.08,156.95,157.21,890600,0.0,0
2019-03-22,156.16,156.16,150.15,150.8,1129700,0.0,0
2019-03-25,151.01,152.03,149.29,150.31,810300,0.0,0
2019-03-26,150.95,153.33,150.25,152.56,791000,0.0,0
2019-03-27,152.14,153.05,150.9,152.29,668800,0.0,0
2019-03-28,152.6,154.42,152.09,154.34,672900,0.0,0
2019-03-29,155.38,155.85,153.61,153.97,817700,0.0,0
2019-04-01,155.07,158.84,154.85,158.59,735900,0.0,0
2019-04-02,158.11,160.06,157.32,158.6,592700,0.0,0
2019-04-03,159.85,161.0,158.02,158.74,557400,0.0,0
2019-04-04,158.63,160.85,157.82,160.12,624000,0.0,0
2019-04-05,160.48,161.05,159.02,160.05,703700,0.0,0
2019-04-08,159.94,161.04,159.21,160.87,378800,0.0,0
2019-04-09,159.94,160.36,157.75,158.98,520100,0.0,0
2019-04-10,159.4,160.13,157.66,159.88,589800,0.0,0
2019-04-11,160.84,162.34,159.96,161.3,617500,0.0,0
