Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,189.92,194.87,188.97,194.55,433800,0.0,0
2019-02-06,193.97,197.43,192.66,197.17,452400,0.0,0
2019-02-07,195.5,195.56,189.28,192.5,551700,0.0,0
2019-02-08,190.89,197.93,190.89,195.52,332800,0.0,0
2019-02-11,195.7,196.55,194.25,195.34,253300,0.0,0
2019-02-12,197.33,200.65,196.36,198.75,386500,0.0,0
2019-02-13,199.56,203.04,198.95,201.0,369800,0.0,0
2019-02-14,200.39,201.47,196.05,200.85,288100,0.0,0
2019-02-15,202.1,202.61,198.94,200.11,344700,0.0,0
2019-02-19,200.53,202.76,199.75,201.46,366900,0.0,0
2019-02-20,202.18,205.54,201.24,204.85,246300,0.0,0
2019-02-21,205.26,205.26,199.75,201.23,329800,0.0,0
2019-02-22,202.12,203.43,199.08,202.2,383400,0.0,0
2019-02-25,203.39,205.05,202.15,202.54,327900,0.0,0
2019-02-26,202.27,204.86,200.1,200.73,389600,0.0,0
2019-02-27,200.58,203.35,199.86,201.43,279200,0.0,0
2019-02-28,201.62,203.9,201.26,202.04,348400,0.0,0
2019-03-01,204.04,204.48,199.33,201.12,578900,0.0,0
2019-03-04,201.56,201.7,196.82,198.76,357200,0.0,0
2019-03-05,198.76,201.27,195.55,200.66,430300,0.0,0
2019-03-06,201.8,203.16,199.44,201.16,304200,0.0,0
2019-03-07,200.71,201.36,194.44,196.23,683700,0.0,0
2019-03-08,201.66,214.26,198.92,209.95,1049700,0.0,0
2019-03-11,210.95,215.82,210.95,213.81,849000,0.0,0
2019-03-12,214.69,214.95,210.47,211.18,388400,0.0,0
2019-03-13,212.28,214.88,210.59,211.44,446500,0.0,0
2019-03-14,210.59,211.85,204.8,207.84,434400,0.0,0
2019-03-15,208.78,211.18,207.17,207.69,561300,0.0,0
2019-03-18,208.26,210.46,207.35,210.09,279800,0.0,0
2019-03-19,210.96,211.29,205.63,205.94,321700,0.0,0
2019-03-20,205.58,206.55,202.63,203.74,350800,0.0,0
2019-03-21,203.25,208.03,203.16,207.08,285000,0.0,0
2019-03-22,206.37,206.82,203.33,205.33,346200,0.0,0
2019-03-25,205.36,206.53,202.55,204.85,315400,0.0,0
2019-03-26,204.42,208.42,204.38,208.26,233300,1.76,0
2019-03-27,208.4,210.16,206.26,207.95,229400,0.0,0
2019-03-28,208.31,211.3,207.71,210.95,239900,0.0,0
2019-03-29,211.88,214.95,211.57,212.45,323400,0.0,0
2019-04-01,214.23,216.05,212.49,213.72,282700,0.0,0
2019-04-02,214.03,216.15,212.63,215.76,221900,0.0,0
2019-04-03,216.85,218.29,216.3,216.67,280500,0.0,0
2019-04-04,214.5,216.27,209.79,210.58,371800,0.0,0
2019-04-05,211.13,215.27,211.13,214.58,389000,0.0,0
2019-04-08,214.99,215.08,211.76,213.09,346100,0.0,0
2019-04-09,212.45,213.51,209.76,212.32,242800,0.0,0
2019-04-10,212.35,213.26,210.56,211.26,248100,0.0,0
2019-04-11,211.28,213.35,210.73,212.73,405900,0.0,0
2019-04-12,214.29,214.86,211.36,212.24,429200,0.0,0
2019-04-15,212.56,214.57,211.79,212.89,291800,0.0,0
2019-04-16,213.32,213.32,209.9,209.92,288500,0.0,0
