Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,43.73,44.19,42.84,43.74,624500,0.0,0
2019-02-06,43.73,44.34,43.72,43.94,586900,0.0,0
2019-02-07,43.63,43.88,43.28,43.49,684000,0.0,0
2019-02-08,43.23,44.01,43.23,43.84,708500,0.25,0
2019-02-11,43.98,44.29,43.85,44.24,672200,0.0,0
2019-02-12,44.39,44.74,44.06,44.22,620000,0.0,0
2019-02-13,44.4,44.75,44.27,44.66,602300,0.0,0
2019-02-14,44.44,44.97,44.43,44.55,455500,0.0,0
2019-02-15,44.85,45.12,44.41,45.03,338900,0.0,0
2019-02-19,44.85,45.17,44.62,44.63,479200,0.0,0
2019-02-20,44.69,45.19,44.47,44.95,604900,0.0,0
2019-02-21,44.93,45.57,44.79,45.24,837900,0.0,0
2019-02-22,45.44,45.88,45.35,45.75,641900,0.0,0
2019-02-25,46.0,46.31,45.83,46.0,699400,0.0,0
2019-02-26,45.87,46.03,45.74,45.85,528200,0.0,0
2019-02-27,45.8,45.89,45.59,45.67,417800,0.0,0
2019-02-28,45.57,46.02,44.16,45.93,686600,0.0,0
2019-03-01,46.07,46.47,45.4,45.82,418900,0.0,0
2019-03-04,45.95,46.15,45.16,45.78,640600,0.0,0
2019-03-05,45.83,46.13,45.44,45.62,415400,0.0,0
2019-03-06,45.66,45.66,44.88,44.99,369600,0.0,0
2019-03-07,44.87,44.87,44.1,44.25,379700,0.0,0
2019-03-08,43.95,44.05,43.54,43.82,352300,0.0,0
2019-03-11,43.94,44.71,43.65,44.57,458300,0.0,0
2019-03-12,44.61,44.8,44.34,44.55,446600,0.0,0
2019-03-13,44.84,44.84,44.01,44.46,468900,0.0,0
2019-03-14,44.52,44.52,44.1,44.29,491300,0.0,0
2019-03-15,44.36,44.85,44.29,44.38,1035400,0.0,0
2019-03-18,44.46,44.5,43.87,44.14,417900,0.0,0
2019-03-19,44.24,44.6,44.14,44.34,264200,0.0,0
2019-03-20,44.35,44.44,43.61,43.79,333100,0.0,0
2019-03-21,43.75,44.7,43.75,44.64,502500,0.0,0
2019-03-22,44.49,44.54,43.27,43.35,724800,0.0,0
2019-03-25,43.23,43.69,42.79,43.63,490700,0.0,0
2019-03-26,43.94,43.94,43.11,43.4,360600,0.0,0
2019-03-27,43.37,43.59,42.89,43.23,417000,0.0,0
2019-03-28,43.31,43.74,42.94,43.63,312900,0.0,0
2019-03-29,43.84,44.14,43.46,43.59,554800,0.0,0
2019-04-01,43.94,44.74,43.92,44.63,692300,0.0,0
2019-04-02,44.64,44.7,43.76,44.15,383800,0.0,0
2019-04-03,44.36,45.03,44.21,44.83,587000,0.0,0
2019-04-04,44.94,45.12,44.42,45.03,736100,0.0,0
2019-04-05,45.12,45.41,44.78,45.39,329000,0.0,0
2019-04-08,45.27,45.75,45.17,45.71,277500,0.0,0
2019-04-09,45.55,45.7,45.17,45.29,265000,0.0,0
2019-04-10,45.36,45.53,45.05,45.51,276900,0.0,0
2019-04-11,45.58,45.69,45.3,45.52,321800,0.0,0
2019-04-12,45.71,46.41,45.37,46.39,249300,0.0,0
2019-04-15,46.24,46.58,45.91,46.07,247600,0.0,0
2019-04-16,46.33,46.58,46.07,46.38,290500,0.0,0
2019-04-17,46.58,46.68,45.59,45.74,263700,0.0,0
2019-04-18,45.85,46.19,45.24,46.13,247300,0.0,0
2019-04-22,45.97,46.16,45.38,45.92,238500,0.0,0
2019-04-23,46.09,46.91,46.09,46.5,375900,0.0,0
2019-04-24,46.45,47.01,46.41,46.84,316000,0.0,0
2019-04-25,46.83,46.83,46.16,46.44,279700,0.0,0
2019-04-26,46.38,46.92,46.09,46.88,222300,0.0,0
2019-04-29,46.83,47.38,46.23,46.32,731200,0.0,0
2019-04-30,46.19,46.4,45.64,46.28,856600,0.0,0
2019-05-01,39.32,43.2,39.31,42.98,3225100,0.0,0
2019-05-02,42.84,43.45,42.33,43.01,1193100,0.0,0
2019-05-03,43.48,43.83,42.92,43.56,942100,0.0,0
2019-05-06,42.8,42.93,42.21,42.78,659300,0.0,0
2019-05-07,42.31,42.69,41.56,41.96,516300,0.0,0
2019-05-08,41.88,42.45,41.74,41.82,371600,0.0,0
