Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,10.86,10.95,10.78,10.89,1297300,0.0,0
2019-02-06,10.87,10.92,10.8,10.87,1611700,0.0,0
2019-02-07,10.85,10.96,10.75,10.82,1459100,0.0,0
2019-02-08,10.72,10.81,10.59,10.71,1436500,0.0,0
2019-02-11,10.73,10.86,10.73,10.84,1285400,0.0,0
2019-02-12,10.9,11.13,10.88,11.02,1662000,0.0,0
2019-02-13,11.08,11.21,11.01,11.13,1203800,0.0,0
2019-02-14,11.06,11.14,10.96,11.06,1206100,0.0,0
2019-02-15,11.14,11.31,11.05,11.17,1754300,0.0,0
2019-02-19,11.96,12.28,11.72,12.18,6228700,0.0,0
2019-02-20,12.2,12.23,11.95,12.05,4288200,0.0,0
2019-02-21,11.37,11.75,11.29,11.73,3545300,0.0,0
2019-02-22,11.8,11.86,11.68,11.84,1583600,0.0,0
2019-02-25,11.91,12.06,11.87,11.99,2563100,0.0,0
2019-02-26,11.95,12.05,11.87,12.0,2243000,0.0,0
2019-02-27,12.03,12.03,11.85,11.95,1733200,0.0,0
2019-02-28,12.06,12.06,11.78,11.78,2461000,0.16,0
2019-03-01,11.89,11.96,11.75,11.77,2054400,0.0,0
2019-03-04,11.75,11.92,11.65,11.69,2157700,0.0,0
2019-03-05,11.56,11.72,11.54,11.55,1744900,0.0,0
2019-03-06,11.59,11.6,11.39,11.39,1881800,0.0,0
2019-03-07,11.43,11.43,11.1,11.13,1541500,0.0,0
2019-03-08,11.03,11.43,11.01,11.31,1312000,0.0,0
2019-03-11,11.34,11.4,11.13,11.33,1412900,0.0,0
2019-03-12,11.35,11.95,11.17,11.33,2474400,0.0,0
2019-03-13,11.4,11.45,11.29,11.38,1553600,0.0,0
2019-03-14,11.38,11.52,11.36,11.43,1652000,0.0,0
2019-03-15,11.42,11.64,11.39,11.6,4579700,0.0,0
2019-03-18,11.68,11.81,11.68,11.71,1307100,0.0,0
2019-03-19,11.78,11.79,11.51,11.53,1408100,0.0,0
2019-03-20,11.52,11.52,11.3,11.37,1779700,0.0,0
2019-03-21,11.31,11.7,11.25,11.61,1272200,0.0,0
2019-03-22,11.52,11.52,11.07,11.18,1694700,0.0,0
2019-03-25,11.16,11.34,11.05,11.18,1316900,0.0,0
2019-03-26,11.25,11.34,11.08,11.21,1466700,0.0,0
2019-03-27,11.23,11.32,11.14,11.15,1793400,0.0,0
2019-03-28,11.17,11.36,11.17,11.31,1189300,0.0,0
2019-03-29,11.43,11.52,11.13,11.16,1941000,0.0,0
2019-04-01,11.29,11.68,11.27,11.67,1516500,0.0,0
2019-04-02,11.65,11.75,11.38,11.41,1457600,0.0,0
2019-04-03,11.47,11.68,11.47,11.55,1216300,0.0,0
2019-04-04,11.6,11.78,11.52,11.77,1430900,0.0,0
2019-04-05,11.81,11.89,11.71,11.74,1081600,0.0,0
2019-04-08,11.76,11.83,11.62,11.82,1831600,0.0,0
2019-04-09,11.79,11.8,11.48,11.49,1328500,0.0,0
2019-04-10,11.54,11.75,11.53,11.72,1080400,0.0,0
2019-04-11,11.76,11.81,11.61,11.73,971800,0.0,0
2019-04-12,11.89,12.07,11.8,11.98,1116200,0.0,0
2019-04-15,11.96,12.02,11.8,11.83,954500,0.0,0
2019-04-16,11.9,11.98,11.78,11.91,1057900,0.0,0
2019-04-17,11.97,11.97,11.68,11.74,1599000,0.0,0
2019-04-18,11.76,11.82,11.66,11.75,1274400,0.0,0
2019-04-22,11.76,11.8,11.6,11.63,1409300,0.0,0
2019-04-23,11.68,12.01,11.65,11.99,2363800,0.0,0
2019-04-24,12.04,12.61,11.99,12.5,2264200,0.0,0
2019-04-25,12.73,12.98,12.67,12.72,3668200,0.0,0
2019-04-26,12.7,12.86,12.58,12.73,1709300,0.0,0
2019-04-29,12.79,12.83,12.67,12.71,1586800,0.0,0
2019-04-30,12.69,13.06,12.63,13.03,2050100,0.0,0
2019-05-01,13.06,13.26,12.9,13.14,2390200,0.0,0
2019-05-02,13.16,13.37,13.16,13.35,2074300,0.0,0
2019-05-03,13.37,13.48,13.24,13.42,1220700,0.0,0
2019-05-06,13.19,13.51,13.01,13.43,1409400,0.0,0
2019-05-07,13.24,13.42,13.19,13.29,1039300,0.0,0
2019-05-08,13.25,13.41,13.13,13.16,1057200,0.0,0
2019-05-09,13.05,13.15,12.86,13.14,1276200,0.0,0
2019-05-10,13.11,13.37,13.0,13.33,1104600,0.0,0
2019-05-13,13.03,13.3,12.74,12.76,1308800,0.0,0
2019-05-14,12.84,13.07,12.75,12.88,1618700,0.0,0
2019-05-15,12.75,13.07,12.69,13.07,1902400,0.0,0
2019-05-16,13.1,13.3,12.99,13.06,1308400,0.0,0
2019-05-17,12.91,13.11,12.91,12.97,938700,0.0,0
2019-05-20,12.88,13.03,12.8,12.87,1095400,0.0,0
2019-05-21,12.98,13.18,12.98,13.09,1191100,0.0,0
2019-05-22,12.98,13.07,12.71,12.75,943700,0.0,0
2019-05-23,12.68,12.68,12.36,12.5,1253000,0.0,0
2019-05-24,12.55,12.78,12.55,12.75,778400,0.0,0
2019-05-28,12.76,12.96,12.73,12.74,1269200,0.0,0
2019-05-29,12.71,12.79,12.62,12.76,1150600,0.0,0
2019-05-30,12.84,13.01,12.64,12.72,1200300,0.0,0
2019-05-31,12.55,12.62,12.35,12.57,2349000,0.0,0
2019-06-03,12.53,12.76,12.37,12.4,2105700,0.0,0
2019-06-04,12.5,13.02,12.47,12.88,1446600,0.0,0
2019-06-05,12.91,12.95,12.67,12.75,1151500,0.0,0
2019-06-06,12.79,12.88,12.61,12.85,1009200,0.16,0
2019-06-07,12.88,12.88,12.7,12.73,892300,0.0,0
2019-06-10,12.85,13.09,12.84,12.97,1242200,0.0,0
2019-06-11,13.11,13.27,12.95,13.01,1522500,0.0,0
2019-06-12,13.04,13.04,12.72,12.88,1221000,0.0,0
2019-06-13,13.03,13.06,12.85,13.04,1063300,0.0,0
2019-06-14,13.02,13.05,12.75,13.01,1062300,0.0,0
2019-06-17,12.99,13.13,12.76,12.81,1717700,0.0,0
2019-06-18,12.85,13.16,12.8,12.93,1411200,0.0,0
2019-06-19,12.93,13.08,12.8,12.9,1438100,0.0,0
2019-06-20,13.05,13.14,12.93,13.12,1452700,0.0,0
2019-06-21,13.07,13.21,12.94,13.04,3604100,0.0,0
2019-06-24,13.18,13.18,12.61,12.63,1275000,0.0,0
2019-06-25,12.62,12.75,12.45,12.66,1523200,0.0,0
2019-06-26,12.73,12.85,12.66,12.68,1277600,0.0,0
2019-06-27,12.75,13.06,12.74,12.98,1367200,0.0,0
2019-06-28,13.07,13.36,12.91,13.32,3647100,0.0,0
2019-07-01,13.49,13.66,13.21,13.33,1473800,0.0,0
2019-07-02,13.28,13.51,13.26,13.48,1315500,0.0,0
2019-07-03,13.48,13.62,13.44,13.59,993600,0.0,0
2019-07-05,13.54,13.8,13.51,13.76,1325600,0.0,0
2019-07-08,13.68,13.78,13.14,13.16,2076300,0.0,0
2019-07-09,13.14,13.14,12.9,12.92,3953200,0.0,0
2019-07-10,12.95,13.15,12.89,12.95,2684900,0.0,0
2019-07-11,13.0,13.05,12.87,12.99,1712000,0.0,0
2019-07-12,13.03,13.4,12.98,13.3,1551400,0.0,0
2019-07-15,13.32,13.32,13.02,13.08,1297800,0.0,0
2019-07-16,13.13,13.33,13.12,13.23,1599300,0.0,0
2019-07-17,13.18,13.31,13.07,13.21,1668900,0.0,0
2019-07-18,13.2,13.49,13.2,13.38,1200900,0.0,0
2019-07-19,13.37,13.51,13.21,13.23,1185200,0.0,0
2019-07-22,13.27,13.39,13.1,13.12,1384500,0.0,0
2019-07-23,13.15,13.43,13.11,13.37,1944400,0.0,0
2019-07-24,13.67,15.3,13.67,14.73,6085500,0.0,0
2019-07-25,14.57,14.79,13.76,13.84,6159000,0.0,0
2019-07-26,13.94,14.02,13.67,13.74,3141400,0.0,0
2019-07-29,13.78,14.1,13.78,13.9,1759900,0.0,0
2019-07-30,13.79,14.04,13.72,13.98,2046800,0.0,0
2019-07-31,14.0,14.12,13.74,13.81,2114300,0.0,0
2019-08-01,13.85,13.91,13.4,13.63,1791100,0.0,0
2019-08-02,13.63,13.66,13.29,13.38,1174700,0.0,0
2019-08-05,13.11,13.14,12.54,12.74,4069500,0.0,0
2019-08-06,12.85,13.23,12.65,12.98,2622300,0.0,0
2019-08-07,12.67,13.11,12.61,13.02,2071000,0.0,0
2019-08-08,13.09,13.47,13.09,13.32,2582700,0.0,0
2019-08-09,13.26,13.36,13.18,13.22,2151400,0.0,0
2019-08-12,13.11,13.13,12.88,12.94,1918600,0.0,0
2019-08-13,12.96,13.27,12.87,13.08,2009400,0.0,0
2019-08-14,12.78,12.95,12.58,12.6,1558900,0.0,0
2019-08-15,12.68,12.75,12.43,12.49,841700,0.0,0
2019-08-16,12.53,12.87,12.52,12.82,989200,0.0,0
2019-08-19,12.94,13.06,12.82,12.99,1111000,0.0,0
2019-08-20,12.9,12.97,12.68,12.68,1378300,0.0,0
2019-08-21,12.8,12.89,12.72,12.77,1309400,0.0,0
2019-08-22,12.9,12.95,12.65,12.67,1374700,0.0,0
2019-08-23,12.59,12.74,12.1,12.15,1199400,0.0,0
2019-08-26,12.32,12.53,12.22,12.4,1587800,0.0,0
2019-08-27,12.45,12.45,12.01,12.03,1156400,0.0,0
2019-08-28,12.01,12.3,11.95,12.21,999000,0.0,0
2019-08-29,12.44,12.56,12.31,12.47,1093100,0.0,0
2019-08-30,12.58,12.63,12.28,12.44,1235100,0.0,0
2019-09-03,12.34,12.47,12.06,12.23,1589400,0.0,0
2019-09-04,12.36,12.43,12.17,12.34,1529100,0.0,0
2019-09-05,12.54,12.8,12.54,12.64,1184700,0.16,0
2019-09-06,12.7,12.75,12.56,12.64,1110400,0.0,0
2019-09-09,12.73,13.0,12.7,12.96,1562500,0.0,0
2019-09-10,12.95,13.22,12.91,13.12,2079200,0.0,0
2019-09-11,13.14,13.24,12.93,13.24,1630500,0.0,0
2019-09-12,13.22,13.27,13.04,13.12,1391200,0.0,0
2019-09-13,13.28,13.41,13.11,13.14,1545700,0.0,0
2019-09-16,13.07,13.31,12.97,13.25,1594500,0.0,0
2019-09-17,13.12,13.22,12.96,13.1,1606200,0.0,0
2019-09-18,13.04,13.24,12.9,13.16,1465900,0.0,0
2019-09-19,13.19,13.34,12.96,13.02,1756100,0.0,0
2019-09-20,13.02,13.31,13.0,13.07,4702000,0.0,0
2019-09-23,13.0,13.37,12.92,13.24,1584200,0.0,0
2019-09-24,13.21,13.38,12.97,12.98,1937100,0.0,0
2019-09-25,12.94,13.22,12.91,13.09,1332700,0.0,0
2019-09-26,13.04,13.2,12.83,12.92,2038600,0.0,0
2019-09-27,12.98,13.05,12.62,12.64,1211800,0.0,0
2019-09-30,12.64,12.7,12.5,12.65,1545800,0.0,0
2019-10-01,12.7,12.83,11.88,11.88,1924100,0.0,0
2019-10-02,11.8,11.84,11.42,11.46,3432300,0.0,0
2019-10-03,11.42,11.56,11.25,11.55,3102600,0.0,0
2019-10-04,11.53,11.67,11.34,11.51,2017700,0.0,0
2019-10-07,11.41,11.72,11.37,11.57,2394500,0.0,0
2019-10-08,11.41,11.49,11.3,11.32,1737000,0.0,0
2019-10-09,11.32,11.4,11.18,11.21,1653300,0.0,0
2019-10-10,11.25,11.52,11.19,11.37,2034100,0.0,0
2019-10-11,11.52,11.89,11.52,11.74,1884500,0.0,0
2019-10-14,11.67,11.77,11.48,11.6,1051500,0.0,0
2019-10-15,11.6,11.89,11.52,11.87,1863500,0.0,0
2019-10-16,11.78,11.92,11.64,11.67,1628900,0.0,0
2019-10-17,11.68,11.82,11.65,11.76,1274700,0.0,0
2019-10-18,11.75,11.79,11.61,11.64,1115400,0.0,0
2019-10-21,11.76,11.94,11.74,11.82,1262200,0.0,0
2019-10-22,11.89,12.07,11.77,12.01,2327400,0.0,0
2019-10-23,12.48,12.99,12.12,12.79,2551400,0.0,0
2019-10-24,12.79,12.97,12.72,12.96,2145500,0.0,0
2019-10-25,12.97,13.53,12.97,13.51,1819800,0.0,0
2019-10-28,13.31,13.87,13.3,13.78,1920800,0.0,0
2019-10-29,13.76,14.1,13.72,13.94,1782700,0.0,0
2019-10-30,13.94,13.94,13.6,13.76,1388800,0.0,0
2019-10-31,13.71,13.76,13.31,13.61,3190800,0.0,0
2019-11-01,13.76,13.85,13.6,13.72,1484100,0.0,0
2019-11-04,13.85,13.9,13.75,13.87,1837900,0.0,0
