Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,28.19,28.52,28.08,28.41,1194500,0,0
2019-02-06,28.4,28.6,28.22,28.25,1070600,0,0
2019-02-07,27.83,28.14,26.86,27.44,1325400,0,0
2019-02-08,26.76,27.32,26.23,26.42,2735900,0,0
2019-02-11,26.63,27.01,26.5,26.82,1375700,0,0
2019-02-12,27.12,27.18,26.72,26.94,1805800,0,0
2019-02-13,27.52,27.82,27.16,27.57,1645500,0,0
2019-02-14,27.3,27.34,26.93,27.06,2098400,0,0
2019-02-15,27.4,27.7,27.17,27.7,1080300,0,0
2019-02-19,27.61,28.22,27.28,28.09,653200,0,0
2019-02-20,28.12,28.88,28.11,28.75,849200,0,0
2019-02-21,28.71,28.76,28.26,28.32,459900,0,0
2019-02-22,28.43,28.99,28.43,28.96,741500,0,0
2019-02-25,29.22,29.35,28.5,28.53,657000,0,0
2019-02-26,28.34,28.59,28.24,28.25,601100,0,0
2019-02-27,28.13,28.31,27.96,28.03,1077100,0,0
2019-02-28,27.94,28.12,27.59,28.02,975700,0,0
2019-03-01,28.33,28.79,28.15,28.56,938200,0,0
2019-03-04,28.65,28.71,27.88,28.29,760300,0,0
2019-03-05,28.24,28.38,28.0,28.07,427100,0,0
2019-03-06,27.97,27.99,27.51,27.51,633200,0,0
2019-03-07,27.37,27.51,26.68,26.84,988100,0,0
2019-03-08,26.54,26.98,26.33,26.79,469600,0,0
2019-03-11,26.89,27.73,26.77,27.49,878600,0,0
2019-03-12,27.58,27.91,27.41,27.85,836200,0,0
2019-03-13,28.0,28.22,27.79,28.07,626200,0,0
2019-03-14,28.18,28.23,27.93,28.08,506100,0,0
2019-03-15,28.09,28.56,28.09,28.37,796800,0,0
2019-03-18,28.39,28.71,28.09,28.64,496500,0,0
2019-03-19,28.77,28.84,28.29,28.42,431200,0,0
2019-03-20,28.33,28.36,27.84,27.97,549300,0,0
2019-03-21,27.79,28.47,27.79,28.45,416200,0,0
2019-03-22,28.17,28.18,27.04,27.17,598600,0,0
2019-03-25,25.93,26.68,25.93,26.17,1226900,0,0
2019-03-26,26.48,26.85,26.25,26.44,693000,0,0
2019-03-27,26.48,26.86,26.03,26.54,700500,0,0
2019-03-28,26.63,27.03,26.47,26.8,406400,0,0
2019-03-29,27.08,27.44,26.96,27.29,656500,0,0
2019-04-01,27.61,28.27,27.57,28.26,718600,0,0
2019-04-02,28.36,28.74,28.11,28.67,935400,0,0
2019-04-03,28.86,28.86,28.23,28.39,767500,0,0
2019-04-04,28.33,28.66,28.26,28.63,554300,0,0
2019-04-05,28.67,29.2,28.57,28.95,503100,0,0
2019-04-08,28.78,29.07,28.53,29.0,454200,0,0
2019-04-09,28.77,28.88,28.46,28.51,281100,0,0
2019-04-10,28.52,28.93,28.42,28.91,342600,0,0
2019-04-11,28.97,29.0,28.76,28.9,330000,0,0
