Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,85.38,85.38,84.45,85.14,684700,0.0,0
2019-02-06,85.21,85.44,84.79,85.26,478900,0.0,0
2019-02-07,84.86,85.24,84.12,85.15,610300,0.0,0
2019-02-08,84.89,85.41,84.17,85.38,523600,0.0,0
2019-02-11,85.6,85.71,84.73,85.03,556900,0.0,0
2019-02-12,85.31,86.12,85.25,85.88,498900,0.0,0
2019-02-13,86.14,86.62,85.99,86.29,564100,0.0,0
2019-02-14,85.55,87.23,84.86,85.48,1292800,0.0,0
2019-02-15,85.88,86.09,85.27,86.07,878600,0.0,0
2019-02-19,85.78,86.49,85.75,86.13,702400,0.0,0
2019-02-20,86.06,86.39,85.54,86.38,755000,0.0,0
2019-02-21,86.46,86.55,85.96,86.37,960500,0.0,0
2019-02-22,86.4,87.38,86.4,87.32,686000,0.0,0
2019-02-25,87.7,88.82,87.69,88.4,1238500,0.0,0
2019-02-26,88.41,89.48,88.27,89.34,1245000,0.0,0
2019-02-27,89.11,89.64,88.97,89.05,1046600,0.0,0
2019-02-28,89.12,89.83,89.12,89.81,654300,0.0,0
2019-03-01,90.43,90.73,89.88,90.22,663800,0.0,0
2019-03-04,90.39,90.71,87.86,88.41,791700,0.0,0
2019-03-05,88.41,88.56,86.7,87.03,841400,0.0,0
2019-03-06,87.25,87.29,85.61,85.98,981100,0.0,0
2019-03-07,85.98,85.98,84.06,84.31,2420000,0.0,0
2019-03-08,83.59,83.82,80.64,81.83,1574500,0.0,0
2019-03-11,82.15,82.71,82.13,82.4,910800,0.0,0
2019-03-12,82.72,82.82,82.17,82.2,849900,0.0,0
2019-03-13,82.57,84.31,82.28,83.41,1067600,0.0,0
2019-03-14,83.52,83.81,82.62,82.8,847800,0.44,0
2019-03-15,82.81,83.4,82.23,82.37,1149400,0.0,0
2019-03-18,82.61,83.24,82.61,83.05,668400,0.0,0
2019-03-19,83.37,84.09,82.63,82.95,524500,0.0,0
2019-03-20,82.96,83.27,82.02,82.18,571000,0.0,0
2019-03-21,81.9,83.46,81.9,83.15,593200,0.0,0
2019-03-22,82.62,83.14,82.13,82.7,725300,0.0,0
2019-03-25,82.76,84.13,82.76,83.71,725700,0.0,0
2019-03-26,84.15,84.71,83.74,84.6,541000,0.0,0
2019-03-27,84.57,85.0,83.98,84.88,1095800,0.0,0
2019-03-28,85.0,85.57,84.63,85.51,625900,0.0,0
2019-03-29,86.02,86.59,85.67,86.25,1221600,0.0,0
2019-04-01,86.98,87.32,86.4,87.15,648900,0.0,0
2019-04-02,87.05,87.83,86.85,87.75,677800,0.0,0
2019-04-03,88.33,88.61,87.74,88.03,674100,0.0,0
2019-04-04,88.03,88.36,87.41,87.92,487800,0.0,0
2019-04-05,88.16,88.21,86.93,87.33,780400,0.0,0
2019-04-08,87.35,88.11,86.74,87.5,567400,0.0,0
2019-04-09,87.09,87.61,86.21,86.46,396800,0.0,0
2019-04-10,86.62,86.69,85.84,86.26,600400,0.0,0
2019-04-11,86.41,86.57,85.29,85.8,895800,0.0,0
2019-04-12,86.52,86.72,85.7,86.56,647200,0.0,0
2019-04-15,86.56,87.41,86.15,87.22,368200,0.0,0
2019-04-16,87.58,88.58,87.21,88.48,536800,0.0,0
2019-04-17,88.54,89.08,88.25,88.92,457100,0.0,0
2019-04-18,89.0,89.28,88.53,88.72,556400,0.0,0
2019-04-22,88.65,88.83,88.03,88.46,475500,0.0,0
2019-04-23,88.49,88.91,88.08,88.38,1251600,0.0,0
2019-04-24,88.62,90.0,86.72,87.92,940900,0.0,0
2019-04-25,87.59,88.31,86.97,88.17,734400,0.0,0
2019-04-26,88.36,88.81,87.5,88.59,791500,0.0,0
2019-04-29,88.72,90.3,88.57,90.15,628200,0.0,0
2019-04-30,90.14,91.01,90.05,90.89,707200,0.0,0
2019-05-01,90.88,92.0,90.33,91.01,716200,0.0,0
2019-05-02,91.14,91.63,90.68,90.95,689800,0.0,0
2019-05-03,91.3,91.63,90.73,90.81,420700,0.0,0
2019-05-06,90.42,91.6,89.76,91.42,391100,0.0,0
2019-05-07,90.79,91.18,89.17,89.61,455400,0.0,0
2019-05-08,89.52,90.27,89.29,89.7,367200,0.0,0
2019-05-09,88.87,90.09,88.31,89.87,400200,0.0,0
2019-05-10,89.59,91.29,89.12,91.2,593700,0.0,0
2019-05-13,90.03,90.03,88.93,89.61,617000,0.0,0
2019-05-14,89.86,90.88,89.79,89.88,590700,0.0,0
2019-05-15,89.4,90.22,88.98,89.47,398500,0.0,0
2019-05-16,89.58,89.92,88.87,89.64,593400,0.0,0
2019-05-17,89.41,89.77,88.89,89.02,822800,0.0,0
2019-05-20,88.72,89.17,88.53,88.98,415900,0.0,0
2019-05-21,89.59,90.21,89.57,89.99,553100,0.0,0
2019-05-22,89.52,89.76,88.79,89.08,591700,0.0,0
2019-05-23,88.2,89.2,87.92,88.74,542500,0.0,0
2019-05-24,89.14,89.62,88.54,88.75,327700,0.0,0
2019-05-28,88.83,89.96,88.69,88.7,671500,0.0,0
2019-05-29,88.74,89.16,88.35,89.06,508500,0.0,0
2019-05-30,89.32,90.2,89.01,89.37,472500,0.0,0
2019-05-31,89.05,89.7,88.46,89.36,541200,0.0,0
2019-06-03,89.32,90.18,88.89,89.42,638600,0.0,0
2019-06-04,90.2,91.62,89.73,91.45,650100,0.0,0
2019-06-05,91.72,94.96,91.66,94.82,976300,0.0,0
2019-06-06,94.89,94.97,93.99,94.53,601100,0.0,0
2019-06-07,94.69,95.59,94.19,94.8,607500,0.0,0
2019-06-10,95.23,95.73,94.89,95.3,433500,0.0,0
2019-06-11,95.87,96.09,93.78,93.91,439600,0.0,0
2019-06-12,93.61,94.35,93.42,94.1,530700,0.0,0
2019-06-13,94.41,94.63,93.41,94.55,478400,0.47,0
2019-06-14,94.73,95.1,94.12,94.82,391300,0.0,0
2019-06-17,95.04,95.32,94.19,94.29,433900,0.0,0
2019-06-18,94.54,95.44,94.38,95.02,517200,0.0,0
2019-06-19,95.0,96.05,94.55,95.61,428000,0.0,0
2019-06-20,96.09,96.98,95.63,96.83,450200,0.0,0
2019-06-21,96.78,97.81,96.57,97.38,977800,0.0,0
2019-06-24,97.28,97.65,95.41,95.97,665400,0.0,0
2019-06-25,96.18,97.25,95.72,97.09,777300,0.0,0
2019-06-26,97.09,97.17,93.57,93.73,1366900,0.0,0
2019-06-27,94.28,95.62,94.28,95.28,579900,0.0,0
2019-06-28,95.2,95.88,95.11,95.28,904300,0.0,0
2019-07-01,96.14,96.54,95.52,96.25,1031700,0.0,0
2019-07-02,96.52,98.96,96.11,98.73,1400100,0.0,0
2019-07-03,98.31,100.69,98.29,100.48,1180900,0.0,0
2019-07-05,100.34,100.48,99.18,100.11,768700,0.0,0
2019-07-08,99.97,100.36,99.45,99.9,839700,0.0,0
2019-07-09,99.62,100.73,99.44,100.67,458600,0.0,0
2019-07-10,101.22,102.64,101.22,102.06,906400,0.0,0
2019-07-11,102.08,103.15,101.65,103.04,774700,0.0,0
2019-07-12,103.26,103.65,102.79,103.31,532500,0.0,0
2019-07-15,103.39,103.49,102.64,103.25,520700,0.0,0
2019-07-16,103.48,103.72,102.32,102.33,664400,0.0,0
2019-07-17,102.29,102.61,101.56,101.69,803400,0.0,0
2019-07-18,101.56,102.39,101.26,102.18,706400,0.0,0
2019-07-19,102.18,102.43,100.74,100.78,664800,0.0,0
2019-07-22,99.57,101.44,98.33,100.83,730200,0.0,0
2019-07-23,100.86,101.61,99.51,99.92,1174600,0.0,0
2019-07-24,99.06,99.31,95.38,97.31,2170500,0.0,0
2019-07-25,97.32,97.89,96.54,96.7,1147300,0.0,0
2019-07-26,96.88,97.48,96.48,97.15,774000,0.0,0
2019-07-29,97.18,97.31,95.52,95.77,599700,0.0,0
2019-07-30,95.45,96.18,95.07,95.9,587300,0.0,0
2019-07-31,96.08,96.15,94.96,95.47,592400,0.0,0
2019-08-01,95.31,97.34,95.31,96.74,986200,0.0,0
2019-08-02,96.81,97.56,96.06,97.04,766600,0.0,0
2019-08-05,96.41,96.43,93.08,93.48,1072700,0.0,0
2019-08-06,94.13,95.25,93.33,94.96,765900,0.0,0
2019-08-07,94.01,95.58,92.59,95.23,945000,0.0,0
2019-08-08,95.89,97.47,95.16,97.35,742600,0.0,0
2019-08-09,97.01,98.05,96.52,97.62,586900,0.0,0
2019-08-12,97.0,97.26,95.67,95.68,498500,0.0,0
2019-08-13,95.38,97.57,95.21,97.02,573200,0.0,0
2019-08-14,95.5,96.59,94.38,94.43,560500,0.0,0
2019-08-15,94.56,96.45,94.47,96.08,465900,0.0,0
2019-08-16,96.48,97.06,96.04,96.62,585900,0.0,0
2019-08-19,97.49,98.75,97.26,98.5,621500,0.0,0
2019-08-20,98.09,98.76,97.54,97.99,556600,0.0,0
2019-08-21,98.58,98.58,97.68,98.4,408500,0.0,0
2019-08-22,98.7,99.49,98.27,99.2,419600,0.0,0
2019-08-23,98.76,99.52,96.1,96.61,681400,0.0,0
2019-08-26,97.33,97.78,96.55,97.75,598200,0.0,0
2019-08-27,98.47,98.47,96.93,97.36,494100,0.0,0
2019-08-28,97.11,97.67,96.4,97.61,313700,0.0,0
2019-08-29,98.71,98.9,97.62,98.84,338800,0.0,0
2019-08-30,99.1,99.46,98.46,98.91,385200,0.0,0
2019-09-03,98.91,99.17,98.1,98.61,363900,0.0,0
2019-09-04,99.09,99.24,98.23,98.98,405000,0.0,0
2019-09-05,99.77,101.16,99.31,101.07,608900,0.0,0
2019-09-06,101.4,103.47,101.2,103.29,751600,0.0,0
2019-09-09,103.82,104.28,101.72,101.88,537400,0.0,0
2019-09-10,101.93,101.93,96.65,97.24,780700,0.0,0
2019-09-11,97.17,97.68,95.83,97.27,840300,0.0,0
2019-09-12,97.85,99.56,97.85,98.55,488100,0.47,0
2019-09-13,99.23,99.44,97.31,99.07,569500,0.0,0
2019-09-16,98.9,100.07,98.02,98.83,632000,0.0,0
