Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,32.76,32.81,32.38,32.78,4709300,0.0,0
2019-02-06,32.49,32.96,32.49,32.65,4864300,0.0,0
2019-02-07,32.54,32.94,32.26,32.41,4099300,0.0,0
2019-02-08,32.53,32.65,32.2,32.51,4209200,0.0,0
2019-02-11,32.21,32.55,32.1,32.33,3945800,0.0,0
2019-02-12,32.48,32.48,31.97,32.08,5833400,0.0,0
2019-02-13,31.97,32.34,31.82,31.93,5427600,0.0,0
2019-02-14,31.8,32.0,31.47,31.81,7110100,0.0,0
2019-02-15,32.07,32.17,31.67,31.94,6160000,0.0,0
2019-02-19,32.3,33.38,31.71,33.18,10131300,0.0,0
2019-02-20,33.4,34.45,33.05,34.0,11737000,0.0,0
2019-02-21,34.3,34.68,33.13,34.02,12114500,0.0,0
2019-02-22,34.77,36.15,34.42,35.05,33898300,0.0,0
2019-02-25,34.88,35.06,34.05,34.68,14348900,0.0,0
2019-02-26,34.57,34.78,33.37,33.58,13697700,0.0,0
2019-02-27,33.5,33.53,32.47,32.69,13571800,0.0,0
2019-02-28,32.59,32.96,32.47,32.78,9454900,0.0,0
2019-03-01,32.48,33.13,32.35,32.49,11698200,0.0,0
2019-03-04,32.47,33.16,32.34,33.1,11457400,0.0,0
2019-03-05,32.97,33.39,32.87,33.15,8590900,0.0,0
2019-03-06,33.17,33.2,31.92,31.97,13029900,0.14,0
2019-03-07,31.9,32.24,31.78,32.05,16102400,0.0,0
2019-03-08,32.56,32.84,32.04,32.52,8988600,0.0,0
2019-03-11,32.1,32.62,31.31,32.27,40174200,0.0,0
2019-03-12,32.44,33.41,32.34,33.3,19818400,0.0,0
2019-03-13,33.5,33.71,32.99,33.19,17027300,0.0,0
2019-03-14,32.59,32.84,32.21,32.24,11498800,0.0,0
2019-03-15,32.37,32.69,31.75,31.97,14393100,0.0,0
2019-03-18,32.14,32.21,31.79,31.83,8772100,0.0,0
2019-03-19,32.07,32.6,32.01,32.1,9453900,0.0,0
2019-03-20,32.03,32.75,31.51,32.67,13382000,0.0,0
2019-03-21,32.66,33.26,32.39,33.12,15559800,0.0,0
2019-03-22,32.85,33.57,32.37,33.28,31349200,0.0,0
2019-03-25,33.58,34.03,33.28,33.67,26182900,0.0,0
2019-03-26,33.32,34.3,33.32,34.3,23925300,0.0,0
2019-03-27,34.39,34.57,34.14,34.45,11174200,0.0,0
2019-03-28,33.93,34.66,33.82,34.31,9611800,0.0,0
2019-03-29,34.55,34.76,34.34,34.51,9924500,0.0,0
2019-04-01,34.57,34.76,34.18,34.35,9228300,0.0,0
2019-04-02,34.26,34.65,34.13,34.56,11167100,0.0,0
2019-04-03,34.6,34.83,34.45,34.68,8077000,0.0,0
2019-04-04,34.67,35.2,34.37,35.19,10703000,0.0,0
2019-04-05,35.07,35.24,34.83,35.21,5761500,0.0,0
2019-04-08,35.41,35.53,35.07,35.37,6306500,0.0,0
2019-04-09,35.4,35.48,34.93,35.31,5079800,0.0,0
2019-04-10,35.24,35.39,34.92,34.99,6562100,0.0,0
2019-04-11,34.66,35.0,34.39,34.7,10950300,0.0,0
2019-04-12,34.83,35.13,34.34,34.97,10550700,0.0,0
2019-04-15,34.71,34.94,34.52,34.89,13278300,0.0,0
2019-04-16,34.77,34.82,34.3,34.4,11176500,0.88,0
2019-04-17,34.25,34.57,33.59,33.8,82542900,0.0,0
2019-04-18,33.77,33.83,32.5,32.67,26298500,0.0,0
2019-04-22,32.87,32.88,31.99,32.18,12610600,0.0,0
2019-04-23,31.9,32.27,31.88,32.01,11636200,0.0,0
2019-04-24,32.0,32.23,31.72,31.84,12384500,0.0,0
2019-04-25,32.46,32.46,30.82,31.27,11454200,0.0,0
2019-04-26,31.51,31.58,31.02,31.11,11462100,0.0,0
2019-04-29,30.99,31.1,30.25,30.41,13552700,0.0,0
2019-04-30,30.39,30.74,30.19,30.71,9588600,0.0,0
2019-05-01,30.55,30.72,29.74,29.98,7707000,0.0,0
2019-05-02,29.7,30.08,29.6,29.76,8289700,0.0,0
2019-05-03,30.09,30.3,29.84,29.88,7044100,0.0,0
2019-05-06,29.77,29.79,29.48,29.6,6190800,0.0,0
2019-05-07,29.66,30.48,29.52,30.37,13692300,0.0,0
2019-05-08,30.51,30.78,29.67,29.86,8983600,0.0,0
2019-05-09,29.78,30.12,29.5,29.59,6850800,0.0,0
2019-05-10,29.64,30.03,29.43,29.81,7544400,0.0,0
2019-05-13,30.13,30.73,29.87,30.56,9641700,0.0,0
2019-05-14,30.5,30.54,30.28,30.48,6982100,0.0,0
2019-05-15,30.6,30.66,30.29,30.34,9298100,0.0,0
2019-05-16,30.16,30.35,29.87,30.21,6742100,0.0,0
2019-05-17,30.08,30.63,29.98,30.57,6777900,0.0,0
2019-05-20,30.55,31.08,30.45,30.82,6864800,0.0,0
2019-05-21,30.58,31.1,30.45,30.99,7162200,0.0,0
2019-05-22,31.02,31.18,30.86,30.97,7263000,0.0,0
2019-05-23,31.24,31.67,30.97,31.28,8810000,0.0,0
2019-05-24,31.18,31.61,31.12,31.56,6135400,0.0,0
2019-05-28,31.39,31.52,31.12,31.31,11372900,0.0,0
2019-05-29,31.22,31.35,30.75,31.24,6370900,0.0,0
2019-05-30,31.36,31.81,31.24,31.73,6749100,0.0,0
2019-05-31,32.09,33.02,32.01,32.72,13522400,0.0,0
2019-06-03,32.93,33.25,32.49,33.25,11862600,0.0,0
2019-06-04,33.12,33.97,32.88,33.97,12264300,0.0,0
2019-06-05,34.29,34.5,33.81,34.24,10111000,0.14,0
2019-06-06,34.36,35.14,34.26,35.06,11645600,0.0,0
2019-06-07,35.23,35.59,35.01,35.41,11352800,0.0,0
2019-06-10,34.89,35.09,34.59,35.04,9607000,0.0,0
2019-06-11,35.01,35.13,34.58,34.67,15816500,0.0,0
2019-06-12,34.84,35.41,34.84,35.21,9086200,0.0,0
2019-06-13,35.27,35.58,35.11,35.29,8126100,0.0,0
2019-06-14,35.5,35.98,35.43,35.67,9563500,0.0,0
2019-06-17,35.65,35.99,35.4,35.96,7435200,0.0,0
2019-06-18,36.24,36.37,35.55,35.75,9284700,0.0,0
2019-06-19,35.5,36.24,35.35,36.1,11639800,0.0,0
2019-06-20,37.33,38.19,37.1,37.31,19911400,0.0,0
2019-06-21,37.33,37.61,37.0,37.22,19060400,0.0,0
2019-06-24,37.47,38.16,37.15,38.16,13605300,0.0,0
2019-06-25,38.37,38.46,37.67,37.67,13505400,0.0,0
2019-06-26,37.18,38.04,36.94,37.99,9849000,0.0,0
2019-06-27,37.61,37.86,37.42,37.81,7232900,0.0,0
2019-06-28,37.77,38.2,37.6,38.19,9132600,0.0,0
2019-07-01,37.36,37.72,36.94,37.64,8806600,0.0,0
2019-07-02,37.77,38.25,37.53,38.16,7180100,0.0,0
2019-07-03,38.3,38.63,38.01,38.48,5049300,0.0,0
2019-07-05,37.6,38.25,37.09,38.14,6581900,0.0,0
2019-07-08,38.3,38.39,37.76,38.01,4820500,0.0,0
2019-07-09,37.75,38.48,37.73,38.48,5115100,0.0,0
2019-07-10,38.71,38.85,38.46,38.77,6114200,0.0,0
2019-07-11,38.7,39.12,38.47,39.0,6613800,0.0,0
2019-07-12,39.09,39.21,38.88,39.14,4164500,0.0,0
2019-07-15,39.1,39.19,38.57,38.89,4264800,0.0,0
2019-07-16,38.84,38.96,38.27,38.41,6542500,0.0,0
2019-07-17,38.51,39.04,38.35,38.78,6436300,0.0,0
2019-07-18,38.56,39.69,38.4,39.41,9102600,0.0,0
2019-07-19,39.0,39.55,38.63,39.01,7218600,0.0,0
2019-07-22,39.08,39.62,38.91,39.61,6543100,0.0,0
