Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,56.34,56.7,55.89,56.62,501400,0.0,0
2019-02-06,56.37,56.62,55.77,56.33,414500,0.0,0
2019-02-07,56.24,56.61,55.98,56.35,603500,0.0,0
2019-02-08,56.34,56.42,55.8,56.28,423100,0.0,0
2019-02-11,56.08,56.32,55.82,56.25,303400,0.0,0
2019-02-12,56.32,56.64,56.21,56.48,356200,0.0,0
2019-02-13,56.33,56.59,55.88,56.23,445700,0.0,0
2019-02-14,56.31,56.88,56.24,56.41,352700,0.0,0
2019-02-15,56.52,57.0,56.52,56.68,443100,0.0,0
2019-02-19,56.71,56.98,56.61,56.78,314600,0.0,0
2019-02-20,56.75,57.25,56.52,57.1,280300,0.0,0
2019-02-21,57.11,57.81,56.67,57.77,341300,0.0,0
2019-02-22,57.9,58.62,57.68,58.47,358500,0.0,0
2019-02-25,58.39,58.65,58.06,58.57,563400,0.0,0
2019-02-26,58.49,58.71,57.91,57.95,397600,0.0,0
2019-02-27,57.89,58.25,57.61,58.22,333900,0.0,0
2019-02-28,57.99,58.32,57.4,58.19,477100,0.0,0
2019-03-01,58.16,58.37,57.78,57.96,558100,0.0,0
2019-03-04,58.13,58.87,57.77,58.86,569400,0.0,0
2019-03-05,58.71,58.8,57.93,58.03,669500,0.0,0
2019-03-06,57.87,58.1,57.81,57.83,362600,0.0,0
2019-03-07,58.01,58.64,57.94,58.04,325600,0.0,0
2019-03-08,57.99,58.02,57.6,57.91,395300,0.0,0
2019-03-11,57.8,58.08,57.63,57.85,559700,0.0,0
2019-03-12,57.85,58.56,57.69,58.52,493800,0.0,0
2019-03-13,58.58,58.83,58.1,58.35,656300,0.0,0
2019-03-14,58.31,58.84,58.17,58.41,478000,0.0,0
2019-03-15,58.56,59.16,58.32,58.4,1267900,0.0,0
2019-03-18,58.34,58.88,58.25,58.87,515200,0.0,0
2019-03-19,58.86,59.14,58.01,58.22,380200,0.0,0
2019-03-20,58.14,58.92,57.98,58.23,371000,0.0,0
2019-03-21,57.68,59.0,57.63,58.9,410500,0.0,0
2019-03-22,58.84,59.12,58.42,58.43,395600,0.0,0
2019-03-25,58.51,58.84,58.15,58.73,314000,0.0,0
2019-03-26,58.9,59.66,58.88,59.23,314900,0.0,0
2019-03-27,59.23,59.33,58.81,58.91,396800,0.0,0
2019-03-28,59.03,59.2,58.52,59.04,240700,0.425,0
2019-03-29,59.01,59.43,58.68,59.35,402700,0.0,0
2019-04-01,59.43,59.53,58.99,59.07,435100,0.0,0
2019-04-02,59.1,59.1,58.5,58.9,734700,0.0,0
2019-04-03,58.91,59.31,58.6,59.16,679600,0.0,0
2019-04-04,59.46,59.6,58.71,59.05,882800,0.0,0
2019-04-05,59.0,59.28,58.6,59.19,845900,0.0,0
2019-04-08,59.21,59.49,58.79,59.04,497900,0.0,0
2019-04-09,59.03,59.15,58.74,58.8,282900,0.0,0
2019-04-10,58.98,59.4,58.71,58.79,378900,0.0,0
2019-04-11,58.74,58.99,58.3,58.73,408000,0.0,0
2019-04-12,58.83,59.04,58.61,58.8,359200,0.0,0
2019-04-15,59.06,59.65,58.8,59.33,563800,0.0,0
2019-04-16,59.49,59.6,59.26,59.4,525300,0.0,0
2019-04-17,59.46,59.57,57.81,57.96,480000,0.0,0
2019-04-18,58.15,58.15,57.3,57.4,704800,0.0,0
2019-04-22,57.49,58.08,57.33,58.01,415100,0.0,0
2019-04-23,58.07,58.98,57.9,58.75,425300,0.0,0
2019-04-24,58.91,59.03,58.36,58.55,399000,0.0,0
2019-04-25,58.4,58.72,57.45,57.47,689300,0.0,0
2019-04-26,57.53,57.8,57.23,57.61,696500,0.0,0
2019-04-29,57.43,57.66,56.86,56.99,330300,0.0,0
2019-04-30,57.18,57.68,56.87,57.65,754600,0.0,0
2019-05-01,57.73,57.73,56.95,57.33,472000,0.0,0
2019-05-02,57.09,57.25,56.51,56.86,615200,0.0,0
2019-05-03,56.85,57.68,55.86,56.65,878300,0.0,0
2019-05-06,56.4,56.83,56.04,56.22,480900,0.0,0
2019-05-07,56.02,56.41,55.43,55.59,406200,0.0,0
