Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,81.12,82.32,81.07,81.99,6545600,0.0,0
2019-02-06,81.65,81.84,80.78,81.84,3682800,0.0,0
2019-02-07,81.29,81.98,80.85,81.53,4827500,0.0,0
2019-02-08,81.39,81.85,81.08,81.5,3786500,0.0,0
2019-02-11,82.08,82.95,82.0,82.8,6158500,0.0,0
2019-02-12,83.09,83.95,82.74,83.82,6290300,0.0,0
2019-02-13,83.87,84.69,83.87,84.51,5032800,0.0,0
2019-02-14,83.72,84.25,82.82,83.79,5179000,0.0,0
2019-02-15,84.59,84.88,84.21,84.49,6111300,0.0,0
2019-02-19,83.69,84.16,83.57,83.68,5105900,0.0,0
2019-02-20,83.74,84.06,83.47,83.95,6436100,0.0,0
2019-02-21,82.69,83.27,82.48,83.07,8579200,0.0,0
2019-02-22,83.32,84.13,83.15,83.87,4449500,0.0,0
2019-02-25,84.5,84.83,84.07,84.28,6229700,0.0,0
2019-02-26,84.42,85.18,84.31,84.9,6678700,0.0,0
2019-02-27,84.63,85.32,84.17,85.27,4588200,0.0,0
2019-02-28,85.18,85.49,84.78,84.83,4988100,0.0,0
2019-03-01,86.24,87.29,85.56,86.47,6314900,0.22,0
2019-03-04,86.63,87.29,84.43,84.96,7339500,0.0,0
2019-03-05,85.2,85.57,84.76,84.76,4976300,0.0,0
2019-03-06,84.92,85.31,84.37,84.45,3198000,0.0,0
2019-03-07,84.3,84.73,83.99,84.58,4321800,0.0,0
2019-03-08,83.91,84.21,83.35,84.13,4669700,0.0,0
2019-03-11,84.71,85.26,84.38,85.14,3999800,0.0,0
2019-03-12,85.1,85.4,84.35,84.75,4431600,0.0,0
2019-03-13,85.02,85.97,84.92,85.25,5037800,0.0,0
2019-03-14,85.47,86.19,85.02,86.18,5906100,0.0,0
2019-03-15,86.53,86.91,85.28,86.11,11031400,0.0,0
2019-03-18,86.61,87.14,86.31,87.12,7750700,0.0,0
2019-03-19,87.52,87.89,86.6,86.99,6642200,0.0,0
2019-03-20,86.81,86.89,85.41,86.0,5991500,0.0,0
2019-03-21,86.55,87.42,86.14,87.31,10386900,0.0,0
2019-03-22,84.52,85.22,81.5,81.54,21659800,0.0,0
2019-03-25,80.83,82.56,80.25,81.68,15558300,0.0,0
2019-03-26,82.97,83.42,82.25,82.72,9611900,0.0,0
2019-03-27,83.03,83.14,81.39,82.43,6485100,0.0,0
2019-03-28,83.26,84.05,83.04,83.37,6032700,0.0,0
2019-03-29,83.93,84.18,83.19,83.54,6492000,0.0,0
2019-04-01,84.37,84.64,84.03,84.55,6737400,0.0,0
2019-04-02,84.33,84.58,83.49,83.7,4433800,0.0,0
2019-04-03,84.23,84.32,83.58,83.8,4080900,0.0,0
2019-04-04,83.82,84.7,83.69,84.6,3660700,0.0,0
2019-04-05,85.32,85.48,84.38,84.72,7367400,0.0,0
2019-04-08,84.34,84.61,83.9,84.06,4705800,0.0,0
2019-04-09,83.55,83.93,83.3,83.61,3804500,0.0,0
2019-04-10,83.97,84.34,83.89,84.21,3918400,0.0,0
2019-04-11,84.23,84.38,83.61,84.33,3347400,0.0,0
2019-04-12,84.62,85.8,84.61,85.56,6037000,0.0,0
2019-04-15,86.2,86.55,85.75,86.14,5034900,0.0,0
2019-04-16,86.31,87.25,86.31,87.1,4652700,0.0,0
2019-04-17,87.25,88.26,86.76,88.03,5694900,0.0,0
2019-04-18,88.06,89.29,88.0,88.49,7016600,0.0,0
2019-04-22,87.65,87.94,86.61,86.67,5390500,0.0,0
2019-04-23,86.88,86.97,86.32,86.74,7513700,0.0,0
2019-04-24,86.97,88.12,86.74,87.69,8063000,0.0,0
2019-04-25,87.7,87.84,86.8,86.87,7069900,0.0,0
2019-04-26,87.25,88.23,86.64,87.61,6219600,0.0,0
2019-04-29,87.48,87.81,87.43,87.56,5008400,0.0,0
2019-04-30,87.59,87.7,86.57,87.13,7614100,0.0,0
2019-05-01,87.03,87.25,85.19,85.22,6524600,0.0,0
2019-05-02,85.53,85.6,84.32,84.59,6813700,0.0,0
2019-05-03,85.22,85.62,85.02,85.02,6798300,0.0,0
2019-05-06,83.11,83.2,82.2,82.91,12836600,0.0,0
2019-05-07,82.36,82.97,81.18,81.89,9811300,0.0,0
2019-05-08,81.78,83.32,81.49,82.11,9501300,0.0,0
