Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,42.52,44.36,42.5,43.75,1164200,0,0
2019-02-06,43.67,45.35,43.4,44.34,1302900,0,0
2019-02-07,44.06,44.72,43.13,43.82,1476100,0,0
2019-02-08,43.51,44.93,43.21,44.89,998000,0,0
2019-02-11,45.0,47.11,44.41,46.35,1702100,0,0
2019-02-12,44.8,45.0,41.39,42.26,4082700,0,0
2019-02-13,42.22,42.92,42.11,42.25,1226000,0,0
2019-02-14,42.41,43.09,42.03,42.62,1075800,0,0
2019-02-15,43.15,43.3,40.04,41.69,2894400,0,0
2019-02-19,42.1,43.17,41.76,42.81,1778400,0,0
2019-02-20,43.09,44.06,42.78,43.03,1390900,0,0
2019-02-21,42.86,42.92,40.22,40.26,1831500,0,0
2019-02-22,40.58,41.02,40.0,40.05,2259000,0,0
2019-02-25,40.45,41.33,40.06,40.98,2310000,0,0
2019-02-26,40.94,42.09,40.84,41.03,1381800,0,0
2019-02-27,41.0,41.74,40.63,41.03,1641000,0,0
2019-02-28,41.1,41.64,40.28,40.54,1468400,0,0
2019-03-01,40.0,40.51,36.48,38.13,4661800,0,0
2019-03-04,38.66,39.28,37.77,38.3,1402300,0,0
2019-03-05,38.27,39.14,37.58,38.4,1357100,0,0
2019-03-06,38.39,38.67,36.11,36.39,2629200,0,0
2019-03-07,36.32,36.59,35.54,35.82,1499800,0,0
2019-03-08,35.53,35.53,34.35,35.13,1152100,0,0
2019-03-11,35.12,35.6,34.66,35.45,1596500,0,0
2019-03-12,35.56,37.0,35.39,36.21,2126300,0,0
2019-03-13,36.43,37.7,36.02,37.66,1411900,0,0
2019-03-14,37.6,38.17,36.18,36.32,1353700,0,0
2019-03-15,36.44,36.76,35.42,35.53,2283200,0,0
2019-03-18,35.65,36.04,34.54,34.93,2076400,0,0
2019-03-19,35.03,35.8,34.24,34.41,1215800,0,0
2019-03-20,34.46,34.83,32.17,32.61,2222800,0,0
2019-03-21,32.84,33.91,32.46,33.48,1502700,0,0
2019-03-22,33.62,34.0,32.14,32.17,1302800,0,0
2019-03-25,32.1,32.69,31.4,32.37,1285500,0,0
2019-03-26,32.8,32.88,31.84,32.32,1815900,0,0
2019-03-27,32.38,32.76,31.36,31.78,1019200,0,0
2019-03-28,31.84,32.88,31.77,32.69,1779500,0,0
2019-03-29,32.6,33.68,32.55,33.6,1688600,0,0
2019-04-01,33.68,34.34,33.16,33.24,1224200,0,0
2019-04-02,33.39,33.72,32.82,33.7,1026500,0,0
2019-04-03,34.65,35.85,34.24,35.29,1744600,0,0
2019-04-04,35.27,35.71,34.92,35.29,944800,0,0
2019-04-05,35.39,36.55,35.37,36.3,997100,0,0
2019-04-08,36.14,36.52,35.51,35.98,1068200,0,0
2019-04-09,35.78,35.82,35.21,35.45,1138700,0,0
2019-04-10,35.39,36.01,35.24,35.83,1089000,0,0
2019-04-11,35.85,35.95,35.25,35.75,1155100,0,0
2019-04-12,36.35,37.0,35.08,35.15,1208100,0,0
2019-04-15,35.31,35.75,33.46,33.49,1580200,0,0
2019-04-16,33.66,33.9,33.02,33.38,2089100,0,0
2019-04-17,33.54,33.9,31.16,31.19,2023200,0,0
2019-04-18,31.22,31.95,30.15,31.68,3747600,0,0
2019-04-22,31.5,31.68,30.51,31.0,1291000,0,0
2019-04-23,31.2,31.79,30.05,31.62,1548100,0,0
2019-04-24,31.7,31.7,30.24,31.13,1686600,0,0
2019-04-25,30.97,31.83,30.55,31.78,1385800,0,0
2019-04-26,31.84,32.3,31.62,32.26,927200,0,0
2019-04-29,32.33,32.8,32.01,32.33,949000,0,0
2019-04-30,32.45,32.77,31.65,32.02,2523800,0,0
2019-05-01,32.0,32.39,31.56,31.64,1341100,0,0
2019-05-02,31.67,32.14,31.34,32.14,1413100,0,0
2019-05-03,32.3,32.55,31.98,32.22,1038300,0,0
2019-05-06,31.44,32.83,31.18,32.69,1336600,0,0
2019-05-07,32.44,32.67,31.74,32.08,1931000,0,0
2019-05-08,32.05,33.21,31.77,32.98,2024800,0,0
2019-05-09,32.98,35.78,32.42,35.45,2994100,0,0
2019-05-10,35.69,35.69,33.65,34.79,1759500,0,0
2019-05-13,34.17,34.68,32.16,32.61,1620000,0,0
2019-05-14,32.77,33.81,32.38,33.75,1426100,0,0
2019-05-15,33.54,34.62,33.06,33.9,1288700,0,0
2019-05-16,32.68,32.9,30.81,31.34,4433700,0,0
2019-05-17,31.14,32.36,30.92,32.02,1705500,0,0
2019-05-20,31.94,32.18,31.36,32.15,1258700,0,0
2019-05-21,32.33,33.47,32.33,33.42,1458900,0,0
2019-05-22,33.44,33.69,33.06,33.47,1111500,0,0
2019-05-23,33.08,33.11,31.91,33.07,1415600,0,0
2019-05-24,33.21,34.11,33.21,33.79,1063200,0,0
2019-05-28,33.82,33.85,31.95,32.12,2531400,0,0
2019-05-29,32.16,32.6,31.65,32.54,1511100,0,0
2019-05-30,32.52,32.85,31.97,32.11,1338800,0,0
2019-05-31,31.89,32.13,30.8,31.32,2062200,0,0
2019-06-03,32.65,35.71,32.54,34.06,3923800,0,0
2019-06-04,34.35,34.75,32.65,32.92,2237100,0,0
2019-06-05,33.22,33.93,32.88,33.64,1341100,0,0
2019-06-06,33.53,33.96,32.23,32.98,1693300,0,0
2019-06-07,33.11,33.4,32.91,33.0,1155800,0,0
2019-06-10,33.14,33.72,32.92,33.13,1316500,0,0
2019-06-11,33.46,33.54,32.8,33.27,1060100,0,0
2019-06-12,33.22,33.66,32.6,33.63,803300,0,0
2019-06-13,33.71,34.24,33.42,34.03,759000,0,0
2019-06-14,34.12,34.24,33.23,33.4,673700,0,0
2019-06-17,33.8,34.24,33.3,33.7,908500,0,0
2019-06-18,33.8,35.43,33.8,35.17,1211500,0,0
2019-06-19,35.25,35.83,34.98,35.34,931500,0,0
2019-06-20,35.6,36.61,35.31,35.39,1013300,0,0
2019-06-21,35.44,35.51,34.44,34.86,2250700,0,0
2019-06-24,34.91,35.13,33.49,33.89,1012400,0,0
2019-06-25,34.06,35.55,33.56,34.62,1418700,0,0
2019-06-26,34.71,35.17,33.09,33.29,1170700,0,0
2019-06-27,33.5,34.75,33.5,34.68,931000,0,0
2019-06-28,34.56,35.66,34.31,35.58,4513700,0,0
2019-07-01,35.9,36.85,35.37,35.83,1635000,0,0
2019-07-02,35.89,36.19,35.08,36.13,980100,0,0
2019-07-03,36.34,36.85,36.04,36.27,1906500,0,0
2019-07-05,36.08,36.64,34.98,35.14,1092200,0,0
2019-07-08,35.02,35.31,33.77,34.18,1353600,0,0
2019-07-09,34.03,34.88,33.83,34.84,1064700,0,0
2019-07-10,34.91,35.03,34.1,34.79,727100,0,0
2019-07-11,34.96,34.96,33.12,33.53,911800,0,0
2019-07-12,33.6,33.9,32.95,33.72,991600,0,0
2019-07-15,33.58,33.79,32.75,33.21,977900,0,0
2019-07-16,33.26,33.5,32.35,32.49,2197500,0,0
2019-07-17,32.61,32.75,31.9,31.98,1138400,0,0
2019-07-18,31.99,32.36,31.75,32.07,1174800,0,0
2019-07-19,32.11,32.25,31.87,31.97,1017900,0,0
2019-07-22,31.93,32.68,31.82,32.34,908000,0,0
2019-07-23,32.39,32.39,31.91,32.09,695700,0,0
2019-07-24,32.0,32.27,31.85,32.12,769500,0,0
2019-07-25,31.8,31.95,28.64,29.99,3794400,0,0
2019-07-26,29.91,31.25,29.52,31.12,2157400,0,0
2019-07-29,31.54,31.54,29.13,29.27,1810600,0,0
2019-07-30,29.05,29.38,28.13,29.28,2238400,0,0
2019-07-31,29.28,29.4,28.04,28.46,1458900,0,0
2019-08-01,29.77,31.26,29.3,31.19,2669600,0,0
2019-08-02,31.0,31.39,30.35,31.09,2329900,0,0
2019-08-05,30.51,30.75,28.6,28.8,2062700,0,0
2019-08-06,29.02,29.59,27.97,28.76,1231600,0,0
2019-08-07,28.37,29.13,27.85,28.8,2235000,0,0
2019-08-08,28.95,29.99,28.79,29.57,2371700,0,0
2019-08-09,17.98,21.04,17.5,20.92,22863900,0,0
2019-08-12,20.25,20.49,18.32,18.58,8192100,0,0
2019-08-13,18.49,19.15,18.2,18.85,4600600,0,0
2019-08-14,18.64,18.88,17.3,18.72,4428900,0,0
2019-08-15,18.68,18.89,17.92,18.19,4192000,0,0
2019-08-16,18.25,18.38,17.8,18.1,2997300,0,0
2019-08-19,18.31,18.33,17.56,17.87,3641900,0,0
2019-08-20,17.84,17.84,17.05,17.11,3644100,0,0
2019-08-21,17.13,17.37,16.56,17.01,3820900,0,0
2019-08-22,16.99,17.16,16.81,16.98,3027000,0,0
2019-08-23,16.92,17.27,16.58,16.99,3736200,0,0
2019-08-26,17.09,17.7,17.08,17.29,3188700,0,0
2019-08-27,17.54,18.06,16.82,16.91,3403000,0,0
2019-08-28,16.8,17.58,16.61,17.46,2103400,0,0
2019-08-29,17.65,17.77,16.85,17.36,2590700,0,0
2019-08-30,17.19,17.66,17.19,17.57,1713000,0,0
2019-09-03,17.38,17.47,16.65,16.91,4514000,0,0
2019-09-04,17.1,17.23,16.88,16.96,3338200,0,0
2019-09-05,17.01,17.53,16.93,17.37,2679400,0,0
2019-09-06,17.45,17.57,16.97,17.01,2130400,0,0
2019-09-09,17.0,17.89,16.62,17.86,2902500,0,0
2019-09-10,18.07,20.2,17.99,19.91,4734200,0,0
2019-09-11,19.83,20.54,19.29,20.02,3223600,0,0
2019-09-12,20.22,20.49,19.51,19.94,2250300,0,0
2019-09-13,20.02,20.38,19.62,20.11,2284700,0,0
2019-09-16,20.1,21.34,20.0,21.22,2691600,0,0
2019-09-17,21.24,21.32,20.26,20.7,3006400,0,0
2019-09-18,20.51,20.84,19.73,20.1,2040100,0,0
2019-09-19,20.13,20.4,19.81,20.22,1757100,0,0
2019-09-20,20.25,20.76,20.02,20.15,4797200,0,0
2019-09-23,20.16,20.17,19.79,19.93,1678300,0,0
2019-09-24,19.85,20.05,18.53,18.91,2452000,0,0
2019-09-25,18.85,19.15,18.51,18.8,2041600,0,0
2019-09-26,18.51,18.65,16.96,17.56,4061400,0,0
2019-09-27,17.63,18.48,17.52,17.9,6117300,0,0
2019-09-30,18.06,18.62,17.67,18.22,3204900,0,0
2019-10-01,18.33,19.13,18.1,18.43,2679000,0,0
2019-10-02,18.01,18.34,17.2,17.33,42656600,0,0
2019-10-03,17.23,18.22,16.85,18.2,3921300,0,0
2019-10-04,18.24,19.08,18.15,18.97,2173300,0,0
2019-10-07,18.97,19.26,18.5,18.67,2589300,0,0
2019-10-08,17.01,17.36,16.12,16.18,5485700,0,0
2019-10-09,16.28,16.77,16.1,16.71,2372000,0,0
2019-10-10,16.7,16.7,15.84,16.13,2777200,0,0
2019-10-11,16.38,17.32,16.28,17.09,2930900,0,0
2019-10-14,17.08,17.1,15.7,15.87,2738200,0,0
2019-10-15,15.83,17.47,15.64,17.3,3213400,0,0
2019-10-16,17.15,17.69,17.0,17.54,1927600,0,0
2019-10-17,17.66,17.88,17.42,17.77,1517800,0,0
2019-10-18,17.67,17.88,16.74,17.27,4903600,0,0
2019-10-21,17.27,17.99,17.2,17.73,2009000,0,0
2019-10-22,17.65,17.76,17.16,17.2,1565000,0,0
2019-10-23,17.1,17.68,16.73,16.77,2391600,0,0
2019-10-24,16.85,16.99,16.4,16.47,1480000,0,0
2019-10-25,16.38,16.75,16.26,16.68,2050600,0,0
2019-10-28,16.82,17.99,16.75,17.7,1701600,0,0
2019-10-29,17.62,17.87,17.38,17.63,1553700,0,0
2019-10-30,17.66,17.85,17.32,17.55,1575600,0,0
2019-10-31,17.37,17.38,16.68,17.13,1835700,0,0
2019-11-01,17.16,18.39,17.02,18.31,3335500,0,0
2019-11-04,18.41,18.73,18.27,18.47,2479100,0,0
2019-11-05,18.49,18.67,18.31,18.54,1957600,0,0
2019-11-06,18.48,18.57,17.88,18.1,2269200,0,0
2019-11-07,18.95,19.9,18.51,18.7,4992800,0,0
2019-11-08,18.63,20.1,18.25,20.04,3963600,0,0
2019-11-11,22.0,22.48,20.32,20.98,7288500,0,0
2019-11-12,21.0,21.34,20.28,20.35,3222200,0,0
2019-11-13,20.1,20.3,19.28,19.94,2342800,0,0
2019-11-14,19.8,19.98,19.3,19.43,1990000,0,0
2019-11-15,19.5,19.66,19.25,19.65,1965400,0,0
2019-11-18,19.65,19.65,17.56,18.01,4462200,0,0
2019-11-19,18.14,18.46,17.92,18.31,1716600,0,0
2019-11-20,18.32,19.98,18.29,19.93,3249700,0,0
2019-11-21,19.82,20.48,19.27,20.11,2534900,0,0
2019-11-22,20.23,21.22,20.15,21.07,2172500,0,0
2019-11-25,21.28,21.77,21.04,21.19,2482000,0,0
2019-11-26,21.13,21.39,20.18,20.47,9872200,0,0
2019-11-27,20.53,21.16,20.4,20.54,2347400,0,0
2019-11-29,20.41,20.71,20.15,20.29,1184000,0,0
2019-12-02,20.29,20.45,19.39,19.48,2120900,0,0
2019-12-03,19.01,19.56,18.68,19.45,2572100,0,0
2019-12-04,19.64,20.38,19.13,20.3,2452800,0,0
2019-12-05,20.23,20.5,19.8,19.86,2113000,0,0
2019-12-06,20.07,21.0,19.87,20.45,2285300,0,0
2019-12-09,21.05,23.28,20.8,23.12,3782600,0,0
2019-12-10,23.08,23.32,22.1,22.45,2117900,0,0
2019-12-11,22.59,22.97,21.49,21.6,1893800,0,0
2019-12-12,21.56,22.19,21.36,21.79,1589700,0,0
2019-12-13,21.89,22.02,21.01,21.27,1649100,0,0
2019-12-16,21.38,21.67,20.81,20.92,1595100,0,0
2019-12-17,20.85,21.53,20.6,21.47,1783500,0,0
2019-12-18,21.49,21.96,21.16,21.29,2067100,0,0
2019-12-19,21.31,21.82,21.03,21.62,1338500,0,0
2019-12-20,21.76,21.8,21.02,21.32,3300900,0,0
2019-12-23,21.44,22.23,21.31,21.85,1940200,0,0
2019-12-24,21.95,22.38,21.67,22.33,919300,0,0
2019-12-26,22.34,22.49,21.92,21.98,1353600,0,0
2019-12-27,22.03,22.07,21.5,21.57,1155200,0,0
2019-12-30,21.61,21.72,20.58,20.77,1618800,0,0
2019-12-31,20.72,21.81,20.59,21.59,1640700,0,0
2020-01-02,21.8,21.93,20.71,20.96,1817700,0,0
2020-01-03,20.62,20.72,20.16,20.53,1265200,0,0
2020-01-06,20.28,21.15,19.95,21.0,1483500,0,0
2020-01-07,21.12,21.37,20.68,21.26,1333500,0,0
2020-01-08,21.3,21.91,21.05,21.76,1774300,0,0
2020-01-09,21.9,21.95,21.34,21.59,1904200,0,0
2020-01-10,22.58,27.02,22.48,26.92,11721500,0,0
2020-01-13,28.6,28.6,25.67,27.4,6398100,0,0
2020-01-14,27.35,28.49,27.01,27.96,6739100,0,0
2020-01-15,24.44,25.57,22.75,23.49,10260900,0,0
2020-01-16,23.45,24.25,23.2,23.9,3091300,0,0
2020-01-17,23.87,23.87,22.28,22.48,3482100,0,0
2020-01-21,22.5,22.98,22.27,22.42,1891200,0,0
2020-01-22,22.55,22.97,22.1,22.13,1493500,0,0
2020-01-23,21.95,22.2,21.36,21.77,1593600,0,0
2020-01-24,21.79,21.81,20.61,21.13,1901800,0,0
2020-01-27,20.38,20.54,19.67,19.77,2156000,0,0
2020-01-28,19.93,20.68,19.91,20.37,1359400,0,0
2020-01-29,20.32,20.93,20.26,20.57,1474000,0,0
2020-01-30,20.44,20.68,19.84,20.29,1274800,0,0
2020-01-31,20.18,20.23,19.56,19.89,1533900,0,0
2020-02-03,20.75,21.73,20.6,21.54,2186700,0,0
