Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,24.48,24.61,24.44,24.57,1836500,0.0,0
2019-02-06,24.52,24.66,24.45,24.51,2461900,0.0,0
2019-02-07,24.24,24.42,24.06,24.34,3456800,0.0,0
2019-02-08,24.53,25.39,24.37,25.05,5681700,0.0,0
2019-02-11,25.09,25.14,24.85,24.88,2723300,0.0,0
2019-02-12,24.88,25.01,24.72,24.74,4774700,0.0,0
2019-02-13,24.84,25.01,24.73,24.81,3587900,0.0,0
2019-02-14,24.73,25.03,24.6,24.84,3795200,0.0,0
2019-02-15,24.96,25.11,24.86,25.05,3256800,0.0,0
2019-02-19,24.96,24.99,24.72,24.72,3189300,0.0,0
2019-02-20,24.77,24.81,24.54,24.62,3192000,0.0,0
2019-02-21,24.67,24.77,24.56,24.64,3020900,0.0,0
2019-02-22,24.79,24.89,24.67,24.86,2820000,0.0,0
2019-02-25,25.02,25.08,24.41,24.45,3397400,0.0,0
2019-02-26,24.47,24.62,24.21,24.28,3065400,0.0,0
2019-02-27,24.29,24.4,24.0,24.15,4082200,0.0,0
2019-02-28,24.1,25.45,23.85,24.96,6448800,0.0,0
2019-03-01,25.04,26.13,24.96,25.7,8443800,0.0,0
2019-03-04,25.93,26.19,25.57,25.89,5646700,0.0,0
2019-03-05,25.92,25.92,25.09,25.44,3786400,0.0,0
2019-03-06,25.52,25.57,25.26,25.34,3857300,0.35,0
2019-03-07,25.25,25.4,24.99,25.22,3038300,0.0,0
2019-03-08,24.92,25.12,24.79,25.12,1764800,0.0,0
2019-03-11,25.17,25.81,25.1,25.72,2210900,0.0,0
2019-03-12,25.86,26.06,25.68,25.98,2810200,0.0,0
2019-03-13,26.04,26.3,25.94,26.13,3292600,0.0,0
2019-03-14,26.14,26.4,26.08,26.37,3382800,0.0,0
2019-03-15,26.34,26.4,25.87,26.01,4996800,0.0,0
2019-03-18,26.08,26.36,26.01,26.31,1843500,0.0,0
2019-03-19,26.39,26.61,26.1,26.15,2622900,0.0,0
2019-03-20,26.22,26.28,25.82,25.97,2164800,0.0,0
2019-03-21,25.78,26.54,25.63,26.47,1900800,0.0,0
2019-03-22,26.35,26.41,25.79,25.93,2032500,0.0,0
2019-03-25,25.88,25.95,25.52,25.61,2403400,0.0,0
2019-03-26,25.96,26.13,25.9,26.12,1542900,0.0,0
2019-03-27,26.21,26.38,25.53,25.7,6701400,0.0,0
2019-03-28,23.64,23.74,22.78,22.84,18940900,0.0,0
2019-03-29,23.05,23.25,22.68,22.85,10097900,0.0,0
2019-04-01,23.0,23.59,22.9,23.44,5095200,0.0,0
2019-04-02,23.45,23.79,23.41,23.41,3298600,0.0,0
2019-04-03,23.47,25.21,23.41,25.1,10541200,0.0,0
2019-04-04,25.1,25.73,25.08,25.34,6402800,0.0,0
2019-04-05,25.53,25.63,25.26,25.3,4071100,0.0,0
2019-04-08,25.19,25.23,24.63,25.12,4416300,0.0,0
2019-04-09,24.96,25.91,24.83,25.35,7697100,0.0,0
2019-04-10,25.34,25.7,25.08,25.62,2270100,0.0,0
2019-04-11,25.77,26.33,25.46,25.94,3843100,0.0,0
2019-04-12,26.03,26.16,25.71,25.71,3303800,0.0,0
2019-04-15,25.8,26.09,25.56,25.58,4635400,0.0,0
2019-04-16,25.62,25.92,25.15,25.23,3167300,0.0,0
2019-04-17,25.23,25.46,25.04,25.35,3029600,0.0,0
2019-04-18,25.33,25.58,24.99,25.32,2915200,0.0,0
2019-04-22,25.25,25.38,25.1,25.13,2450800,0.0,0
2019-04-23,25.09,25.2,24.63,24.68,3854800,0.0,0
2019-04-24,24.73,24.84,24.39,24.71,2070500,0.0,0
2019-04-25,24.52,24.6,24.23,24.46,2961400,0.0,0
2019-04-26,24.54,24.7,24.27,24.51,3560300,0.0,0
2019-04-29,24.67,24.91,24.18,24.47,2405400,0.0,0
2019-04-30,24.6,25.09,24.18,24.64,4750400,0.0,0
2019-05-01,24.7,24.78,23.98,24.0,3771400,0.0,0
2019-05-02,23.96,24.06,23.49,23.6,3321800,0.0,0
