Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,275.61,276.79,270.36,274.1,841400,0.0,0
2019-02-06,274.04,277.23,273.85,276.02,888500,0.0,0
2019-02-07,275.13,276.76,271.45,274.17,872400,0.0,0
2019-02-08,273.09,276.31,272.21,276.22,726500,0.0,0
2019-02-11,276.51,278.67,276.07,277.06,1190900,0.0,0
2019-02-12,278.34,280.47,277.13,279.63,680000,0.0,0
2019-02-13,281.47,281.6,278.34,278.86,1254000,0.0,0
2019-02-14,277.19,277.61,274.75,276.2,842800,0.0,0
2019-02-15,278.97,282.57,278.12,282.48,929500,0.0,0
2019-02-19,281.51,283.21,280.12,282.85,651000,0.0,0
2019-02-20,283.33,283.91,281.82,283.7,1025200,0.0,0
2019-02-21,283.86,283.99,281.13,283.0,608900,0.0,0
2019-02-22,284.68,285.57,282.7,285.38,613800,1.2,0
2019-02-25,286.65,286.82,283.22,283.74,548300,0.0,0
2019-02-26,283.42,285.69,282.48,283.24,530300,0.0,0
2019-02-27,282.4,284.04,281.1,283.46,809000,0.0,0
2019-02-28,282.9,288.19,282.7,286.61,1037800,0.0,0
2019-03-01,287.64,287.99,282.32,283.69,790000,0.0,0
2019-03-04,284.22,286.98,278.84,279.83,704800,0.0,0
2019-03-05,280.51,281.67,279.04,279.61,667800,0.0,0
2019-03-06,280.04,281.66,277.14,277.22,547200,0.0,0
2019-03-07,276.78,276.78,269.89,273.25,1307100,0.0,0
2019-03-08,272.33,272.98,269.27,272.78,636700,0.0,0
2019-03-11,270.8,276.15,269.43,276.0,758700,0.0,0
2019-03-12,276.19,276.77,271.24,271.99,1016300,0.0,0
2019-03-13,271.85,277.39,271.24,275.94,896800,0.0,0
2019-03-14,275.23,276.98,271.15,271.58,804000,0.0,0
2019-03-15,271.13,272.33,266.96,268.08,2701600,0.0,0
2019-03-18,268.26,272.64,267.5,271.72,1204000,0.0,0
2019-03-19,272.86,275.43,267.45,267.88,1029500,0.0,0
2019-03-20,267.88,269.62,265.41,267.34,869100,0.0,0
2019-03-21,266.22,270.55,266.11,269.34,612400,0.0,0
2019-03-22,268.85,268.85,264.12,265.26,830100,0.0,0
2019-03-25,265.91,266.9,263.77,265.5,557300,0.0,0
2019-03-26,267.48,268.23,260.87,262.78,1070800,0.0,0
2019-03-27,262.74,265.4,260.25,260.87,809700,0.0,0
2019-03-28,262.08,264.49,260.78,263.92,1080300,0.0,0
2019-03-29,265.74,267.53,264.98,266.49,935000,0.0,0
2019-04-01,268.0,272.44,268.0,270.95,759200,0.0,0
2019-04-02,271.18,272.36,269.45,270.18,542700,0.0,0
2019-04-03,270.72,270.72,261.45,263.68,1321500,0.0,0
2019-04-04,264.42,269.95,263.66,267.88,1129100,0.0,0
2019-04-05,271.63,273.17,269.08,273.11,734400,0.0,0
2019-04-08,271.83,274.02,270.32,273.7,607600,0.0,0
2019-04-09,272.09,273.03,269.55,270.31,484200,0.0,0
2019-04-10,269.83,270.71,266.31,267.41,774500,0.0,0
2019-04-11,268.91,274.71,268.39,274.19,661900,0.0,0
2019-04-12,275.05,280.08,275.05,279.78,1108700,0.0,0
2019-04-15,279.66,280.37,276.97,276.99,474400,0.0,0
2019-04-16,277.26,279.01,276.43,278.36,608800,0.0,0
2019-04-17,280.19,280.53,275.46,275.55,665800,0.0,0
2019-04-18,276.05,279.34,274.9,277.92,545600,0.0,0
2019-04-22,276.96,280.0,275.54,279.63,494900,0.0,0
2019-04-23,284.38,291.52,284.11,289.23,1678900,0.0,0
2019-04-24,286.21,287.1,275.04,276.77,2439300,0.0,0
2019-04-25,276.18,277.85,270.54,275.97,1298400,0.0,0
2019-04-26,276.63,281.55,274.44,279.86,953200,0.0,0
2019-04-29,280.32,284.37,279.23,282.7,954400,0.0,0
2019-04-30,285.14,287.35,283.21,286.56,931000,0.0,0
2019-05-01,286.59,289.55,285.63,285.97,825800,0.0,0
2019-05-02,285.16,287.76,283.38,286.58,1028100,0.0,0
2019-05-03,287.69,288.87,286.98,288.67,974800,0.0,0
2019-05-06,284.18,289.0,283.46,287.98,549000,0.0,0
2019-05-07,286.19,286.49,281.28,285.05,731800,0.0,0
2019-05-08,284.92,288.16,284.39,287.21,667700,0.0,0
2019-05-09,284.47,292.83,283.82,291.6,1125400,0.0,0
2019-05-10,291.23,297.53,290.54,297.33,1418000,0.0,0
2019-05-13,291.62,293.31,288.81,292.07,987000,0.0,0
2019-05-14,292.41,296.51,291.1,292.23,1256900,0.0,0
2019-05-15,290.42,293.37,287.94,291.09,619700,0.0,0
2019-05-16,292.83,302.81,292.35,301.19,1045900,0.0,0
2019-05-17,299.35,305.17,298.08,303.15,1172000,0.0,0
2019-05-20,302.77,311.37,302.48,310.95,1427500,0.0,0
2019-05-21,311.49,313.84,306.03,312.59,1385300,0.0,0
2019-05-22,312.1,313.4,310.74,312.98,952100,0.0,0
2019-05-23,310.08,310.58,304.55,307.5,1116900,0.0,0
2019-05-24,308.81,311.17,306.2,308.47,723700,0.0,0
2019-05-28,307.29,309.14,304.05,304.67,1419600,0.0,0
2019-05-29,303.24,304.17,300.2,302.48,582000,0.0,0
2019-05-30,303.44,307.63,303.44,306.23,1099500,0.0,0
2019-05-31,302.33,305.58,300.91,301.03,667700,1.32,0
2019-06-03,300.79,306.13,300.79,304.7,746500,0.0,0
2019-06-04,305.62,311.46,305.51,309.99,796700,0.0,0
2019-06-05,311.61,314.67,310.26,314.45,703000,0.0,0
2019-06-06,314.46,315.0,312.08,312.52,595000,0.0,0
2019-06-07,313.58,317.04,312.02,315.96,1010000,0.0,0
2019-06-10,320.64,321.36,307.94,309.03,1088700,0.0,0
2019-06-11,309.03,310.52,296.05,298.53,1603500,0.0,0
2019-06-12,299.0,303.05,297.77,302.62,771500,0.0,0
2019-06-13,303.98,306.0,298.24,305.38,1327600,0.0,0
2019-06-14,306.2,308.21,304.35,307.17,768200,0.0,0
