Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,167.38,167.48,164.93,166.45,1792200,0.0,0
2019-02-06,166.57,168.19,165.71,166.55,2026400,0.0,0
2019-02-07,165.81,168.09,164.91,168.02,2215000,0.0,0
2019-02-08,166.64,169.11,166.46,169.0,2037000,0.0,0
2019-02-11,172.47,177.83,172.03,174.41,4588800,0.0,0
2019-02-12,175.49,178.91,175.22,178.02,2382500,0.0,0
2019-02-13,178.04,178.66,176.84,178.35,1875600,0.0,0
2019-02-14,177.55,179.92,176.92,179.12,1468100,0.0,0
2019-02-15,179.9,180.61,179.06,180.24,1256200,0.0,0
2019-02-19,177.03,181.3,176.97,180.14,1516200,0.0,0
2019-02-20,180.19,181.27,179.8,180.85,1463500,0.0,0
2019-02-21,180.99,180.99,179.47,180.31,1244400,0.0,0
2019-02-22,180.6,181.35,179.1,180.67,1259900,0.0,0
2019-02-25,180.95,181.07,178.69,178.8,1563600,0.0,0
2019-02-26,177.97,178.45,177.16,177.92,1483700,0.0,0
2019-02-27,177.51,178.36,177.17,178.22,1021900,0.0,0
2019-02-28,178.22,178.22,176.05,176.72,1390200,0.0,0
2019-03-01,177.33,178.2,175.35,176.3,1549200,0.0,0
2019-03-04,177.52,179.35,175.63,177.22,1611400,0.0,0
2019-03-05,177.6,177.65,175.19,175.29,1340300,0.0,0
2019-03-06,175.73,177.2,174.82,176.37,1327700,0.0,0
2019-03-07,176.17,176.8,175.18,176.14,1029700,0.0,0
2019-03-08,174.76,174.97,171.73,174.24,1125500,0.0,0
2019-03-11,174.13,178.44,173.59,178.24,1312700,0.0,0
2019-03-12,178.51,178.59,176.37,176.77,1254900,0.0,0
2019-03-13,177.34,179.53,176.67,177.21,1494100,0.0,0
2019-03-14,177.09,177.61,175.18,176.42,1269400,0.0,0
2019-03-15,177.37,178.99,176.6,176.94,3432600,0.0,0
2019-03-18,176.74,180.11,176.66,179.91,1541300,0.0,0
2019-03-19,180.28,180.29,175.79,176.21,1510800,0.0,0
2019-03-20,176.31,177.44,174.16,175.7,1194100,0.0,0
2019-03-21,174.61,178.59,174.61,178.02,794000,0.0,0
2019-03-22,177.62,177.94,175.12,175.38,1021600,0.0,0
2019-03-25,175.05,179.11,174.87,177.23,1198900,0.0,0
2019-03-26,178.4,179.51,177.27,178.82,1011800,0.0,0
2019-03-27,178.49,180.18,177.91,179.8,964300,0.0,0
2019-03-28,179.93,183.92,179.93,183.71,1739600,0.0,0
2019-03-29,185.33,185.78,183.78,184.21,1949600,0.0,0
2019-04-01,187.27,191.0,186.29,190.76,2188100,0.0,0
2019-04-02,190.76,191.76,189.99,190.23,1568000,0.0,0
2019-04-03,191.05,191.83,189.15,189.52,1358000,0.0,0
2019-04-04,189.44,189.98,188.36,188.76,998700,0.0,0
2019-04-05,188.71,190.35,188.49,189.43,1366800,0.0,0
2019-04-08,189.64,191.33,188.81,191.24,929900,0.0,0
2019-04-09,189.75,190.8,187.63,189.98,1041000,0.0,0
2019-04-10,190.13,190.28,188.51,189.84,999500,0.0,0
2019-04-11,190.53,191.34,189.67,190.41,753000,0.0,0
2019-04-12,191.6,193.75,191.49,193.33,1044100,0.0,0
2019-04-15,192.91,193.67,190.82,190.94,859800,0.0,0
2019-04-16,191.33,191.33,190.07,190.44,1036100,0.0,0
2019-04-17,194.08,195.39,192.95,194.27,1748900,0.0,0
2019-04-18,196.36,197.13,195.01,195.73,1715000,0.0,0
2019-04-22,195.49,199.01,195.19,198.6,1580200,0.0,0
2019-04-23,198.65,199.78,197.11,198.77,1823000,0.0,0
2019-04-24,203.28,208.42,202.77,203.73,2749100,0.0,0
2019-04-25,202.59,202.59,199.67,199.9,1421800,0.0,0
2019-04-26,200.26,201.29,200.05,201.21,922000,0.0,0
2019-04-29,200.82,201.11,199.37,199.93,1115900,0.0,0
2019-04-30,199.58,201.42,197.82,201.09,1067300,0.0,0
2019-05-01,200.45,200.85,196.67,197.32,1671100,0.0,0
2019-05-02,197.14,199.32,195.83,199.1,1047600,0.86,0
2019-05-03,199.79,203.34,199.79,202.99,772300,0.0,0
2019-05-06,199.59,202.84,198.54,202.19,947400,0.0,0
2019-05-07,199.88,200.98,195.87,199.16,1447500,0.0,0
