Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,86.79,87.47,86.52,87.41,1601900,0.0,0
2019-02-06,87.2,88.04,87.03,87.97,1221700,0.0,0
2019-02-07,87.43,88.04,86.41,87.43,1134900,0.0,0
2019-02-08,86.8,87.36,85.77,87.24,1210500,0.0,0
2019-02-11,87.37,87.79,86.7,87.24,828000,0.0,0
2019-02-12,88.04,89.83,88.04,89.59,1434800,0.0,0
2019-02-13,90.02,90.4,89.42,89.5,1291000,0.0,0
2019-02-14,88.93,89.28,87.8,88.84,867100,0.0,0
2019-02-15,89.64,90.88,89.38,90.6,886600,0.0,0
2019-02-19,90.15,91.02,89.68,90.52,864100,0.0,0
2019-02-20,90.52,91.01,89.92,90.97,843900,0.0,0
2019-02-21,91.01,91.01,89.86,90.21,1083200,0.0,0
2019-02-22,90.56,90.67,89.84,90.16,694800,0.0,0
2019-02-25,90.96,91.2,90.13,90.2,1171600,0.0,0
2019-02-26,89.98,90.82,89.66,90.46,835800,0.0,0
2019-02-27,90.15,91.01,89.93,90.77,793300,0.0,0
2019-02-28,91.06,91.26,90.45,90.71,1391700,0.0,0
2019-03-01,91.26,91.7,90.27,90.64,1118900,0.0,0
2019-03-04,90.87,91.97,89.57,90.26,1536600,0.0,0
2019-03-05,90.52,90.72,89.23,90.43,1271100,0.0,0
2019-03-06,90.36,90.93,89.35,89.54,1247000,0.0,0
2019-03-07,89.11,89.38,87.69,88.15,1853900,0.6,0
2019-03-08,87.3,88.1,86.88,87.71,1037000,0.0,0
2019-03-11,88.03,88.63,87.62,87.96,1127800,0.0,0
2019-03-12,88.24,88.83,88.07,88.31,1062800,0.0,0
2019-03-13,88.56,90.16,87.42,90.1,1579700,0.0,0
2019-03-14,91.11,92.93,90.42,92.57,2041600,0.0,0
2019-03-15,92.65,93.55,92.43,92.99,2083100,0.0,0
2019-03-18,92.98,94.62,92.98,94.18,887400,0.0,0
2019-03-19,94.57,94.93,92.86,93.13,927500,0.0,0
2019-03-20,92.84,93.14,90.43,90.54,1093000,0.0,0
2019-03-21,90.18,91.2,89.15,90.81,1006300,0.0,0
2019-03-22,89.89,90.06,86.65,86.79,1635100,0.0,0
2019-03-25,86.9,87.62,85.45,85.8,1266200,0.0,0
2019-03-26,86.44,87.7,85.72,87.69,1076800,0.0,0
2019-03-27,87.98,88.49,87.19,87.26,1592000,0.0,0
2019-03-28,87.25,88.29,86.93,88.24,974200,0.0,0
2019-03-29,89.13,89.48,88.26,88.57,1066500,0.0,0
2019-04-01,89.13,91.2,89.07,90.82,1101200,0.0,0
2019-04-02,90.67,91.63,90.03,91.38,915500,0.0,0
2019-04-03,92.21,92.88,91.92,92.22,869000,0.0,0
2019-04-04,92.46,93.38,92.31,92.81,686400,0.0,0
2019-04-05,93.15,93.43,92.49,93.13,1156900,0.0,0
2019-04-08,93.08,93.3,92.15,92.48,891400,0.0,0
2019-04-09,91.96,91.96,90.93,91.53,740500,0.0,0
2019-04-10,91.55,91.94,90.69,91.5,938100,0.0,0
2019-04-11,92.04,92.74,90.96,91.73,1028200,0.0,0
2019-04-12,94.57,94.57,92.24,92.63,1224300,0.0,0
2019-04-15,92.56,92.72,91.62,92.13,830000,0.0,0
2019-04-16,92.16,93.93,92.16,93.68,1020300,0.0,0
2019-04-17,92.08,92.09,90.13,90.54,2724400,0.0,0
2019-04-18,90.81,90.95,89.7,90.0,1870700,0.0,0
2019-04-22,89.84,90.62,89.36,90.0,1286300,0.0,0
2019-04-23,90.95,94.46,90.31,93.99,2674500,0.0,0
2019-04-24,93.99,96.2,93.2,95.74,2242800,0.0,0
2019-04-25,95.58,96.14,94.09,95.59,1353200,0.0,0
2019-04-26,95.4,95.94,95.04,95.73,1147500,0.0,0
2019-04-29,95.72,97.05,95.52,96.57,1109900,0.0,0
2019-04-30,96.71,96.88,95.55,96.55,1683000,0.0,0
2019-05-01,96.52,97.34,95.53,95.58,1014000,0.0,0
2019-05-02,95.76,97.7,95.65,96.47,1255800,0.0,0
2019-05-03,96.72,97.79,96.49,97.46,724000,0.0,0
2019-05-06,95.61,97.37,95.27,96.79,656500,0.0,0
2019-05-07,95.92,96.34,94.8,95.5,1011500,0.0,0
2019-05-08,95.23,95.78,94.68,94.89,674500,0.0,0
2019-05-09,93.93,95.17,92.87,95.0,804000,0.0,0
2019-05-10,94.62,95.73,93.61,95.58,731600,0.0,0
2019-05-13,93.74,94.14,91.66,92.04,948000,0.0,0
2019-05-14,92.09,93.64,92.01,92.98,1048900,0.0,0
2019-05-15,92.09,93.33,91.46,92.32,951000,0.0,0
2019-05-16,92.92,93.65,92.52,92.85,789100,0.0,0
2019-05-17,91.87,93.08,91.37,91.52,762200,0.0,0
2019-05-20,91.2,91.94,90.91,91.6,1025800,0.0,0
2019-05-21,91.98,92.89,91.91,92.64,990300,0.0,0
2019-05-22,92.35,92.48,91.44,91.46,725700,0.0,0
2019-05-23,90.51,90.62,87.91,88.3,1568500,0.0,0
2019-05-24,88.89,89.69,88.8,89.48,1038700,0.0,0
2019-05-28,89.4,89.4,87.48,87.66,1444500,0.0,0
2019-05-29,87.08,87.73,86.1,87.62,1112300,0.0,0
2019-05-30,87.94,88.13,85.47,85.88,755900,0.0,0
2019-05-31,84.68,85.29,83.57,83.78,988500,0.0,0
2019-06-03,83.97,84.82,83.35,84.11,1122500,0.0,0
2019-06-04,85.38,87.13,85.16,87.1,726300,0.0,0
2019-06-05,86.82,87.58,85.24,86.03,848600,0.0,0
2019-06-06,85.53,87.54,84.15,85.92,931400,0.0,0
2019-06-07,86.01,86.61,85.33,86.48,919400,0.0,0
2019-06-10,87.3,87.97,86.47,86.59,1478000,0.0,0
2019-06-11,87.09,88.29,85.79,86.0,2443900,0.0,0
2019-06-12,85.73,87.6,84.66,86.22,2207900,0.0,0
2019-06-13,86.66,87.45,85.63,86.05,944600,0.6,0
2019-06-14,86.26,86.59,85.04,85.98,933900,0.0,0
2019-06-17,86.04,86.61,84.56,84.7,687900,0.0,0
2019-06-18,84.02,86.47,83.74,85.22,1238400,0.0,0
2019-06-19,85.29,86.41,83.86,84.09,1121800,0.0,0
2019-06-20,84.94,84.94,83.6,84.57,1318700,0.0,0
2019-06-21,84.7,86.02,84.17,85.51,1673300,0.0,0
2019-06-24,85.15,86.16,84.58,84.71,805900,0.0,0
2019-06-25,84.28,84.86,82.9,84.59,1020300,0.0,0
2019-06-26,84.96,85.7,84.16,85.54,1816000,0.0,0
2019-06-27,85.64,86.77,85.46,86.64,1160500,0.0,0
2019-06-28,87.6,88.99,87.48,88.78,2889300,0.0,0
2019-07-01,89.64,90.55,89.64,90.4,1792700,0.0,0
2019-07-02,90.33,91.29,89.77,90.62,2564000,0.0,0
2019-07-03,90.79,91.7,90.79,91.53,767400,0.0,0
2019-07-05,91.95,92.89,91.69,92.64,1025100,0.0,0
2019-07-08,91.85,91.85,89.4,90.42,1612100,0.0,0
2019-07-09,89.68,90.38,89.57,90.34,870400,0.0,0
