Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,11.18,11.27,11.11,11.15,5054200,0.0,0
2019-02-06,11.28,11.51,11.22,11.35,10675800,0.0,0
2019-02-07,11.42,11.46,11.27,11.31,14012500,0.0,0
2019-02-08,11.28,11.35,11.11,11.3,4602500,0.0,0
2019-02-11,11.37,11.37,11.24,11.31,5296700,0.17,0
2019-02-12,11.39,11.49,11.36,11.44,6694600,0.0,0
2019-02-13,11.44,11.6,11.43,11.54,6631700,0.0,0
2019-02-14,11.45,11.51,11.39,11.4,5128700,0.0,0
2019-02-15,11.48,11.55,11.44,11.53,6239000,0.0,0
2019-02-19,11.51,11.76,11.47,11.72,6491700,0.0,0
2019-02-20,11.73,11.82,11.58,11.72,5767900,0.0,0
2019-02-21,11.72,11.75,11.63,11.72,4659100,0.0,0
2019-02-22,11.79,11.83,11.7,11.81,3411000,0.0,0
2019-02-25,11.85,11.91,11.72,11.76,4062600,0.0,0
2019-02-26,11.68,11.79,11.64,11.72,4341200,0.0,0
2019-02-27,11.73,11.93,11.72,11.91,3263800,0.0,0
2019-02-28,11.92,12.01,11.88,11.97,5917600,0.0,0
2019-03-01,12.05,12.16,11.92,12.11,4368000,0.0,0
2019-03-04,12.1,12.17,11.91,12.07,4666200,0.0,0
2019-03-05,12.05,12.07,11.91,12.03,3378100,0.0,0
2019-03-06,12.05,12.09,11.81,11.85,4073300,0.0,0
2019-03-07,11.85,11.86,11.57,11.7,6814400,0.0,0
2019-03-08,11.56,11.75,11.51,11.7,5004200,0.0,0
2019-03-11,11.42,11.59,11.33,11.5,9209500,0.0,0
2019-03-12,11.51,11.61,11.45,11.5,3701500,0.0,0
2019-03-13,11.56,11.56,11.46,11.5,4959000,0.0,0
2019-03-14,11.52,11.61,11.43,11.51,5826800,0.0,0
2019-03-15,11.5,11.6,11.47,11.51,11943900,0.0,0
2019-03-18,11.53,11.7,11.51,11.69,2837000,0.0,0
2019-03-19,11.72,11.72,11.44,11.45,4457200,0.0,0
2019-03-20,11.4,11.47,11.08,11.09,8459400,0.0,0
2019-03-21,11.04,11.38,11.02,11.22,7218600,0.0,0
2019-03-22,11.13,11.21,10.92,11.01,5755100,0.0,0
2019-03-25,10.95,11.12,10.86,10.9,6733200,0.0,0
2019-03-26,10.99,11.19,10.98,11.18,4179100,0.0,0
2019-03-27,11.22,11.24,11.05,11.16,4414000,0.0,0
2019-03-28,11.18,11.29,11.16,11.27,4186100,0.0,0
2019-03-29,11.43,11.43,11.05,11.07,5103600,0.0,0
2019-04-01,11.15,11.28,11.12,11.28,4117000,0.0,0
2019-04-02,11.24,11.34,11.13,11.16,4845700,0.0,0
2019-04-03,11.27,11.32,11.18,11.23,5973300,0.0,0
2019-04-04,11.21,11.34,11.2,11.3,3664800,0.0,0
2019-04-05,11.3,11.38,11.27,11.32,3258100,0.0,0
2019-04-08,11.25,11.33,11.23,11.33,5257600,0.0,0
2019-04-09,11.32,11.36,11.18,11.24,3896400,0.0,0
2019-04-10,11.25,11.37,11.18,11.36,2307600,0.0,0
2019-04-11,11.43,11.45,11.28,11.43,3656900,0.0,0
2019-04-12,11.48,11.6,11.27,11.49,4291200,0.0,0
2019-04-15,11.5,11.5,11.35,11.4,3084300,0.0,0
2019-04-16,11.43,11.52,11.28,11.43,5407800,0.0,0
2019-04-17,11.31,11.32,10.85,10.92,10634600,0.0,0
2019-04-18,10.92,11.02,10.85,10.89,3834300,0.0,0
2019-04-22,10.89,10.96,10.75,10.83,4957400,0.0,0
2019-04-23,10.82,10.88,10.66,10.83,10053500,0.0,0
2019-04-24,10.78,10.94,10.65,10.89,5585900,0.0,0
2019-04-25,10.85,10.88,10.73,10.73,4016700,0.0,0
2019-04-26,10.75,10.93,10.71,10.86,3067400,0.0,0
2019-04-29,10.88,11.01,10.83,10.93,5481600,0.0,0
2019-04-30,11.22,11.44,11.01,11.13,7915200,0.0,0
2019-05-01,11.08,11.24,10.89,10.89,7592500,0.0,0
2019-05-02,10.92,11.06,10.8,11.0,5012000,0.0,0
2019-05-03,11.05,11.16,11.04,11.09,6219100,0.0,0
2019-05-06,10.93,11.11,10.93,11.05,2862900,0.0,0
2019-05-07,10.97,11.02,10.81,10.85,3715500,0.0,0
2019-05-08,10.85,10.9,10.74,10.76,2462000,0.0,0
2019-05-09,10.69,10.81,10.59,10.77,2273200,0.0,0
2019-05-10,10.75,10.84,10.64,10.82,2472400,0.0,0
2019-05-13,10.69,10.81,10.59,10.6,3777200,0.17,0
2019-05-14,10.6,10.8,10.57,10.69,3786100,0.0,0
2019-05-15,10.59,10.64,10.17,10.37,6269000,0.0,0
2019-05-16,10.35,10.37,9.91,10.25,9976600,0.0,0
2019-05-17,10.17,10.39,10.14,10.17,4297600,0.0,0
2019-05-20,10.08,10.18,9.95,10.0,4679500,0.0,0
2019-05-21,10.02,10.07,9.9,10.07,8194200,0.0,0
2019-05-22,10.07,10.1,9.88,9.95,4162000,0.0,0
2019-05-23,9.87,9.98,9.79,9.88,5475200,0.0,0
2019-05-24,9.9,10.0,9.87,9.89,2408500,0.0,0
2019-05-28,9.88,9.88,9.72,9.74,3449700,0.0,0
2019-05-29,9.72,10.04,9.66,10.0,6190300,0.0,0
2019-05-30,10.04,10.05,9.58,9.65,6156700,0.0,0
2019-05-31,9.51,9.77,9.46,9.65,5568300,0.0,0
2019-06-03,9.63,9.86,9.59,9.83,5339700,0.0,0
2019-06-04,9.93,10.04,9.86,9.95,4644500,0.0,0
2019-06-05,9.92,10.06,9.85,9.99,3792200,0.0,0
2019-06-06,10.0,10.02,9.75,9.9,5753300,0.0,0
2019-06-07,9.88,9.89,9.78,9.81,3576200,0.0,0
2019-06-10,9.9,9.96,9.81,9.88,2923100,0.0,0
2019-06-11,9.9,10.2,9.9,10.09,5493600,0.0,0
2019-06-12,10.0,10.06,9.41,9.47,15157700,0.0,0
2019-06-13,9.45,9.54,9.14,9.38,12945000,0.0,0
2019-06-14,9.35,9.47,9.11,9.37,5609200,0.0,0
2019-06-17,9.34,9.52,9.31,9.35,3951600,0.0,0
2019-06-18,9.35,9.57,9.26,9.29,5654000,0.0,0
2019-06-19,9.32,9.39,9.23,9.32,5288900,0.0,0
2019-06-20,9.39,9.39,9.15,9.27,7963600,0.0,0
2019-06-21,9.22,9.41,9.2,9.3,6450900,0.0,0
2019-06-24,9.32,9.46,9.27,9.33,4004900,0.0,0
2019-06-25,9.36,9.6,9.27,9.52,7586100,0.0,0
2019-06-26,9.55,9.61,9.46,9.47,6211000,0.0,0
2019-06-27,9.51,9.6,9.46,9.56,2566300,0.0,0
2019-06-28,9.62,9.74,9.6,9.7,4684900,0.0,0
2019-07-01,9.76,9.83,9.67,9.82,3585900,0.0,0
2019-07-02,9.8,9.86,9.68,9.81,5166900,0.0,0
2019-07-03,9.81,9.95,9.81,9.95,2846800,0.0,0
2019-07-05,9.97,10.02,9.82,9.92,3630900,0.0,0
2019-07-08,9.9,9.92,9.75,9.86,4190300,0.0,0
2019-07-09,9.79,9.92,9.75,9.92,3418500,0.0,0
2019-07-10,9.94,9.98,9.83,9.92,3279000,0.0,0
2019-07-11,10.13,10.14,9.88,10.03,5611900,0.0,0
2019-07-12,10.15,10.31,10.08,10.22,4175500,0.0,0
2019-07-15,10.24,10.28,10.14,10.19,4091800,0.0,0
2019-07-16,10.19,10.29,10.14,10.25,3196300,0.0,0
2019-07-17,10.24,10.37,10.15,10.3,4084400,0.0,0
2019-07-18,10.29,10.38,10.19,10.28,3777600,0.0,0
2019-07-19,10.26,10.33,10.17,10.31,3701800,0.0,0
2019-07-22,10.31,10.33,10.21,10.32,3569800,0.0,0
2019-07-23,10.34,10.43,10.25,10.41,3442300,0.0,0
2019-07-24,10.42,10.61,10.39,10.59,3540200,0.0,0
2019-07-25,10.59,10.6,10.36,10.39,6185100,0.0,0
2019-07-26,10.39,10.59,10.36,10.56,3455600,0.0,0
2019-07-29,10.54,10.67,10.52,10.61,6192400,0.0,0
2019-07-30,10.58,10.92,10.51,10.88,11440200,0.0,0
2019-07-31,10.75,11.42,10.64,11.2,13986900,0.0,0
2019-08-01,11.25,11.5,11.17,11.26,9152300,0.0,0
2019-08-02,11.24,11.27,11.08,11.22,6319400,0.0,0
