Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,52.53,52.6,51.59,52.31,1391800,0.0,0
2019-02-06,52.29,52.54,51.44,51.77,1061700,0.0,0
2019-02-07,51.57,52.14,50.79,51.15,979600,0.0,0
2019-02-08,51.33,52.72,50.92,51.18,1131900,0.0,0
2019-02-11,51.25,52.54,50.93,52.2,1824600,0.0,0
2019-02-12,52.6,54.14,52.5,54.0,1439800,0.0,0
2019-02-13,53.99,54.29,52.99,53.14,1307800,0.0,0
2019-02-14,52.81,53.34,52.55,52.78,869000,0.0,0
2019-02-15,53.01,53.89,52.7,53.83,1513000,0.0,0
2019-02-19,53.61,54.94,53.51,54.57,1843600,0.0,0
2019-02-20,52.85,53.95,51.32,51.78,2619900,0.0,0
2019-02-21,51.66,51.8,50.63,50.82,2456300,0.0,0
2019-02-22,50.62,50.97,49.8,50.32,2342400,0.0,0
2019-02-25,50.43,50.75,48.63,48.72,2137100,0.0,0
2019-02-26,48.48,49.65,48.32,49.45,2502300,0.0,0
2019-02-27,49.41,49.7,48.83,49.36,985500,0.0,0
2019-02-28,49.29,49.45,48.39,49.15,2131900,0.0,0
2019-03-01,49.6,49.9,48.45,49.36,1717200,0.0,0
2019-03-04,49.71,50.07,49.31,49.61,1436600,0.0,0
2019-03-05,49.69,49.83,47.96,47.96,1105400,0.0,0
2019-03-06,47.95,48.28,47.18,47.19,1091400,0.0,0
2019-03-07,47.05,47.67,46.47,46.54,1444000,0.22,0
2019-03-08,46.2,46.62,46.01,46.5,1982400,0.0,0
2019-03-11,46.51,47.3,46.51,47.17,934700,0.0,0
2019-03-12,47.27,47.68,47.01,47.14,1502300,0.0,0
2019-03-13,47.3,47.39,46.51,46.76,2313600,0.0,0
2019-03-14,46.48,46.87,46.38,46.48,1260400,0.0,0
2019-03-15,46.48,47.23,46.48,47.2,1760100,0.0,0
2019-03-18,47.21,47.45,47.04,47.3,1791700,0.0,0
2019-03-19,47.38,47.84,46.55,46.7,1246400,0.0,0
2019-03-20,46.58,46.84,45.29,45.8,1227200,0.0,0
2019-03-21,45.73,46.97,45.73,46.89,1064500,0.0,0
2019-03-22,46.58,46.58,45.35,45.76,1681000,0.0,0
2019-03-25,45.88,46.53,45.47,45.72,1139300,0.0,0
2019-03-26,45.63,45.84,43.96,44.82,1516500,0.0,0
2019-03-27,45.05,45.79,44.67,45.68,1346100,0.0,0
2019-03-28,45.99,46.37,45.66,46.08,1003700,0.0,0
2019-03-29,46.41,47.13,46.08,46.59,1291500,0.0,0
2019-04-01,47.15,48.34,47.0,48.25,1310600,0.0,0
2019-04-02,47.98,48.73,47.69,48.71,1725900,0.0,0
2019-04-03,49.0,49.63,48.86,49.45,2499100,0.0,0
2019-04-04,49.46,50.13,49.24,49.89,1110500,0.0,0
2019-04-05,50.03,50.35,49.87,50.17,841400,0.0,0
2019-04-08,50.11,50.28,49.65,50.1,1566100,0.0,0
2019-04-09,49.72,49.72,48.82,48.91,1021800,0.0,0
2019-04-10,49.27,50.39,49.03,50.31,846500,0.0,0
2019-04-11,50.33,50.86,50.03,50.86,1648400,0.0,0
2019-04-12,51.27,51.93,51.0,51.72,1148300,0.0,0
2019-04-15,51.83,52.17,51.56,51.89,1029800,0.0,0
2019-04-16,51.85,52.9,51.69,52.74,1140700,0.0,0
2019-04-17,53.17,53.96,53.05,53.4,3079800,0.0,0
2019-04-18,53.5,53.8,53.09,53.67,1522300,0.0,0
2019-04-22,53.51,53.93,53.33,53.71,1312900,0.0,0
2019-04-23,53.76,55.08,53.6,54.97,3497000,0.0,0
2019-04-24,50.62,53.62,50.62,51.86,4918200,0.0,0
2019-04-25,51.09,51.41,49.47,49.69,3767300,0.0,0
2019-04-26,49.79,50.77,49.49,50.11,1771600,0.0,0
2019-04-29,50.18,51.36,49.94,51.27,1097100,0.0,0
2019-04-30,51.32,51.55,50.6,50.7,1140500,0.0,0
2019-05-01,50.72,51.31,50.4,50.63,1789200,0.0,0
2019-05-02,50.64,51.19,50.36,50.61,985800,0.0,0
2019-05-03,50.83,51.5,50.63,51.4,755800,0.0,0
