Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,141.4,142.03,139.19,141.12,502100,0.0,0
2019-02-06,141.2,142.35,137.9,138.38,561800,0.0,0
2019-02-07,141.16,144.4,139.95,142.36,954900,0.0,0
2019-02-08,142.5,143.79,139.09,141.13,627400,0.0,0
2019-02-11,141.88,142.95,138.46,139.97,529800,0.0,0
2019-02-12,141.62,142.72,139.95,141.25,1592800,0.0,0
2019-02-13,141.42,145.02,141.42,143.37,674600,0.0,0
2019-02-14,142.44,145.3,141.4,144.24,536600,0.0,0
2019-02-15,144.93,146.1,143.9,145.73,430600,0.0,0
2019-02-19,145.07,149.58,145.07,148.88,595600,0.0,0
2019-02-20,149.36,152.25,148.58,151.83,474700,0.0,0
2019-02-21,151.49,152.33,149.96,151.33,815400,0.0,0
2019-02-22,151.73,151.87,149.56,151.2,578800,0.0,0
2019-02-25,151.73,152.26,150.84,151.3,590400,0.0,0
2019-02-26,150.28,151.26,149.87,150.34,449400,0.0,0
2019-02-27,149.81,150.93,149.27,149.8,609700,0.0,0
2019-02-28,149.81,150.2,148.19,150.11,456400,0.0,0
2019-03-01,151.02,153.25,149.89,151.94,612600,0.0,0
2019-03-04,152.67,152.71,147.22,147.98,559100,0.0,0
2019-03-05,147.71,148.78,145.27,145.41,388100,0.17,0
2019-03-06,145.0,145.93,143.7,143.95,368700,0.0,0
2019-03-07,143.31,143.87,139.63,140.41,557700,0.0,0
2019-03-08,139.58,142.39,138.19,142.25,519700,0.0,0
2019-03-11,141.46,146.48,141.46,145.82,480600,0.0,0
2019-03-12,146.13,146.93,144.12,145.89,452900,0.0,0
2019-03-13,146.52,150.3,146.52,148.12,537000,0.0,0
2019-03-14,147.77,148.68,147.11,147.22,450900,0.0,0
2019-03-15,147.6,148.57,146.03,146.63,680600,0.0,0
2019-03-18,146.46,148.82,146.46,148.82,368300,0.0,0
2019-03-19,148.52,149.44,143.31,143.58,410900,0.0,0
2019-03-20,143.16,144.74,141.17,142.42,406500,0.0,0
2019-03-21,141.9,145.91,140.84,145.35,294800,0.0,0
2019-03-22,144.22,144.93,142.02,142.26,473000,0.0,0
2019-03-25,142.27,144.37,141.58,141.73,406600,0.0,0
2019-03-26,142.98,144.39,141.99,143.97,347600,0.0,0
2019-03-27,143.78,145.53,142.84,143.42,349000,0.0,0
2019-03-28,143.79,145.52,142.75,145.02,407000,0.0,0
2019-03-29,145.63,146.22,143.57,143.92,460100,0.0,0
2019-04-01,145.54,149.25,144.0,148.79,410500,0.0,0
2019-04-02,148.62,149.46,146.96,148.11,446500,0.0,0
2019-04-03,148.87,152.38,148.36,149.45,557700,0.0,0
2019-04-04,149.75,152.4,149.6,151.62,443400,0.0,0
2019-04-05,151.64,153.5,150.83,151.26,450000,0.0,0
2019-04-08,150.81,152.23,149.51,152.2,192500,0.0,0
2019-04-09,151.83,151.83,149.87,150.16,276700,0.0,0
2019-04-10,150.59,150.94,149.06,149.82,382100,0.0,0
2019-04-11,150.21,153.47,150.21,152.79,478500,0.0,0
2019-04-12,153.4,154.9,152.34,153.24,380200,0.0,0
2019-04-15,153.62,154.68,151.35,151.98,459400,0.0,0
2019-04-16,151.09,154.83,150.67,154.33,451900,0.0,0
2019-04-17,155.0,157.34,154.48,156.57,503900,0.0,0
2019-04-18,157.09,158.68,154.18,154.73,469500,0.0,0
2019-04-22,154.49,155.98,153.29,155.37,373500,0.0,0
2019-04-23,156.35,156.35,153.94,154.32,460300,0.0,0
2019-04-24,155.01,158.79,154.45,158.43,747900,0.0,0
2019-04-25,159.48,162.46,148.98,151.76,1550900,0.0,0
2019-04-26,151.31,154.69,150.51,153.37,426700,0.0,0
2019-04-29,152.12,152.12,148.42,149.3,725800,0.0,0
