Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,39.34,39.42,39.14,39.31,1162500,0.0,0
2019-02-06,39.14,39.35,38.98,39.12,1244300,0.0,0
2019-02-07,39.19,39.84,38.94,39.81,1392800,0.0,0
2019-02-08,39.69,40.06,39.69,39.85,1390100,0.0,0
2019-02-11,40.0,40.15,39.84,40.02,993500,0.0,0
2019-02-12,40.1,40.28,39.87,40.05,1136800,0.0,0
2019-02-13,39.94,40.27,39.94,40.24,1732300,0.0,0
2019-02-14,40.27,40.43,40.03,40.21,1978600,0.0,0
2019-02-15,40.27,40.63,40.27,40.44,1788500,0.0,0
2019-02-19,40.39,40.64,40.34,40.49,1594300,0.0,0
2019-02-20,40.39,40.62,40.15,40.5,1605200,0.0,0
2019-02-21,40.41,41.22,40.03,41.14,1979300,0.0,0
2019-02-22,41.09,41.4,40.7,41.32,1613100,0.0,0
2019-02-25,41.22,41.22,40.54,40.79,2059700,0.0,0
2019-02-26,40.86,40.86,40.32,40.48,1646200,0.0,0
2019-02-27,40.37,40.87,40.3,40.85,1524700,0.0,0
2019-02-28,40.84,41.15,40.49,41.06,2203000,0.0,0
2019-03-01,41.19,41.29,40.64,40.98,1387100,0.0,0
2019-03-04,41.08,41.16,40.53,40.89,1194000,0.0,0
2019-03-05,40.89,40.93,40.5,40.61,1510700,0.0,0
2019-03-06,40.72,40.81,40.44,40.52,1681900,0.0,0
2019-03-07,40.66,40.91,40.5,40.67,2386100,0.0,0
2019-03-08,40.77,41.06,40.52,40.92,1620900,0.0,0
2019-03-11,41.0,41.29,40.84,41.28,1065200,0.0,0
2019-03-12,41.36,41.55,41.21,41.44,1614300,0.0,0
2019-03-13,41.49,41.58,41.26,41.32,1431200,0.0,0
2019-03-14,41.38,41.58,41.18,41.36,1147200,0.0,0
2019-03-15,41.41,41.68,41.23,41.63,2947800,0.0,0
2019-03-18,41.58,41.77,41.18,41.38,1599800,0.0,0
2019-03-19,41.32,41.38,40.39,40.52,2555300,0.0,0
2019-03-20,40.66,41.17,40.53,40.81,1710500,0.0,0
2019-03-21,40.86,41.54,40.76,41.35,1385100,0.0,0
2019-03-22,41.54,41.85,41.42,41.63,1249700,0.0,0
2019-03-25,41.66,41.95,41.42,41.88,989000,0.0,0
2019-03-26,41.97,42.26,41.84,42.16,796800,0.0,0
2019-03-27,42.16,42.16,41.73,41.93,1319200,0.0,0
2019-03-28,41.99,42.09,41.24,41.37,1316200,0.0,0
2019-03-29,41.45,41.66,41.27,41.64,1221300,0.0,0
2019-04-01,41.72,41.77,41.19,41.46,1304600,0.0,0
2019-04-02,41.52,41.52,41.09,41.26,1162300,0.0,0
2019-04-03,41.2,41.4,40.94,41.22,1261500,0.0,0
2019-04-04,41.38,41.43,40.7,41.05,1055400,0.0,0
2019-04-05,41.06,41.69,41.01,41.59,1554700,0.0,0
2019-04-08,40.83,41.34,40.8,41.01,2143900,0.0,0
2019-04-09,41.06,41.07,40.78,40.98,1443900,0.365,0
2019-04-10,41.18,41.49,40.81,40.82,1413600,0.0,0
2019-04-11,40.81,41.03,40.73,40.95,1275500,0.0,0
2019-04-12,40.85,41.11,40.62,41.07,1087500,0.0,0
2019-04-15,41.23,41.32,40.96,41.11,1111800,0.0,0
2019-04-16,41.07,41.32,40.31,40.51,1091300,0.0,0
2019-04-17,40.55,40.63,40.3,40.4,1140500,0.0,0
2019-04-18,40.55,40.68,40.32,40.36,1345600,0.0,0
2019-04-22,40.3,40.43,39.84,40.31,1883600,0.0,0
2019-04-23,40.44,40.69,40.28,40.45,1855700,0.0,0
2019-04-24,40.67,41.19,40.53,40.93,1564700,0.0,0
2019-04-25,40.73,41.32,40.73,41.19,1240000,0.0,0
2019-04-26,41.39,41.58,41.15,41.15,1915400,0.0,0
2019-04-29,41.1,41.15,40.61,40.71,907000,0.0,0
2019-04-30,40.64,41.27,40.43,41.24,1383400,0.0,0
2019-05-01,41.22,41.24,40.6,40.6,1464300,0.0,0
2019-05-02,40.19,40.89,39.58,40.11,1741300,0.0,0
2019-05-03,40.08,40.67,39.92,40.53,1386200,0.0,0
2019-05-06,40.48,40.89,40.48,40.64,1785200,0.0,0
2019-05-07,40.62,41.03,40.57,40.76,1348500,0.0,0
2019-05-08,40.58,40.64,39.69,39.75,1505200,0.0,0
