Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,81.25,82.53,80.28,82.11,1431600,0,0
2019-02-06,82.0,83.25,79.56,81.46,1034500,0,0
2019-02-07,80.61,80.76,78.76,80.67,1222200,0,0
2019-02-08,79.59,83.88,79.5,83.17,991600,0,0
2019-02-11,84.0,84.73,81.9,82.93,1167600,0,0
2019-02-12,83.72,84.85,83.05,84.62,986800,0,0
2019-02-13,85.0,85.25,82.75,83.6,877800,0,0
2019-02-14,83.0,85.9,82.98,85.2,1545000,0,0
2019-02-15,85.71,85.99,84.02,84.76,994300,0,0
2019-02-19,84.77,85.16,84.22,85.08,1040800,0,0
2019-02-20,85.2,87.72,83.85,83.99,1380200,0,0
2019-02-21,83.99,84.25,81.37,82.07,1716400,0,0
2019-02-22,82.7,84.4,81.76,84.17,1278200,0,0
2019-02-25,85.02,86.32,83.79,84.23,1509800,0,0
2019-02-26,84.02,85.34,83.1,83.75,1179000,0,0
2019-02-27,83.79,85.44,83.42,85.25,851100,0,0
2019-02-28,85.15,86.62,84.26,84.88,1485600,0,0
2019-03-01,86.65,86.96,84.68,86.43,1689500,0,0
2019-03-04,86.5,87.32,76.01,79.56,6479600,0,0
2019-03-05,79.96,80.36,76.37,80.11,2139800,0,0
2019-03-06,80.0,81.02,78.76,79.98,1888500,0,0
2019-03-07,79.98,83.11,78.88,81.21,3476300,0,0
2019-03-08,74.79,79.12,70.44,78.43,9463500,0,0
2019-03-11,78.75,81.97,78.45,80.93,2497000,0,0
2019-03-12,80.74,81.3,78.71,80.63,1759700,0,0
2019-03-13,81.0,82.98,79.55,80.47,1850900,0,0
2019-03-14,81.99,83.33,80.1,82.88,1772500,0,0
2019-03-15,82.46,82.78,78.86,79.21,2906700,0,0
2019-03-18,83.15,84.14,80.81,82.87,3167900,0,0
2019-03-19,83.55,83.55,80.19,81.19,2488800,0,0
2019-03-20,80.93,82.3,80.03,81.77,1248800,0,0
2019-03-21,81.68,85.52,81.68,85.47,1679600,0,0
2019-03-22,84.62,84.75,80.74,81.05,1652900,0,0
2019-03-25,80.9,82.87,79.1,82.16,1964100,0,0
2019-03-26,82.57,84.62,82.18,83.5,1402600,0,0
