Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,106.2,110.38,105.77,109.12,708600,0.0,0
2019-02-06,109.95,112.72,108.6,110.59,609700,0.0,0
2019-02-07,109.47,112.98,107.83,109.8,624500,0.0,0
2019-02-08,107.57,111.12,107.57,110.46,612000,0.0,0
2019-02-11,110.78,113.13,109.65,112.66,654500,0.0,0
2019-02-12,113.74,116.98,113.74,116.4,792300,0.0,0
2019-02-13,116.74,118.5,115.64,117.38,561200,0.0,0
2019-02-14,116.38,118.2,115.79,117.1,662600,0.0,0
2019-02-15,117.27,118.31,115.36,118.22,674900,0.0,0
2019-02-19,117.7,119.43,116.65,118.35,1044500,0.0,0
2019-02-20,118.69,121.45,117.85,118.68,918900,0.0,0
2019-02-21,117.8,118.73,116.75,118.21,1216800,0.0,0
2019-02-22,129.65,146.25,128.81,145.44,5089100,0.0,0
2019-02-25,146.56,151.09,145.72,146.92,2347600,0.0,0
2019-02-26,144.56,145.09,138.82,144.12,1653500,0.0,0
2019-02-27,142.67,148.83,141.75,148.63,906800,0.0,0
2019-02-28,147.94,151.08,146.73,148.9,880400,0.0,0
2019-03-01,150.58,152.62,147.68,152.03,816300,0.0,0
2019-03-04,152.93,154.15,149.39,152.57,844900,0.0,0
2019-03-05,152.37,154.35,149.91,152.72,582100,0.0,0
2019-03-06,152.01,152.23,148.91,150.19,679200,0.0,0
2019-03-07,147.97,149.51,146.06,147.73,727200,0.0,0
2019-03-08,144.87,147.66,143.56,147.15,778000,0.0,0
2019-03-11,147.95,153.55,147.73,151.64,778600,0.0,0
2019-03-12,152.78,154.64,150.76,154.47,575200,0.0,0
2019-03-13,154.65,156.54,153.97,155.41,587000,0.0,0
2019-03-14,155.65,156.24,154.0,154.55,453500,0.1,0
2019-03-15,155.78,160.9,155.41,155.85,1034600,0.0,0
2019-03-18,155.86,157.97,154.35,157.35,415700,0.0,0
2019-03-19,158.1,159.03,156.81,158.16,374000,0.0,0
2019-03-20,158.26,158.75,152.88,155.69,437900,0.0,0
2019-03-21,155.9,162.02,155.74,161.35,534200,0.0,0
2019-03-22,159.13,159.68,153.81,154.06,663000,0.0,0
2019-03-25,153.15,155.66,151.81,155.08,649600,0.0,0
2019-03-26,155.25,156.62,152.75,155.78,578700,0.0,0
2019-03-27,155.5,157.24,150.06,151.27,708300,0.0,0
2019-03-28,152.16,153.38,151.11,151.92,679300,0.0,0
2019-03-29,153.25,153.78,151.15,152.6,780600,0.0,0
2019-04-01,154.41,158.49,154.41,158.1,755300,0.0,0
