Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,75.2,76.17,74.86,75.79,1213600,0.0,0
2019-02-06,75.54,75.76,71.72,72.02,3201700,0.0,0
2019-02-07,71.42,72.19,70.32,72.13,4466200,0.0,0
2019-02-08,71.94,72.27,71.3,72.25,2022200,0.0,0
2019-02-11,72.2,72.78,71.38,71.46,3549300,0.0,0
2019-02-12,73.51,73.54,69.4,71.66,5467100,0.0,0
2019-02-13,71.98,73.22,70.7,71.08,3420500,0.0,0
2019-02-14,71.09,72.55,70.26,71.84,3182800,0.0,0
2019-02-15,72.45,72.78,71.97,72.54,2550900,0.0,0
2019-02-19,71.81,72.86,71.81,72.51,1842200,0.0,0
2019-02-20,72.54,72.86,72.2,72.59,1734700,0.0,0
2019-02-21,72.59,73.36,72.21,72.45,1265800,0.0,0
2019-02-22,72.8,73.49,72.68,73.15,1607300,0.0,0
2019-02-25,73.43,73.75,72.79,72.87,1715300,0.0,0
2019-02-26,72.95,73.51,72.35,73.04,1822300,0.0,0
2019-02-27,72.85,73.31,72.27,72.87,1255000,0.0,0
2019-02-28,73.08,73.28,72.46,73.22,1836800,0.0,0
2019-03-01,74.19,74.99,73.69,74.2,2130300,0.0,0
2019-03-04,74.54,74.6,73.27,73.94,1471000,0.0,0
2019-03-05,73.99,74.35,73.62,73.9,1270100,0.0,0
2019-03-06,74.03,74.3,72.45,72.75,2168200,0.0,0
2019-03-07,72.76,73.07,71.9,72.02,1599800,0.0,0
2019-03-08,71.64,72.19,71.54,72.18,1713400,0.65,0
2019-03-11,72.32,73.68,71.96,73.68,2231500,0.0,0
2019-03-12,73.81,74.14,73.33,73.42,1522900,0.0,0
2019-03-13,73.58,74.03,73.07,73.27,2240800,0.0,0
2019-03-14,73.41,74.16,73.11,73.8,2108100,0.0,0
2019-03-15,74.01,74.1,73.5,73.64,2119300,0.0,0
2019-03-18,73.46,73.84,72.59,72.77,1334100,0.0,0
2019-03-19,72.92,74.41,72.75,73.87,1606600,0.0,0
2019-03-20,73.86,73.86,72.09,72.5,1525000,0.0,0
2019-03-21,72.18,73.4,72.08,73.2,1469900,0.0,0
2019-03-22,73.09,73.24,71.25,71.3,1537400,0.0,0
2019-03-25,71.01,71.63,70.34,70.49,1215700,0.0,0
2019-03-26,70.68,71.32,70.6,70.84,1459000,0.0,0
2019-03-27,70.97,71.42,70.35,71.09,1370400,0.0,0
2019-03-28,71.29,72.17,71.07,71.48,1193000,0.0,0
2019-03-29,71.75,71.8,70.88,71.22,1447400,0.0,0
2019-04-01,71.51,72.08,71.18,71.83,1642400,0.0,0
2019-04-02,72.13,72.2,71.49,71.75,1475200,0.0,0
2019-04-03,71.92,72.29,71.3,71.72,1561800,0.0,0
2019-04-04,71.58,72.55,71.58,72.16,1360900,0.0,0
2019-04-05,72.15,73.69,71.71,73.33,2302800,0.0,0
2019-04-08,73.14,73.54,72.75,73.5,1116000,0.0,0
2019-04-09,73.06,73.4,72.81,73.16,1776800,0.0,0
2019-04-10,73.16,73.37,72.76,73.36,1319400,0.0,0
2019-04-11,73.73,74.68,73.54,73.82,1440600,0.0,0
2019-04-12,74.07,74.59,73.72,74.57,1607100,0.0,0
2019-04-15,74.7,75.59,74.35,75.03,3292100,0.0,0
2019-04-16,77.08,80.32,76.59,79.28,6343300,0.0,0
2019-04-17,80.07,82.07,79.54,81.76,3650700,0.0,0
2019-04-18,81.85,82.3,80.1,80.3,3979800,0.0,0
2019-04-22,80.29,80.47,79.49,79.8,2322000,0.0,0
2019-04-23,79.94,79.94,78.25,78.59,2997500,0.0,0
2019-04-24,78.53,78.97,77.86,78.02,2249100,0.0,0
2019-04-25,77.98,78.05,76.94,77.57,1407400,0.0,0
2019-04-26,78.51,79.8,78.23,79.44,1964400,0.0,0
2019-04-29,79.51,80.29,78.87,78.88,1486700,0.0,0
2019-04-30,78.71,78.71,77.46,78.09,2128100,0.0,0
2019-05-01,77.99,78.01,76.94,77.05,1647900,0.0,0
2019-05-02,77.24,77.5,76.45,77.24,1723800,0.0,0
2019-05-03,77.38,78.61,77.27,78.1,1683900,0.0,0
2019-05-06,77.15,78.32,77.02,78.28,1172900,0.0,0
2019-05-07,77.49,77.74,76.7,77.19,1668500,0.0,0
2019-05-08,77.25,77.82,76.88,77.5,2219700,0.0,0
2019-05-09,77.13,77.68,76.51,77.37,1795200,0.0,0
2019-05-10,77.35,77.89,76.69,77.62,1633800,0.0,0
2019-05-13,76.46,77.08,76.02,76.34,2592800,0.0,0
2019-05-14,76.79,77.5,76.36,76.82,1140200,0.0,0
2019-05-15,77.76,79.0,76.17,77.23,1556600,0.0,0
2019-05-16,77.37,78.12,77.05,77.12,1502100,0.0,0
2019-05-17,76.39,77.97,76.15,77.58,1315400,0.0,0
2019-05-20,77.28,77.86,76.99,77.37,1248900,0.0,0
2019-05-21,77.75,78.38,77.38,78.14,1136200,0.0,0
2019-05-22,78.07,78.1,77.75,77.84,1001900,0.0,0
2019-05-23,77.11,77.33,75.12,77.27,2290700,0.0,0
2019-05-24,77.79,77.98,76.86,76.9,1170600,0.0,0
2019-05-28,76.98,77.38,76.31,76.5,2014200,0.0,0
2019-05-29,76.14,76.6,75.2,75.62,1689200,0.0,0
2019-05-30,75.67,76.41,75.51,75.66,1250600,0.0,0
2019-05-31,75.26,75.8,75.03,75.48,1928600,0.0,0
2019-06-03,75.54,76.1,74.86,75.44,1957700,0.0,0
2019-06-04,76.48,76.61,75.12,76.14,2151800,0.0,0
2019-06-05,76.57,76.79,76.04,76.36,1352700,0.0,0
2019-06-06,76.54,76.83,75.97,76.62,1707600,0.0,0
2019-06-07,77.08,77.99,77.08,77.38,1981000,0.0,0
2019-06-10,77.77,78.21,76.29,76.68,2435300,0.0,0
2019-06-11,76.93,77.62,76.72,77.29,1506900,0.0,0
2019-06-12,77.49,78.26,77.43,77.86,2559600,0.0,0
2019-06-13,78.27,79.05,78.17,78.88,2629100,0.65,0
2019-06-14,78.96,79.0,78.01,78.07,1475800,0.0,0
2019-06-17,78.05,78.93,77.79,78.5,1217300,0.0,0
2019-06-18,78.95,79.61,78.75,78.84,2267100,0.0,0
2019-06-19,79.26,79.76,79.19,79.6,1909100,0.0,0
2019-06-20,80.08,80.23,77.88,79.42,2056100,0.0,0
2019-06-21,79.31,80.15,78.75,80.07,3188200,0.0,0
2019-06-24,80.05,80.29,79.1,80.11,2163600,0.0,0
2019-06-25,79.85,80.09,78.95,78.98,2874200,0.0,0
2019-06-26,79.11,80.02,79.01,79.67,2045600,0.0,0
2019-06-27,79.66,79.86,79.27,79.68,1391000,0.0,0
2019-06-28,79.87,80.8,79.67,80.62,2118900,0.0,0
2019-07-01,81.39,82.22,81.11,82.19,1614300,0.0,0
2019-07-02,81.99,82.41,81.52,82.38,1482400,0.0,0
2019-07-03,82.52,83.51,82.29,83.39,1057900,0.0,0
2019-07-05,83.0,83.39,82.09,83.37,1127500,0.0,0
2019-07-08,83.27,83.45,82.59,82.87,1416600,0.0,0
2019-07-09,82.83,83.11,82.4,82.88,2800800,0.0,0
2019-07-10,82.88,83.27,82.21,82.41,1350400,0.0,0
2019-07-11,82.67,82.67,81.6,82.29,2244300,0.0,0
2019-07-12,82.51,83.37,82.29,83.31,1183300,0.0,0
