Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,27.77,27.97,27.44,27.64,330300,0.0,0
2019-02-06,27.64,27.92,27.43,27.85,276800,0.0,0
2019-02-07,27.85,27.93,27.32,27.64,513800,0.0,0
2019-02-08,27.34,27.71,27.14,27.69,842200,0.0,0
2019-02-11,27.68,27.92,27.42,27.57,626300,0.0,0
2019-02-12,29.88,31.87,29.66,31.05,2796600,0.0,0
2019-02-13,31.39,31.39,30.61,31.17,753800,0.0,0
2019-02-14,31.04,31.23,30.86,31.07,1037300,0.0,0
2019-02-15,31.32,31.77,31.04,31.32,1154100,0.0,0
2019-02-19,31.25,32.26,31.13,32.0,1191100,0.0,0
2019-02-20,32.19,32.29,31.74,31.86,695000,0.0,0
2019-02-21,31.87,31.98,31.27,31.32,966300,0.0,0
2019-02-22,31.53,31.54,31.01,31.12,1208400,0.0,0
2019-02-25,31.32,31.77,31.09,31.19,1331400,0.25,0
2019-02-26,30.9,31.25,30.9,31.0,770700,0.0,0
2019-02-27,30.95,31.15,30.67,30.74,742500,0.0,0
2019-02-28,30.74,30.78,30.53,30.63,945300,0.0,0
2019-03-01,30.91,31.3,30.66,31.01,881200,0.0,0
2019-03-04,31.13,31.53,31.02,31.32,601700,0.0,0
2019-03-05,31.39,31.39,30.82,31.17,498300,0.0,0
2019-03-06,31.18,31.22,30.49,30.5,379500,0.0,0
2019-03-07,30.52,30.63,29.77,29.98,606100,0.0,0
2019-03-08,29.63,29.94,29.56,29.73,308600,0.0,0
2019-03-11,29.9,30.41,29.9,30.35,489500,0.0,0
2019-03-12,30.44,31.06,30.44,30.75,825800,0.0,0
2019-03-13,30.98,31.2,30.83,31.01,909200,0.0,0
2019-03-14,31.1,31.35,30.93,31.14,559400,0.0,0
2019-03-15,30.99,31.64,30.99,31.55,894500,0.0,0
2019-03-18,31.64,31.93,31.5,31.69,474800,0.0,0
2019-03-19,31.88,31.91,31.39,31.45,609600,0.0,0
2019-03-20,31.24,31.24,30.52,30.63,455300,0.0,0
2019-03-21,30.37,31.08,30.25,31.02,606000,0.0,0
2019-03-22,30.65,30.65,29.31,29.57,599600,0.0,0
2019-03-25,29.46,29.7,28.8,29.08,597800,0.0,0
2019-03-26,29.3,29.61,28.94,29.31,462100,0.0,0
2019-03-27,29.13,29.47,28.78,29.06,710400,0.0,0
2019-03-28,29.18,29.38,28.98,29.18,599000,0.0,0
2019-03-29,29.55,29.86,29.37,29.47,521000,0.0,0
2019-04-01,29.79,30.52,29.79,30.52,295000,0.0,0
2019-04-02,30.62,30.86,30.33,30.42,479200,0.0,0
2019-04-03,30.7,30.88,30.43,30.56,256700,0.0,0
2019-04-04,30.56,30.98,30.54,30.74,366400,0.0,0
2019-04-05,30.89,31.08,30.67,30.75,414100,0.0,0
