Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,21.42,22.13,21.28,21.88,9653800,0,0
2019-02-06,22.24,23.35,22.2,22.82,15122400,0,0
2019-02-07,22.39,22.49,21.87,22.25,7778000,0,0
2019-02-08,21.83,22.11,21.44,21.84,9003600,0,0
2019-02-11,21.99,22.31,21.82,22.24,7284100,0,0
2019-02-12,22.52,22.79,22.38,22.73,4698500,0,0
2019-02-13,22.78,22.97,22.54,22.93,5720900,0,0
2019-02-14,22.76,23.09,22.64,22.91,4495200,0,0
2019-02-15,22.99,23.06,22.75,22.97,3900200,0,0
2019-02-19,22.86,22.97,22.63,22.78,4299500,0,0
2019-02-20,22.9,22.91,22.58,22.59,5760200,0,0
2019-02-21,22.56,22.77,22.37,22.46,4909200,0,0
2019-02-22,22.75,23.01,22.6,22.84,3748100,0,0
2019-02-25,23.14,23.35,22.94,22.97,3988300,0,0
2019-02-26,22.69,22.88,22.47,22.52,3781500,0,0
2019-02-27,22.0,22.0,21.15,21.57,9581300,0,0
2019-02-28,21.41,21.66,21.29,21.48,5344100,0,0
2019-03-01,21.78,21.92,21.35,21.67,4718900,0,0
2019-03-04,22.39,22.48,21.52,21.92,5964100,0,0
2019-03-05,21.89,22.09,21.6,21.84,5146700,0,0
2019-03-06,21.8,21.83,21.28,21.4,7194800,0,0
2019-03-07,21.24,21.56,20.88,21.33,7988100,0,0
2019-03-08,20.94,22.3,20.88,22.14,10425300,0,0
2019-03-11,22.42,22.83,22.27,22.61,6755200,0,0
2019-03-12,22.74,22.74,22.37,22.47,6132500,0,0
2019-03-13,22.67,22.68,22.27,22.31,4866400,0,0
2019-03-14,22.28,22.33,22.01,22.06,4610000,0,0
2019-03-15,22.3,22.54,22.06,22.17,7365300,0,0
2019-03-18,22.14,22.4,21.7,21.91,7026800,0,0
2019-03-19,22.09,23.31,21.82,22.01,7833500,0,0
2019-03-20,22.03,22.05,20.99,21.36,9073300,0,0
2019-03-21,21.28,22.59,21.28,22.45,7926500,0,0
2019-03-22,22.31,22.41,21.51,21.64,4675500,0,0
2019-03-25,21.15,21.5,20.7,20.96,6036000,0,0
2019-03-26,21.33,21.45,20.8,21.0,3562600,0,0
2019-03-27,21.62,21.62,20.24,20.56,12921900,0,0
2019-03-28,20.42,20.85,19.96,20.27,8461100,0,0
2019-03-29,20.62,20.85,20.39,20.57,6189100,0,0
2019-04-01,21.19,21.59,20.83,21.5,7207500,0,0
2019-04-02,21.44,21.65,21.24,21.46,6812900,0,0
2019-04-03,22.05,22.8,21.81,22.37,11109900,0,0
2019-04-04,22.2,22.69,22.12,22.43,4116100,0,0
2019-04-05,22.74,22.87,22.56,22.81,3345600,0,0
2019-04-08,22.63,23.04,22.51,22.92,4902600,0,0
2019-04-09,22.8,22.87,22.57,22.64,4556600,0,0
2019-04-10,22.61,23.04,22.49,22.99,4898800,0,0
2019-04-11,22.99,23.1,22.65,22.75,4339000,0,0
2019-04-12,23.15,23.26,22.74,22.83,5790500,0,0
2019-04-15,22.78,22.9,22.34,22.44,5371000,0,0
2019-04-16,22.67,22.99,22.53,22.74,5214400,0,0
2019-04-17,23.0,23.29,22.32,22.59,5928600,0,0
2019-04-18,22.56,22.69,22.26,22.62,5253300,0,0
2019-04-22,22.61,22.75,22.37,22.46,7112300,0,0
2019-04-23,22.41,22.88,22.38,22.6,6015300,0,0
2019-04-24,22.61,23.48,22.61,23.02,8209300,0,0
2019-04-25,23.08,23.34,21.96,22.41,7455700,0,0
2019-04-26,22.08,22.46,21.68,22.44,7365200,0,0
2019-04-29,22.73,23.5,22.0,22.2,11892300,0,0
2019-04-30,22.88,23.26,22.52,23.06,9886000,0,0
2019-05-01,23.3,23.49,22.55,22.6,6951300,0,0
2019-05-02,22.58,23.18,22.4,22.93,5128700,0,0
2019-05-03,23.14,23.54,22.97,23.52,6101100,0,0
2019-05-06,22.58,23.0,22.52,22.96,7157000,0,0
2019-05-07,22.54,22.77,21.82,22.12,9438400,0,0
2019-05-08,21.82,22.22,21.69,21.75,6369000,0,0
2019-05-09,21.21,21.33,20.72,21.15,8226900,0,0
2019-05-10,21.05,21.45,20.43,20.98,5180800,0,0
2019-05-13,20.11,20.26,19.43,19.6,12868000,0,0
2019-05-14,19.79,20.08,19.56,19.98,7234600,0,0
2019-05-15,19.59,20.46,19.59,20.24,6193300,0,0
2019-05-16,19.82,20.14,19.56,19.75,8994700,0,0
2019-05-17,19.36,19.74,18.72,18.77,9043700,0,0
2019-05-20,18.27,18.5,17.87,18.33,10997900,0,0
2019-05-21,18.65,19.0,18.58,18.75,9100900,0,0
2019-05-22,18.34,18.77,18.16,18.16,7294600,0,0
2019-05-23,17.8,17.96,17.5,17.9,10002400,0,0
2019-05-24,18.04,18.23,17.67,17.68,5280200,0,0
2019-05-28,17.77,17.83,17.31,17.72,6985600,0,0
2019-05-29,17.49,18.35,17.39,18.07,8650700,0,0
2019-05-30,18.09,18.45,17.99,18.11,5250700,0,0
2019-05-31,17.78,18.23,17.69,17.76,8159900,0,0
2019-06-03,18.3,18.38,17.96,18.08,7351400,0,0
