Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,20.07,20.13,19.79,19.87,788500,0.0,0
2019-02-06,19.84,19.94,19.6,19.62,632100,0.0,0
2019-02-07,19.56,19.82,19.34,19.78,590900,0.0,0
2019-02-08,19.7,19.92,19.56,19.71,510600,0.0,0
2019-02-11,19.72,19.79,19.62,19.7,470600,0.0,0
2019-02-12,19.73,19.89,19.65,19.69,830400,0.0,0
2019-02-13,19.66,19.81,19.5,19.76,729400,0.0,0
2019-02-14,19.69,19.97,19.65,19.82,975400,0.0,0
2019-02-15,19.95,20.24,19.87,20.18,728500,0.0,0
2019-02-19,20.17,20.3,20.04,20.23,666100,0.0,0
2019-02-20,20.17,20.39,20.16,20.2,737400,0.0,0
2019-02-21,20.08,20.13,19.88,19.95,579600,0.0,0
2019-02-22,19.93,20.24,19.92,20.19,539600,0.0,0
2019-02-25,20.25,20.44,20.04,20.34,907900,0.0,0
2019-02-26,20.39,20.81,20.29,20.61,2066800,0.0,0
2019-02-27,20.97,21.61,20.85,20.88,2166900,0.0,0
2019-02-28,20.97,21.31,20.57,21.18,2072800,0.0,0
2019-03-01,21.22,21.5,21.18,21.43,1520900,0.0,0
2019-03-04,21.55,21.69,21.28,21.56,1390900,0.0,0
2019-03-05,21.51,21.62,21.36,21.58,1215000,0.0,0
2019-03-06,21.59,21.64,21.43,21.54,1616100,0.0,0
2019-03-07,21.66,21.74,21.31,21.37,1090100,0.36,0
2019-03-08,21.2,21.36,21.01,21.03,1281600,0.0,0
2019-03-11,21.09,21.42,21.08,21.33,2074100,0.0,0
2019-03-12,21.41,21.44,21.19,21.29,1481000,0.0,0
2019-03-13,21.31,21.44,21.09,21.19,1375700,0.0,0
2019-03-14,21.21,21.44,21.12,21.4,2065200,0.0,0
2019-03-15,21.47,21.75,21.26,21.65,1878500,0.0,0
2019-03-18,21.57,21.62,21.32,21.47,1186600,0.0,0
2019-03-19,21.52,21.78,21.41,21.66,1282800,0.0,0
2019-03-20,21.6,21.78,21.44,21.57,918400,0.0,0
2019-03-21,21.59,22.11,21.43,22.11,869700,0.0,0
2019-03-22,22.08,22.19,21.49,21.5,599300,0.0,0
2019-03-25,21.45,21.65,21.26,21.52,576100,0.0,0
2019-03-26,21.63,22.27,21.57,22.25,2136700,0.0,0
2019-03-27,22.24,22.29,21.84,22.11,1173000,0.0,0
2019-03-28,22.18,22.39,22.03,22.08,1127500,0.0,0
2019-03-29,22.15,22.51,22.05,22.44,1318200,0.0,0
2019-04-01,22.59,22.78,22.43,22.78,1048200,0.0,0
2019-04-02,22.9,22.92,22.64,22.88,930200,0.0,0
2019-04-03,22.93,22.99,22.8,22.9,608400,0.0,0
2019-04-04,22.9,22.99,22.76,22.94,661800,0.0,0
2019-04-05,22.91,23.04,22.72,22.79,732300,0.0,0
2019-04-08,22.78,22.89,22.71,22.84,1279900,0.0,0
2019-04-09,22.83,22.92,22.73,22.86,655800,0.0,0
2019-04-10,22.96,23.15,22.84,22.96,639300,0.0,0
2019-04-11,22.97,23.11,22.8,22.95,408100,0.0,0
2019-04-12,23.06,23.06,22.71,22.98,497500,0.0,0
2019-04-15,22.96,23.05,22.81,22.94,362700,0.0,0
2019-04-16,22.94,22.95,22.72,22.94,531200,0.0,0
2019-04-17,23.02,23.02,22.72,22.83,649100,0.0,0
