Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,30.81,30.89,30.03,30.49,1126600,0.0,0
2019-02-06,30.48,30.74,30.32,30.41,886600,0.0,0
2019-02-07,30.73,31.43,30.26,30.55,1008500,0.0,0
2019-02-08,30.35,30.65,29.62,30.0,866500,0.0,0
2019-02-11,30.06,30.62,29.99,30.6,807400,0.0,0
2019-02-12,30.86,31.38,30.74,31.23,778100,0.0,0
2019-02-13,31.32,31.5,30.81,31.07,952800,0.0,0
2019-02-14,30.81,30.96,30.41,30.76,732600,0.0,0
2019-02-15,31.11,32.02,30.85,31.8,972400,0.0,0
2019-02-19,31.5,32.24,31.39,32.09,561900,0.0,0
2019-02-20,31.98,32.43,31.55,32.25,766300,0.0,0
2019-02-21,32.23,32.46,31.83,31.97,435400,0.0,0
2019-02-22,32.15,32.32,31.81,32.24,428400,0.0,0
2019-02-25,32.67,32.75,32.21,32.36,503000,0.0,0
2019-02-26,32.19,32.41,31.51,31.53,602600,0.0,0
2019-02-27,31.58,32.12,31.44,31.82,826100,0.0,0
2019-02-28,31.74,31.97,31.53,31.7,533300,0.0,0
2019-03-01,32.08,32.18,31.23,31.57,1034300,0.0,0
2019-03-04,31.65,32.25,31.07,31.5,987800,0.0,0
2019-03-05,31.55,31.74,30.99,31.52,579400,0.0,0
2019-03-06,31.36,31.85,30.37,30.5,724500,0.0,0
2019-03-07,30.48,30.48,29.74,29.86,823200,0.0,0
2019-03-08,29.59,30.15,29.35,29.91,599300,0.0,0
2019-03-11,30.08,30.32,29.72,30.0,903500,0.0,0
2019-03-12,30.0,30.36,29.55,29.63,932700,0.0,0
2019-03-13,29.87,30.13,29.55,29.98,1146200,0.0,0
2019-03-14,30.01,30.28,29.8,30.2,599100,0.0,0
2019-03-15,30.2,30.56,30.09,30.18,3754300,0.0,0
2019-03-18,30.4,31.21,30.4,31.1,852900,0.0,0
2019-03-19,31.28,31.28,29.73,29.87,736800,0.0,0
2019-03-20,29.75,29.99,28.68,28.78,1037500,0.0,0
2019-03-21,28.53,29.11,28.1,28.41,1049800,0.0,0
2019-03-22,28.09,28.17,26.48,26.86,1572100,0.0,0
2019-03-25,26.88,27.31,26.62,27.0,979100,0.0,0
2019-03-26,27.06,27.76,27.05,27.69,1495200,0.0,0
2019-03-27,27.54,28.15,27.24,27.86,1750000,0.0,0
2019-03-28,27.83,28.39,27.7,27.95,1099600,0.0,0
2019-03-29,28.27,28.43,27.72,28.01,1241900,0.0,0
