Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,37.31,37.31,36.66,36.88,838800,0.0,0
2019-02-06,36.81,37.14,36.56,36.99,1173900,0.0,0
2019-02-07,37.35,38.24,36.97,37.37,1237600,0.0,0
2019-02-08,37.29,37.36,36.73,36.98,1014800,0.0,0
2019-02-11,37.07,37.53,36.95,37.44,1076400,0.0,0
2019-02-12,37.71,38.5,37.71,38.28,1407300,0.0,0
2019-02-13,38.34,38.57,37.98,38.08,807100,0.0,0
2019-02-14,37.77,37.99,37.45,37.79,920600,0.0,0
2019-02-15,38.08,38.72,37.71,38.58,988700,0.0,0
2019-02-19,38.49,39.01,38.08,38.88,828100,0.6,0
2019-02-20,38.98,39.53,38.5,39.51,790400,0.0,0
2019-02-21,39.57,39.57,38.86,39.21,723000,0.0,0
2019-02-22,39.23,39.51,39.0,39.24,947400,0.0,0
2019-02-25,39.46,39.6,38.79,38.91,1363500,0.0,0
2019-02-26,39.06,39.32,38.79,38.92,1058300,0.0,0
2019-02-27,38.9,39.31,38.81,39.28,840400,0.0,0
2019-02-28,39.12,39.3,39.04,39.05,581300,0.0,0
2019-03-01,39.37,39.56,38.81,39.08,693200,0.0,0
2019-03-04,39.14,39.48,38.67,39.11,656100,0.0,0
2019-03-05,39.16,39.32,38.52,39.18,814800,0.0,0
2019-03-06,39.11,39.27,38.34,38.39,778600,0.0,0
2019-03-07,38.2,38.22,37.28,37.4,1591600,0.0,0
2019-03-08,37.17,37.37,36.9,37.26,1605200,0.0,0
2019-03-11,37.38,37.38,36.97,37.12,1645400,0.0,0
2019-03-12,37.2,37.49,36.71,37.19,1344800,0.0,0
2019-03-13,37.43,37.69,37.16,37.6,1406700,0.0,0
2019-03-14,37.64,37.94,37.42,37.73,859800,0.0,0
2019-03-15,37.72,38.05,37.44,37.5,1995300,0.0,0
2019-03-18,37.7,38.59,37.68,38.25,980800,0.0,0
2019-03-19,38.5,38.52,37.26,37.37,710800,0.0,0
2019-03-20,37.21,37.47,36.1,36.14,1382300,0.0,0
2019-03-21,35.91,36.54,35.6,35.85,1114900,0.0,0
2019-03-22,35.46,35.62,33.68,33.95,1549400,0.0,0
2019-03-25,33.91,34.33,33.42,34.14,1142700,0.0,0
2019-03-26,34.1,35.21,33.91,35.2,1162600,0.0,0
2019-03-27,35.05,35.61,34.94,35.36,761500,0.0,0
