Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,220.91,221.49,218.07,218.93,1245100,0,0
2019-02-06,219.36,220.84,216.85,220.55,828900,0,0
2019-02-07,217.5,219.66,216.0,219.45,1444600,0,0
2019-02-08,216.96,224.7,216.61,224.62,1019300,0,0
2019-02-11,225.0,226.28,222.73,223.86,1110100,0,0
2019-02-12,224.96,225.67,221.63,224.45,1500600,0,0
2019-02-13,225.25,225.25,221.22,222.16,1223600,0,0
2019-02-14,222.16,225.74,221.56,225.16,1094600,0,0
2019-02-15,225.24,227.28,223.21,226.77,982700,0,0
2019-02-19,225.39,230.94,222.22,229.9,1439000,0,0
2019-02-20,228.74,230.29,224.65,226.64,1088200,0,0
2019-02-21,225.76,226.46,223.34,226.18,930000,0,0
2019-02-22,227.28,230.33,226.94,230.1,797600,0,0
2019-02-25,236.01,236.17,232.18,233.88,1887800,0,0
2019-02-26,232.56,236.07,231.73,235.55,3113700,0,0
2019-02-27,258.04,260.63,250.6,254.88,6567800,0,0
2019-02-28,253.98,255.0,245.88,246.27,2653100,0,0
2019-03-01,246.07,249.0,243.18,245.47,1801300,0,0
2019-03-04,247.03,248.96,238.75,242.54,1569400,0,0
2019-03-05,238.46,240.63,233.0,234.34,2767800,0,0
2019-03-06,233.61,237.21,231.2,234.44,1420100,0,0
2019-03-07,234.54,238.78,233.11,234.52,1403600,0,0
2019-03-08,232.54,237.54,230.36,234.63,1019800,0,0
2019-03-11,235.95,241.83,235.8,240.88,1206500,0,0
2019-03-12,241.9,242.51,239.51,240.22,1108500,0,0
2019-03-13,241.62,245.03,241.23,242.75,1140100,0,0
2019-03-14,243.0,245.42,241.6,242.76,1103300,0,0
2019-03-15,243.23,243.7,239.63,239.72,1931300,0,0
2019-03-18,239.14,243.12,238.29,241.01,1219900,0,0
2019-03-19,242.8,244.0,240.98,242.5,829600,0,0
2019-03-20,243.25,247.7,241.6,245.82,1026300,0,0
2019-03-21,245.0,250.26,244.19,249.79,1302400,0,0
2019-03-22,249.0,250.09,241.14,242.36,1028100,0,0
2019-03-25,240.57,243.1,238.2,241.83,1693000,0,0
2019-03-26,244.69,246.94,243.06,244.2,1047600,0,0
2019-03-27,244.5,245.49,235.7,239.45,1011600,0,0
2019-03-28,240.0,241.69,235.81,238.39,1161300,0,0
2019-03-29,239.2,242.98,237.27,242.88,691300,0,0
2019-04-01,246.0,247.38,238.34,241.41,1189900,0,0
2019-04-02,241.0,241.41,236.76,240.2,939600,0,0
2019-04-03,240.94,244.48,239.05,242.21,898200,0,0
2019-04-04,241.85,242.27,233.15,237.07,1226700,0,0
2019-04-05,239.35,240.42,237.59,238.85,1263600,0,0
2019-04-08,237.49,239.9,234.09,238.88,817600,0,0
2019-04-09,237.85,242.81,237.6,240.77,813200,0,0
2019-04-10,240.66,245.88,239.71,242.52,1064400,0,0
2019-04-11,243.81,246.41,243.0,245.93,734900,0,0
2019-04-12,246.95,247.38,243.31,244.66,819500,0,0
2019-04-15,245.97,248.65,244.9,248.22,962000,0,0
2019-04-16,248.75,249.16,242.75,244.48,982400,0,0
2019-04-17,245.81,246.6,238.9,239.43,1671000,0,0
2019-04-18,238.05,238.43,231.34,235.46,1052500,0,0
2019-04-22,234.44,239.56,234.01,239.28,661700,0,0
2019-04-23,239.69,242.2,238.38,241.09,1534700,0,0
2019-04-24,243.0,244.41,241.1,243.11,1175800,0,0
2019-04-25,244.08,246.58,239.87,245.46,901200,0,0
2019-04-26,245.29,247.53,243.86,245.84,592800,0,0
2019-04-29,244.98,249.79,244.77,249.2,926200,0,0
2019-04-30,249.6,250.34,246.75,248.83,577000,0,0
