Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,117.21,118.54,116.36,116.94,802100,0,0
2019-02-06,116.37,117.15,114.44,115.88,705500,0,0
2019-02-07,115.31,115.31,113.33,114.72,549400,0,0
2019-02-08,114.1,116.84,113.37,116.09,545900,0,0
2019-02-11,116.6,117.89,115.46,116.12,450200,0,0
2019-02-12,116.65,117.82,116.11,117.52,754700,0,0
2019-02-13,117.56,119.13,117.03,118.94,757700,0,0
2019-02-14,118.44,121.22,118.09,120.83,555100,0,0
2019-02-15,120.85,121.38,119.92,121.15,424200,0,0
2019-02-19,121.0,121.13,120.34,120.75,776600,0,0
2019-02-20,120.99,121.72,119.29,119.43,474500,0,0
2019-02-21,118.58,120.15,118.56,119.12,355400,0,0
2019-02-22,119.22,120.51,119.22,119.8,289300,0,0
2019-02-25,120.77,121.43,119.77,119.77,355300,0,0
2019-02-26,119.71,120.54,118.31,118.33,470000,0,0
2019-02-27,118.33,119.58,117.92,119.35,477800,0,0
2019-02-28,118.97,119.19,117.65,118.09,399900,0,0
2019-03-01,118.85,119.72,117.63,118.15,416800,0,0
2019-03-04,118.49,118.5,112.8,114.84,639800,0,0
2019-03-05,114.4,115.29,113.65,113.74,425300,0,0
2019-03-06,113.31,113.87,110.87,111.45,423600,0,0
2019-03-07,111.01,113.57,110.2,113.47,757500,0,0
2019-03-08,112.24,114.43,110.81,114.34,732200,0,0
2019-03-11,114.87,118.37,113.7,116.93,726500,0,0
2019-03-12,117.68,119.84,117.35,119.04,737400,0,0
2019-03-13,119.94,122.24,119.51,121.32,685700,0,0
2019-03-14,121.13,122.93,120.73,122.01,561500,0,0
2019-03-15,122.35,124.57,122.26,123.56,1019200,0,0
2019-03-18,123.57,125.68,123.33,124.09,546300,0,0
2019-03-19,125.16,125.59,123.51,124.0,633700,0,0
2019-03-20,124.02,124.72,122.8,123.45,323100,0,0
2019-03-21,122.99,125.44,122.99,124.98,313500,0,0
2019-03-22,124.69,124.87,119.56,119.9,441500,0,0
2019-03-25,119.1,120.94,117.75,120.31,498500,0,0
2019-03-26,121.22,122.02,120.05,120.83,426400,0,0
2019-03-27,120.9,121.73,117.13,118.5,614700,0,0
2019-03-28,119.01,119.93,117.53,119.01,263000,0,0
2019-03-29,120.26,121.51,118.0,121.43,370200,0,0
2019-04-01,122.0,123.54,120.55,121.91,419300,0,0
2019-04-02,122.0,122.32,120.93,122.0,371500,0,0
2019-04-03,123.1,124.62,122.04,123.2,646700,0,0
2019-04-04,123.56,123.56,115.09,117.59,801800,0,0
2019-04-05,118.16,120.42,117.89,119.13,589900,0,0
2019-04-08,119.35,120.7,118.04,120.18,771400,0,0
2019-04-09,120.0,120.61,119.11,119.99,340400,0,0
2019-04-10,119.93,121.77,119.54,120.84,431500,0,0
2019-04-11,120.92,121.57,119.86,119.94,333700,0,0
2019-04-12,122.0,123.34,120.92,122.55,508600,0,0
2019-04-15,122.98,123.19,121.94,122.9,389800,0,0
2019-04-16,123.71,126.7,122.97,123.81,851100,0,0
2019-04-17,124.71,124.99,121.67,122.93,542700,0,0
2019-04-18,122.16,122.16,116.99,121.38,766700,0,0
2019-04-22,121.79,124.26,121.5,123.98,541100,0,0
2019-04-23,124.03,126.92,123.7,126.19,580200,0,0
2019-04-24,127.01,128.81,125.61,127.65,865000,0,0
2019-04-25,128.58,131.43,127.6,131.32,1239300,0,0
2019-04-26,128.51,129.38,119.45,124.55,1659300,0,0
2019-04-29,124.38,128.65,124.38,127.64,712600,0,0
2019-04-30,127.35,127.96,124.76,125.42,554800,0,0
2019-05-01,126.14,126.52,123.26,123.33,371500,0,0
2019-05-02,123.01,124.28,121.67,122.69,348300,0,0
2019-05-03,123.19,125.13,122.4,124.58,396100,0,0
2019-05-06,122.36,124.2,121.15,123.85,362400,0,0
2019-05-07,121.85,123.23,117.4,118.85,543200,0,0
2019-05-08,118.78,120.88,117.76,120.15,299500,0,0
2019-05-09,118.67,121.52,117.84,120.82,353500,0,0
2019-05-10,119.95,122.23,118.65,121.5,517200,0,0
2019-05-13,118.43,119.85,115.64,116.08,330800,0,0
2019-05-14,117.02,119.59,117.02,119.03,290800,0,0
2019-05-15,118.27,119.82,116.98,119.61,254600,0,0
2019-05-16,119.46,121.84,119.18,121.54,273600,0,0
2019-05-17,120.01,121.68,118.77,119.97,312600,0,0
2019-05-20,117.99,118.77,116.49,117.0,440400,0,0
2019-05-21,118.55,119.45,117.92,118.32,512800,0,0
2019-05-22,117.88,118.9,117.28,117.34,280600,0,0
2019-05-23,117.15,117.16,113.77,114.12,338400,0,0
2019-05-24,114.98,116.49,113.74,115.87,555000,0,0
2019-05-28,116.14,117.9,115.76,115.83,303500,0,0
2019-05-29,114.89,115.92,113.18,113.9,314900,0,0
2019-05-30,113.94,115.03,113.94,114.73,210500,0,0
2019-05-31,112.77,113.98,111.94,112.36,416300,0,0
2019-06-03,112.2,112.89,102.25,102.9,1236300,0,0
2019-06-04,104.12,110.24,102.52,109.99,1151900,0,0
2019-06-05,110.64,112.32,106.88,108.79,429000,0,0
2019-06-06,109.02,109.22,106.35,108.42,468000,0,0
2019-06-07,108.68,109.22,107.03,108.29,472500,0,0
2019-06-10,109.16,111.77,109.16,111.06,416400,0,0
2019-06-11,112.02,113.12,107.62,109.23,629100,0,0
2019-06-12,110.18,110.49,108.68,109.85,470200,0,0
2019-06-13,110.18,110.39,108.6,109.35,250500,0,0
2019-06-14,109.19,110.0,107.08,107.18,234000,0,0
2019-06-17,107.05,109.12,106.51,108.24,194100,0,0
2019-06-18,109.82,111.69,109.82,111.63,486700,0,0
2019-06-19,111.7,114.2,111.7,114.07,370900,0,0
2019-06-20,115.59,116.24,114.13,115.33,422100,0,0
2019-06-21,115.24,116.55,112.51,113.04,749100,0,0
2019-06-24,113.59,114.74,111.15,111.57,276200,0,0
2019-06-25,111.92,112.69,110.09,111.22,362200,0,0
2019-06-26,111.99,116.53,111.54,114.96,692500,0,0
2019-06-27,115.25,117.58,114.6,116.81,462100,0,0
2019-06-28,117.22,120.29,116.58,120.25,1316800,0,0
2019-07-01,122.52,124.12,120.31,121.85,672000,0,0
2019-07-02,121.13,123.17,121.12,122.72,444700,0,0
2019-07-03,123.05,126.76,122.92,125.29,1090600,0,0
2019-07-05,124.35,125.51,122.57,124.56,310800,0,0
2019-07-08,123.18,124.52,122.16,122.48,495400,0,0
2019-07-09,122.47,125.46,122.43,124.95,1076300,0,0
2019-07-10,125.5,127.4,124.14,124.39,418900,0,0
2019-07-11,125.16,125.28,122.47,123.89,633400,0,0
2019-07-12,123.99,125.42,122.42,125.22,332600,0,0
2019-07-15,125.5,126.39,124.19,125.7,239600,0,0
2019-07-16,126.0,127.78,124.78,126.2,439500,0,0
2019-07-17,126.75,127.03,124.86,125.14,478800,0,0
2019-07-18,125.04,125.31,123.34,125.11,470700,0,0
2019-07-19,126.02,126.05,123.26,123.62,512400,0,0
2019-07-22,124.75,126.7,124.43,125.76,351600,0,0
2019-07-23,126.8,127.07,124.63,125.1,391500,0,0
2019-07-24,125.36,127.93,125.36,127.19,591200,0,0
2019-07-25,128.44,128.51,126.02,127.0,731500,0,0
2019-07-26,130.0,132.85,126.11,130.55,1311600,0,0
2019-07-29,130.03,130.5,124.32,127.52,467300,0,0
2019-07-30,125.92,127.48,125.09,127.2,316500,0,0
2019-07-31,127.28,127.85,124.69,126.2,452100,0,0
2019-08-01,126.51,128.91,125.92,126.97,351000,0,0
2019-08-02,126.25,126.38,123.11,123.92,286300,0,0
2019-08-05,119.9,120.42,115.48,117.58,651200,0,0
2019-08-06,119.56,121.15,117.01,119.11,648000,0,0
2019-08-07,117.08,119.32,115.91,116.06,375700,0,0
2019-08-08,117.03,119.65,116.72,119.24,494500,0,0
2019-08-09,118.65,119.17,116.53,117.55,386500,0,0
2019-08-12,116.7,116.81,113.29,113.66,403000,0,0
2019-08-13,113.85,118.74,113.35,117.71,629800,0,0
2019-08-14,116.0,116.42,113.01,115.02,608500,0,0
2019-08-15,115.01,116.23,113.82,114.78,354700,0,0
2019-08-16,115.99,117.84,115.13,117.15,585200,0,0
2019-08-19,119.08,119.34,117.88,118.23,473900,0,0
2019-08-20,117.0,117.0,111.91,111.99,1309300,0,0
2019-08-21,114.6,118.1,114.0,117.6,2557000,0,0
2019-08-22,117.28,117.59,115.17,116.04,508100,0,0
2019-08-23,115.14,116.84,114.14,114.91,585200,0,0
2019-08-26,115.57,116.01,113.2,114.83,416000,0,0
2019-08-27,115.68,116.23,112.13,112.4,557500,0,0
2019-08-28,111.96,112.66,110.5,110.62,566800,0,0
2019-08-29,111.99,113.59,110.66,112.79,885200,0,0
2019-08-30,114.16,114.98,112.34,113.61,652100,0,0
2019-09-03,112.55,117.64,112.42,117.02,897400,0,0
2019-09-04,118.23,123.52,118.23,123.17,1265200,0,0
2019-09-05,127.16,128.89,125.67,127.81,1053100,0,0
2019-09-06,127.48,128.76,124.94,125.1,590400,0,0
2019-09-09,125.06,125.76,122.58,124.58,576100,0,0
2019-09-10,124.0,125.78,121.66,125.62,584100,0,0
2019-09-11,126.0,127.54,124.02,125.71,529300,0,0
2019-09-12,127.39,127.4,123.29,124.3,376600,0,0
2019-09-13,124.3,126.29,123.06,125.75,418700,0,0
2019-09-16,123.72,128.0,121.5,127.98,1766100,0,0
2019-09-17,129.0,129.2,125.42,127.22,484300,0,0
2019-09-18,126.25,127.0,124.61,126.24,513800,0,0
2019-09-19,126.86,127.73,125.51,126.51,327400,0,0
2019-09-20,126.47,128.69,125.56,127.5,754300,0,0
2019-09-23,126.62,128.74,124.52,127.6,473300,0,0
2019-09-24,128.7,128.7,124.53,125.17,522800,0,0
2019-09-25,125.13,127.44,123.81,126.91,457500,0,0
2019-09-26,126.5,128.59,124.97,125.09,700800,0,0
2019-09-27,126.06,126.64,122.29,123.96,592400,0,0
2019-09-30,123.94,129.22,122.25,129.05,942300,0,0
2019-10-01,130.0,133.0,127.91,128.59,1016800,0,0
2019-10-02,127.32,127.54,125.05,126.6,801500,0,0
2019-10-03,125.25,130.68,123.0,128.83,1036600,0,0
2019-10-04,129.12,130.3,125.86,128.79,782900,0,0
2019-10-07,129.61,131.74,128.32,130.24,1331300,0,0
2019-10-08,129.4,130.54,124.88,125.05,1039300,0,0
2019-10-09,126.4,127.78,125.31,127.28,495600,0,0
2019-10-10,127.14,128.0,125.69,126.74,528800,0,0
2019-10-11,128.29,131.17,127.35,130.14,933800,0,0
2019-10-14,129.92,133.58,128.76,129.64,614400,0,0
2019-10-15,130.26,131.87,129.27,131.76,490000,0,0
2019-10-16,131.29,131.29,127.04,129.07,576700,0,0
2019-10-17,129.52,131.37,123.7,124.2,979900,0,0
2019-10-18,124.19,125.66,118.44,119.44,957300,0,0
2019-10-21,119.89,120.89,118.6,119.99,706500,0,0
2019-10-22,120.2,121.63,119.24,119.81,738800,0,0
2019-10-23,118.88,121.73,118.67,121.4,793600,0,0
2019-10-24,121.85,125.28,121.65,124.45,976000,0,0
2019-10-25,116.0,120.32,113.71,113.8,2352000,0,0
2019-10-28,113.94,117.0,113.13,116.34,1024400,0,0
2019-10-29,116.1,117.15,114.55,115.86,703100,0,0
2019-10-30,115.7,118.78,115.17,117.89,447600,0,0
2019-10-31,118.33,118.33,114.98,115.37,462700,0,0
2019-11-01,116.83,118.06,115.51,117.81,422700,0,0
2019-11-04,118.84,119.25,113.9,114.26,913300,0,0
2019-11-05,114.66,115.59,113.9,115.26,840200,0,0
2019-11-06,115.62,116.14,114.22,114.33,603000,0,0
2019-11-07,115.07,116.82,114.08,114.21,391600,0,0
2019-11-08,114.67,116.67,113.63,116.2,371700,0,0
2019-11-11,115.59,116.96,115.0,116.33,224600,0,0
2019-11-12,116.31,117.89,115.79,117.4,537300,0,0
2019-11-13,117.39,118.73,116.95,118.09,373700,0,0
2019-11-14,118.11,118.74,116.92,117.12,596700,0,0
2019-11-15,117.85,118.19,116.57,118.03,284200,0,0
2019-11-18,117.5,118.68,116.68,117.94,301800,0,0
2019-11-19,118.36,119.61,117.8,118.3,351900,0,0
2019-11-20,117.78,120.98,117.78,119.59,467400,0,0
2019-11-21,119.22,120.07,117.41,120.0,559700,0,0
2019-11-22,120.11,122.02,118.35,118.56,565400,0,0
2019-11-25,118.87,120.63,118.32,118.46,502700,0,0
2019-11-26,118.22,119.55,117.61,118.05,428800,0,0
2019-11-27,118.4,120.0,117.55,119.49,619600,0,0
2019-11-29,119.33,120.16,118.38,118.69,310500,0,0
2019-12-02,118.64,119.44,116.88,118.64,606500,0,0
2019-12-03,116.82,119.45,116.25,119.27,604600,0,0
2019-12-04,119.92,121.22,119.0,119.37,395300,0,0
2019-12-05,119.06,119.99,118.12,118.39,367300,0,0
2019-12-06,119.16,119.16,115.26,115.27,507600,0,0
2019-12-09,114.72,115.74,114.0,115.12,575400,0,0
2019-12-10,114.93,116.52,113.58,113.78,574400,0,0
2019-12-11,113.99,113.99,111.5,112.99,402300,0,0
2019-12-12,113.0,114.63,111.99,112.86,387700,0,0
2019-12-13,112.97,113.71,112.2,113.6,586000,0,0
2019-12-16,114.49,114.99,113.59,113.67,534400,0,0
2019-12-17,113.41,116.29,113.41,115.91,957800,0,0
2019-12-18,116.47,118.19,115.71,116.1,543900,0,0
2019-12-19,115.8,118.49,115.6,118.24,517800,0,0
2019-12-20,119.04,119.04,115.46,115.79,630400,0,0
2019-12-23,116.69,117.85,115.29,116.28,388900,0,0
2019-12-24,115.99,116.59,115.05,115.43,154700,0,0
2019-12-26,115.89,116.64,114.56,114.74,250100,0,0
2019-12-27,114.89,114.89,112.8,114.33,751900,0,0
2019-12-30,114.55,116.0,113.24,115.52,366600,0,0
2019-12-31,114.86,115.89,114.0,114.78,246300,0,0
2020-01-02,115.75,117.29,114.49,117.23,416900,0,0
2020-01-03,115.76,118.48,115.21,118.15,511800,0,0
2020-01-06,117.69,120.65,116.78,120.41,803700,0,0
2020-01-07,120.9,122.49,119.91,122.23,543600,0,0
2020-01-08,122.06,125.06,122.06,123.85,743000,0,0
2020-01-09,125.19,125.5,120.35,121.87,1352400,0,0
2020-01-10,122.02,123.81,120.98,121.84,650500,0,0
2020-01-13,120.01,122.18,118.61,121.35,955700,0,0
2020-01-14,121.62,123.43,121.49,122.44,821300,0,0
2020-01-15,123.16,125.86,123.16,123.44,470900,0,0
2020-01-16,123.87,126.57,123.5,125.36,481100,0,0
2020-01-17,125.69,126.39,121.88,123.26,722500,0,0
2020-01-21,123.55,125.6,122.42,124.72,464100,0,0
2020-01-22,126.0,128.28,125.48,126.71,1152100,0,0
2020-01-23,126.15,127.66,124.63,127.16,922500,0,0
2020-01-24,127.7,129.69,127.17,128.58,769500,0,0
2020-01-27,125.68,128.67,125.0,128.23,683800,0,0
2020-01-28,128.81,129.98,127.32,128.13,531400,0,0
2020-01-29,128.18,129.52,127.89,127.99,614500,0,0
2020-01-30,128.4,128.4,124.41,125.89,1583600,0,0
2020-01-31,123.0,126.92,120.05,122.81,2565300,0,0
2020-02-03,122.43,124.0,119.95,121.48,720500,0,0
