Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,26.42,27.0,26.38,26.98,4187800,0.0,0
2019-02-06,26.8,26.92,26.06,26.11,5393000,0.0,0
2019-02-07,25.94,26.59,25.93,26.53,3995200,0.0,0
2019-02-08,26.02,26.47,25.94,26.25,3460200,0.0,0
2019-02-11,26.34,26.44,26.06,26.14,3892700,0.0,0
2019-02-12,26.3,27.17,26.23,26.94,7973500,0.0,0
2019-02-13,26.94,27.04,26.36,26.82,4073900,0.0,0
2019-02-14,26.32,26.75,26.2,26.55,3433500,0.0,0
2019-02-15,26.65,26.97,26.5,26.75,3420100,0.0,0
2019-02-19,26.74,27.08,26.54,26.68,4173000,0.0,0
2019-02-20,26.67,26.89,26.51,26.77,5240100,0.0,0
2019-02-21,26.63,27.29,26.58,27.23,5940100,0.0,0
2019-02-22,27.39,27.82,27.12,27.6,4194900,0.0,0
2019-02-25,27.71,27.73,27.17,27.19,5309800,0.0,0
2019-02-26,27.03,27.33,26.7,27.07,4067400,0.0,0
2019-02-27,27.1,27.36,26.48,26.73,4652800,0.0,0
2019-02-28,26.44,26.91,26.21,26.64,5006800,0.0,0
2019-03-01,26.85,26.92,25.99,26.38,5746900,0.0,0
2019-03-04,26.49,27.43,26.49,27.31,5206700,0.0,0
2019-03-05,27.3,27.35,26.5,26.52,5773100,0.0,0
2019-03-06,26.58,26.98,26.4,26.41,4194200,0.0,0
2019-03-07,26.51,27.46,26.34,27.16,4974100,0.0,0
2019-03-08,27.14,27.49,27.03,27.21,3836300,0.0,0
2019-03-11,27.22,27.86,27.22,27.82,2594600,0.0,0
2019-03-12,27.89,27.96,27.31,27.63,2665300,0.0,0
2019-03-13,27.67,27.78,27.02,27.15,3404200,0.0,0
2019-03-14,27.13,27.17,26.67,26.83,3492400,0.11,0
2019-03-15,26.87,27.15,26.55,26.61,4400800,0.0,0
2019-03-18,26.61,26.77,26.34,26.42,4847200,0.0,0
