Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,85.01,85.78,83.35,84.8,577200,0.0,0
2019-02-06,84.6,85.39,83.97,84.68,375200,0.0,0
2019-02-07,84.15,84.4,81.17,81.57,701100,0.0,0
2019-02-08,81.31,82.18,80.1,80.67,534600,0.0,0
2019-02-11,80.73,81.31,79.78,80.63,3825400,0.0,0
2019-02-12,81.52,83.72,80.91,82.77,899400,0.0,0
2019-02-13,83.54,84.09,82.38,82.65,517700,0.0,0
2019-02-14,82.22,83.7,81.24,83.08,619700,0.0,0
2019-02-15,83.61,85.2,83.28,84.4,535000,0.0,0
2019-02-19,84.08,84.87,83.15,84.41,460400,0.0,0
2019-02-20,84.22,84.96,83.52,84.49,360900,0.0,0
2019-02-21,84.1,84.88,83.35,83.59,375600,0.0,0
2019-02-22,84.16,84.79,83.64,84.75,287200,0.0,0
2019-02-25,85.59,88.01,85.05,87.02,904900,0.0,0
2019-02-26,86.66,87.24,84.89,85.1,515900,0.0,0
2019-02-27,84.64,85.62,84.11,84.64,443800,0.0,0
2019-02-28,84.43,84.73,83.31,83.48,412900,0.61,0
2019-03-01,84.67,86.15,84.49,85.62,471600,0.0,0
2019-03-04,86.52,90.47,86.31,88.97,1530800,0.0,0
2019-03-05,88.81,89.48,85.59,87.33,941700,0.0,0
2019-03-06,87.24,87.79,86.5,86.51,737000,0.0,0
2019-03-07,86.37,86.37,83.64,83.92,538600,0.0,0
2019-03-08,83.08,83.6,82.31,83.37,445500,0.0,0
2019-03-11,83.79,84.28,82.55,84.19,556900,0.0,0
2019-03-12,84.5,86.72,83.78,86.62,604900,0.0,0
2019-03-13,86.87,87.48,84.95,85.21,492700,0.0,0
2019-03-14,84.95,84.96,83.41,83.53,555700,0.0,0
2019-03-15,83.85,85.44,83.64,84.74,734000,0.0,0
2019-03-18,84.76,85.85,84.09,85.72,448100,0.0,0
2019-03-19,87.23,87.42,82.65,82.9,660000,0.0,0
2019-03-20,82.66,83.01,79.44,79.72,768100,0.0,0
2019-03-21,79.63,81.94,79.43,80.98,717500,0.0,0
2019-03-22,80.51,81.13,77.9,77.95,553800,0.0,0
2019-03-25,77.94,79.57,77.18,78.6,562400,0.0,0
2019-03-26,79.47,81.46,79.13,80.57,696800,0.0,0
2019-03-27,80.98,82.74,80.98,82.13,442500,0.0,0
2019-03-28,82.74,84.63,82.65,83.71,501500,0.0,0
2019-03-29,83.59,83.86,82.29,82.7,684700,0.0,0
2019-04-01,83.54,85.12,83.54,84.48,461400,0.0,0
2019-04-02,84.26,84.62,83.13,83.9,353200,0.0,0
2019-04-03,84.23,86.37,84.23,85.92,517600,0.0,0
2019-04-04,85.94,88.65,85.94,87.72,580000,0.0,0
2019-04-05,88.53,89.66,86.51,89.36,1054600,0.0,0
2019-04-08,91.53,93.54,90.9,93.51,1049800,0.0,0
2019-04-09,93.0,93.37,90.62,91.08,581200,0.0,0
2019-04-10,91.54,92.78,91.12,92.76,509300,0.0,0
2019-04-11,93.05,94.21,92.35,93.0,562700,0.0,0
2019-04-12,93.45,94.67,93.11,94.47,506700,0.0,0
2019-04-15,94.62,95.87,93.84,94.57,679600,0.0,0
2019-04-16,95.31,97.3,94.36,96.7,495000,0.0,0
2019-04-17,97.24,98.08,96.19,96.39,803600,0.0,0
2019-04-18,96.48,97.46,95.73,96.76,600800,0.0,0
2019-04-22,96.37,97.47,95.87,96.94,709800,0.0,0
2019-04-23,98.03,99.76,93.87,95.74,2180300,0.0,0
2019-04-24,97.13,97.54,93.89,94.79,1421300,0.0,0
2019-04-25,94.47,95.0,92.66,92.84,944000,0.0,0
2019-04-26,93.69,96.47,92.64,95.45,801300,0.0,0
2019-04-29,95.6,96.65,94.3,94.48,787000,0.0,0
2019-04-30,94.71,95.09,92.57,94.42,765800,0.0,0
2019-05-01,94.99,97.44,94.03,95.94,900400,0.0,0
2019-05-02,96.98,100.01,96.46,99.92,875800,0.0,0
2019-05-03,100.38,101.07,98.33,99.21,494800,0.0,0
2019-05-06,97.51,97.51,92.32,94.1,1230600,0.0,0
2019-05-07,92.77,94.03,90.24,91.11,915300,0.0,0
2019-05-08,91.01,91.85,88.8,88.89,1073100,0.0,0
2019-05-09,87.55,88.6,85.83,88.02,1135900,0.0,0
2019-05-10,87.65,88.03,84.57,86.94,811800,0.0,0
2019-05-13,83.8,85.1,80.75,84.36,1057700,0.0,0
2019-05-14,84.77,87.26,84.06,86.81,625600,0.0,0
2019-05-15,86.43,87.49,85.32,86.97,456600,0.0,0
2019-05-16,87.16,88.55,87.02,87.37,326900,0.0,0
2019-05-17,86.44,86.44,83.99,84.08,588900,0.0,0
2019-05-20,82.98,84.27,82.34,84.17,439500,0.0,0
2019-05-21,87.51,88.31,85.92,88.17,677100,0.0,0
2019-05-22,86.78,88.19,85.75,87.58,524700,0.0,0
2019-05-23,86.43,86.43,83.88,84.69,544700,0.0,0
2019-05-24,85.58,85.58,84.23,84.57,297300,0.0,0
2019-05-28,84.78,85.35,82.99,83.24,409500,0.0,0
2019-05-29,82.81,83.32,81.62,82.93,304300,0.0,0
2019-05-30,83.01,85.08,82.53,83.58,390900,0.0,0
2019-05-31,82.41,82.41,77.94,78.8,1062000,0.61,0
2019-06-03,78.84,79.84,78.67,79.38,834200,0.0,0
2019-06-04,80.8,83.45,80.27,82.87,1445900,0.0,0
2019-06-05,83.07,84.27,81.62,83.78,570500,0.0,0
2019-06-06,82.91,84.82,81.87,84.54,607600,0.0,0
2019-06-07,84.69,86.97,84.13,86.5,633000,0.0,0
2019-06-10,87.45,91.42,87.33,89.31,652500,0.0,0
2019-06-11,90.4,90.99,88.63,89.5,610000,0.0,0
2019-06-12,89.38,90.32,87.69,87.96,385600,0.0,0
2019-06-13,88.44,89.1,88.07,89.05,224000,0.0,0
2019-06-14,88.74,88.85,87.38,88.39,379000,0.0,0
2019-06-17,88.53,89.23,87.62,88.71,346000,0.0,0
2019-06-18,89.76,92.69,89.61,92.14,658800,0.0,0
2019-06-19,92.05,92.41,90.3,90.74,373000,0.0,0
2019-06-20,92.3,93.27,90.84,91.5,322400,0.0,0
2019-06-21,91.21,92.23,90.05,90.6,804900,0.0,0
2019-06-24,91.12,91.12,89.36,89.44,488700,0.0,0
2019-06-25,89.64,90.04,85.69,85.94,649700,0.0,0
2019-06-26,86.41,88.4,86.35,87.64,443700,0.0,0
2019-06-27,88.21,89.02,87.18,87.62,343000,0.0,0
2019-06-28,88.1,91.03,88.1,90.0,1004300,0.0,0
2019-07-01,91.46,93.63,88.51,88.96,471000,0.0,0
2019-07-02,88.65,88.65,85.95,86.35,951100,0.0,0
2019-07-03,86.59,88.35,86.35,87.35,418000,0.0,0
2019-07-05,86.85,87.55,82.88,83.05,733700,0.0,0
2019-07-08,82.66,84.7,82.14,82.9,814200,0.0,0
2019-07-09,81.88,82.07,79.93,81.28,1258100,0.0,0
2019-07-10,81.98,83.79,81.0,82.87,669300,0.0,0
2019-07-11,83.0,83.59,81.75,82.59,339500,0.0,0
2019-07-12,83.02,85.95,82.75,85.26,555000,0.0,0
2019-07-15,85.41,86.48,83.72,85.23,470600,0.0,0
2019-07-16,84.98,86.74,84.43,86.19,417600,0.0,0
2019-07-17,86.17,86.45,85.01,85.23,486600,0.0,0
2019-07-18,85.2,86.02,83.89,84.41,503200,0.0,0
2019-07-19,84.48,85.87,83.02,83.12,510900,0.0,0
2019-07-22,82.76,83.72,81.33,81.52,1200700,0.0,0
2019-07-23,85.71,92.4,84.86,91.14,3253400,0.0,0
2019-07-24,91.87,94.57,91.45,93.74,1170100,0.0,0
2019-07-25,93.2,94.38,91.58,91.93,680400,0.0,0
2019-07-26,92.59,92.83,91.12,92.27,502600,0.0,0
2019-07-29,91.28,93.84,90.65,92.9,804900,0.0,0
2019-07-30,92.23,93.51,90.98,93.47,539200,0.0,0
2019-07-31,94.73,95.38,92.5,93.39,796800,0.0,0
