Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,67.7,68.17,67.11,68.12,2558800,0.0,0
2019-02-06,67.98,68.11,67.26,67.67,2297600,0.0,0
2019-02-07,67.47,68.79,67.37,68.6,3189100,0.0,0
2019-02-08,68.22,69.04,68.09,68.98,2506300,0.0,0
2019-02-11,69.0,69.43,68.79,69.19,2340400,0.0,0
2019-02-12,69.29,69.38,68.41,68.76,3207400,0.0,0
2019-02-13,68.59,69.16,68.46,68.98,2343700,0.0,0
2019-02-14,68.89,69.35,68.3,69.0,2432800,0.0,0
2019-02-15,69.23,69.35,68.78,69.34,2210100,0.0,0
2019-02-19,69.24,69.65,69.03,69.52,1687500,0.0,0
2019-02-20,69.42,69.51,68.3,68.49,2680200,0.0,0
2019-02-21,68.23,69.28,68.07,69.18,2049700,0.0,0
2019-02-22,69.32,70.0,69.04,69.75,1582500,0.0,0
2019-02-25,69.97,70.05,69.27,69.4,1976300,0.0,0
2019-02-26,69.51,69.59,68.96,69.19,1457200,0.0,0
2019-02-27,68.77,68.84,67.74,68.33,2303100,0.0,0
2019-02-28,68.19,69.06,67.75,68.23,4170500,0.0,0
2019-03-01,68.23,68.59,67.35,68.06,3763700,0.0,0
2019-03-04,68.44,68.65,67.79,68.51,2489200,0.0,0
2019-03-05,68.51,68.95,68.33,68.51,1981200,0.0,0
2019-03-06,68.55,68.74,68.16,68.34,2303900,0.0,0
2019-03-07,68.43,68.73,67.52,67.71,2895400,0.0,0
2019-03-08,67.3,68.19,67.16,68.12,2924900,0.0,0
2019-03-11,68.4,69.29,68.13,69.14,2102100,0.0,0
2019-03-12,69.28,69.87,69.13,69.75,2646700,0.0,0
2019-03-13,70.19,70.92,70.12,70.49,2712900,0.0,0
2019-03-14,70.58,70.67,69.89,70.43,2226500,0.53,0
2019-03-15,70.22,70.49,70.03,70.29,3686400,0.0,0
2019-03-18,70.42,70.51,69.14,69.51,1739100,0.0,0
2019-03-19,69.53,69.69,68.83,69.1,1864000,0.0,0
2019-03-20,69.16,70.16,68.9,69.58,2510700,0.0,0
2019-03-21,69.38,70.76,69.32,70.7,2138500,0.0,0
2019-03-22,70.71,71.09,69.7,69.73,2176400,0.0,0
2019-03-25,69.85,70.06,69.27,69.61,1549600,0.0,0
2019-03-26,70.01,70.83,69.98,70.8,1936000,0.0,0
2019-03-27,70.79,71.0,69.75,70.24,2038300,0.0,0
2019-03-28,70.32,70.81,69.91,70.76,1900200,0.0,0
2019-03-29,71.01,71.09,70.35,70.59,2679700,0.0,0
2019-04-01,70.65,71.0,69.92,70.85,2226500,0.0,0
2019-04-02,71.07,71.88,70.59,71.76,2366100,0.0,0
2019-04-03,71.77,72.04,70.86,71.77,2467300,0.0,0
2019-04-04,71.77,71.77,70.95,71.48,1157400,0.0,0
2019-04-05,71.32,71.74,71.1,71.68,1182600,0.0,0
2019-04-08,71.72,71.81,71.09,71.51,1661100,0.0,0
2019-04-09,71.42,71.55,70.88,71.01,1654800,0.0,0
2019-04-10,71.38,72.19,71.05,72.17,2116400,0.0,0
2019-04-11,72.36,72.54,71.63,72.17,2075300,0.0,0
2019-04-12,72.12,73.04,71.62,73.03,2291200,0.0,0
2019-04-15,73.11,73.18,72.1,72.34,2403600,0.0,0
2019-04-16,72.34,72.54,70.84,71.4,3371200,0.0,0
2019-04-17,71.8,71.8,70.37,70.9,2842900,0.0,0
2019-04-18,70.96,72.3,70.88,72.18,2287300,0.0,0
2019-04-22,72.01,72.15,70.64,71.55,2587300,0.0,0
2019-04-23,71.86,73.03,71.85,72.8,2448800,0.0,0
2019-04-24,72.94,73.93,72.72,73.89,2197900,0.0,0
2019-04-25,73.39,74.23,73.1,74.04,1981300,0.0,0
2019-04-26,74.16,74.69,73.95,74.66,2286300,0.0,0
2019-04-29,74.47,74.91,73.85,73.96,2180100,0.0,0
2019-04-30,74.13,75.37,73.6,75.22,2396700,0.0,0
2019-05-01,75.22,77.08,75.18,76.14,3585900,0.0,0
2019-05-02,76.05,76.52,74.78,74.89,2561300,0.0,0
2019-05-03,75.19,75.52,74.81,75.32,1767000,0.0,0
2019-05-06,74.75,75.05,74.42,74.8,1292200,0.0,0
2019-05-07,74.22,74.6,72.24,72.92,3169200,0.0,0
2019-05-08,72.93,73.87,72.8,72.99,1801400,0.0,0
2019-05-09,72.88,73.31,72.14,73.23,1775300,0.0,0
2019-05-10,73.19,74.43,72.91,74.13,1960000,0.0,0
2019-05-13,73.3,73.81,73.11,73.64,1981600,0.0,0
2019-05-14,73.62,74.15,73.54,73.88,1692900,0.0,0
2019-05-15,74.07,75.13,73.59,74.58,1342200,0.0,0
2019-05-16,74.86,75.61,74.6,75.42,1705100,0.0,0
2019-05-17,74.7,75.42,74.56,75.16,2310800,0.0,0
2019-05-20,75.16,75.16,73.87,74.16,1370100,0.0,0
2019-05-21,74.59,75.67,74.59,75.38,1891200,0.0,0
2019-05-22,75.41,75.56,74.8,75.11,1111700,0.0,0
2019-05-23,74.8,75.87,74.46,74.99,1635700,0.0,0
2019-05-24,75.26,75.67,73.94,73.99,3072900,0.0,0
2019-05-28,74.33,74.41,72.97,72.97,3494200,0.0,0
2019-05-29,72.8,73.06,71.42,71.77,2309700,0.0,0
2019-05-30,72.04,72.47,71.59,71.94,2030900,0.0,0
2019-05-31,71.43,72.98,71.13,72.28,2831300,0.0,0
2019-06-03,73.01,73.84,72.28,73.68,3404600,0.0,0
2019-06-04,74.08,74.08,72.72,73.58,2470900,0.0,0
2019-06-05,73.95,76.1,73.83,76.01,1939000,0.0,0
2019-06-06,76.21,76.87,75.86,76.67,1538600,0.0,0
2019-06-07,77.01,77.4,76.64,76.71,1556100,0.0,0
2019-06-10,76.87,77.14,76.33,76.93,1096100,0.0,0
2019-06-11,77.27,77.39,76.4,77.34,1666300,0.0,0
2019-06-12,77.47,78.16,77.4,77.85,1930700,0.53,0
2019-06-13,77.94,79.02,77.9,78.95,3254000,0.0,0
2019-06-14,79.05,79.62,78.87,78.98,1910100,0.0,0
2019-06-17,79.41,80.01,79.29,79.93,1596000,0.0,0
2019-06-18,80.43,81.04,79.14,79.5,2069100,0.0,0
2019-06-19,79.27,80.89,79.06,80.53,1584700,0.0,0
2019-06-20,81.2,81.81,80.98,81.47,2844400,0.0,0
2019-06-21,81.13,81.13,80.34,80.34,5017900,0.0,0
2019-06-24,80.68,80.75,79.29,79.61,2220500,0.0,0
2019-06-25,79.91,80.64,78.69,78.8,2059400,0.0,0
2019-06-26,78.91,79.2,76.8,77.18,2786800,0.0,0
2019-06-27,77.72,78.52,77.72,78.39,1621400,0.0,0
2019-06-28,78.49,79.42,78.45,79.12,3272200,0.0,0
2019-07-01,79.92,79.99,77.88,78.94,1812500,0.0,0
2019-07-02,79.31,80.68,79.03,80.59,2428500,0.0,0
2019-07-03,80.83,81.59,80.72,81.59,1193300,0.0,0
2019-07-05,81.2,81.98,79.67,81.42,1565600,0.0,0
2019-07-08,81.2,81.34,80.74,81.3,1847400,0.0,0
2019-07-09,81.29,81.81,80.89,81.61,1929000,0.0,0
2019-07-10,82.43,82.96,81.51,82.01,2343600,0.0,0
2019-07-11,81.99,82.1,79.57,80.03,2610200,0.0,0
2019-07-12,79.97,80.22,78.59,79.05,3177700,0.0,0
2019-07-15,79.49,80.03,78.92,78.96,2949100,0.0,0
2019-07-16,79.27,81.27,78.2,80.46,3720200,0.0,0
